agent,env,episode,reward_mean,reward_std,success_rate,n_seeds
ql_baseline,GridWorld,0,-4.380999999999989,0.40702456928298536,0.0,20
ql_baseline,GridWorld,1,-0.06850000000000026,0.4000284364892077,1.0,20
ql_baseline,GridWorld,2,0.23699999999999974,0.64022730338529,0.95,20
ql_baseline,GridWorld,3,-0.03800000000000031,0.8496975932648041,0.8,20
ql_baseline,GridWorld,4,0.35299999999999987,0.349286415424362,1.0,20
ql_baseline,GridWorld,5,0.6535,0.18382804465042873,1.0,20
ql_baseline,GridWorld,6,0.4974999999999998,0.33218782337707703,1.0,20
ql_baseline,GridWorld,7,0.5164999999999998,0.2832185551830954,1.0,20
ql_baseline,GridWorld,8,0.6075,0.23194557551287764,1.0,20
ql_baseline,GridWorld,9,0.6899999999999998,0.1934166487146337,1.0,20
ql_baseline,GridWorld,10,0.6679999999999999,0.2549823523305094,1.0,20
ql_baseline,GridWorld,11,0.6369999999999999,0.17387064157010526,1.0,20
ql_baseline,GridWorld,12,0.7509999999999999,0.21044951888754704,1.0,20
ql_baseline,GridWorld,13,0.6990000000000001,0.1901289036417136,1.0,20
ql_baseline,GridWorld,14,0.7369999999999999,0.1379528905097679,1.0,20
ql_baseline,GridWorld,15,0.8015000000000001,0.1215020575957461,1.0,20
ql_baseline,GridWorld,16,0.7595000000000001,0.29679075120360476,1.0,20
ql_baseline,GridWorld,17,0.8004999999999999,0.15477322119798378,1.0,20
ql_baseline,GridWorld,18,0.7604999999999998,0.1868013650913719,1.0,20
ql_baseline,GridWorld,19,0.807,0.1293097057455472,1.0,20
ql_baseline,GridWorld,20,0.861,0.1177242540855537,1.0,20
ql_baseline,GridWorld,21,0.8440000000000001,0.1337310734272331,1.0,20
ql_baseline,GridWorld,22,0.8535,0.05516112761719074,1.0,20
ql_baseline,GridWorld,23,0.867,0.05916924876994808,1.0,20
ql_baseline,GridWorld,24,0.875,0.05084289527554466,1.0,20
ql_baseline,GridWorld,25,0.8085000000000001,0.20618620225417608,1.0,20
ql_baseline,GridWorld,26,0.8835,0.04508602887813476,1.0,20
ql_baseline,GridWorld,27,0.8895000000000002,0.03247691487810997,1.0,20
ql_baseline,GridWorld,28,0.9040000000000001,0.02083266665599965,1.0,20
ql_baseline,GridWorld,29,0.9109999999999999,0.025278449319529064,1.0,20
ql_baseline,GridWorld,30,0.898,0.02638181191654584,1.0,20
ql_baseline,GridWorld,31,0.8480000000000001,0.16755894485225195,1.0,20
ql_baseline,GridWorld,32,0.9145,0.01532155344604453,1.0,20
ql_baseline,GridWorld,33,0.9145000000000001,0.01829617446353197,1.0,20
ql_baseline,GridWorld,34,0.9079999999999998,0.024617067250182336,1.0,20
ql_baseline,GridWorld,35,0.9180000000000001,0.015999999999999973,1.0,20
ql_baseline,GridWorld,36,0.9149999999999998,0.015329709716755856,1.0,20
ql_baseline,GridWorld,37,0.8935000000000001,0.1045597915070607,1.0,20
ql_baseline,GridWorld,38,0.9095000000000001,0.018020821290940084,1.0,20
ql_baseline,GridWorld,39,0.8704999999999998,0.14444635682494733,1.0,20
ql_baseline,GridWorld,40,0.9225000000000001,0.014097872179871657,1.0,20
ql_baseline,GridWorld,41,0.8879999999999999,0.1360735095453924,1.0,20
