t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.8965242141552123,-0.2,0.65,0.7986186350364979,0.8682577436129649,0.6999453128138493,0.900125052000953,0.3098442601218304,0.5652470015645997,0.32192149573077056,0.3000419218974861,0.20600083843794972,0.4718212260596643,0.4368728580342589,0.48424974964698597,0.5436569806850221
1,0.8011654693792142,-0.2,0.65,0.8516456449978672,0.9914164349845415,0.6777713127147594,1.0,0.31237519096928207,0.594241477093827,0.3264245578314431,0.34272317727865803,0.21279529359914337,0.45499999999999996,0.5722663729097163,0.6348330090427561,0.6758580576863427
2,0.8735991619796876,-0.2,0.65,0.901726149821066,1.0,0.6450648687270849,1.0,0.3191888701015758,0.6162002350516989,0.341567520717153,0.3878003846606853,0.22042334835636565,0.45499999999999996,0.5816718604621056,0.6466539748308789,0.6859058786062471
3,0.8158012724764748,-0.2,0.65,0.9491717539597266,1.0,0.6215187048247074,1.0,0.32236433388536945,0.6419044738515127,0.3472836520330955,0.4278225255012556,0.2287755653828271,0.45499999999999996,0.5899279991772451,0.6564881104505307,0.6942648938829511
4,0.8986339451662824,-0.2,0.65,0.9930562442485222,1.0,0.5859008324773944,1.0,0.3304303714359567,0.6599539292841495,0.36513887768671194,0.47095237075486557,0.23790685714409612,0.45499999999999996,0.5818324802020839,0.6491217730934213,0.688003507129408
5,0.8016880654207976,-0.2,0.65,1.0,1.0,0.5653591101771138,1.0,0.3324780052630502,0.6850370768791197,0.36755946009582496,0.5068902272947313,0.2476655931185498,0.45499999999999996,0.5653591101771138,0.6311484244002569,0.6727261607402183
6,0.8879491268134672,-0.2,0.65,1.0,1.0,0.5321863545024371,1.0,0.3396501119280265,0.7022160136588775,0.38279817259338267,0.5462686121143472,0.25811430942965125,0.45499999999999996,0.5321863545024371,0.5954513587080996,0.6423836549018846
7,0.8681350664401415,-0.2,0.65,1.0,1.0,0.5024832992188794,1.0,0.3454540723039789,0.7202929177973111,0.3943028404100636,0.582993360611075,0.26919303354757623,0.45499999999999996,0.5024832992188794,0.5632380149118446,0.6150023126750679
8,0.8857342382481526,-0.2,0.65,1.0,1.0,0.4705859139933733,1.0,0.35216888397901314,0.7362388120255664,0.40787215060711224,0.6192775348532544,0.28088665390916556,0.45499999999999996,0.4705859139933733,0.5285899146449248,0.585551427448186
9,0.899981623416612,-0.2,0.65,1.0,1.0,0.4370298817709809,1.0,0.3595706684722791,0.7504070796712147,0.42290010306957737,0.6549636632037651,0.29317706063414917,0.45499999999999996,0.4370298817709809,0.4920299761267444,0.5544754797077327
10,0.8239715182163789,-0.2,0.65,1.0,1.0,0.41537870581195935,1.0,0.3622268020411994,0.7700894250270557,0.42577514212888434,0.6849282520592431,0.3059438550689926,0.45499999999999996,0.41537870581195935,0.4680401608967567,0.5340841367622432
