t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.8106828537701656,-0.2,0.65,0.7961282702970326,0.8417611297902449,0.6849964417537175,0.7231842404552588,0.32290566351916383,0.5655221326629981,0.433922717583916,0.3134486534079208,0.20626897306815842,0.6036647807077743,0.33197790676910754,0.36949704795975113,0.4131562955888449
1,0.8702585523986855,-0.2,0.65,0.8420022509160608,0.9340323647767471,0.6231837678961741,0.7994293680347268,0.34767081735944616,0.5828908331028748,0.56823095330008,0.3839121881111739,0.21388452709970032,0.5636093707120385,0.3918062945288416,0.43948315966173795,0.48265834303446764
2,0.8652042020314276,-0.2,0.65,0.8863330511624036,1.0,0.5713854251260467,0.8699154584455021,0.3692621823795387,0.6002820066210175,0.6918567289250966,0.45419221486568995,0.2228295261260171,0.5661962192086193,0.4405580598624857,0.49749656058988656,0.5037660030217197
3,0.8940352389566119,-0.2,0.65,0.9262505975677967,1.0,0.5245317771603658,0.9401170619430371,0.39015011308413405,0.6112844815049758,0.7796764067564622,0.5252726887078873,0.23310668463891468,0.5648325635692567,0.45675387401172324,0.5191247754707747,0.4961449962309057
4,0.12711152265603232,0.5,0.2,0.9732205520905276,1.0,0.6201714185780981,1.0,0.33148212093606844,0.7870129640209884,0.6687975879997251,0.5374348273894256,0.24352431434031405,0.17351307052914822,0.6035635703793423,0.6735882567295239,0.7585324741878907
5,0.8255775513433039,-0.2,0.65,1.0,1.0,0.5881370276481692,1.0,0.3487941982205681,0.7900180086765497,0.7549589773142557,0.6019368908898513,0.25512780901470794,0.6029037389952381,0.5881370276481692,0.6599356016989992,0.6137316335010632
6,0.17340593641446966,0.5,0.2,1.0,1.0,0.6759287012239588,1.0,0.2948800726750057,0.955054474132365,0.662007596968507,0.6187598691292452,0.26695172830714575,0.17250761094635159,0.6759287012239588,0.7456899678129738,0.8221072908138878
7,0.8658450018240076,-0.2,0.65,1.0,1.0,0.6369941446316006,1.0,0.31616337417388846,0.9481312480988449,0.7577761845382923,0.6865315690481428,0.28001284240503715,0.6033775160079514,0.6369941446316006,0.7074821209651085,0.6531825684568667
8,0.1302987973888355,0.5,0.2,1.0,1.0,0.7305143054750155,1.0,0.2610638625683087,1.0,0.6580984026010649,0.6965646715558262,0.29314400741210334,0.17260214757571513,0.7305143054750155,0.797263115662065,0.867093590638507
9,0.8684233128076956,-0.2,0.65,1.0,1.0,0.6903590770275642,1.0,0.2838789741674964,0.9911057786843209,0.7565411595643066,0.7614055048787433,0.30744067743555714,0.603680338883434,0.6903590770275642,0.7589515263353956,0.6972263647949358
10,0.13966736450330142,0.5,0.2,1.0,1.0,0.7816695077764576,1.0,0.23062455004064286,1.0,0.6594319932579106,0.7677906138393108,0.3217220829379878,0.17268156840395746,0.7816695077764576,0.8447647702554604,0.9070500646387788
11,0.8777516587890113,-0.2,0.65,1.0,1.0,0.7393350895899542,1.0,0.2552032739143272,0.990334829624246,0.7593893696098241,0.8293008225557807,0.3370908785597236,0.6039325350300958,0.7393350895899542,0.8053733469740387,0.7357674002874617
12,0.11183995698654386,0.5,0.2,1.0,1.0,0.8340818350830287,1.0,0.201376229269792,1.0,0.6575398239265647,0.8295742488675143,0.3523114547514766,0.17274469230189418,0.8340818350830287,0.8928693242810358,0.9484908053854374
13,0.822326611631225,-0.2,0.65,1.0,1.0,0.799265235968447,1.0,0.2237035247241428,0.9947831326765214,0.7504132972578836,0.8834706998069503,0.3684577542001009,0.604127596873049,0.799265235968447,0.8618446936349125,0.7864121011940483
14,0.1901463086274699,0.5,0.2,1.0,1.0,0.8813645380140185,1.0,0.1756667989263327,1.0,0.664246486085148,0.8866499450461014,0.3845061755590219,0.17279546241562532,0.8813645380140185,0.9355538084920565,0.9827479257887973
15,0.8358032679616294,-0.2,0.65,1.0,1.0,0.8438084645023675,1.0,0.19975156065742758,0.9936217788105006,0.7569650668137611,0.9384163097399348,0.40142943999823033,0.6043023049439272,0.8438084645023675,0.9028016846904708,0.8192163357067902
16,0.1260402331953273,0.5,0.2,1.0,1.0,0.9348535441352174,1.0,0.14870905052666444,1.0,0.6589735002576539,0.9333892372922828,0.41808293034409366,0.17283516840630797,0.9348535441352174,0.9835109581606597,1.0
17,0.8804281284158889,-0.2,0.65,1.0,1.0,0.8897955850231651,1.0,0.17635023544535694,0.9901076645949904,0.7607363681126894,0.9856012923752142,0.435614126888157,0.6044187337528143,0.8897955850231651,0.9447160663441412,0.8536830625205096
18,0.16316639223416798,0.5,0.2,1.0,1.0,0.9745802735129777,1.0,0.12831761386923488,1.0,0.6671255299999207,0.9804588679465995,0.4528671629782074,0.172868377994296,0.9745802735129777,1.0,1.0
19,0.8149703556009014,-0.2,0.65,1.0,1.0,0.9387402086200664,1.0,0.15271262835257782,0.9952477114476406,0.7561365036832964,1.0,0.4703384913484253,0.6045161490016304,0.9387402086200664,0.9889153282295824,0.8926080406397485
20,0.15513326724278337,0.5,0.2,1.0,1.0,1.0,1.0,0.10490765254452351,1.0,0.6632846671936278,0.9935514482071416,0.4875061353990839,0.17288750865058053,1.0,1.0,1.0
21,0.8663999052907005,-0.2,0.65,1.0,1.0,0.9560607052778494,1.0,0.13309619511168413,0.9911744137589135,0.761683770254427,1.0,0.504631074045093,0.6045861785709093,0.9560607052778494,1.0,0.9003483242809447
22,0.11649482474521197,0.5,0.2,1.0,1.0,1.0,1.0,0.0835844664781695,1.0,0.6610462709124904,0.9905640070154543,0.5213960434449512,0.17290794631746798,1.0,1.0,1.0
23,0.8651698291822797,-0.2,0.65,1.0,1.0,0.9562424960193185,1.0,0.11232839876900216,0.9912964406656174,0.7602717306420002,1.0,0.5381820830105016,0.6046405920667892,0.9562424960193185,0.993837111963772,0.895519877959909
24,0.11230263456316625,0.5,0.2,1.0,1.0,1.0,1.0,0.06317604181269126,1.0,0.6596874701709485,0.9903072449163545,0.5546064070787238,0.17292337471694585,1.0,1.0,1.0
25,0.8337066225914564,-0.2,0.65,1.0,1.0,0.9609594466574857,1.0,0.09063118817936935,0.9938270787188169,0.7548507764839649,1.0,0.5710603430079365,0.6046911990759165,0.9609594466574857,0.9914419604124508,0.8950976336364147
26,0.10832080041919251,0.5,0.2,1.0,1.0,1.0,1.0,0.041864353651083167,1.0,0.6559008808339419,0.9901513461275765,0.5871527665004087,0.1729371096644758,1.0,1.0,1.0
27,0.8204421697959894,-0.2,0.65,1.0,1.0,0.9629465093214087,1.0,0.06914749203028693,0.9949293881215407,0.7506819438419252,1.0,0.6032812388354046,0.6047433041838561,0.9629465093214087,0.9862513769490219,0.8919232612081271
28,0.19779995335778577,0.5,0.2,1.0,1.0,1.0,1.0,0.02637864203543451,1.0,0.6669117610617475,0.9970159321176589,0.6191887450894037,0.17295269084060116,1.0,1.0,1.0
29,0.8403675798947255,-0.2,0.65,1.0,1.0,0.9599549394031182,1.0,0.05534104079991152,0.9932075242332568,0.7605259747577439,1.0,0.6349968576385097,0.6047984722534586,0.9599549394031182,0.9785486563167728,0.8824089473785691
30,0.19904326344602247,0.5,0.2,1.0,1.0,1.0,1.0,0.013035915618716587,1.0,0.6731660912443415,0.9968179244506631,0.6505832475511378,0.17295918480833847,1.0,1.0,1.0
31,0.8438648051741805,-0.2,0.65,1.0,1.0,0.9594300096781075,1.0,0.04255458460923453,0.992856256848602,0.7648841601752396,1.0,0.6660774150756265,0.6048053909153074,0.9594300096781075,0.9737198606113275,0.8769952857382297
32,0.16075312129735528,0.5,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.670060579076658,0.9938406929882945,0.6812934547846361,0.17295630155234276,1.0,1.0,1.0
33,0.8872595382041211,-0.2,0.65,1.0,1.0,0.952921549526584,1.0,0.03242221926170938,0.9894207672446942,0.7694616593316881,1.0,0.6964805202367897,0.6047903948559558,0.952921549526584,0.9637350905228697,0.8671387304309439
34,0.16868835008602956,0.5,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6740291988756433,0.9942948583704149,0.7114016122018302,0.17295495051754817,1.0,1.0,1.0
35,0.8111531455656741,-0.2,0.65,1.0,1.0,0.9643381647270376,1.0,0.027833245127661638,0.9954645809825565,0.7604341464725706,1.0,0.7262875960798119,0.6047772687622252,0.9643381647270376,0.97373239591072,0.8783479753917846
36,0.15890841680572712,0.5,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6670035830523213,0.9938140666373568,0.7409010014517609,0.17294860322756317,1.0,1.0,1.0
37,0.8633729371162189,-0.2,0.65,1.0,1.0,0.9565053664665356,1.0,0.030959567928383627,0.9913671197774286,0.7639716435417272,1.0,0.7554919914372432,0.6047738593206319,0.9565053664665356,0.9668699139699801,0.8714544689818069
38,0.11811980371538355,0.5,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6630758620529039,0.9906979551129497,0.7697510306251298,0.17295296893097123,1.0,1.0,1.0
39,0.809467249920222,-0.2,0.65,1.0,1.0,0.9645909195778837,1.0,0.027736174995794588,0.9957242784749936,0.753505586845893,1.0,0.7840535203188785,0.60477985868166,0.9645909195778837,0.9739548414685519,0.8806149745240863
40,0.18747939205663486,0.5,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6671306089589252,0.9961623297749888,0.7981362317111895,0.1729573562865345,1.0,1.0,1.0
41,0.8513781455697491,-0.2,0.65,1.0,1.0,0.9583027659943476,1.0,0.03030333162156587,0.9923237730359672,0.7623409451497873,1.0,0.8121548693940777,0.6048102434037991,0.9583027659943476,0.9684666842734743,0.873291837236567
42,0.11938387101205497,0.5,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6623490083804524,0.9908437657054173,0.8258501960142453,0.17296203704856006,1.0,1.0,1.0
43,0.8452600908459106,-0.2,0.65,1.0,1.0,0.9592204178229298,1.0,0.0299389478679067,0.9928679266953582,0.7585103313504569,1.0,0.8395916940541028,0.6048113710036731,0.9592204178229298,0.9692717353519911,0.875125032893137
44,0.12181879020090315,0.5,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6604069661022527,0.9911207543700936,0.8530181922009638,0.17296583167841895,1.0,1.0,1.0
45,0.879824190051351,-0.2,0.65,1.0,1.0,0.9540349393924473,1.0,0.032042853269151045,0.990124253262907,0.762553427451775,1.0,0.8664880102789542,0.6048286419969985,0.9540349393924473,0.9647344399442559,0.8700510852178355
46,0.15004801247613161,0.5,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6671551477061474,0.993131745354869,0.879685765083262,0.17297148588078654,1.0,1.0,1.0
47,0.810242802740026,-0.2,0.65,1.0,1.0,0.9644716167372018,1.0,0.02788699734206425,0.9956134169968041,0.7562599073355241,1.0,0.8928889074324294,0.6048392570358857,0.9644716167372018,0.9738852928315582,0.8797147124471958
48,0.18181280121149865,0.5,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6680682066363564,0.9956762759857204,0.9058735438778195,0.17296951358206125,1.0,1.0,1.0
49,0.808953523843461,-0.2,0.65,1.0,1.0,0.9646647136179537,1.0,0.02781936433346624,0.995705764486819,0.756637434018419,1.0,0.9188148084390413,0.604845156110542,0.9646647136179537,0.9740574393126755,0.8797463041826129
50,0.12806687587371438,0.5,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6602435582760852,0.991640184679537,0.9314594640482416,0.17297023602931894,1.0,1.0,1.0
51,0.8027997405541805,-0.2,0.65,1.0,1.0,0.965587684963967,1.0,0.027453534014153333,0.996287325407639,0.7509462041636479,1.0,0.9441448694077592,0.604847079058119,0.965587684963967,0.9748657629874489,0.8821402675257075
52,0.1740341241746165,0.5,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6637135074042928,0.9952539297369342,0.9566084993084203,0.17297623617258231,1.0,1.0,1.0
