t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.8452379553509819,-0.2,0.65,0.7957391794018783,0.8410878129116024,0.6797622480633527,0.7228603842999999,0.30106726610674883,0.5643296588219215,0.3662743047026472,0.30364946595403575,0.20607298931908072,0.603906095,0.32886946193411914,0.36352360236779513,0.4080185382626258
1,0.8559772386080496,-0.2,0.65,0.8412124319105424,0.9319562916960461,0.6191188982115231,0.7926691362838395,0.29443189366599165,0.597087321067005,0.38565043425177337,0.3497992973492555,0.21300824537287502,0.5684125338746514,0.3847399076066832,0.4243878024546132,0.4686264986177584
2,0.892421058402373,-0.2,0.65,0.8847551339366757,1.0,0.5613861063098934,0.8561977352933468,0.2908801887552628,0.6242191427357822,0.4134959069117504,0.39752883200722094,0.2208287395592907,0.5715315580660513,0.42526420215721916,0.468559528145241,0.5053927094069419
3,0.8465650070099774,-0.2,0.65,0.9242418299562232,1.0,0.5188502878574693,0.9181883146968359,0.2846016626566092,0.6540598700307658,0.432721692856489,0.44112907344834806,0.22944303363266477,0.5712574713979883,0.44031090710277815,0.4841705327893298,0.5187305850214332
4,0.8507841273062271,-0.2,0.65,0.9603106232197823,1.0,0.48353025891128143,0.9782868526368859,0.2787388930106395,0.6823584137047064,0.45164972666609293,0.48360825552357095,0.23882076840680955,0.5712815569763614,0.45425697784317115,0.4985736583443986,0.5309672203486485
5,0.8587384828849898,-0.2,0.65,0.9931681687173247,1.0,0.45015256057298897,1.0,0.27349945778667434,0.7088896361664728,0.47082181704954773,0.5251923556377567,0.2489364078354966,0.5712794404374956,0.44707719422769004,0.4898735738012114,0.5235726776216558
6,0.8184660343854877,-0.2,0.65,1.0,1.0,0.4233163856850715,1.0,0.2659747051332441,0.7375813204609926,0.4829946724704878,0.5631635744641135,0.25971031524642385,0.5712796264299888,0.4233163856850715,0.4627233934863017,0.5004949778558593
7,0.8511908639041806,-0.2,0.65,1.0,1.0,0.39197402980988066,1.0,0.2606015572358957,0.7625073585047568,0.4994675887364258,0.6017360749500362,0.2711479335929603,0.5712796100857542,0.39197402980988066,0.4277261947074502,0.4707473629798941
8,0.8629882720216803,-0.2,0.65,1.0,1.0,0.35933219798337956,1.0,0.25607058285971607,0.7854925617198381,0.5168864722355413,0.6397177484020082,0.2832308092250709,0.5712796115220166,0.35933219798337956,0.391537239865633,0.43998675100528384
9,0.8792976872519953,-0.2,0.65,1.0,1.0,0.32473358135603936,1.0,0.2526314477271734,0.8062536036456721,0.5358808236835367,0.6773807696386713,0.2959461165255936,0.5712796113958039,0.32473358135603936,0.3534468515303014,0.40760992095180526
10,0.8094123456229219,-0.2,0.65,1.0,1.0,0.30113674522191575,1.0,0.24508517047779976,0.8317750312197211,0.543442656328894,0.7098436456677433,0.30918352827369255,0.5712796114068949,0.30113674522191575,0.3269681979108608,0.38510306537250794
11,0.8303401262624526,-0.2,0.65,1.0,1.0,0.2747546945339231,1.0,0.2389832169978039,0.8546013792400918,0.553765564436672,0.7423639096821388,0.3229389711845984,0.5712796114059203,0.2747546945339231,0.29773631080866114,0.3602559613358819
12,0.809067053749184,-0.2,0.65,1.0,1.0,0.25195933548323635,1.0,0.23175742800403187,0.8782165191406701,0.5603813662621798,0.7725567100820686,0.33716071567439376,0.5712796114060059,0.25195933548323635,0.2723970421268563,0.33871758295632637
13,0.8809644534367178,-0.2,0.65,1.0,1.0,0.21872129686518021,1.0,0.2290261277163544,0.8951352614702258,0.5774509879495329,0.80576426248639,0.35190439376737764,0.5712796114059984,0.21872129686518021,0.2362538089497262,0.30799583475576764
14,0.8693438482541239,-0.2,0.65,1.0,1.0,0.18772491960378399,1.0,0.22566587362491336,0.9123069025212066,0.59192403777513,0.8372008159265673,0.3671293661482352,0.5712796114059991,0.18772491960378399,0.20255200739802806,0.27934930343682407
15,0.8041880336369847,-0.2,0.65,1.0,1.0,0.16696686019387957,1.0,0.21848027700873002,0.9340041430995193,0.5959000629168761,0.8638670224759174,0.3827354129362712,0.5712796114059989,0.16696686019387957,0.17973449824713242,0.2599544206585629
16,0.8982193420798779,-0.2,0.65,1.0,1.0,0.13241547540868975,1.0,0.21711619881452487,0.9473109893792679,0.6137819830679689,0.894896154784094,0.3988059819025904,0.571279611405999,0.13241547540868975,0.14247781604842327,0.22415164586926933
17,0.8964757781125567,-0.2,0.65,1.0,1.0,0.09864638527493019,1.0,0.21566996654475876,0.9600196793491759,0.6259119456368152,0.9231252494978988,0.41528042707352253,0.5712298257149139,0.09864638527493019,0.10609265718913215,0.18959771849098928
18,0.8653922533533841,-0.2,0.65,1.0,1.0,0.07004833235792027,1.0,0.21238565749814786,0.9745239842538688,0.6287330782950852,0.9471334052361245,0.4320702909075098,0.5711903826975672,0.07004833235792027,0.07525537375149026,0.16254954852584935
19,0.8615562704578571,-0.2,0.65,0.9996463987131331,1.0,0.04245498391416297,1.0,0.2089517265917153,0.9887114041177907,0.6299013153557117,0.9695659101914065,0.4491409062022628,0.5711836577941986,0.042439971777217006,0.04554373865999062,0.13694586880572887
20,0.8157494095140163,-0.2,0.65,0.9976734424361442,1.0,0.022146746296350987,1.0,0.2028543839752227,1.0,0.6237512538298419,0.9882505403135546,0.4664145079465113,0.5711800286399419,0.022095220616240415,0.023663959944656848,0.12019398264402031
21,0.8015000736949606,-0.2,0.65,0.9943006932678822,1.0,0.004279405853502194,1.0,0.19605978473718738,1.0,0.6178227625109243,1.0,0.4837503628670462,0.5712025638831894,0.004255016206911865,0.004546999353464999,0.1057174797263706
22,0.8528381266170479,-0.2,0.65,0.9906361828688639,1.0,0.0,1.0,0.19251987747163596,1.0,0.6218660492796148,1.0,0.5009128592383758,0.5712219995150524,0.0,0.0,0.10063468533735248
23,0.8059551105168855,-0.2,0.65,0.987026640125831,1.0,0.0,1.0,0.18625167102893037,1.0,0.6173240979420955,1.0,0.517903730645992,0.5712056857257987,0.0,0.0,0.10200134918592166
24,0.819020826279793,-0.2,0.65,0.9834712405239435,1.0,0.0,1.0,0.18092828551897255,1.0,0.6164856794906491,1.0,0.5347246933395321,0.5712235265441354,0.0,0.0,0.10224841451677139
25,0.8241943013665215,-0.2,0.65,0.9799691719160843,1.0,0.0,1.0,0.17604873388341152,1.0,0.616742821634922,1.0,0.5513774464061368,0.571224987450251,0.0,0.0,0.10217090664696066
26,0.803008258922479,-0.2,0.65,0.9765196343373431,1.0,0.0,1.0,0.17001976117972462,1.0,0.6137232792664452,1.0,0.5678636719420755,0.5712239301781404,0.0,0.0,0.10307703367553131
27,0.8463934461223285,-0.2,0.65,0.973121839822283,1.0,0.0,1.0,0.16674719653324965,1.0,0.6183696355859694,1.0,0.5841850352226549,0.5712349308061099,0.0,0.0,0.10168037662268173
28,0.8440531116656658,-0.2,0.65,0.9697750122249487,1.0,0.0,1.0,0.16341187436369398,1.0,0.6208818211547352,1.0,0.6003431848704284,0.5712171797359918,0.0,0.0,0.10093115871958147
29,0.8842427128518533,-0.2,0.65,0.9664783870415744,1.0,0.0,1.0,0.16256955484129,1.0,0.6284610035101003,1.0,0.6163397530217241,0.5712096646686916,0.0,0.0,0.09865928277979702
