t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.8361522774914075,-0.2,0.65,0.7954063589006342,0.8376688310051545,0.6775702583762888,0.700255,0.3808291366494844,0.5642143178006874,0.49991284162371113,0.3374306042684947,0.2067486120853699,0.62075,0.31613455415057734,0.35827219141335925,0.39934386270135525
1,0.8480480665601294,-0.2,0.65,0.8405831211672598,0.9283584503170722,0.6174589356416251,0.7830850562499999,0.41545726722685505,0.5986379072888495,0.684230247026545,0.4151910864375385,0.21498494769326698,0.5592153125,0.37732308480283766,0.43218965098866546,0.4522883011074022
2,0.8416952626605665,-0.2,0.65,0.8844636119621181,1.0,0.5654904701545909,0.8421073793344328,0.44795350726832683,0.6280104333413028,0.8316471662615739,0.494061457942383,0.22471632737518196,0.5751035514691369,0.42118484263939626,0.4872197722533978,0.4508667686696317
3,0.14467592537839233,0.5,0.2,0.9341856804736836,1.0,0.646737783637466,0.909890198701318,0.39070313012843305,0.8175183305151228,0.7696199950316115,0.5161172292562759,0.23479150868655566,0.18011529004410454,0.5497312516114135,0.6249048538683136,0.685254304767557
4,0.14095157299498962,0.5,0.2,0.9896537249621427,1.0,0.7278853711945544,0.920040591301291,0.37912936328513847,0.9836025933535877,0.7328032865871462,0.5498317616997008,0.24544022883368413,0.19326961390512323,0.6627553515575767,0.7506998566150215,0.7999364886703435
5,0.16577058263942707,0.5,0.2,1.0,1.0,0.8057267000129943,0.9333174211734564,0.3715170686282781,1.0,0.7139705372345754,0.583929921707517,0.25666442497949765,0.19245787517085078,0.751998765826727,0.849781897808937,0.890008983174511
6,0.12588553818900783,0.5,0.2,1.0,1.0,0.8900018190303366,0.946751439278896,0.36355769097352275,1.0,0.6964840323636321,0.6120464168439842,0.26833870906658236,0.19232644935158283,0.8426105031278067,0.9498286382453209,0.9803275204615375
7,0.8634995924103485,-0.2,0.65,1.0,1.0,0.8392822189056003,0.9344556063811165,0.436308619270401,0.992917859906541,0.8483305347876791,0.7113121837531508,0.28188156565097955,0.6245861348692605,0.7842719747923217,0.9040365926512598,0.7877854095999519
8,0.1010128373627345,0.5,0.2,1.0,1.0,0.9338473952510526,1.0,0.37034445403948146,1.0,0.7730983472646228,0.7218966442852064,0.29550068288017384,0.17887329533107066,0.9338473952510526,1.0,1.0
9,0.13020437047996458,0.5,0.2,1.0,1.0,1.0,1.0,0.35842832062595925,1.0,0.7333219300363014,0.7429583394681084,0.3094048428407343,0.19334402194072317,1.0,1.0,1.0
10,0.13350633506977191,0.5,0.2,1.0,1.0,1.0,1.0,0.3493414859910907,1.0,0.7094474656542268,0.7624222543753356,0.3235592394998337,0.19245948393014278,1.0,1.0,1.0
11,0.11419505175328341,0.5,0.2,1.0,1.0,1.0,1.0,0.34166146872377307,1.0,0.6919666772937374,0.778668313240281,0.33789701336964095,0.19228721234722093,1.0,1.0,1.0
12,0.8743414250031918,-0.2,0.65,1.0,1.0,0.952228001206202,0.986270242361942,0.4160334405927828,0.9920774464437082,0.847186600803864,0.8690323671800789,0.3538986905795461,0.6244642825350452,0.9391541415334684,1.0,0.8697279491250796
13,0.13101082520349455,0.5,0.2,1.0,1.0,1.0,1.0,0.3524940418878141,1.0,0.7768968828431376,0.8723576920425049,0.36980685751460074,0.17884527143546974,1.0,1.0,1.0
14,0.1789241993578901,0.5,0.2,1.0,1.0,1.0,1.0,0.34359168898415815,1.0,0.7429508046957979,0.8889739092804805,0.38588826712506435,0.1933756354816715,1.0,1.0,1.0
15,0.19562050372570122,0.5,0.2,1.0,1.0,1.0,1.0,0.337691478408225,1.0,0.7246481112862744,0.9056098152481509,0.40214158075877676,0.19254204052485477,1.0,1.0,1.0
16,0.1253506004962126,0.5,0.2,1.0,1.0,1.0,1.0,0.32953041171594605,1.0,0.702927810949376,0.9144771518025684,0.41840970798724036,0.1924156082526398,1.0,1.0,1.0
17,0.18935407039073096,0.5,0.2,1.0,1.0,1.0,1.0,0.32747437233505006,1.0,0.6992569775068543,0.92872592612372,0.43480012942984236,0.19223251890937837,1.0,1.0,1.0
18,0.8807636824295284,-0.2,0.65,1.0,1.0,0.9512198737813278,0.9859854284478939,0.4019159522416877,0.9915131351181892,0.8526224892867869,1.0,0.452452128135544,0.624676505359804,0.937888934798434,1.0,0.868044126874013
19,0.1667418968908161,0.5,0.2,1.0,1.0,1.0,1.0,0.34034843373999174,1.0,0.7855899094720474,0.9980886984201419,0.46988938082259135,0.17899088727904222,1.0,1.0,0.9995753053386253
20,0.10273693536574317,0.5,0.2,1.0,1.0,1.0,1.0,0.32634398418211763,1.0,0.7368332163653623,1.0,0.48719048701436546,0.19344026068793285,1.0,1.0,1.0
21,0.1456788328280207,0.5,0.2,1.0,1.0,1.0,1.0,0.31844903787966644,1.0,0.7134184423857995,1.0,0.5043185821442218,0.1924862956560448,1.0,1.0,1.0
22,0.16267487533654432,0.5,0.2,1.0,1.0,1.0,1.0,0.3140729970595326,1.0,0.7016649452367798,1.0,0.5212753963227795,0.19232053400800445,1.0,1.0,1.0
23,0.12962256519901003,0.5,0.2,1.0,1.0,1.0,1.0,0.30894793971790974,1.0,0.6895260526760564,1.0,0.5380626423595517,0.19222542751474225,1.0,1.0,1.0
24,0.8224335512389626,-0.2,0.65,1.0,1.0,0.9600269311860959,0.98635131324505,0.38125617362911896,0.9962421817128501,0.8379043897401564,1.0,0.5546820159359562,0.6244038743493132,0.946923824326021,1.0,0.8725277144906249
25,0.1309790189279486,0.5,0.2,1.0,1.0,1.0,1.0,0.31945114570955324,1.0,0.7711989111416652,0.9954512664971956,0.5710442211065405,0.17858650467481174,1.0,1.0,1.0
26,0.1258235047908733,0.5,0.2,1.0,1.0,1.0,1.0,0.3087518171693939,1.0,0.7315055929915852,0.999679359671662,0.5873273660889083,0.19333942897115505,1.0,1.0,1.0
27,0.17878252125228974,0.5,0.2,1.0,1.0,1.0,1.0,0.30379520476305977,1.0,0.715129053164046,1.0,0.6034540924280193,0.19244386042779582,1.0,1.0,1.0
28,0.13477805442682864,0.5,0.2,1.0,1.0,1.0,1.0,0.2979545443868058,1.0,0.6985258754967489,1.0,0.6194195515037391,0.19233704085547207,1.0,1.0,1.0
29,0.8423123274123246,-0.2,0.65,1.0,1.0,0.9569948231856963,0.9860315070289043,0.3708838170418918,0.9946002359442311,0.846404693675082,1.0,0.6352253559887017,0.6246421709184703,0.9436270477246519,1.0,0.869918049167858
30,0.16430223522504103,0.5,0.2,1.0,1.0,1.0,1.0,0.3105257849236671,1.0,0.7814102704216175,0.9979097347168732,0.6508312971231521,0.17881726663384553,1.0,1.0,1.0
31,0.1948383544107113,0.5,0.2,1.0,1.0,1.0,1.0,0.3032043648243732,1.0,0.7480955770379295,1.0,0.6663229841519206,0.1934129909928015,1.0,1.0,1.0
32,0.129302199616101,0.5,0.2,1.0,1.0,1.0,1.0,0.29384590394086413,1.0,0.7178438772701325,1.0,0.6816597543104014,0.19258537778817095,1.0,1.0,1.0
33,0.10440066030830054,0.5,0.2,1.0,1.0,1.0,1.0,0.28616141139771106,1.0,0.69562745618214,1.0,0.6968431567672974,0.19235493334261644,1.0,1.0,1.0
34,0.8973884374526182,-0.2,0.65,1.0,1.0,0.948751112823988,0.9861441011381689,0.3629570172665927,0.9902140133095046,0.852888006756277,1.0,0.7118747251996244,0.6245582738939897,0.9356053133596491,1.0,0.8679940294996196
35,0.18325705677266574,0.5,0.2,1.0,1.0,1.0,1.0,0.30334130466265163,1.0,0.7882305217619375,0.9993014454293155,0.7267420068562145,0.17900232603923913,1.0,1.0,0.9987802619616091
36,0.1790331199811263,0.5,0.2,1.0,1.0,1.0,1.0,0.29458952765451696,1.0,0.7498909196979645,1.0,0.7414745867876523,0.19346111188344772,1.0,1.0,1.0
37,0.15233726678272194,0.5,0.2,1.0,1.0,1.0,1.0,0.28665451549745236,1.0,0.7223959505745206,1.0,0.7560598409197758,0.1925991628446149,1.0,1.0,1.0
38,0.12348003870985397,0.5,0.2,1.0,1.0,1.0,1.0,0.2798639262589672,1.0,0.7012707963087023,1.0,0.7704992425105781,0.19239383876472238,1.0,1.0,1.0
39,0.11545094051128195,0.5,0.2,1.0,1.0,1.0,1.0,0.27477376833976536,1.0,0.6871591130328568,1.0,0.7847942500854723,0.19221905173213413,1.0,1.0,1.0
40,0.8304238083335816,-0.2,0.65,1.0,1.0,0.9588422563522909,0.9864394732839891,0.34863598168541277,0.9956179158799712,0.837651212260281,1.0,0.7989463075846176,0.6243381838350102,0.9458398503185855,1.0,0.8726200903631632
