t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.8622901694889702,-0.2,0.65,0.7950616792619029,0.8367280283459986,0.6731828882166545,0.6972873219999999,0.3973990641693382,0.5630687214408824,0.47291408142334557,0.3374260007960942,0.2067485200159219,0.6229613,0.3122697932230048,0.355703296481316,0.3966074770091186
1,0.874178698926073,-0.2,0.65,0.8393288495586719,0.9247749035395305,0.6074869586328545,0.7713966887731929,0.47967208818062007,0.6054381383947388,0.5661541262285031,0.4090020957602683,0.21486107673096802,0.56577968148845,0.3637331768733375,0.42479860524532914,0.4696338940864172
2,0.8795193565565698,-0.2,0.65,0.8819065319994102,1.0,0.5489701898014786,0.8329079355261413,0.5620209104642808,0.6415250100811267,0.6653769240998413,0.48448101181136266,0.22440208619988558,0.5735102646306912,0.40324437795279167,0.4825654983056124,0.4971900301721454
3,0.894245028377705,-0.2,0.65,0.9196542924395804,1.0,0.496579480252017,0.894464066194705,0.6428645930958714,0.6730963682394208,0.7304021508451587,0.5495518589316787,0.2351491025165203,0.5721018077829658,0.40848514721570744,0.5003953704983939,0.4846170491051715
4,0.1739898574739931,0.5,0.2,0.9637367908459096,1.0,0.5828414099115358,0.9779994710298496,0.6254381853122445,0.8641688778355525,0.6006777580203175,0.5593383395527868,0.24598437828241082,0.17601672078367847,0.5493478872155695,0.669601988205397,0.7698665453101236
5,0.8922324996665417,-0.2,0.65,1.0,1.0,0.5357005005599405,0.9625020593130713,0.704610030720763,0.8602235743314527,0.7743558837203626,0.6589860269738228,0.2587042550390632,0.6262732074101915,0.5156128349639858,0.6427699263833836,0.5665573643130668
6,0.10290052282836148,0.5,0.2,1.0,1.0,0.634792770859826,1.0,0.6493122940307132,1.0,0.6003704872012114,0.6575768593956582,0.27126874967658576,0.173742875349223,0.634792770859826,0.7790553334582133,0.8587877096356695
7,0.8465622654378105,-0.2,0.65,1.0,1.0,0.5962042332327033,0.9833354097962173,0.713350144686933,0.9938397791823298,0.7676704515978539,0.7483915644067416,0.28552389346795476,0.6266511084819933,0.5862687340081199,0.7326439441886609,0.6431134110231206
8,0.19433567169983137,0.5,0.2,1.0,1.0,0.6806735021982181,1.0,0.65897081787758,1.0,0.6115817749080156,0.7468639517723231,0.29960593356872167,0.17374633562039868,0.6806735021982181,0.8376638932561229,0.9033090293146842
9,0.8648974553136924,-0.2,0.65,1.0,1.0,0.638653850575552,0.9833823106275554,0.7190507496298919,0.9921356088632144,0.7754544838594182,0.8318567084957948,0.3152470084029504,0.6266161613589099,0.6280408992701718,0.7860985470666287,0.6850832295831032
10,0.19009004917506228,0.5,0.2,1.0,1.0,0.7231235588285625,1.0,0.6614322407711377,1.0,0.6143617483322587,0.8245657978054957,0.3305858542750308,0.1737395322419394,0.7231235588285625,0.890527591383194,0.9469185969613249
11,0.8113205964653145,-0.2,0.65,1.0,1.0,0.6885052550004375,0.983392293157582,0.717008892994022,0.9963616100498377,0.7683888191178633,0.8995032919063537,0.3472700615704076,0.6266087230961846,0.6770707615659259,0.8469837765960773,0.739365604998456
12,0.14690690477821639,0.5,0.2,1.0,1.0,0.7787041347667188,1.0,0.6578730966752716,1.0,0.6045785205475952,0.8862868209506781,0.363523097373717,0.1737501138395926,0.7787041347667188,0.9580051099532056,1.0
13,0.8246572832619831,-0.2,0.65,1.0,1.0,0.7412426106934471,0.9833350071803643,0.7161207922214167,0.9954461900386092,0.7661599386192524,0.9593846245124343,0.38107555889022854,0.6266514084823424,0.7288898079086328,0.9115804092472091,0.7951083557094829
14,0.15437608592359306,0.5,0.2,1.0,1.0,0.8295299905296456,1.0,0.6578982017432634,1.0,0.6047488158566141,0.9431118963330233,0.3981270412279867,0.17375136229721688,0.8295299905296456,1.0,1.0
15,0.8573941187928101,-0.2,0.65,1.0,1.0,0.7863957733837333,0.9833364067636357,0.7180967375327847,0.9928251318204881,0.7713018978394008,1.0,0.41614577081570686,0.6266503656136456,0.7732915940932706,0.967645953901237,0.8408265525542628
16,0.10131141895889023,0.5,0.2,1.0,1.0,0.8819659057089578,1.0,0.6556531061964603,1.0,0.5987927060120338,0.9781393148755056,0.4335470994050599,0.173744364603721,0.8819659057089578,1.0,1.0
17,0.8216729800463849,-0.2,0.65,1.0,1.0,0.8433989162859035,0.9833083992459546,0.7148870790137652,0.9957615466242525,0.7625407933824454,1.0,0.4512116284110093,0.6266712347995371,0.8293212382988646,1.0,0.8715925374826291
18,0.12794823660111104,0.5,0.2,1.0,1.0,0.9341179154207647,1.0,0.6557263268248551,1.0,0.5990659392717923,0.9800579477026957,0.46830067108095313,0.17375563261367058,0.9341179154207647,1.0,1.0
19,0.8916345371808553,-0.2,0.65,1.0,1.0,0.8842746892596622,0.9833101605593182,0.7191194026624258,0.9901645502889876,0.7736288178407807,1.0,0.48561766437014364,0.626669922395617,0.8695162866744597,1.0,0.8674199935163764
20,0.17657254516291418,0.5,0.2,1.0,1.0,0.9670876632143233,1.0,0.6606544938036553,1.0,0.6114624488244432,0.9820173488603939,0.5024018347036501,0.17374047864013964,0.9670876632143233,1.0,1.0
21,0.8159604212358038,-0.2,0.65,1.0,1.0,0.9281110234603518,0.9833738478384842,0.7169193862857762,0.9960319588097831,0.7678364878969659,1.0,0.5193778163566136,0.6266224672200825,0.9126801083615199,1.0,0.8696095595687344
22,0.17971469914312047,0.5,0.2,1.0,1.0,1.0,1.0,0.6597990243879347,1.0,0.6094129612598758,0.9825585062456367,0.5358352083179602,0.17375040725021754,1.0,1.0,1.0
23,0.8138767418398903,-0.2,0.65,1.0,1.0,0.9608406267344679,0.9833636710243265,0.7163879418031264,0.9962321947131236,0.7666126048891855,1.0,0.5524768562347806,0.6266300502493557,0.944855765974921,1.0,0.8700811176102803
24,0.16174525204661166,0.5,0.2,1.0,1.0,1.0,1.0,0.6584680303011153,1.0,0.6060922830511458,0.9816627572259123,0.568585342816951,0.17375171352577526,1.0,1.0,1.0
25,0.812669923255027,-0.2,0.65,1.0,1.0,0.9610186013174173,0.9833442873631778,0.7156838122953825,0.9963814418597218,0.7649682739555097,1.0,0.5848994893887814,0.6266444935581976,0.9450121516552337,1.0,0.8707116319647212
26,0.10017748622025346,0.5,0.2,1.0,1.0,1.0,1.0,0.6544389007815579,1.0,0.5958367712722897,0.978410161496078,0.6006186977248152,0.17375330030810204,1.0,1.0,1.0
27,0.8871404744724283,-0.2,0.65,1.0,1.0,0.9498433682508277,0.9833147153777713,0.7182346565697635,0.990538863486288,0.769859291437443,1.0,0.6166125107475671,0.6266665284728109,0.9339949613050262,1.0,0.8687286491366117
28,0.1209456382495118,0.5,0.2,1.0,1.0,1.0,1.0,0.6568980793541046,1.0,0.6011992633205776,0.9792671101647467,0.6320317278433862,0.17374628138327908,1.0,1.0,1.0
29,0.8215481169224733,-0.2,0.65,1.0,1.0,0.9596819329172444,0.9833128778304547,0.7154728587202623,0.9957437933150929,0.764198242941109,1.0,0.6477114105649524,0.6266678976807847,0.943667603258749,1.0,0.8709789809534187
30,0.19824211088259253,0.5,0.2,1.0,1.0,1.0,1.0,0.660222208323188,1.0,0.6106756090956839,0.9838018554600555,0.6629103335685039,0.17375345648610097,1.0,1.0,1.0
31,0.8872407765436803,-0.2,0.65,1.0,1.0,0.9498373321585231,0.9833720053726894,0.720990258086748,0.9903442371049067,0.7785225193155076,1.0,0.6782812302328189,0.6266238400929522,0.9340434421025722,1.0,0.8655892325647601
32,0.12893051677469267,0.5,0.2,1.0,1.0,1.0,1.0,0.6586858941548712,1.0,0.6062440271024799,0.9792055779677361,0.6930825294898454,0.17373568585557778,1.0,1.0,1.0
33,0.8961477988950084,-0.2,0.65,1.0,1.0,0.9484965081755772,0.9833416687362613,0.7207968983807916,0.9896978865857998,0.7779608402442436,1.0,0.708151704194947,0.6266464447704588,0.9326961391398889,1.0,0.8657907570579539
34,0.15392234688708106,0.5,0.2,1.0,1.0,1.0,1.0,0.6600930508755346,1.0,0.6098625241135449,0.9805498529385198,0.7226811842117679,0.17373553460403537,1.0,1.0,1.0
35,0.8677830477250593,-0.2,0.65,1.0,1.0,0.9527546050087545,0.983363188735925,0.7197627031674813,0.9919102322165929,0.7751577692713999,1.0,0.7374543723696502,0.6266304096159521,0.9369038064642455,1.0,0.8668425261810958
36,0.12047795145337929,0.5,0.2,1.0,1.0,1.0,1.0,0.6575955464943926,1.0,0.6034571605125203,0.9789500841772799,0.7516588303294993,0.17374007807169953,1.0,1.0,1.0
37,0.8940976001087999,-0.2,0.65,1.0,1.0,0.9488015576136271,0.983325895897292,0.7201563636228314,0.9899060453288968,0.7764198150673763,1.0,0.7661422420262043,0.6266581975545591,0.9329811416691659,1.0,0.8663782333665812
38,0.16906419411069085,0.5,0.2,1.0,1.0,1.0,1.0,0.6606968384031453,1.0,0.611527581535388,0.9814425429756454,0.7801096704654552,0.1737371130307119,1.0,1.0,1.0
39,0.8966564312317196,-0.2,0.65,1.0,1.0,0.94842522831285,0.9833735592524177,0.7217814026005608,0.9895748287429185,0.7803574843266623,1.0,0.7943085737608007,0.6266226822536438,0.9326562924507942,1.0,0.8648808036184783
40,0.18937416775764787,0.5,0.2,1.0,1.0,1.0,1.0,0.662688631014555,1.0,0.6164071472100268,0.982253290262347,0.8080105538284396,0.17373329757881972,1.0,1.0,1.0
41,0.8298788897853868,-0.2,0.65,1.0,1.0,0.9584462627457764,0.9834015594861991,0.7187202762572118,0.9948390518878273,0.7721625787624972,1.0,0.8219304482901552,0.6266018184951899,0.9425375494679158,1.0,0.8679567164960111
42,0.13611899347223844,0.5,0.2,1.0,1.0,1.0,1.0,0.6580397307371688,1.0,0.604568213479612,0.9799523824806998,0.8353101914568676,0.17374546506945526,1.0,1.0,1.0
43,0.8165956057129746,-0.2,0.65,1.0,1.0,0.9604280435306074,0.9833334425383389,0.7157168757514345,0.99608898565909,0.7649091476237856,1.0,0.8489570895422989,0.6266525743409398,0.9444210143553138,1.0,0.8707207369773425
44,0.11457019095406826,0.5,0.2,1.0,1.0,1.0,1.0,0.6553181196945486,1.0,0.5980377496699817,0.9791968865257291,0.8620514563773904,0.17375309458048258,1.0,1.0,1.0
45,0.8065139713375676,-0.2,0.65,1.0,1.0,0.9619368032418547,0.9833112784480142,0.7138171938026185,0.9969787602281365,0.7594737427744424,1.0,0.8754309418136166,0.6266690894254385,0.9458833077819441,1.0,0.872727166050784
46,0.13013591007694625,0.5,0.2,1.0,1.0,1.0,1.0,0.6553496239958535,1.0,0.5980585468841148,0.980350281835839,0.8882836380321972,0.17376001806024233,1.0,1.0,1.0
47,0.8603109997407655,-0.2,0.65,1.0,1.0,0.9538674273663702,0.9833124128056285,0.7170598499236299,0.9926751105936247,0.7678202308333248,1.0,0.9014008016518753,0.6266682441838077,0.9379496815003231,1.0,0.8695748997193247
48,0.10033831193743568,0.5,0.2,1.0,1.0,1.0,1.0,0.6551024452114582,1.0,0.5971116108977857,0.9782682481599335,0.9139521585985553,0.1737486553406743,1.0,1.0,1.0
49,0.8677934249547692,-0.2,0.65,1.0,1.0,0.9527448896795262,0.983311306938123,0.7173910450541252,0.9920786014460128,0.76807964965857,1.0,0.9268126370125698,0.6266690681966605,0.9368448226493927,1.0,0.869430629042439
50,0.13378968616278653,0.5,0.2,1.0,1.0,1.0,1.0,0.6572674539535721,1.0,0.6024047934552414,0.9800600177736715,0.9391457109979174,0.17374847106167965,1.0,1.0,1.0
51,0.8309957931603129,-0.2,0.65,1.0,1.0,0.9582660333123015,0.9833208382742233,0.7162145830238849,0.9949703518550492,0.7661888318658766,1.0,0.9517542538879383,0.6266619661311673,0.9422829591663672,1.0,0.8702349423026683
52,0.18185180746470708,0.5,0.2,1.0,1.0,1.0,1.0,0.6595912623317439,1.0,0.6090134263175893,0.9827794629704022,0.963892300608467,0.17375095685823574,1.0,1.0,1.0
53,0.848074518663004,-0.2,0.65,1.0,1.0,0.9557106336121063,0.983361594168354,0.7183410344058745,0.9935032931713041,0.7717307458806248,1.0,0.9762533776023823,0.6266315977729117,0.9398091322324486,1.0,0.8681546699114098
54,0.13157931058464442,0.5,0.2,1.0,1.0,1.0,1.0,0.6575859030492597,1.0,0.6036699479308466,0.9797348989358613,0.9880855418050757,0.17374462854738737,1.0,1.0,1.0
55,0.8481218386236864,-0.2,0.65,1.0,1.0,0.9556983071105993,0.9833283458720085,0.7173927892144729,0.993582150038801,0.7693948720524088,1.0,1.0,0.626656372009776,0.9397652354837444,1.0,0.8690388875389389
56,0.17046691341409093,0.5,0.2,1.0,1.0,1.0,1.0,0.6594679235919486,1.0,0.6086596529269779,0.9819604785368338,1.0,0.17374675171356635,1.0,1.0,1.0
57,0.805700092953579,-0.2,0.65,1.0,1.0,0.962066337546291,0.9833586695037452,0.7157402264225243,0.9968983509476171,0.7650167589099545,1.0,1.0,0.6266337770224292,0.9460562736638617,1.0,0.8706884827869016
58,0.19750995631442353,0.5,0.2,1.0,1.0,1.0,1.0,0.6603060078833923,1.0,0.6109270578944397,0.9837085323245086,1.0,0.17375371319640853,1.0,1.0,1.0
59,0.8022865563252721,-0.2,0.65,1.0,1.0,0.9625807164829384,0.9833736033467845,0.7159327122543535,0.9971368054560932,0.7654818237322072,1.0,1.0,0.6266226493976961,0.9465764676799567,1.0,0.8705132480800433
60,0.17497950222912734,0.5,0.2,1.0,1.0,1.0,1.0,0.659045934327213,1.0,0.6076454590574853,0.9824522970919048,1.0,0.17375355146118607,1.0,1.0,1.0
61,0.884488088938813,-0.2,0.65,1.0,1.0,0.9502473992132555,0.9833539705837121,0.7202669678126224,0.9906120241795013,0.7767667929126312,1.0,1.0,0.6266372783193587,0.9344295530532006,1.0,0.8662572489838466
