t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.8463007357815022,-0.2,0.65,0.7952944667177778,0.8374861587559329,0.6760479896327746,0.700255,0.16293804414689012,0.5512584411374798,0.3191439982850605,0.2584874178600949,0.20516974835720192,0.62075,0.31531116061736314,0.3332928249504008,0.3781114012078406
1,0.8373311931395042,-0.2,0.65,0.8404726867868452,0.9281914897076768,0.6175670319423573,0.7830850562499999,0.023841689631588114,0.5562608424158202,0.32860120275956833,0.26645037188634313,0.21044705831135674,0.5592153125,0.3772716980193267,0.3804198761751623,0.43355306662388793
2,0.8138539412514456,-0.2,0.65,0.8848137561691204,1.0,0.5712269960509738,0.8513524900234374,0.0,0.562491355391728,0.335143892992767,0.27376649171297557,0.21581791756250268,0.568214760546875,0.43029866676261797,0.43029866676261797,0.47370017661150643
3,0.8866561849986342,-0.2,0.65,0.9246224158978478,1.0,0.5228858258908018,0.9193382674490722,0.0,0.5627142768126672,0.3521218449631613,0.2814570706501416,0.2212888797998805,0.5668985912700195,0.44447426999751904,0.44447426999751904,0.4860784816803863
4,0.8006435054081124,-0.2,0.65,0.9616866472986713,1.0,0.4960445954911397,0.985026140427123,0.0,0.5697996712561735,0.35537209616726634,0.2878841249546294,0.22683367350097428,0.5670910810267596,0.4698963420046144,0.4698963420046144,0.5076391204472324
5,0.8502782080052209,-0.2,0.65,0.995628071500231,1.0,0.4639590488879977,1.0,0.0,0.572632281295517,0.3659016620055017,0.29448654595726287,0.2324550676851098,0.5670629293998364,0.4619306530994386,0.4619306530994386,0.5008753227845637
6,0.8898297970031939,-0.2,0.65,1.0,1.0,0.426421841275435,1.0,0.0,0.5721872539546771,0.38183798196257385,0.30116843593555265,0.23815388572696974,0.567067046575274,0.426421841275435,0.426421841275435,0.47069180344030115
7,0.8080814647183001,-0.2,0.65,1.0,1.0,0.4017099717266401,1.0,0.0,0.5782999243971075,0.3847151638226293,0.3066831478245598,0.24390600982619126,0.5670664444383662,0.4017099717266401,0.4017099717266401,0.44968686485805254
8,0.8554270468178287,-0.2,0.65,1.0,1.0,0.3702669385030217,1.0,0.0,0.5803804370507525,0.394550334472114,0.3123981704914605,0.24971491313775854,0.567066532500889,0.3702669385030217,0.3702669385030217,0.4229602646023462
9,0.8616650042683619,-0.2,0.65,1.0,1.0,0.33835985780413486,1.0,0.0,0.5818786932461661,0.4048294386612072,0.31789429689260795,0.2555756499442331,0.567066519621745,0.33835985780413486,0.33835985780413486,0.3958392492280783
10,0.8040895765484812,-0.2,0.65,1.0,1.0,0.3155676973795346,1.0,0.0,0.5879230533171751,0.40595827370889265,0.32252395430483677,0.2614703725308875,0.5670665215053198,0.3155676973795346,0.3155676973795346,0.37646591239627447
11,0.8379019604395436,-0.2,0.65,1.0,1.0,0.2880455617914177,1.0,0.0,0.5910206482878323,0.4121025245547963,0.3272576930047892,0.26740082266567444,0.567066521229847,0.2880455617914177,0.2880455617914177,0.35307209721524335
12,0.8703480392293748,-0.2,0.65,1.0,1.0,0.2560693464166335,1.0,0.0,0.5913986531544623,0.4228064746817141,0.33208812591534903,0.2733685769573247,0.5670665212701349,0.2560693464166335,0.2560693464166335,0.32589231413660474
13,0.8452020920450026,-0.2,0.65,1.0,1.0,0.22834466635042144,1.0,0.0,0.5937732136014714,0.42920333522392323,0.33642501654308943,0.2793633915186133,0.5670665212642428,0.22834466635042144,0.22834466635042144,0.3023263360817975
14,0.872506536858221,-0.2,0.65,1.0,1.0,0.19694018976317676,1.0,0.0,0.5938684360454995,0.4393760194611079,0.3408273687326952,0.2853863049780811,0.5670665212651045,0.19694018976317676,0.19694018976317676,0.27563253098242413
15,0.8157157161596627,-0.2,0.65,1.0,1.0,0.17452540342953077,1.0,0.0,0.5985031152476576,0.44052144638163454,0.3444303920277894,0.2914210497688561,0.5670665212649785,0.17452540342953077,0.17452540342953077,0.2565799625988565
16,0.8238012202466534,-0.2,0.65,1.0,1.0,0.15123401327783995,1.0,0.0,0.6023055669547692,0.4428224275691857,0.3479268167467339,0.2974653756061022,0.5670665212649969,0.15123401327783995,0.15123401327783995,0.23678228096991474
17,0.8110947527978015,-0.2,0.65,1.0,1.0,0.1301979640957524,1.0,0.0,0.6069724379895046,0.4431023895800313,0.35111017466931305,0.30351292534342744,0.5670665212649942,0.1301979640957524,0.1301979640957524,0.21890163916514097
18,0.8506269051668983,-0.2,0.65,1.0,1.0,0.10354763279603163,1.0,0.0,0.6082900619933228,0.44929817634569896,0.35453328598154327,0.309568461809624,0.5670665212649946,0.10354763279603163,0.10354763279603163,0.19624885756037824
