t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.8361522774914075,-0.2,0.65,0.7954063589006342,0.8376688310051545,0.6775702583762888,0.700255,0.39982913664948444,0.5520703178006874,0.49991284162371113,0.3369234708284947,0.2067384694165699,0.62075,0.31613455415057734,0.36037448619846063,0.4011308132686915
1,0.8480480665601294,-0.2,0.65,0.8405831211672598,0.9283584503170722,0.6174589356416251,0.7830850562499999,0.4929535172268551,0.5561828941388495,0.684230247026545,0.4132308393926769,0.21493570151025773,0.5592153125,0.37732308480283766,0.4424240444273937,0.46098753553032107
2,0.8416952626605665,-0.2,0.65,0.8844636119621181,1.0,0.5654904701545909,0.8421073793344328,0.5846396791733486,0.5598447797869934,0.8316471662615739,0.48986191768115545,0.22458358284877827,0.5751035514691369,0.42118484263939626,0.5073693225850772,0.46799388645155915
3,0.14467592537839233,0.5,0.2,0.9341856804736836,1.0,0.646737783637466,0.909890198701318,0.6006134659202467,0.726371150063037,0.7696690723052312,0.5092611542354211,0.23452297010499892,0.18011529004410454,0.5497312516114135,0.6652928489356656,0.719446684208671
4,0.14095157299498962,0.5,0.2,0.9896537072306777,1.0,0.7278851495512421,0.9200389100155767,0.6170168245867923,0.8858766776366336,0.7341946174246614,0.5395976682873008,0.24496969376969494,0.193270011685655,0.6627539267507899,0.80587953992896,0.8430183558734454
5,0.16577058263942707,0.5,0.2,1.0,1.0,0.8057195521800826,0.9332647106758803,0.6182692523939672,1.0,0.7162822394478726,0.5740734105849516,0.256001465043697,0.19246996026164728,0.7519496247512447,0.9146671910677514,0.9408111000290217
6,0.12588553818900783,0.5,0.2,1.0,1.0,0.8899777551431491,0.9466177204086913,0.6170873491778843,1.0,0.699263503465602,0.60255709742817,0.2674925923418234,0.19234598949848092,0.8424687137880523,1.0,1.0
7,0.8634995924103485,-0.2,0.65,1.0,1.0,0.8392269947082351,0.9342244317157715,0.6947770969189768,0.9822296044663774,0.8576172526541447,0.7015476231918941,0.28084861888224305,0.6246617410421418,0.7840263622118357,0.9746796081577557,0.8260716364935181
8,0.1010128373627345,0.5,0.2,1.0,1.0,0.9337800749070241,1.0,0.6152607405066223,1.0,0.780015123226794,0.7111077921652397,0.29426228853672537,0.17913178552354803,0.9337800749070241,1.0,0.9981603685497504
9,0.13020437047996458,0.5,0.2,1.0,1.0,1.0,1.0,0.5406244548714433,1.0,0.7375466998229141,0.7325965220705132,0.3079715960927684,0.19339015902145892,1.0,1.0,1.0
10,0.13350633506977191,0.5,0.2,1.0,1.0,1.0,1.0,0.46798053759968417,1.0,0.7120287712557463,0.7527194783651439,0.3219462696991436,0.1924944508608577,1.0,1.0,1.0
11,0.11419505175328341,0.5,0.2,1.0,1.0,1.0,1.0,0.39597913886925457,1.0,0.6935437887450879,0.7695738752349052,0.3361182845068503,0.19230817096741853,1.0,1.0,1.0
12,0.8743414250031918,-0.2,0.65,1.0,1.0,0.9522192273701259,0.9862144491729172,0.40596237227291937,0.9905959915710334,0.8481536275573315,0.860392393728621,0.3519649495363542,0.6245058556029087,0.9390923608126895,1.0,0.8694274478320735
13,0.13101082520349455,0.5,0.2,1.0,1.0,1.0,1.0,0.4254836456147308,1.0,0.7774898612951334,0.8642366655750944,0.36773003335249255,0.17887103920530867,1.0,1.0,1.0
