t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.8259008491715474,-0.2,0.65,0.7954626160578184,0.8373830361117122,0.6786412862642679,0.6972873219999999,0.2860436691884502,0.5886687406248694,0.3736978146541272,0.31507471031228496,0.20630149420624572,0.6229613,0.3152070909458871,0.3467641384428198,0.3890091926763968
1,0.8685257992964537,-0.2,0.65,0.8402526187057001,0.9261670210313195,0.6137114156541965,0.7713966887731929,0.2704192141737595,0.625239816540329,0.3772928691316979,0.3807524307767294,0.21385352787971784,0.56577968148845,0.3684182702837558,0.40328785298184194,0.4513497546624531
2,0.8684081918016111,-0.2,0.65,0.8834402657995741,1.0,0.5567679546807442,0.8329079355261413,0.25579676073612484,0.6599709288616455,0.3905341864230275,0.4441752603437255,0.22259849780779517,0.5735102646306912,0.40968345061725997,0.4463619454755426,0.4860300874965384
3,0.8849336161389931,-0.2,0.65,0.9218850866620821,1.0,0.5055803106187698,0.8939764556751525,0.24244778412731072,0.6920430189727209,0.4042614531034825,0.5066346137846744,0.2325052051054107,0.5724651400386507,0.41667075822914584,0.4520280739443019,0.49110757784299397
4,0.8185724173873736,-0.2,0.65,0.9570822677389249,1.0,0.47219321720967533,0.953023296356686,0.22546476189240988,0.7281266688059478,0.4075280919302451,0.561798554777661,0.24341612414990982,0.5726064340901846,0.43069767891667,0.4646851812852662,0.5018307955699302
5,0.8230558608965468,-0.2,0.65,0.9895178395799935,1.0,0.4442725732144068,1.0,0.20917379366094346,0.7624092522669794,0.41127959196387154,0.615281058784649,0.25528758408410374,0.5725873320528286,0.4396156368317643,0.4718002615098344,0.5078833892701521
6,0.8147159918168418,-0.2,0.65,1.0,1.0,0.41802159011745854,1.0,0.1927899140881844,0.795987592792382,0.41359582499648806,0.66615746724777,0.2680578575882181,0.5725899145241159,0.41802159011745854,0.4462282113734714,0.48614650103642176
7,0.8225162935562114,-0.2,0.65,1.0,1.0,0.39099434396272575,1.0,0.17728362167843997,0.8275987930142854,0.41696584707312634,0.7157492043844378,0.2816922631000247,0.572589565390784,0.39099434396272575,0.41525525663644997,0.4598195767932864
8,0.8734023602212774,-0.2,0.65,1.0,1.0,0.3567395941405262,1.0,0.16521815435488763,0.8538746575340795,0.427800338148025,0.7674274649820784,0.29622388976866604,0.572589612591341,0.3567395941405262,0.3773685442057495,0.4276158594270518
9,0.8130213022759757,-0.2,0.65,1.0,1.0,0.33205582457651533,1.0,0.14982886120708125,0.8839373607549544,0.42903593785193883,0.8126144393581425,0.3115139396581422,0.5725896062101326,0.33205582457651533,0.3494688656952325,0.40390113428841445
