t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.8106828537701656,-0.2,0.65,0.7951594948429456,0.8337537024535507,0.6770508891002711,0.6726581402121007,0.3999460266816598,0.5652237120387307,0.49856001124869964,0.3367647540761882,0.20673529508152377,0.6413131931931233,0.30193102376616365,0.3441956634166847,0.38223801560590126
1,0.8702585523986855,-0.2,0.65,0.8378632527916767,0.9081293501148384,0.5971224028533145,0.671860991636315,0.4994345036337515,0.5953556301184673,0.6938282152588855,0.42225861665576436,0.21511311446382383,0.6221451809401507,0.30525560525187695,0.358614918843514,0.3711379212042836
2,0.8652042020314276,-0.2,0.65,0.8764951017773118,0.9623999059617141,0.5188825031314417,0.6699704406456407,0.5961991111677308,0.6224781643308865,0.8597261821909818,0.5052769001663735,0.22506752132251306,0.6229777250367177,0.2932444042714541,0.3544356228849972,0.3176079935357736
3,0.1940352389566118,0.5,0.2,0.9199534835517746,1.0,0.5669476037640309,0.6940611699726295,0.6157701939237951,0.8085715434989311,0.8326560700153152,0.5313670683880042,0.235444187477048,0.1916743274732592,0.3619983077560456,0.4400160266145047,0.5031441809646606
4,0.12711152265603232,0.5,0.2,0.9673179975523508,1.0,0.6239227031731608,0.6930663502431662,0.6296292027438853,0.9761213224400592,0.8041681167523014,0.5627387790496506,0.24634452118327052,0.19743840330369505,0.418287484756002,0.5104655901966353,0.5673598752667488
5,0.12557755134330392,0.5,0.2,1.0,1.0,0.6802003975275723,0.6924269676793605,0.6415772404863315,1.0,0.7835741980429916,0.5925513556120425,0.25773210308367867,0.19736137036037324,0.4709890986743125,0.576750658853626,0.6275100099253249
6,0.17340593641446966,0.5,0.2,1.0,1.0,0.728384670942198,0.6918024152697211,0.6548322501744152,1.0,0.7764036929813516,0.6245613188324127,0.2696460084294901,0.19736239985313692,0.5038982746032536,0.6193873689593625,0.6632511057228854
7,0.16584500182400758,0.5,0.2,1.0,1.0,0.7769076302099104,0.6911966575848324,0.665899836124134,1.0,0.7707910595316189,0.653683288283157,0.28202321411085834,0.19736238609466808,0.536995957253243,0.6621508892302329,0.6990703742377185
8,0.1302987973888355,0.5,0.2,1.0,1.0,0.8299641654569081,0.6906090718533224,0.6733870001491513,1.0,0.7618595698560634,0.6776494713857405,0.29475597139746457,0.19736238627854064,0.5731807819777126,0.7082711525394034,0.7394546121022084
9,0.16842331280769557,0.5,0.2,1.0,1.0,0.8764377803845932,0.6900391137041441,0.6821823076645566,1.0,0.7616006682091714,0.7034066320992314,0.30787654432547457,0.1973623862760833,0.6047763491934119,0.7491750531232096,0.7725415365900445
