t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.8905639676174522,-0.2,0.65,0.7946578124509774,0.835445186182886,0.6681738848573823,0.692404,0.38456183805704713,0.5474248825906038,0.5087765951426179,0.3438212438204534,0.2068764248764091,0.6266,0.30714764089909213,0.34848868236775643,0.38956538001259294
1,0.8686254157026703,-0.2,0.65,0.8381979959214437,0.9202519990704372,0.6005155476691211,0.752020612,0.42117334104778115,0.549203464030766,0.6978341137408876,0.4263029252723273,0.21533371913309154,0.5766878,0.34834324076677964,0.39969275105758434,0.4162166542766804
2,0.8766509256362645,-0.2,0.65,0.8793470647255378,0.9886745605369349,0.5369820418946781,0.7931524844497491,0.4537937722110764,0.5496468195706978,0.8136082859905266,0.5080132857043823,0.22534064765584827,0.5891286369587273,0.3702798922595573,0.4290906404383887,0.40336239933579054
3,0.19046162378132736,0.5,0.2,0.9257511916334406,1.0,0.604304160984823,0.8488514892025167,0.3997823543221607,0.7127579314668259,0.6932420857891323,0.5289856064315637,0.23566695330792106,0.18332170837075862,0.474877485090375,0.5413241587417809,0.6363224821010844
4,0.8259827447488978,-0.2,0.65,0.9671823700461226,1.0,0.5508430785897961,0.8314871294507987,0.47101730178707607,0.7086414308262253,0.8097389280002382,0.6194092731888441,0.2476984692386187,0.6305512760403145,0.4429878344314774,0.5160170615059224,0.468055004869884
5,0.16357258696059893,0.5,0.2,1.0,1.0,0.6271551481495604,0.8913638629455258,0.4112935507094019,0.8676069068655664,0.6880127420539829,0.6362350559322513,0.2599461856648776,0.1820611954152403,0.5590234355207657,0.6394963923245522,0.7216528120058645
6,0.890494569466648,-0.2,0.65,1.0,1.0,0.5686182532817645,0.8726941537974314,0.4867297511400848,0.8521343843523649,0.8180064594095655,0.7326979492487699,0.2740006827932042,0.630573613624941,0.496229825381503,0.5807652621771824,0.5206051316215001
7,0.18721303740697107,0.5,0.2,1.0,1.0,0.6458099050139121,0.9305441087960077,0.427259041728685,1.0,0.6938134882430715,0.7491104034870213,0.28824288403501264,0.18224823826202702,0.6009546025128052,0.6908217531700275,0.7634923841560951
8,0.8572940669249223,-0.2,0.65,1.0,1.0,0.5965119526310375,0.9105597791128419,0.4997435333029286,0.9818826073835377,0.8146050332942923,0.840756925497385,0.3041755937046102,0.6306773452493721,0.5431597918258876,0.638163999556191,0.5703885533221316
9,0.11693780871255699,0.5,0.2,1.0,1.0,0.6882787001590112,0.9676125221807431,0.436037834791247,1.0,0.682344201186022,0.8450107385844272,0.3200340525392527,0.18216809074732973,0.6659870890241443,0.767625537928099,0.832236424196245
10,0.8411523062040958,-0.2,0.65,1.0,1.0,0.6451295406734324,0.9468328038262234,0.5084126707788049,0.9831857459919464,0.8090587470789828,0.9296438149126607,0.3374265883121134,0.6304413902345205,0.6108298118269496,0.7195235774347385,0.6412670691372028
11,0.19938380127773297,0.5,0.2,1.0,1.0,0.7276925831572246,1.0,0.44997677978433015,1.0,0.6931992980176565,0.9352849901526361,0.354758022232045,0.18204888428892707,0.7276925831572246,0.8422982509919348,0.8924815028656158
12,0.8103247799911181,-0.2,0.65,1.0,1.0,0.6922947495724595,0.9779211844438449,0.5191531017252642,0.9856397476287102,0.807394775396236,1.0,0.3732104420097246,0.6306853994400088,0.6770097014861546,0.8000247917347759,0.7101312904956865
13,0.13191391488492898,0.5,0.2,1.0,1.0,0.7842730332729527,1.0,0.456531824982874,1.0,0.6826241753653564,0.9959443156292663,0.39139722390221265,0.18200415646361134,0.7842730332729527,0.9095889929806871,0.9528623523080743
14,0.89500391079535,-0.2,0.65,1.0,1.0,0.7353711476754677,0.9782170347845325,0.5316162687274423,0.9788764394831401,0.8172149083357054,1.0,0.40948325166319055,0.6304649530646396,0.7193525835451946,0.8531994212725044,0.7524387973147573
15,0.14494007558523256,0.5,0.2,1.0,1.0,0.8247379025414874,1.0,0.4685713462410389,1.0,0.6872570363829777,0.9969589599229022,0.4273275983450167,0.18223333162127017,0.8247379025414874,0.9599948947929438,0.9942602167537913
16,0.8208652572332443,-0.2,0.65,1.0,1.0,0.7863341864157183,0.9781174806581105,0.5384505237492173,0.9848038227397073,0.8073538844443106,1.0,0.44505432236156656,0.6305391336326652,0.7691272133722874,0.9140751461768168,0.8071229255088348
17,0.1316903983245593,0.5,0.2,1.0,1.0,0.8769352437817622,1.0,0.4753514399801059,1.0,0.682579996762335,0.995928626453286,0.4625223516670166,0.18200740178072786,0.8769352437817622,1.0,1.0
18,0.8908635844896113,-0.2,0.65,1.0,1.0,0.827264746033572,0.9782187648321824,0.5497207593050032,0.9792077300429471,0.8165817764741935,1.0,0.47989712815034646,0.6304636639576784,0.8092458980541699,0.964946642394149,0.8476141971033491
19,0.1335568810468474,0.5,0.2,1.0,1.0,0.9169612927885489,1.0,0.4855993561801491,1.0,0.6853768915590411,0.9960403211185996,0.497018963291215,0.1822189979498494,0.9169612927885489,1.0,1.0
20,0.84273717931861,-0.2,0.65,1.0,1.0,0.8739015740161119,0.978169221126663,0.5565420399602445,0.9830559966364945,0.8101224072619733,1.0,0.5140487736583028,0.6305005803603391,0.854823621996705,1.0,0.8793381327313233
21,0.1627683837099743,0.5,0.2,1.0,1.0,0.9585242257545171,1.0,0.46007368238797597,1.0,0.6879968685448858,0.9981397841706544,0.5308710816051329,0.1820713418971417,0.9585242257545171,1.0,1.0
22,0.8805585070264665,-0.2,0.65,1.0,1.0,0.9091527502957845,0.9780731135241526,0.533694646184021,0.9800267097965396,0.8165115937003128,1.0,0.5475623707890815,0.6305721928268639,0.8892178611508443,1.0,0.8774034736831903
23,0.1492113585806884,0.5,0.2,1.0,1.0,0.995273038058591,1.0,0.4709091493372252,1.0,0.6877055553557556,0.9973064975308042,0.5640328770318068,0.18221434391306654,0.995273038058591,1.0,1.0
24,0.808146598343807,-0.2,0.65,1.0,1.0,0.9562166477663788,0.9781019266514365,0.5399268839425804,0.985820735964561,0.8055685765006682,1.0,0.5803925482614888,0.6305507233586928,0.9352773454764731,1.0,0.8806917462101265
25,0.1573209943195003,0.5,0.2,1.0,1.0,1.0,1.0,0.4784939616073571,1.0,0.6859376501893211,0.9980202468097191,0.5965490277150682,0.18196654488513034,1.0,1.0,1.0
26,0.8035097153498353,-0.2,0.65,1.0,1.0,0.9615705991587254,0.9781169430892797,0.547234459691311,0.9861922460625003,0.8043943669564229,1.0,0.6125835374379176,0.630539534190258,0.9405284950136596,1.0,0.8810468063655087
27,0.1094524972764786,0.5,0.2,1.0,1.0,1.0,1.0,0.4828572443075379,1.0,0.6784371789909895,0.9941325182321884,0.6283403524281822,0.18194021101069607,1.0,1.0,1.0
28,0.8190337540607325,-0.2,0.65,1.0,1.0,0.9592750951565664,0.9783274388425791,0.5531226014260263,0.9849581652797084,0.8046790239857167,1.0,0.6440569489039004,0.6303826879086629,0.938485146989995,1.0,0.8810006208271194
29,0.16934382227393258,0.5,0.2,1.0,1.0,1.0,1.0,0.47569999974683,1.0,0.687499049414918,0.9988608104242033,0.6595935956233454,0.1819511633140391,1.0,1.0,1.0
30,0.8283472421057996,-0.2,0.65,1.0,1.0,0.9578376079057558,0.9780701263011969,0.5458565175654849,0.9842034996970181,0.8085457599007406,1.0,0.674997659667112,0.6305744186903577,0.9368323501404189,1.0,0.8797926673571885
31,0.169024981004583,0.5,0.2,1.0,1.0,1.0,1.0,0.4846978626240411,1.0,0.6885051164792464,0.9989550881701678,0.6902267848338443,0.1820334512946581,1.0,1.0,1.0
32,0.8163349446832814,-0.2,0.65,1.0,1.0,0.959636784505328,0.9780531602902887,0.5538063136441391,0.9851638513983232,0.8070170704167234,1.0,0.7053245169855058,0.6305870605402895,0.9385757898162467,1.0,0.8802481137399107
33,0.111769688804215,0.5,0.2,1.0,1.0,1.0,1.0,0.4690659381731641,1.0,0.6794998689067695,0.9941527438792664,0.7201543266932361,0.18199838811351637,1.0,1.0,1.0
34,0.8023344727363835,-0.2,0.65,1.0,1.0,0.9617765355059336,0.9783054883892105,0.5385689471705934,0.9862932899907755,0.8024630207720391,1.0,0.7349527834263038,0.630399043806282,0.9409112632894152,1.0,0.8816613328168179
35,0.1705783711626825,0.5,0.2,1.0,1.0,1.0,1.0,0.4782695619647253,1.0,0.6870798197907174,0.9991179498942951,0.7495856145899267,0.18190040423220355,1.0,1.0,1.0
36,0.8859112641522033,-0.2,0.65,1.0,1.0,0.9492037438973425,0.9780748275314496,0.5518600507363234,0.9795985530842228,0.8170667508469664,1.0,0.7640897584440274,0.6305709156720188,0.9283922881045995,1.0,0.8772372458279054
37,0.12196656135762565,0.5,0.2,1.0,1.0,1.0,1.0,0.4771171889731767,1.0,0.6837702448095456,0.995019216675694,0.778349245193101,0.1822269823101741,1.0,1.0,1.0
38,0.8237569369793032,-0.2,0.65,1.0,1.0,0.9585491465933121,0.9782163392280779,0.547282176598691,0.984576171474494,0.8068373632066611,1.0,0.79256575274117,0.6304654713432359,0.937668437150708,1.0,0.8803324232021927
39,0.10129800870945212,0.5,0.2,1.0,1.0,1.0,1.0,0.4821940558557563,1.0,0.6778805230197749,0.993461936004104,0.8065093339338404,0.18199778039632078,1.0,1.0,1.0
40,0.8644858446848934,-0.2,0.65,1.0,1.0,0.952461093179505,0.9783516770710485,0.5552490865019859,0.9813229010589218,0.8113443731971617,1.0,0.820444240594502,0.6303646273257378,0.931841907857093,1.0,0.8790055312094172
41,0.130074607789068,0.5,0.2,1.0,1.0,1.0,1.0,0.4635747037056902,1.0,0.6834265244951931,0.9955567271009654,0.8341509327305764,0.182102938029995,1.0,1.0,1.0
42,0.8136872304192038,-0.2,0.65,1.0,1.0,0.9600583417690278,0.9782083216955932,0.5335189866328077,0.9853814492949009,0.8052348196283332,1.0,0.8478094234032706,0.6304714454312547,0.939137059231735,1.0,0.8808116927536864
43,0.1646873558579816,0.5,0.2,1.0,1.0,1.0,1.0,0.47272705709190926,1.0,0.6869518531095026,0.9986223195042342,0.8613037755593226,0.18196123692629518,1.0,1.0,1.0
44,0.8599733551750283,-0.2,0.65,1.0,1.0,0.9530963765080144,0.9780872039058925,0.544905473916814,0.9816740469015593,0.8131404068584722,1.0,0.8746907378037294,0.6305616936887696,0.9322113699515616,1.0,0.8784174545202661
45,0.14473885514326743,0.5,0.2,1.0,1.0,1.0,1.0,0.4818865178943915,1.0,0.6861153117266123,0.9969608003843194,0.8878830464333785,0.1821381133611232,1.0,1.0,1.0
46,0.8153013288396822,-0.2,0.65,1.0,1.0,0.959804930483385,0.9781364866380813,0.5512153570336495,0.9852496451055932,0.8062093301014954,1.0,0.9010042159690447,0.6305249717446473,0.938820222560926,1.0,0.8805059580333896
47,0.16386706625953512,0.5,0.2,1.0,1.0,1.0,1.0,0.4834214001253739,1.0,0.6870943981587916,0.9984937278453331,0.9139640483662609,0.18198182577047892,1.0,1.0,1.0
48,0.8555689311271945,-0.2,0.65,1.0,1.0,0.953756863762012,0.978086082468692,0.5550527620608336,0.9820263590446727,0.8125183306883175,1.0,0.9268244078825983,0.6305625293030381,0.9328563145046123,1.0,0.8786038684677453
49,0.14329010185355703,0.5,0.2,1.0,1.0,1.0,1.0,0.4650837295727201,1.0,0.6857283407725375,0.9966229005532369,0.939488621814837,0.1821239684054857,1.0,1.0,1.0
50,0.816467158798706,-0.2,0.65,1.0,1.0,0.9596314770328905,0.9781455231119859,0.5349401555625991,0.9851567153753618,0.8062789144381713,1.0,0.9520937355966888,0.6305182384148367,0.9386592330970643,1.0,0.8804867660648394
51,0.19288342200720793,0.5,0.2,1.0,1.0,1.0,1.0,0.4757026152854268,1.0,0.6914658519181311,1.0,0.9645727982407218,0.1819835976561984,1.0,1.0,1.0
52,0.886317055762585,-0.2,0.65,1.0,1.0,0.9491250413921122,0.9779614218855045,0.5489638089311019,0.9795618646692328,0.8183219884697084,1.0,0.9769270702583146,0.6306554173952106,0.9282076750269683,1.0,0.8768395491102849
53,0.1689802878537686,0.5,0.2,1.0,1.0,1.0,1.0,0.48680592534070793,1.0,0.6911643519431236,0.9988956840586801,0.9891357132369051,0.18225309898530942,1.0,1.0,1.0
54,0.8996002337185831,-0.2,0.65,1.0,1.0,0.9471399674917205,0.9780084965545566,0.5605867606513663,0.9785009642654745,0.8202288509713241,1.0,1.0,0.6306203407407776,0.9263109356333091,1.0,0.8762762595234085
55,0.15803614886742062,0.5,0.2,1.0,1.0,1.0,1.0,0.441432807352668,1.0,0.6900428972463053,0.9975182727303166,1.0,0.18229737628278952,1.0,1.0,1.0
56,0.8344777444184002,-0.2,0.65,1.0,1.0,0.9569143825993566,0.9780469160566636,0.512540662912184,0.9837121947818452,0.8101542495145015,1.0,1.0,0.6305917132936593,0.935907160831567,1.0,0.8793057968222349
57,0.11163484670728785,0.5,0.2,1.0,1.0,1.0,1.0,0.44861992854213667,1.0,0.6803352111756515,0.9942876930719776,1.0,0.1820694733386908,1.0,1.0,1.0
58,0.8607685700445123,-0.2,0.65,1.0,1.0,0.9530092811560166,0.9782918816063289,0.5220548341104972,0.981618055266373,0.8114548944362613,1.0,1.0,0.6304091826013216,0.9323212428504143,1.0,0.8789612360187913
59,0.15194882615908717,0.5,0.2,1.0,1.0,1.0,1.0,0.4602116400114346,1.0,0.6867376471757412,0.9975563245957414,1.0,0.18210418128406247,1.0,1.0,1.0
60,0.8436437101455969,-0.2,0.65,1.0,1.0,0.955550009189121,0.9781138223880643,0.5317283466771745,0.9829814102127452,0.8106307444007466,1.0,1.0,0.6305418595121417,0.9346366719709212,1.0,0.8791753118017407
61,0.19926348490441298,0.5,0.2,1.0,1.0,1.0,1.0,0.47254608630097583,1.0,0.6936096285761488,1.0,1.0,0.18208170710237837,1.0,1.0,1.0
62,0.8839482546456112,-0.2,0.65,1.0,1.0,0.9494729240425631,0.9779141264045348,0.5455339052193511,0.9797496066992117,0.8185497169423365,1.0,1.0,0.6306906585827885,0.9285029850598423,1.0,0.876762420271602
63,0.11148314459915483,0.5,0.2,1.0,1.0,1.0,1.0,0.4799872928161562,1.0,0.6826017686036439,0.9942419858271251,1.0,0.18225727782783163,1.0,1.0,1.0
64,0.8884213665824228,-0.2,0.65,1.0,1.0,0.9488554261307612,0.9782541372312106,0.5540662676391004,0.9794044253237857,0.8162181593494366,1.0,1.0,0.6304373069924111,0.9282217462467005,1.0,0.8775252254470663
65,0.10019998014719779,0.5,0.2,1.0,1.0,1.0,1.0,0.46641040256921734,1.0,0.6802742786947458,0.9931760179536974,1.0,0.18221148873598536,1.0,1.0,1.0
66,0.8651466226565514,-0.2,0.65,1.0,1.0,0.9523560724034341,0.9783141327783841,0.5396542001688435,0.9812686400559867,0.8120931609616384,1.0,1.0,0.6303926026297865,0.9317034050695936,1.0,0.878773901054062
67,0.1315326725484937,0.5,0.2,1.0,1.0,1.0,1.0,0.47608818892481997,1.0,0.6838493507646265,0.9958973580981708,1.0,0.18211913685591677,1.0,1.0,1.0
68,0.8729784953609823,-0.2,0.65,1.0,1.0,0.9511631172138328,0.9781985617499007,0.5492359850266194,0.9806377844791136,0.8142435451514155,1.0,1.0,0.6304787178401582,0.9304263932481235,1.0,0.8781072569945358
69,0.19525361095175514,0.5,0.2,1.0,1.0,1.0,1.0,0.4890449272339596,1.0,0.6939936590737951,1.0,1.0,0.1821655020012477,1.0,1.0,1.0
70,0.8530348537538243,-0.2,0.65,1.0,1.0,0.9541100821771721,0.9779150675480466,0.5597209715610428,0.9822227138341741,0.814016310890246,1.0,1.0,0.6306899573103971,0.9330386254605615,1.0,0.878122617405327
71,0.17629183137824656,0.5,0.2,1.0,1.0,1.0,1.0,0.44682558337669487,1.0,0.6910867027235922,0.9990542889106923,1.0,0.18215436730407322,1.0,1.0,1.0
72,0.8054359472064847,-0.2,0.65,1.0,1.0,0.9612627440508363,0.9779966279266762,0.5159735337230656,0.9860336650040893,0.8060843039428836,1.0,1.0,0.6306291843878418,0.9401117222332616,1.0,0.8805174127201746
73,0.16673448396034196,0.5,0.2,1.0,1.0,1.0,1.0,0.45564856377150426,1.0,0.6874900557766002,0.9987815427225385,1.0,0.18197600931642063,1.0,1.0,1.0
74,0.8117545850113623,-0.2,0.65,1.0,1.0,0.9603271067082676,0.97807394324184,0.5253090745605394,0.9855310544700424,0.8060540917611033,1.0,1.0,0.6305715745809751,0.9392709200601826,1.0,0.8805408788264253
75,0.14552236613428232,0.5,0.2,1.0,1.0,1.0,1.0,0.46348640896419324,1.0,0.684300196098802,0.9970582445817592,1.0,0.18197697002634838,1.0,1.0,1.0
