t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.8134364244112402,-0.2,0.65,0.7958830914939179,0.8399440679605976,0.6828295663383139,0.7120314999999999,0.22453992502254477,0.5601204729286032,0.49545246366168605,0.29531734510606295,0.20590634690212128,0.611975,0.32502081147457923,0.35056386349832325,0.3949855339735747
1,0.8847433736937234,-0.2,0.65,0.8419663523340658,0.9370768926234404,0.6239016720604308,0.8288205660625,0.07269017400610453,0.5700031306547886,0.6824291369076603,0.3223583544950596,0.21229445052300128,0.533648253125,0.40798728957810504,0.418367123053204,0.44747125024167533
2,0.8763774618976614,-0.2,0.65,0.8866507711348863,1.0,0.5757989260728943,0.9108963930374623,0.0,0.579812577109378,0.7975852345177845,0.3546770707076601,0.21926504743192446,0.5569033757295252,0.46504226909108,0.46504226909108,0.4467845144397013
3,0.12550690257394218,0.5,0.2,0.9382724491045618,1.0,0.6708929942087339,1.0,0.0,0.753566673167305,0.6524137038992844,0.35860428288992474,0.22624448261540372,0.17385825173951275,0.6294804127633213,0.6294804127633213,0.7258696767441596
4,0.8495435087091942,-0.2,0.65,0.9860882438708474,1.0,0.6329985187856755,0.9940361001344077,0.0,0.75197180606713,0.8011257356344704,0.4154722940203113,0.2342914836696559,0.6186777243935442,0.6204697768050965,0.6204697768050965,0.5623921584956049
5,0.14494910647887382,0.5,0.2,1.0,1.0,0.7244568437395253,1.0,0.0,0.9145829001336397,0.6478191181902645,0.41414493644906214,0.24223146756194058,0.1710866258506774,0.7244568437395253,0.7244568437395253,0.8086709252588478
6,0.8651592972722764,-0.2,0.65,1.0,1.0,0.6833427006759207,0.9935665382411766,0.0,0.9053351124622062,0.8025076230793486,0.4736225188809623,0.2512816032639404,0.6190276081122299,0.678946441542951,0.678946441542951,0.6115952863596462
7,0.17887233511355133,0.5,0.2,1.0,1.0,0.768955694059575,1.0,0.0,1.0,0.6528824663046139,0.4700064218383683,0.2601689156680683,0.17112031678348374,0.768955694059575,0.768955694059575,0.8449675208633836
8,0.8093859586774236,-0.2,0.65,1.0,1.0,0.7355065901351612,0.9933536445520249,0.0,0.9917616585369535,0.7955250739635116,0.5247587226862119,0.27006240096511186,0.6191862411629926,0.7306181519027948,0.7306181519027948,0.6575713466375739
9,0.10283474765220063,0.5,0.2,1.0,1.0,0.8317557795665736,1.0,0.0,1.0,0.6411174090952889,0.5168640928913929,0.2796990588132886,0.17085999137459906,0.8317557795665736,0.8317557795665736,0.9019421920593512
10,0.883576510391987,-0.2,0.65,1.0,1.0,0.7863068570718283,0.99380364511958,0.0,0.9858988933731893,0.8034206866336563,0.5735154957124828,0.29037237813940536,0.6188509331359645,0.7814346207405036,0.7814346207405036,0.69848048835534
11,0.14327670679050536,0.5,0.2,1.0,1.0,0.8757126674625013,1.0,0.0,1.0,0.6475234523336185,0.5631878914812982,0.3007324121876373,0.1711616146934763,0.8757126674625013,0.8757126674625013,0.9373083279696715
12,0.8762280082457943,-0.2,0.65,1.0,1.0,0.8306742760500401,0.9935976699026,0.0,0.9864585876464844,0.8040912528144875,0.616377191764795,0.3120526319010568,0.6190044110393312,0.825356025131349,0.825356025131349,0.7355741427574676
13,0.10021060533511107,0.5,0.2,1.0,1.0,0.9258736338580038,1.0,0.0,1.0,0.6411712195388283,0.6027098334075324,0.3229863022501969,0.17117874502038175,0.9258736338580038,0.9258736338580038,0.9818465366625593
14,0.8445387194054802,-0.2,0.65,1.0,1.0,0.8848805067405445,0.9938792830182398,0.0,0.9890450627858498,0.7975895977285326,0.6521291970457063,0.3347990231686091,0.6187945732191182,0.8794644035961091,0.8794644035961091,0.7835692204333534
15,0.17215400323407826,0.5,0.2,1.0,1.0,0.9684865407214036,1.0,0.0,1.0,0.651527580633133,0.6377750640734545,0.3462065342183921,0.17095315865842103,0.9684865407214036,0.9684865407214036,1.0
16,0.8228762221270454,-0.2,0.65,1.0,1.0,0.9300238758973245,0.9933723485138146,0.0,0.9906796101932144,0.7971710506224786,0.6832173110692794,0.35840881509759376,0.6191723043171806,0.9238600017740457,0.9238600017740457,0.8213366102419
17,0.19452706955539223,0.5,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6549535438845586,0.6674854222700338,0.3701744353920185,0.17092026714232067,1.0,1.0,1.0
18,0.8901427457611484,-0.2,0.65,1.0,1.0,0.9509499070237055,0.9932149767448513,0.0,0.9852704143426486,0.8081899882428969,0.7146782779409157,0.38276625659691665,0.6192895664300879,0.9444976897900681,0.9444976897900681,0.8355436482411668
19,0.10305899830335535,0.5,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6418941110542989,0.6951035541532201,0.3948406651140119,0.17131395878575054,1.0,1.0,1.0
