t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.8474570678688549,-0.2,0.65,0.7945348335481104,0.8312441727783606,0.6697014398196718,0.6609999999999999,0.40284742407213125,0.5497034345704916,0.5051185601803282,0.3449879974130822,0.20689975994826165,0.65,0.2923642375789888,0.33358660057881667,0.3710486104919942
1,0.8657472502657255,-0.2,0.65,0.8357671313664837,0.8978780178685872,0.5833242306825178,0.6231699999999999,0.5042210734862715,0.5479555171664139,0.7027247197111706,0.44683683193651874,0.2157674989875094,0.65,0.27278418084779704,0.3209244172217993,0.3294683387251782
2,0.16664104711248381,0.5,0.2,0.8841064728078398,0.9933987914080903,0.6244451981554074,0.6134748999999999,0.5251140094758637,0.7122060127107586,0.6288599210813139,0.4765817919948386,0.2251414598375311,0.2,0.3364490654399377,0.3982850066480882,0.5298842793264809
3,0.8142600352925369,-0.2,0.65,0.9253699151756579,1.0,0.5409379932491959,0.5770706529999999,0.6203417613565193,0.7080769693789253,0.7853233501483363,0.5769195524991713,0.2364284362891392,0.65,0.2888629554365109,0.3515807695346581,0.3266782967886547
4,0.1010860443090068,0.5,0.2,0.9697123297050876,1.0,0.5871620407133069,0.5687585334099999,0.6343983799811468,0.8711670070590477,0.617648609537426,0.5989174379684907,0.24804250068561762,0.2,0.3238387500364701,0.3957437224758598,0.5242079052470237
5,0.8374754492063365,-0.2,0.65,1.0,1.0,0.4955267860105808,0.5336957774076999,0.7282869474339982,0.8588222908401789,0.7980018426987989,0.7016815637553517,0.26159570695386847,0.65,0.2644605532862559,0.33187166246059957,0.28453297079507034
6,0.12740481394783315,0.5,0.2,1.0,1.0,0.5334353506185034,0.5266849040854689,0.7412240625850183,1.0,0.6295085549640366,0.725237208478924,0.27548449405390824,0.2,0.28095234647630496,0.3538393703530911,0.4636660857939128
7,0.8810348052235084,-0.2,0.65,1.0,1.0,0.43117472241124827,0.49288435696290483,0.8350555493338033,0.9790172155821195,0.8124842369820285,0.8309253451855408,0.29134815601708,0.65,0.21251927579432708,0.27463216600168594,0.21018096014006382
8,0.16905926530386844,0.5,0.2,1.0,1.0,0.4590499509299814,0.48709782625401765,0.8478227165186903,1.0,0.6435604952679741,0.851608958483962,0.30746685362658843,0.2,0.22360223324000741,0.2899535017218235,0.38382778457941963
9,0.8601457038727733,-0.2,0.65,1.0,1.0,0.3564305330610834,0.45448489146639715,0.9377358908380895,0.9806883436901783,0.8168627020845644,0.9479584070369533,0.3253513532310616,0.65,0.16199229213357658,0.2151593873640508,0.137779490466456
10,0.1558190047753348,0.5,0.2,1.0,1.0,0.38294326571555554,0.4498503447224052,0.9471416338536573,1.0,0.6493010463203647,0.960619240588794,0.3433102245105269,0.2,0.17226716009126627,0.2293736499051263,0.31074896175251643
11,0.8661321085872001,-0.2,0.65,1.0,1.0,0.27623188056743014,0.41835483438073306,1.0,0.9802094313130241,0.8224547639720617,1.0,0.3618771222654216,0.65,0.11556294264546567,0.15600997257137866,0.07337204749405335
12,0.1145302794710103,0.5,0.2,1.0,1.0,0.3059353631601845,0.41480418934931107,1.0,1.0,0.6470568037220484,1.0,0.38025835104276745,0.2,0.1269032703089474,0.171319414917079,0.25150446156290257
13,0.844005479192477,-0.2,0.65,1.0,0.994247370938202,0.19961871847416998,0.38436006366883174,1.0,0.9819795616646019,0.8192479816927691,1.0,0.3984557675323398,0.65,0.07628409021202019,0.10298352178622727,0.02926159901046238
14,0.11622673223888887,0.5,0.2,1.0,1.0,0.2262599392722761,0.3818292617587668,1.0,1.0,0.6474716107511949,1.0,0.4164712098570164,0.2,0.0863926655779166,0.11663009853018741,0.2048941005253008
15,0.8905972981529323,-0.2,0.65,1.0,0.9809301542208374,0.11031137152897258,0.35237438390600384,1.0,0.9782522161477656,0.82621601418538,1.0,0.43430649775844626,0.65,0.03812963948191376,0.05147501330058358,0.0
16,0.10588243274108661,0.5,0.2,1.0,0.9832433383998769,0.13612071433153383,0.3508031523888237,1.0,1.0,0.6455715642018941,1.0,0.4519634327808618,0.2,0.04695141869816167,0.06338441524251825,0.16020528369557227
17,0.8818820127842081,-0.2,0.65,0.9977126891338547,0.9512762671655006,0.019220088636988687,0.322279057817159,1.0,0.9789494389772635,0.8250037237075365,1.0,0.46944379845305323,0.65,0.005878948139324782,0.007936579988088456,0.0
18,0.10746096336358775,0.5,0.2,0.9972067865818327,0.9406043166898136,0.042655925132812994,0.3216106860826442,1.0,1.0,0.6458689583191614,1.0,0.48674936046852274,0.2,0.012867732647081387,0.017371439073559872,0.12100503571677745
19,0.8686945504093542,-0.2,0.65,0.9934986847831052,0.9046753453475633,0.0,0.2939623655001649,1.0,0.9800044359672517,0.8230107346454449,1.0,0.5038818668638375,0.65,0.0,0.0,0.0
20,0.13369995927917677,0.5,0.2,0.9910198766228958,0.8895646883198992,0.016492225452342676,0.29414349453516,1.0,1.0,0.6499044571596043,1.0,0.5208430481951991,0.2,0.004276597826827063,0.005773407066216535,0.10993605885840271
