t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.8905639676174522,-0.2,0.65,0.7940636756056058,0.8304682485828858,0.6632354048573822,0.6609999999999999,0.40543383805704714,0.5462548825906038,0.5115845951426178,0.34975993121525195,0.20699519862430504,0.65,0.28909962180231374,0.33012339103916727,0.3681048823832922
1,0.8686254157026703,-0.2,0.65,0.8347416499126127,0.896297640225637,0.5765234614291209,0.6231699999999999,0.5069155170477812,0.544414654030766,0.7092991777408874,0.45212174766352464,0.2159676815913325,0.65,0.26879913059577787,0.3164895881895613,0.3237263966388609
2,0.17665092563626444,0.5,0.2,0.8822870176020121,0.9902006448876329,0.6162449586622445,0.6134748999999999,0.5283416846597625,0.7080059938186343,0.7393318576992827,0.48831707447930317,0.22557434626500522,0.2,0.3302807572425247,0.39135613933480085,0.4908531611247958
3,0.19046162378132736,0.5,0.2,0.9324763538639909,1.0,0.6521705190751116,0.604070653,0.5500608399701481,0.8639488241633828,0.7699345083815177,0.5323779113048506,0.23596616102845216,0.2,0.36735565344812027,0.43807943920432973,0.521387170809225
4,0.1259827447488977,0.5,0.2,0.985429958442899,1.0,0.6961343735858503,0.59494853341,0.5673682836558283,1.0,0.7893351946747764,0.5745816288691383,0.2470981319955504,0.2,0.40812973611399955,0.4891756898747667,0.5589987779911187
5,0.16357258696059893,0.5,0.2,1.0,1.0,0.7327384792268967,0.5861000774077,0.5864984317820685,1.0,0.8134043229851274,0.6192742506872863,0.25901263568934063,0.2,0.42945807939448455,0.517614850922836,0.5759513263888724
6,0.1904945694666479,0.5,0.2,1.0,1.0,0.7637252656287523,0.577517075085469,0.6067656451555157,1.0,0.8408495438683096,0.6654326333921359,0.2717311620002899,0.2,0.44106438157478994,0.534732331489261,0.5809144895742758
7,0.18721303740697107,0.5,0.2,1.0,1.0,0.793740418573224,0.569191562832905,0.626329286271046,1.0,0.8679953651876234,0.7099625158120295,0.2852131006965276,0.2,0.4517903493313375,0.5508296837956326,0.5825407644157914
8,0.1572940669249222,0.5,0.2,1.0,1.0,0.8268241001696374,0.5611158159479178,0.6436086981297652,1.0,0.8906784028173619,0.7500835112410126,0.29936263991438256,0.2,0.463944079612089,0.5684535353915411,0.5872602446116483
9,0.11693780871255699,0.5,0.2,1.0,1.0,0.8645249483365469,0.5532823414694803,0.6580347491992744,1.0,0.9073279339193193,0.7847010520607383,0.3140630345564535,0.2,0.47832638767442615,0.5884907722664836,0.5964118264108604
10,0.1411523062040957,0.5,0.2,1.0,1.0,0.8971162927279319,0.5456838712253959,0.6735530188415383,1.0,0.9280186246612907,0.8207560729830092,0.32933752567054914,0.2,0.4895418915551533,0.604948238172383,0.6010898112798306
11,0.19938380127773297,0.5,0.2,1.0,1.0,0.9195995807559891,0.538313355088634,0.6921772214471638,1.0,0.9578994413356592,0.8620262747626499,0.34528467590909667,0.2,0.4950327356548577,0.6149603698766964,0.5969110377050615
12,0.110324779991118,0.5,0.2,1.0,1.0,0.9542465445782986,0.531163954435975,0.7049922777104518,1.0,0.97395256848438,0.8928702901941681,0.36168923495388905,0.2,0.506861368125074,0.63192804076435,0.6039546085622932
13,0.13191391488492898,0.5,0.2,1.0,1.0,0.9843032434732323,0.5242290358028957,0.7187823056607863,1.0,0.9935446117457634,0.9250589593903972,0.3785735217921581,0.2,0.5160003402636355,0.6458125102673916,0.6071207890713965
14,0.19500391079535004,0.5,0.2,1.0,1.0,1.0,0.5175021647288088,0.7360129826669876,1.0,1.0,0.961910808995713,0.3960260027541508,0.2,0.5175021647288088,0.6508130738583444,0.6059885162461953
15,0.14494007558523256,0.5,0.2,1.0,1.0,1.0,0.5109770997869446,0.7498090626354268,1.0,1.0,0.9915952279389083,0.4138976472853874,0.2,0.5109770997869446,0.6450744408637409,0.5983514622070945
16,0.1208652572332443,0.5,0.2,1.0,1.0,1.0,0.5046477867933362,0.7618157515035358,1.0,1.0,1.0,0.43175867081253355,0.2,0.5046477867933362,0.6392048083225327,0.5909609367734456
17,0.1316903983245593,0.5,0.2,1.0,1.0,1.0,0.4985083531895361,0.774171781615421,1.0,1.0,1.0,0.44944108410440825,0.2,0.4985083531895361,0.6335842381681556,0.583712246119848
18,0.19086358448961127,0.5,0.2,1.0,1.0,1.0,0.49255310259385,0.7897693021444121,1.0,1.0,1.0,0.4669466732633642,0.2,0.49255310259385,0.6287042646304635,0.5764447645070115
19,0.1335568810468474,0.5,0.2,1.0,1.0,1.0,0.48677650951603446,0.8015384824536127,1.0,1.0,1.0,0.4842772065307306,0.2,0.48677650951603446,0.6233360461720765,0.5695279427555424
20,0.14273717931861005,0.5,0.2,1.0,1.0,1.0,0.4811732142305534,0.813564251151389,1.0,1.0,1.0,0.5014344344654234,0.2,0.4811732142305534,0.6181860782289089,0.5627453162642948
21,0.1627683837099743,0.5,0.2,1.0,1.0,1.0,0.47573801780363684,0.8264912478952027,1.0,1.0,1.0,0.5184200901207692,0.2,0.47573801780363684,0.6133556756056381,0.5560540746857519
22,0.18055850702646647,0.5,0.2,1.0,1.0,1.0,0.4704658772695277,0.8401624771194106,1.0,1.0,1.0,0.5352358892195614,0.2,0.4704658772695277,0.6088095991659508,0.549455663867176
23,0.1492113585806884,0.5,0.2,1.0,1.0,1.0,0.46535190095144185,0.8516110967062667,1.0,1.0,1.0,0.5518835303273658,0.2,0.46535190095144185,0.604056495904703,0.5431258021777442
24,0.10814659834380694,0.5,0.2,1.0,1.0,1.0,0.4603913439228986,0.8603096151892384,1.0,1.0,1.0,0.5683646950240921,0.2,0.4603913439228986,0.5990190288972664,0.5371042515248288
25,0.1573209943195003,0.5,0.2,1.0,1.0,1.0,0.4555796036052116,0.8717411344686775,1.0,1.0,1.0,0.5846810480738512,0.2,0.4555796036052116,0.5945812217758707,0.5310458116157546
26,0.10350971534983527,0.5,0.2,1.0,1.0,1.0,0.45091221549705524,0.8796581890279507,1.0,1.0,1.0,0.6008342375931127,0.2,0.45091221549705524,0.5897392335102074,0.5253467106780861
27,0.1094524972764786,0.5,0.2,1.0,1.0,1.0,0.4463848490321436,0.8877338841388406,1.0,1.0,1.0,0.6168258952171816,0.2,0.4463848490321436,0.5850796835803558,0.5197709542155342
28,0.1190337540607325,0.5,0.2,1.0,1.0,1.0,0.4419933035611793,0.8961825622790135,1.0,1.0,1.0,0.6326576362650098,0.2,0.4419933035611793,0.5806306455146475,0.5142995362316477
29,0.16934382227393258,0.5,0.2,1.0,1.0,1.0,0.4377335044543439,0.907438627558474,1.0,1.0,1.0,0.6483310599023597,0.2,0.4377335044543439,0.5767592061357877,0.5087575997037247
30,0.1283472421057995,0.5,0.2,1.0,1.0,1.0,0.43360149932071357,0.9159534963958602,1.0,1.0,1.0,0.6638477493033361,0.2,0.43360149932071357,0.5726070825915667,0.5035253209236596
31,0.169024981004583,0.5,0.2,1.0,1.0,1.0,0.42959345434109214,0.9266961578462387,1.0,1.0,1.0,0.6792092718103028,0.2,0.42959345434109214,0.5689293655919164,0.49825072918388114
32,0.11633494468328137,0.5,0.2,1.0,1.0,1.0,0.42570565071085936,0.9340088505810796,1.0,1.0,1.0,0.6944171790921998,0.2,0.42570565071085936,0.5648701466380714,0.49333785452614476
33,0.111769688804215,0.5,0.2,1.0,1.0,1.0,0.4219344811895336,0.9408648106448055,1.0,1.0,1.0,0.7094730073012778,0.2,0.4219344811895336,0.5608786382016503,0.48857388034244165
34,0.10233447273638349,0.5,0.2,1.0,1.0,1.0,0.41827644675384756,0.9469832587428684,1.0,1.0,1.0,0.7243782772282651,0.2,0.41827644675384756,0.5569117241646688,0.48397831379139483
35,0.1705783711626825,0.5,0.2,1.0,1.0,1.0,0.41472815335123214,0.9570433795440576,1.0,1.0,1.0,0.7391344944559824,0.2,0.41472815335123214,0.5536476450675974,0.4791918223986463
36,0.18591126415220335,0.5,0.2,1.0,1.0,1.0,0.41128630875069516,0.9677719709045884,1.0,1.0,1.0,0.7537431495114226,0.2,0.41128630875069516,0.5505972853197018,0.4744532983408288
37,0.12196656135762565,0.5,0.2,1.0,1.0,1.0,0.4079477194881743,0.9743956653134314,1.0,1.0,1.0,0.7682057180163084,0.2,0.4079477194881743,0.5470735908284962,0.4701334191415354
38,0.12375693697930312,0.5,0.2,1.0,1.0,1.0,0.40470928790352906,0.9809611898993538,1.0,1.0,1.0,0.7825236608361453,0.2,0.40470928790352906,0.5436607245223372,0.46591937786411586
39,0.10129800870945212,0.5,0.2,1.0,1.0,1.0,0.40156800926642316,0.9860150406744371,1.0,1.0,1.0,0.7966984242277839,0.2,0.40156800926642316,0.540151243213058,0.46192554859621177
40,0.1644858446848934,0.5,0.2,1.0,1.0,1.0,0.3985209689884305,0.9947338153386698,1.0,1.0,1.0,0.8107314399855061,0.2,0.3985209689884305,0.5372687683794443,0.4577316900547937
41,0.130074607789068,0.5,0.2,1.0,1.0,1.0,0.39556533991877757,1.0,1.0,1.0,1.0,0.8246241255856511,0.2,0.39556533991877757,0.5340132088903498,0.45391122755679736
42,0.1136872304192037,0.5,0.2,1.0,1.0,1.0,0.39269837972121424,1.0,1.0,1.0,1.0,0.8383778843297947,0.2,0.39269837972121424,0.5301428126236393,0.45062139073009333
43,0.1646873558579816,0.5,0.2,1.0,1.0,1.0,0.3899174283295778,1.0,1.0,1.0,1.0,0.8519941054864967,0.2,0.3899174283295778,0.5263885282449301,0.4474302490081905
44,0.1599733551750282,0.5,0.2,1.0,1.0,1.0,0.3872199054796905,1.0,1.0,1.0,1.0,0.8654741644316317,0.2,0.3872199054796905,0.5227468723975822,0.4443348415379449
45,0.14473885514326743,0.5,0.2,1.0,1.0,1.0,0.38460330831529976,1.0,1.0,1.0,1.0,0.8788194227873154,0.2,0.38460330831529976,0.5192144662256547,0.4413322962918065
46,0.11530132883968222,0.5,0.2,1.0,1.0,1.0,0.38206520906584074,1.0,1.0,1.0,1.0,0.8920312285594423,0.2,0.38206520906584074,0.515788032238885,0.4384198274030522
47,0.16386706625953512,0.5,0.2,1.0,1.0,1.0,0.37960325279386553,1.0,1.0,1.0,1.0,0.9051109162738479,0.2,0.37960325279386553,0.5124643912717185,0.4355947325809607
48,0.15556893112719442,0.5,0.2,1.0,1.0,1.0,0.37721515521004956,1.0,1.0,1.0,1.0,0.9180598071111095,0.2,0.37721515521004956,0.5092404595335669,0.4328543906035318
49,0.14329010185355703,0.5,0.2,1.0,1.0,1.0,0.3748987005537481,1.0,1.0,1.0,1.0,0.9308792090399984,0.2,0.3748987005537481,0.5061132457475599,0.4301962588854259
50,0.11646715879870595,0.5,0.2,1.0,1.0,1.0,0.3726517395371356,1.0,1.0,1.0,1.0,0.9435704169495984,0.2,0.3726517395371356,0.5030798483751331,0.4276178711188632
51,0.19288342200720793,0.5,0.2,1.0,1.0,1.0,0.3704721873510215,1.0,1.0,1.0,1.0,0.9561347127801024,0.2,0.3704721873510215,0.500137452923879,0.4251168349852972
52,0.186317055762585,0.5,0.2,1.0,1.0,1.0,0.3683580217304908,1.0,1.0,1.0,1.0,0.9685733656523015,0.2,0.3683580217304908,0.49728332933616265,0.42269082993573825
53,0.1689802878537686,0.5,0.2,1.0,1.0,1.0,0.3663072810785761,1.0,1.0,1.0,1.0,0.9808876319957784,0.2,0.3663072810785761,0.4945148294560777,0.42033760503766604
54,0.1996002337185831,0.5,0.2,1.0,1.0,1.0,0.3643180626462188,1.0,1.0,1.0,1.0,0.9930787556758207,0.2,0.3643180626462188,0.4918293845723954,0.41805497688653603
55,0.15803614886742062,0.5,0.2,1.0,1.0,1.0,0.3623885207668322,1.0,1.0,1.0,1.0,1.0,0.2,0.3623885207668322,0.4892245030352235,0.41584082757994
56,0.1344777444184001,0.5,0.2,1.0,1.0,1.0,0.36051686514382725,1.0,1.0,1.0,1.0,1.0,0.2,0.36051686514382725,0.4866977679441668,0.4136931027525418
57,0.11163484670728785,0.5,0.2,1.0,1.0,1.0,0.3587013591895124,1.0,1.0,1.0,1.0,1.0,0.2,0.3587013591895124,0.48424683490584175,0.4116098096699654
58,0.16076857004451234,0.5,0.2,1.0,1.0,1.0,0.356940318413827,1.0,1.0,1.0,1.0,1.0,0.2,0.356940318413827,0.4818694298586665,0.4095890153798665
59,0.15194882615908717,0.5,0.2,1.0,1.0,1.0,0.3552321088614122,1.0,1.0,1.0,1.0,1.0,0.2,0.3552321088614122,0.47956334696290653,0.4076288449184706
60,0.14364371014559685,0.5,0.2,1.0,1.0,1.0,0.35357514559556985,1.0,1.0,1.0,1.0,1.0,0.2,0.35357514559556985,0.47732644655401935,0.4057274795709165
61,0.19926348490441298,0.5,0.2,1.0,1.0,0.9985966242116623,0.3519678912277027,1.0,1.0,1.0,1.0,1.0,0.2,0.3514739480108815,0.47448982981469007,0.40331635534248655
62,0.1839482546456112,0.5,0.2,1.0,1.0,0.9993244991905503,0.3504088544908716,1.0,1.0,1.0,1.0,1.0,0.2,0.3501721530260247,0.47273240658513344,0.4018225455973634
63,0.11148314459915483,0.5,0.2,1.0,1.0,1.0,0.34889658885614544,1.0,1.0,1.0,1.0,1.0,0.2,0.34889658885614544,0.4710103949557964,0.4003588357124269
64,0.18842136658242267,0.5,0.2,1.0,1.0,0.9996783579554919,0.3474296911904611,1.0,1.0,1.0,1.0,1.0,0.2,0.34731794319426373,0.46887922331225607,0.39854733981541757
65,0.10019998014719779,0.5,0.2,1.0,1.0,1.0,0.34600680045474724,1.0,1.0,1.0,1.0,1.0,0.2,0.34600680045474724,0.4671091806139088,0.39704280352182253
66,0.1651466226565514,0.5,0.2,1.0,1.0,1.0,0.3446265964411048,1.0,1.0,1.0,1.0,1.0,0.2,0.3446265964411048,0.4652459051954915,0.3954590194161678
67,0.1315326725484937,0.5,0.2,1.0,1.0,1.0,0.34328779854787167,1.0,1.0,1.0,1.0,1.0,0.2,0.34328779854787167,0.46343852803962676,0.3939227488336827
68,0.17297849536098225,0.5,0.2,1.0,1.0,1.0,0.3419891645914355,1.0,1.0,1.0,1.0,1.0,0.2,0.3419891645914355,0.46168537219843797,0.3924325663686723
69,0.19525361095175514,0.5,0.2,1.0,1.0,0.9978494971156798,0.34072948965369243,1.0,1.0,1.0,1.0,1.0,0.2,0.3399967499034192,0.45899561236961595,0.3901462705141736
70,0.15303485375382422,0.5,0.2,1.0,1.0,1.0,0.33950760496408167,1.0,1.0,1.0,1.0,1.0,0.2,0.33950760496408167,0.45833526670151026,0.3895849766962838
71,0.17629183137824656,0.5,0.2,1.0,1.0,1.0,0.3383223768151592,1.0,1.0,1.0,1.0,1.0,0.2,0.3383223768151592,0.45673520870046497,0.38822492739539527
72,0.10543594720648466,0.5,0.2,1.0,1.0,1.0,0.3371727055107044,1.0,1.0,1.0,1.0,1.0,0.2,0.3371727055107044,0.45518315243945096,0.3869056795735333
73,0.16673448396034196,0.5,0.2,1.0,1.0,1.0,0.3360575243453832,1.0,1.0,1.0,1.0,1.0,0.2,0.3360575243453832,0.45367765786626735,0.3856260091863273
74,0.11175458501136228,0.5,0.2,1.0,1.0,1.0,0.3349757986150217,1.0,1.0,1.0,1.0,1.0,0.2,0.3349757986150217,0.4522173281302793,0.3843847289107374
75,0.14552236613428232,0.5,0.2,1.0,1.0,1.0,0.333926524656571,1.0,1.0,1.0,1.0,1.0,0.2,0.333926524656571,0.4508008082863709,0.38318068704341535
76,0.13335269466986718,0.5,0.2,1.0,1.0,1.0,0.3329087289168739,1.0,1.0,1.0,1.0,1.0,0.2,0.3329087289168739,0.4494267840377798,0.3820127664321129
77,0.107310229967404,0.5,0.2,1.0,1.0,1.0,0.33192146704936765,1.0,1.0,1.0,1.0,1.0,0.2,0.33192146704936765,0.44809398051664634,0.38087988343914936
78,0.17472387262329556,0.5,0.2,1.0,1.0,0.999757077871052,0.33096382303788663,1.0,1.0,1.0,1.0,1.0,0.2,0.3308834246013895,0.4466926232118758,0.3796887297300944
79,0.10932625705955973,0.5,0.2,1.0,1.0,1.0,0.33003490834675003,1.0,1.0,1.0,1.0,1.0,0.2,0.33003490834675003,0.44554712626811255,0.3787150573278957
80,0.12573114979468028,0.5,0.2,1.0,1.0,1.0,0.3291338610963475,1.0,1.0,1.0,1.0,1.0,0.2,0.3291338610963475,0.44433071248006917,0.3776811056080588
81,0.10859181877687152,0.5,0.2,1.0,1.0,1.0,0.3282598452634571,1.0,1.0,1.0,1.0,1.0,0.2,0.3282598452634571,0.4431507911056671,0.37667817243981694
82,0.16622788070228112,0.5,0.2,1.0,1.0,1.0,0.32741204990555334,1.0,1.0,1.0,1.0,1.0,0.2,0.32741204990555334,0.44200626737249704,0.3757053272666224
83,0.13010089521381563,0.5,0.2,1.0,1.0,1.0,0.3265896884083867,1.0,1.0,1.0,1.0,1.0,0.2,0.3265896884083867,0.4408960793513221,0.3747616674486238
84,0.10443210511477963,0.5,0.2,1.0,1.0,1.0,0.3257919977561351,1.0,1.0,1.0,1.0,1.0,0.2,0.3257919977561351,0.4398191969707824,0.37384631742516505
85,0.10271444782197514,0.5,0.2,1.0,1.0,1.0,0.325018237823451,1.0,1.0,1.0,1.0,1.0,0.2,0.325018237823451,0.4387746210616589,0.3729584279024101
86,0.121963597471364,0.5,0.2,1.0,1.0,1.0,0.3242676906887475,1.0,1.0,1.0,1.0,1.0,0.2,0.3242676906887475,0.43776138242980916,0.3720971750653378
87,0.15066402085183497,0.5,0.2,1.0,1.0,1.0,0.3235396599680851,1.0,1.0,1.0,1.0,1.0,0.2,0.3235396599680851,0.43677854095691493,0.3712617598133776
88,0.10121533956867668,0.5,0.2,1.0,1.0,1.0,0.3228334701690425,1.0,1.0,1.0,1.0,1.0,0.2,0.3228334701690425,0.4358251847282074,0.3704514070189763
89,0.10237850988324321,0.5,0.2,1.0,1.0,1.0,0.32214846606397124,1.0,1.0,1.0,1.0,1.0,0.2,0.32214846606397124,0.4349004291863612,0.36966536480840695
90,0.1666572174018176,0.5,0.2,1.0,1.0,0.9998294988395736,0.3214840120820521,1.0,1.0,1.0,1.0,1.0,0.2,0.3214291986849335,0.4339294182246603,0.3688400054909613
91,0.15272984496969966,0.5,0.2,1.0,1.0,1.0,0.3208394917195905,1.0,1.0,1.0,1.0,1.0,0.2,0.3208394917195905,0.43313331382144715,0.3681633167482301
92,0.1135130784600322,0.5,0.2,1.0,1.0,1.0,0.32021430696800274,1.0,1.0,1.0,1.0,1.0,0.2,0.32021430696800274,0.43228931440680374,0.3674459172457831
93,0.13120933612799757,0.5,0.2,1.0,1.0,1.0,0.31960787775896266,1.0,1.0,1.0,1.0,1.0,0.2,0.31960787775896266,0.4314706349745996,0.3667500397284096
94,0.112603513463569,0.5,0.2,1.0,1.0,1.0,0.31901964142619377,1.0,1.0,1.0,1.0,1.0,0.2,0.31901964142619377,0.4306765159253616,0.36607503853655743
95,0.1275040768900682,0.5,0.2,1.0,1.0,1.0,0.31844905218340797,1.0,1.0,1.0,1.0,1.0,0.2,0.31844905218340797,0.4299062204476008,0.3654202873804606
96,0.13880394033986063,0.5,0.2,1.0,1.0,1.0,0.31789558061790574,1.0,1.0,1.0,1.0,1.0,0.2,0.31789558061790574,0.42915903383417275,0.3647851787590468
97,0.12180019485935847,0.5,0.2,1.0,1.0,1.0,0.31735871319936854,1.0,1.0,1.0,1.0,1.0,0.2,0.31735871319936854,0.42843426281914754,0.3641691233962754
98,0.11975351710555529,0.5,0.2,1.0,1.0,1.0,0.3168379518033875,1.0,1.0,1.0,1.0,1.0,0.2,0.3168379518033875,0.4277312349345731,0.3635715496943872
99,0.12263943485707843,0.5,0.2,1.0,1.0,1.0,0.31633281324928586,1.0,1.0,1.0,1.0,1.0,0.2,0.31633281324928586,0.42704929788653595,0.36299190320355557
100,0.1301418566147795,0.5,0.2,1.0,1.0,1.0,0.31584282885180726,1.0,1.0,1.0,1.0,1.0,0.2,0.31584282885180726,0.4263878189499398,0.36242964610744877
101,0.15550220786762026,0.5,0.2,1.0,1.0,1.0,0.31536754398625305,1.0,1.0,1.0,1.0,1.0,0.2,0.31536754398625305,0.42574618438144163,0.3618842567242253
102,0.18861783902307921,0.5,0.2,1.0,1.0,0.9957461062665379,0.31490651766666544,1.0,1.0,1.0,1.0,1.0,0.2,0.31356693880453684,0.42331536738612474,0.359818062278206
103,0.16479692763294473,0.5,0.2,1.0,1.0,0.995075494183998,0.31445932213666544,1.0,1.0,1.0,1.0,1.0,0.2,0.3129107653759074,0.422429533257475,0.35906510326885377
104,0.1448518697078351,0.5,0.2,1.0,1.0,0.9973546464117705,0.3140255424725655,1.0,1.0,1.0,1.0,1.0,0.2,0.31319483387699,0.42281302573393653,0.359391071873846
105,0.1003241450926423,0.5,0.2,1.0,1.0,1.0,0.3136047761983885,1.0,1.0,1.0,1.0,1.0,0.2,0.3136047761983885,0.4233664478678245,0.3598614806876508
106,0.1188562354549419,0.5,0.2,1.0,1.0,1.0,0.3131966329124368,1.0,1.0,1.0,1.0,1.0,0.2,0.3131966329124368,0.42281545443178975,0.3593931362670213
107,0.16342062079257508,0.5,0.2,1.0,1.0,0.9992729949521214,0.3128007339250637,1.0,1.0,1.0,1.0,1.0,0.2,0.31257332621252004,0.4219739903869021,0.3586778918288668
108,0.14050682108274049,0.5,0.2,1.0,1.0,1.0,0.3124167119073118,1.0,1.0,1.0,1.0,1.0,0.2,0.3124167119073118,0.4217625610748709,0.3584981769136403
109,0.18470858044549632,0.5,0.2,1.0,1.0,0.9959890181991866,0.3120442105500924,1.0,1.0,1.0,1.0,1.0,0.2,0.3107926069005268,0.4195700193157112,0.35663451641835453
110,0.19088288607344747,0.5,0.2,1.0,1.0,0.9910686961232124,0.31168288423358964,1.0,1.0,1.0,1.0,1.0,0.2,0.30889914968130583,0.4170138520697629,0.35446177425929837
111,0.12964823633955863,0.5,0.2,1.0,1.0,0.9953653179552202,0.31133239770658194,1.0,1.0,1.0,1.0,1.0,0.2,0.309889471032973,0.4183507858945136,0.3555981680103366
112,0.13644915716566644,0.5,0.2,1.0,1.0,0.9985365557040881,0.3109924257753845,1.0,1.0,1.0,1.0,1.0,0.2,0.3105373056838117,0.41922536267314586,0.35634155827217395
113,0.12982207845437593,0.5,0.2,1.0,1.0,1.0,0.3106626530021229,1.0,1.0,1.0,1.0,1.0,0.2,0.3106626530021229,0.41939458155286596,0.356485394319936
114,0.16764574402986665,0.5,0.2,1.0,1.0,0.9983442712049672,0.31034277341205924,1.0,1.0,1.0,1.0,1.0,0.2,0.30982892994579053,0.41826905542681725,0.35552869711279467
115,0.10986775607232317,0.5,0.2,1.0,1.0,1.0,0.3100324902096974,1.0,1.0,1.0,1.0,1.0,0.2,0.3100324902096974,0.41854386178309155,0.3557622825156278
116,0.12762245465948824,0.5,0.2,1.0,1.0,1.0,0.3097315155034065,1.0,1.0,1.0,1.0,1.0,0.2,0.3097315155034065,0.4181375459295988,0.35541691404015896
117,0.18785173698325508,0.5,0.2,1.0,1.0,0.9952049878571082,0.3094395700383043,1.0,1.0,1.0,1.0,1.0,0.2,0.3079558035424794,0.41574033478234723,0.3533792845649951
118,0.13732352162560843,0.5,0.2,1.0,1.0,0.9980271507478689,0.30915638293715514,1.0,1.0,1.0,1.0,1.0,0.2,0.308546463998286,0.4165377263976861,0.3540570674380332
119,0.19699320665190279,0.5,0.2,1.0,1.0,0.9918235654627502,0.3088816914490405,1.0,1.0,1.0,1.0,1.0,0.2,0.3063561405191524,0.41358078970085577,0.3515436712457274
120,0.13959024994075842,0.5,0.2,1.0,1.0,0.9942915033743636,0.3086152407055693,1.0,1.0,1.0,1.0,1.0,0.2,0.30685351164538155,0.4142522407212651,0.3521144046130753
121,0.18369218401726628,0.5,0.2,1.0,1.0,0.9900761172392863,0.3083567834844022,1.0,1.0,1.0,1.0,1.0,0.2,0.30529668691663225,0.41215052733745355,0.35032794823683555
122,0.14625195474192007,0.5,0.2,1.0,1.0,0.9915099118669934,0.3081060799798701,1.0,1.0,1.0,1.0,1.0,0.2,0.3054902322065258,0.4124118134788099,0.3505500414569884
123,0.10993732218936804,0.5,0.2,1.0,1.0,0.9983402125702403,0.30786289758047397,1.0,1.0,1.0,1.0,1.0,0.2,0.3073519106129805,0.4149250793275237,0.3526863174283952
124,0.15776494999922733,0.5,0.2,1.0,1.0,0.9978656081601697,0.30762701065305975,1.0,1.0,1.0,1.0,1.0,0.2,0.30697041407181047,0.41441005899694416,0.35224855014740253
125,0.12113047612021785,0.5,0.2,1.0,1.0,1.0,0.30739820033346793,1.0,1.0,1.0,1.0,1.0,0.2,0.30739820033346793,0.41498757045018175,0.35273943488265447
126,0.19179019779713632,0.5,0.2,1.0,1.0,0.9943426208492452,0.3071762543234639,1.0,1.0,1.0,1.0,1.0,0.2,0.30543844178664736,0.41234189641197394,0.35049061195017783
127,0.1700904255594684,0.5,0.2,1.0,1.0,0.9919992337058374,0.30696096669376,1.0,1.0,1.0,1.0,1.0,0.2,0.304505043737813,0.4110818090460476,0.34941953768914047
128,0.15292670508473227,0.5,0.2,1.0,1.0,0.9922404959606936,0.3067521376929472,1.0,1.0,1.0,1.0,1.0,0.2,0.3043718932414529,0.41090205587596146,0.3492667474945672
129,0.1922583108776372,0.5,0.2,1.0,1.0,0.9865540907170967,0.30654957356215873,1.0,1.0,1.0,1.0,1.0,0.2,0.3024277358053292,0.40827744333719446,0.34703582683661527
130,0.15470725195294643,0.5,0.2,1.0,1.0,0.9865620619260336,0.30635308635529396,1.0,1.0,1.0,1.0,1.0,0.2,0.30223633255208304,0.40801904894531216,0.3468161916035153
131,0.19667000125409362,0.5,0.2,1.0,1.0,0.9802526300607853,0.3061624937646351,1.0,1.0,1.0,1.0,1.0,0.2,0.3001165897387524,0.4051573961473157,0.3443837867252184
132,0.17148302794659076,0.5,0.2,1.0,1.0,0.9777937006920885,0.30597761895169606,1.0,1.0,1.0,1.0,1.0,0.2,0.2991829883637326,0.403897034291039,0.34331247914738316
133,0.11789604669630852,0.5,0.2,1.0,1.0,0.9833881830232383,0.30579829038314515,1.0,1.0,1.0,1.0,1.0,0.2,0.3007184251514937,0.40596987395451656,0.3450743928613391
134,0.12940120369880617,0.5,0.2,1.0,1.0,0.9871521007236669,0.3056243416716508,1.0,1.0,1.0,1.0,1.0,0.2,0.3016977109134578,0.4072919097331681,0.3461981232731929
135,0.18459788185833076,0.5,0.2,1.0,1.0,0.9825598103046425,0.3054556114215013,1.0,1.0,1.0,1.0,1.0,0.2,0.30012840761479886,0.4051733502799785,0.3443973477379817
136,0.1099886380154165,0.5,0.2,1.0,1.0,0.9892081506172231,0.30529194307885626,1.0,1.0,1.0,1.0,1.0,0.2,0.30199727841137397,0.40769632585535487,0.34654187697705163
137,0.19815454183857328,0.5,0.2,1.0,1.0,0.9825128292565577,0.30513318478649054,1.0,1.0,1.0,1.0,1.0,0.2,0.29979726868463885,0.40472631272426246,0.34401736581562314
