t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.8323832764833163,-0.2,0.65,0.7982436986479545,0.8605476370233003,0.7007703085275026,0.84419,0.391022996588999,0.5577343378813348,0.4864774914724974,0.34282377411602327,0.20685647548232047,0.5135000000000001,0.40637437188942294,0.461989975511034,0.5143164791843788
1,0.8150849173924503,-0.2,0.65,0.8500239246148843,0.9771326703428375,0.6716575322907224,0.9840542999999999,0.478732516717821,0.5665431709746853,0.6610363545077401,0.43818816032819324,0.21555167393406113,0.5135000000000001,0.5489738232976862,0.6409578903115131,0.648128300412464
2,0.8650934473039854,-0.2,0.65,0.8995150579225222,1.0,0.6373936522107638,1.0,0.5672498106381146,0.570998968351379,0.834368553877951,0.5423419774768176,0.22624299674425688,0.5135000000000001,0.5733451879878132,0.6871756702485396,0.6354137535478734
3,0.10724362866675428,0.5,0.2,0.9560800283038915,1.0,0.7350962031275893,1.0,0.5796431830921671,0.7411795193239834,0.8426966704840665,0.5733272766419361,0.237447112309653,0.15800000000000003,0.7028107986923088,0.8453936196552541,0.856275575561746
4,0.15358820043066893,0.5,0.2,1.0,1.0,0.8243815300160751,1.0,0.5945073955407031,0.9008452825165706,0.8575600670244635,0.6150291532186228,0.24937322425092895,0.15800000000000003,0.8243815300160751,0.9959168507356759,0.9797613030179855
5,0.13656889169125858,0.5,0.2,1.0,1.0,0.9148804733121452,1.0,0.6079788441536611,1.0,0.869765704959222,0.657665072370738,0.2620327934558344,0.15800000000000003,0.9148804733121452,1.0,0.9779745196815013
6,0.10579989247747068,0.5,0.2,1.0,1.0,1.0,1.0,0.6192673665984678,1.0,0.8776487929107589,0.6951223922009443,0.27531491336529496,0.15800000000000003,1.0,1.0,0.9733518888070789
7,0.15074357331894203,0.5,0.2,1.0,1.0,1.0,1.0,0.6329702968326426,1.0,0.8929755130096736,0.7356093401299854,0.28927395103424175,0.15800000000000003,1.0,1.0,0.9660132867305695
8,0.10374956584419849,0.5,0.2,1.0,1.0,1.0,1.0,0.6435110133624784,1.0,0.9013300533048179,0.7694658096192221,0.30377052771628377,0.15800000000000003,1.0,1.0,0.961398781336059
9,0.1433645683662386,0.5,0.2,1.0,1.0,1.0,1.0,0.6561651121303907,1.0,0.916221444864944,0.8060169113330333,0.31885316066578157,0.15800000000000003,1.0,1.0,0.9544005441144388
10,0.1069855423574619,0.5,0.2,1.0,1.0,1.0,1.0,0.6663201168685787,1.0,0.9257238133248024,0.8372865512659794,0.3344103600844433,0.15800000000000003,1.0,1.0,0.9495188326288436
11,0.10907130133438651,0.5,0.2,1.0,1.0,1.0,1.0,0.6763463920269275,1.0,0.9358660292208743,0.8674341826000521,0.35041494013559993,0.15800000000000003,1.0,1.0,0.9444709128283523
12,0.1424519189142514,0.5,0.2,1.0,1.0,1.0,1.0,0.6881248473611093,1.0,0.9514505033858569,0.8999191987993962,0.3669091747102318,0.15800000000000003,1.0,1.0,0.9374398795120211
13,0.18268521246720382,0.5,0.2,1.0,1.0,1.0,1.0,0.7020228389251139,1.0,0.9734025872006536,0.9356236226145209,0.3839525554154199,0.15800000000000003,1.0,1.0,0.9280746560547812
14,0.11238019611496457,0.5,0.2,1.0,1.0,1.0,1.0,0.7113550797188838,1.0,0.9844578936353764,0.9628225709293414,0.40136948127985256,0.15800000000000003,1.0,1.0,0.9228916159656104
15,0.12232389646070146,0.5,0.2,1.0,1.0,1.0,1.0,0.7210506365135538,1.0,0.9972276343437971,0.9900635746777554,0.41915705796060915,0.15800000000000003,1.0,1.0,0.9171215823941502
16,0.16274332224055893,0.5,0.2,1.0,1.0,1.0,1.0,0.7329289699351484,1.0,1.0,1.0,0.43696548738100305,0.15800000000000003,1.0,1.0,0.9139142060129704
17,0.19477089424570057,0.5,0.2,1.0,1.0,1.0,1.0,0.7464319993415118,1.0,1.0,1.0,0.45459583250719304,0.15800000000000003,1.0,1.0,0.9112136001316977
18,0.15771029486174987,0.5,0.2,1.0,1.0,1.0,1.0,0.757373817049679,1.0,1.0,1.0,0.47204987418212113,0.15800000000000003,1.0,1.0,0.9090252365900643
19,0.13966804746507802,0.5,0.2,1.0,1.0,1.0,1.0,0.7669595544713417,1.0,1.0,1.0,0.4893293754402999,0.15800000000000003,1.0,1.0,0.9071080891057317
20,0.197625510559292,0.5,0.2,1.0,1.0,1.0,1.0,0.7797830962431157,1.0,1.0,1.0,0.5064360816858969,0.15800000000000003,1.0,1.0,0.904543380751377
