t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.1870405886252017,0.3873311931395042,0.2,0.809937391864891,0.9096973302047464,0.8235897517062197,0.908632,0.27218744800233885,0.7116231520524219,0.24985541374231657,0.2712608336581248,0.20542521667316252,0.14780000000000001,0.5513753301846072,0.6039024355896455,0.7263670702511986
1,0.16108315300115641,0.4366561849986342,0.2,0.8819054887853539,1.0,0.9108394724804529,1.0,0.24366309966717653,0.8726826774150618,0.19854994545391053,0.2968028868610688,0.21130702224365228,0.1496792,0.8032743301828678,0.8717792397942692,0.9535925538251288
2,0.15051480432648986,0.40027820800522085,0.2,0.9597964330379155,1.0,0.9983690823042727,1.0,0.21521234702391323,1.0,0.14821638013472477,0.3263339518101173,0.2177206310574181,0.14961154880000002,0.958231084050978,1.0,1.0
3,0.22186383760255504,0.3580814647183001,0.2,1.0,1.0,1.0,1.0,0.19175400002875148,1.0,0.11110214032609206,0.3608581275991494,0.2247605872988269,0.14961398424320002,1.0,1.0,1.0
4,0.1943416374542629,0.4116650042683619,0.2,1.0,1.0,1.0,1.0,0.1672307726854948,1.0,0.07171527196453253,0.3928648589982957,0.23237027860580453,0.1496138965672448,1.0,1.0,1.0
5,0.1532716612387849,0.3879019604395436,0.2,1.0,1.0,1.0,1.0,0.14085642770539758,1.0,0.02813725096748944,0.42167341588794155,0.24048004413750532,0.1496138997235792,1.0,1.0,1.0
6,0.20627843138349977,0.3952020920450026,0.2,1.0,1.0,1.0,1.0,0.11832184754939547,1.0,0.0,0.4538020405973013,0.24915128450807628,0.14961389960995117,1.0,1.0,1.0
7,0.2080052294865767,0.3657157161596626,0.2,1.0,1.0,1.0,1.0,0.09645423978380528,1.0,0.0,0.48413048731528663,0.25834238140930127,0.14961389961404178,1.0,1.0,1.0
8,0.1690409761973226,0.36109475279780145,0.2,1.0,1.0,1.0,1.0,0.0727954670149878,1.0,0.0,0.5097613684752256,0.2679541849647128,0.14961389961389449,1.0,1.0,1.0
9,0.19050152413351856,0.44238297864122955,0.2,1.0,1.0,1.0,1.0,0.05101579644156294,1.0,0.0,0.5354394502582168,0.27798343212022997,0.1496138996138998,1.0,1.0,1.0
10,0.197234276570873,0.42742094672355113,0.2,1.0,1.0,1.0,1.0,0.03018458277871497,1.0,0.0,0.5600741211459498,0.28840508022194666,0.1496138996138996,1.0,1.0,1.0
11,0.18069318758821185,0.42460952169244287,0.2,1.0,1.0,1.0,1.0,0.008881684118478513,1.0,0.0,0.5820090043504813,0.2991612095067368,0.14961389961389962,1.0,1.0,1.0
12,0.15813355500635828,0.37911780789864075,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6009615638344741,0.3101888286883589,0.14961389961389962,1.0,1.0,1.0
13,0.20393888010042968,0.4225706352241305,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6221601028706374,0.32153014245888806,0.14961389961389962,1.0,1.0,1.0
14,0.1837404316005564,0.3587712383065971,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6405948934085368,0.3331267389024699,0.14961389961389962,1.0,1.0,1.0
15,0.17133868569813923,0.3709890130136482,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6570076166092683,0.34493562384563053,0.14961389961389962,1.0,1.0,1.0
16,0.1724947532067655,0.430951070072647,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6725209623478835,0.3569366868541319,0.14961389961389962,1.0,1.0,1.0
17,0.16595865768718762,0.4386399731079278,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6866207582035115,0.3690997351496608,0.14961389961389962,1.0,1.0,1.0
18,0.22034985507201416,0.3554789356111085,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7038918429235004,0.38148657465663427,0.14961389961389962,1.0,1.0,1.0
19,0.18030531218398002,0.3991711736762098,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.717169014752093,0.39401508920510975,0.14961389961389962,1.0,1.0,1.0
20,0.15187865271373588,0.39247253517525915,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7275499931092277,0.40662593817524323,0.14961389961389962,1.0,1.0,1.0
21,0.22251285007639623,0.3612046271294449,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7425250802702832,0.4194101803988965,0.14961389961389962,1.0,1.0,1.0
22,0.19774765134088673,0.36212324408021807,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7547725306777011,0.43231152920846155,0.14961389961389962,1.0,1.0,1.0
23,0.19629602384428402,0.43953034494235843,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7661779183809831,0.4453119722839966,0.14961389961389962,1.0,1.0,1.0
24,0.16624425550116104,0.3508252560291255,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7746793908286974,0.4583524403777306,0.14961389961389962,1.0,1.0,1.0
25,0.15668028779815638,0.4039769440275859,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7819643903369328,0.471408203780692,0.14961389961389962,1.0,1.0,1.0
