t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.22648274175113994,0.444782748705935,0.2,0.8064625649404547,0.8886058806637682,0.7942576986194153,0.7310108837669631,0.27628454517396156,0.7135480280782015,0.3274653699739796,0.2750457215138752,0.20550091443027751,0.18982392339898346,0.4160817543315198,0.45631668971925354,0.5904132054116196
1,0.15452410941814468,0.3584871995158922,0.2,0.8737825125487854,1.0,0.8520860760304689,0.7598101098055619,0.24877691819941802,0.865098917166798,0.34266864629773197,0.2989916975259889,0.21142573923649452,0.19012707747201715,0.5657074329915649,0.6149646661153158,0.7251881968300141
2,0.21683991025035596,0.4235969989068524,0.2,0.9441701307328878,1.0,0.9030544484041781,0.7877647844176315,0.22572170548099957,1.0,0.3664960034823242,0.33233662459466057,0.21795821433602278,0.19012248156792513,0.6716774313305319,0.7247416926970905,0.8184998184005456
3,0.20357843211521767,0.38081364575891447,0.2,1.0,1.0,0.9584992183731339,0.81486395866759,0.20246779243607987,1.0,0.3871722949633089,0.3635270660929929,0.22504917351452242,0.19012647055619383,0.7810464674633227,0.8363943313833769,0.9134035640368219
4,0.198475533254277,0.4106801733640838,0.2,1.0,1.0,1.0,0.8411360260450342,0.17950762991240915,1.0,0.40607594924990287,0.3932622080893812,0.23266392594116483,0.19012981400532997,0.8411360260450342,0.8939826431092844,0.9623527931415591
5,0.19649632136896025,0.3658382870254806,0.2,1.0,1.0,1.0,0.8666072142247017,0.1570193950458207,1.0,0.423761428958745,0.42182413876789165,0.24077376945711101,0.1901328228010209,0.8666072142247017,0.914233163406669,0.9795649831954133
6,0.18445357122330147,0.38935318202053715,0.2,1.0,1.0,1.0,0.8913028498756741,0.13438577344458208,1.0,0.4387776711216703,0.44836944193254363,0.24933342060119076,0.19013552395637695,0.8913028498756741,0.9332252978745399,0.9957076222042646
7,0.20784096649899725,0.4494819562949743,0.2,1.0,1.0,1.0,0.9152473661142968,0.11373467863520667,1.0,0.4565704677928847,0.4759490515882739,0.25835906742694437,0.19013794911635026,0.9152473661142968,0.9516807438841519,1.0
8,0.22595163784745947,0.4044177047429321,0.2,1.0,1.0,1.0,0.9384643438935681,0.09469857046736699,1.0,0.47620751496354863,0.504162216312531,0.26785872107892555,0.19014012647570183,0.9384643438935681,0.9695692750240288,1.0
9,0.18558833509806827,0.37682407416493285,0.2,1.0,1.0,1.0,0.9609765497178374,0.0737274026316582,1.0,0.48882373735665197,0.5280288356819681,0.27774071058177563,0.19014208135463495,0.9609765497178374,0.9857741564680575,1.0
