t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.178921821993126,0.3980480665601294,0.2,0.8073083938038577,0.8914051982834837,0.803624349429031,0.7479457143999999,0.25801959913741007,0.7132953995605661,0.24796145839629302,0.27040716839557805,0.20540814336791158,0.18581726,0.43255147334061905,0.47161383855579403,0.604417447772425
1,0.18335621012845318,0.39467592537839236,0.2,0.8753404782893863,1.0,0.8611463799073321,0.7928322031800527,0.21757790378951883,0.8684719388289571,0.2006734492439591,0.29698582790374783,0.21129377849230743,0.18620074285203803,0.5976339686443951,0.6431451497902656,0.7501231916087162
2,0.1827612583959917,0.4157705826394271,0.2,0.947310402116728,1.0,0.9231253875210313,0.8364159230868354,0.17810552051662545,1.0,0.15562048730689385,0.32806172965843405,0.21774207530055303,0.18619037397424662,0.7314342508332367,0.7770296181221562,0.8639275819102711
3,0.17070843055120627,0.41349959241034845,0.2,1.0,1.0,0.9910556229772566,0.8786909464040232,0.1388969402848806,1.0,0.11101333382526671,0.3581660437345795,0.2247279754222391,0.18619065433522253,0.8708316032929144,0.9131661491131815,0.9796435631623988
4,0.1508102698901876,0.3802043704799646,0.2,1.0,1.0,1.0,0.9196977510623491,0.09947468050844475,1.0,0.0656517845941434,0.3868164247485838,0.2322170241629884,0.18619064675462624,0.9196977510623491,0.9517180750452909,1.0
5,0.17680506805581753,0.3641950517532834,0.2,1.0,1.0,1.0,0.9594743507145874,0.06259766523562055,1.0,0.026457533342315098,0.41719311055910624,0.24023871613254064,0.1861906469595957,0.9594743507145874,0.980495649687456,1.0
6,0.2094731400025534,0.38101082520349455,0.2,1.0,1.0,1.0,0.9980576524006832,0.02860265965819639,1.0,0.0,0.4491725937443096,0.24881978084610143,0.1861906469540536,0.9980576524006832,1.0,1.0
7,0.21313935948631207,0.4456205037257012,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.47949994081417,0.25792158185392383,0.18619064695420345,1.0,1.0,1.0
8,0.17028048039697008,0.439354070390731,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5048906525006039,0.26744017908539663,0.1861906469541994,1.0,1.0,1.0
9,0.21461094594362265,0.4167418968908161,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5319819400055436,0.2774054160946535,0.1861906469541995,1.0,1.0,1.0
10,0.15218954829259454,0.3956788328280207,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5529080338468736,0.28768952261064445,0.1861906469541995,1.0,1.0,1.0
11,0.20013990026923545,0.37962256519901005,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.576065843792578,0.29833394426038956,0.1861906469541995,1.0,1.0,1.0
12,0.16794684099117005,0.3809790189279486,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.595492882878229,0.3092604624753503,0.1861906469541995,1.0,1.0,1.0
13,0.1706588038326986,0.42878252125228977,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6139515323416097,0.3204468884974289,0.1861906469541995,1.0,1.0,1.0
14,0.1778224435414629,0.3923123274123246,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6318236523374027,0.3318788926592027,0.1861906469541995,1.0,1.0,1.0
15,0.20144178818003283,0.4448383544107113,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6503412074803738,0.3435669278822181,0.1861906469541995,1.0,1.0,1.0
16,0.1734417596928808,0.35440066030830053,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6657113532945604,0.35544548566928713,0.1861906469541995,1.0,1.0,1.0
17,0.22791074996209448,0.43325705677266574,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6841206526242294,0.36757344386507884,0.1861906469541995,1.0,1.0,1.0
18,0.213226495984901,0.40233726678272197,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7003574533310429,0.37990485849304895,0.1861906469541995,1.0,1.0,1.0
19,0.16878403096788316,0.36545094051128196,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7123878820984811,0.3923535675500881,0.1861906469541995,1.0,1.0,1.0
20,0.17433904666686528,0.3960882316929084,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7241004843595935,0.4049120415617791,0.1861906469541995,1.0,1.0,1.0
21,0.15525855610624317,0.41992852202225767,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7337226650460759,0.4175373744470829,0.1861906469541995,1.0,1.0,1.0
22,0.20823059669124785,0.35130677777911173,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7466200086057017,0.4302944008747261,0.1861906469541995,1.0,1.0,1.0
23,0.217394270219977,0.3991531923517495,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.759409957365046,0.44317965601327974,0.1861906469541995,1.0,1.0,1.0
24,0.2235012321709906,0.39750782228931775,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7718766497731803,0.45618539244861056,0.1861906469541995,1.0,1.0,1.0
25,0.21365906245883703,0.3954266412801748,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7828795498813123,0.4692811295217507,0.1861906469541995,1.0,1.0,1.0
26,0.1990421849955044,0.3999232401358633,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.792159235406668,0.4824315029346665,0.1861906469541995,1.0,1.0,1.0
27,0.151820341925671,0.3643949089252057,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7974478402795353,0.4955561447109106,0.1861906469541995,1.0,1.0,1.0
28,0.16858092541666422,0.39062165982780334,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.803638074587522,0.5086733447555519,0.1861906469541995,1.0,1.0,1.0
29,0.17953991355480353,0.40392195362076083,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8102539083643804,0.521791689475284,0.1861906469541995,1.0,1.0,1.0
30,0.20274930277476708,0.3900010933010386,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8181607396638617,0.5349369873738083,0.1861906469541995,1.0,1.0,1.0
31,0.17554996459333702,0.4011122417960377,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8236150368103651,0.5480599182362775,0.1861906469541995,1.0,1.0,1.0
32,0.2262212811790928,0.42828228375365307,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8324272452566928,0.5612278639590487,0.1861906469541995,1.0,1.0,1.0
33,0.2024322550475482,0.4316988349489067,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8389806184358082,0.5743951976881744,0.1861906469541995,1.0,1.0,1.0
34,0.16822488327025037,0.3600904320981916,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8426529922033237,0.5875043055553592,0.1861906469541995,1.0,1.0,1.0
35,0.15745022806033057,0.36215148437256595,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8453214159848019,0.6005356908195015,0.1861906469541995,1.0,1.0,1.0
36,0.15073111498016972,0.4125581026424439,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.847341073894724,0.613477155389201,0.1861906469541995,1.0,1.0,1.0
37,0.22350029339981925,0.36136004011175477,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8545318310371353,0.6264330204560518,0.1861906469541995,1.0,1.0,1.0
38,0.20494402351869415,0.44405770364907565,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8599416022709863,0.639367522296911,0.1861906469541995,1.0,1.0,1.0
39,0.21123061620753064,0.3653179942814594,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8654839917966649,0.6522835269098752,0.1861906469541995,1.0,1.0,1.0
40,0.2010681597551303,0.3755475426015594,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8699547537249983,0.6651597867152764,0.1861906469541995,1.0,1.0,1.0
41,0.1642517415178486,0.3511139983228734,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8714797249860501,0.6779377833478447,0.1861906469541995,1.0,1.0,1.0
42,0.19203226461675313,0.4418983832866643,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8749335900393571,0.6906570773151534,0.1861906469541995,1.0,1.0,1.0
43,0.15832264878803667,0.36472375710874744,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8757286264290144,0.7032650790705821,0.1861906469541995,1.0,1.0,1.0
44,0.18106654787480359,0.35385844365133734,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8781300545177165,0.7157950293702307,0.1861906469541995,1.0,1.0,1.0
45,0.1871565526030136,0.4230251896876122,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8808303042487466,0.7282536851615034,0.1861906469541995,1.0,1.0,1.0
46,0.18686028317205697,0.3539035648547911,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8833469922307177,0.7406380881545026,0.1861906469541995,1.0,1.0,1.0
47,0.15242622715657914,0.36982024716405837,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8832083958649367,0.7528958751902564,0.1861906469541995,1.0,1.0,1.0
48,0.20337298825703062,0.4424935072416014,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8867833166427553,0.7651025827712089,0.1861906469541995,1.0,1.0,1.0
49,0.1902275546695118,0.36032909811448316,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8891877151885593,0.7772353112472681,0.1861906469541995,1.0,1.0,1.0
50,0.44318486469043766,-0.2168112834802992,0.39,1.0,1.0,1.0,1.0,0.0,1.0,0.02527104120497621,0.9088421747574877,0.7896398016299452,0.36307176156068904,1.0,1.0,1.0
51,0.4216485832389655,-0.2768242173555849,0.39,1.0,1.0,1.0,1.0,0.0,1.0,0.027001944355864838,0.9221387814604353,0.8021861792428544,0.3537456225433436,1.0,1.0,1.0
52,0.4867986591774087,-0.1318956428770755,0.39,1.0,1.0,1.0,1.0,0.0,1.0,0.0394230305270282,0.9388225925846784,0.8149407693021193,0.3542373475596878,1.0,1.0,1.0
53,0.4475077899186033,-0.12341130505318604,0.39,1.0,1.0,1.0,1.0,0.0,1.0,0.04527648420375445,0.9515890442902406,0.827823142494903,0.35421142112954884,1.0,1.0,1.0
54,0.5752183443362208,-0.21343102231418254,0.39,1.0,1.0,1.0,1.0,0.0006764512097752473,1.0,0.0699966400565076,0.97140207248294,0.8409729525196128,0.35421278811263374,1.0,1.0,1.0
55,0.4449751591616009,-0.2630797887410008,0.39,1.0,1.0,1.0,1.0,0.0,1.0,0.07394416314689602,0.9809716494417363,0.8541826559832514,0.35421271603781496,1.0,1.0,1.0
56,0.5334863237978146,-0.1348610398558598,0.39,1.0,1.0,1.0,1.0,0.0,1.0,0.09097099253904459,0.9953851981994408,0.8675485333874077,0.3542127198379933,1.0,1.0,1.0
57,0.5721022701382885,-0.25825855335854664,0.39,1.0,1.0,1.0,1.0,0.0004894636569933858,1.0,0.11293887200346255,1.0,0.8808730480535336,0.35421271963762707,1.0,1.0,1.0
58,0.4853182119828068,-0.29560765849319437,0.39,1.0,1.0,1.0,1.0,0.0,1.0,0.12079074879291225,1.0,0.8940643175729983,0.35421271964819145,1.0,1.0,1.0
59,0.4609316327757599,-0.24100845757986777,0.39,1.0,1.0,1.0,1.0,0.0,1.0,0.12459204486069493,1.0,0.9071236743972684,0.3542127196476345,1.0,1.0,1.0
60,0.4247512904517512,-0.2847594592698327,0.39,1.0,1.0,1.0,1.0,0.0,1.0,0.12277622477654712,1.0,0.9200524376532957,0.3542127196476638,1.0,1.0,1.0
61,0.59864878324667,-0.23900645712442373,0.39,1.0,1.0,1.0,1.0,0.0020822544468817733,1.0,0.14713581961584143,1.0,0.9328519132767628,0.35421271964766227,1.0,1.0,1.0
62,0.4997968543195282,-0.19312708430828926,0.39,1.0,1.0,1.0,1.0,0.0,1.0,0.15544964537409994,1.0,0.9455233941439951,0.3542127196476624,1.0,1.0,1.0
63,0.49443953813485697,-0.18210410856903597,0.39,1.0,1.0,1.0,1.0,0.0,1.0,0.1625441824167448,1.0,0.9580681602025551,0.3542127196476624,1.0,1.0,1.0
64,0.500488417049545,-0.2019365004399488,0.39,1.0,1.0,1.0,1.0,0.0,1.0,0.1701913244444606,1.0,0.9704874786005296,0.3542127196476624,1.0,1.0,1.0
65,0.41590685511125947,-0.17350442261814925,0.39,1.0,1.0,1.0,1.0,0.0,1.0,0.16476887508004784,1.0,0.9827826038145243,0.3542127196476624,1.0,1.0,1.0
66,0.5337526799847623,-0.15520463487472985,0.39,1.0,1.0,1.0,1.0,0.0,1.0,0.1772944219148811,1.0,0.994954777776379,0.3542127196476624,1.0,1.0,1.0
67,0.46265321531611714,-0.20752598780318413,0.39,1.0,1.0,1.0,1.0,0.0,1.0,0.17852877170767595,1.0,1.0,0.3542127196476624,1.0,1.0,1.0
68,0.5612615965254428,-0.15442383921871833,0.39,1.0,1.0,1.0,1.0,0.0,1.0,0.19449266119222985,1.0,1.0,0.3542127196476624,1.0,1.0,1.0
69,0.410491880049339,-0.23303281436617013,0.39,1.0,1.0,1.0,1.0,0.0,1.0,0.1870428987311405,1.0,1.0,0.3542127196476624,1.0,1.0,1.0
