t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.21346720670093305,0.4321954042319727,0.2,0.806533376344322,0.8882697662793833,0.7955547189948601,0.7260399999999999,0.30908803240205596,0.714541048992922,0.35494008100513996,0.27923605075930213,0.20558472101518604,0.191,0.4138069962370564,0.4585729728284473,0.5920370269041801
1,0.18880277023447561,0.3761621482944658,0.2,0.8734398695131383,1.0,0.8469311726747657,0.7495869999999999,0.31735639780607305,0.8669481055512553,0.4034820924900543,0.3133738999646796,0.21179635180432776,0.19140500000000002,0.554502075664675,0.6160932491228012,0.7258280117543809
2,0.15003613719080566,0.4162818562883768,0.2,0.9440765114925231,1.0,0.9061030002760234,0.772504621,0.3230521230923696,1.0,0.44377982144417244,0.3494853215750265,0.21866809471778503,0.191386775,0.660824060199692,0.7355422756730026,0.8273642405720523
3,0.18762034056515559,0.4259730635097893,0.2,1.0,1.0,0.9614167740678597,0.794731246975,0.3308623044339697,1.0,0.48770039287173717,0.3891031142835403,0.22626347605627797,0.19138759512500003,0.764067951717632,0.8525484008549356,0.9268192419454452
4,0.17985282976590733,0.42701398359379905,0.2,1.0,1.0,1.0,0.816291230158525,0.33801109972974985,1.0,0.5282598046793614,0.42766712792504863,0.23455418385421614,0.19138755821937503,0.816291230158525,0.9128616539004968,0.9780855162605785
5,0.17181584685375764,0.4301915483162604,0.2,1.0,1.0,1.0,0.8372044068270944,0.3444989598073012,1.0,0.5655856986590724,0.46505318531143847,0.24350970572190275,0.19138755988012812,0.8372044068270944,0.9381500233814024,0.99958062990416
6,0.20838598660976126,0.39140064411653036,0.2,1.0,1.0,1.0,0.8574901885114818,0.3530188316045237,1.0,0.6065308188942302,0.505625773347732,0.2531871241316384,0.19138755980539424,0.8574901885114818,0.9634387530727149,1.0
7,0.19306441756442214,0.4182051741288679,0.2,1.0,1.0,1.0,0.8769296624242026,0.3597904843794823,1.0,0.6409167188916498,0.5439447537872972,0.263534147966068,0.19144380609588366,0.8769296624242026,0.9873584942278214,1.0
8,0.165438790061127,0.40536151654982844,0.2,1.0,1.0,1.0,0.8945444998648951,0.36148680180653325,1.0,0.6577835200431045,0.5775767177014166,0.2744503408404357,0.191737525083576,0.8945444998648951,1.0,1.0
9,0.21440992398791786,0.3765521054438502,0.2,1.0,1.0,1.0,0.9110693651525201,0.3644593581921547,1.0,0.675433881242298,0.6141252727845633,0.28598834288772257,0.19187037848180477,0.9110693651525201,1.0,1.0
10,0.21426922476890506,0.4185689882100441,0.2,1.0,1.0,1.0,0.9264781652842957,0.36567149438560037,1.0,0.6861971082769951,0.6485982890877013,0.2981004252405994,0.1920171416988128,0.9264781652842957,1.0,1.0
11,0.2175425859836932,0.38355820178258143,0.2,1.0,1.0,1.0,0.9410574191651405,0.36602023148763907,1.0,0.6932641085220592,0.6813931690277941,0.31074728436874927,0.19210403812948576,0.9410574191651405,1.0,1.0
12,0.15745076737531458,0.4300282719805426,0.2,1.0,1.0,1.0,0.9549561831067122,0.36207972235649866,1.0,0.688568108122896,0.7064925889704856,0.3237696633044715,0.19216155681785668,0.9549561831067122,1.0,1.0
13,0.21438252106337943,0.39452124141128436,0.2,1.0,1.0,1.0,0.9686195385903104,0.3620908505754219,1.0,0.6942381563895802,0.7355227940005848,0.33724242255143844,0.1921186022925553,0.9686195385903104,1.0,1.0
14,0.15750242993567518,0.36971620447989345,0.2,1.0,1.0,1.0,0.9816583580593107,0.35815838371451825,1.0,0.6891709659112116,0.7573879997646934,0.35101775832121795,0.1921693835268037,0.9816583580593107,1.0,1.0
15,0.2007935081698959,0.3791183561813466,0.2,1.0,1.0,1.0,0.994499970264367,0.35739458098091265,1.0,0.6925681347798359,0.782060578944026,0.3651487923168863,0.19212349457093797,0.994499970264367,1.0,1.0
16,0.22610984030108636,0.40885697968510076,0.2,1.0,1.0,1.0,1.0,0.3578529817544195,1.0,0.6984416077632947,0.8077129228326989,0.3796515628503714,0.1921547458535995,1.0,1.0,1.0
17,0.16606994559043894,0.41554039933731846,0.2,1.0,1.0,1.0,1.0,0.35414054094694364,1.0,0.6930243834660205,0.8261057085372617,0.3943771613926129,0.19220425743204095,1.0,1.0,1.0
18,0.17883036523264767,0.44327372151071065,0.2,1.0,1.0,1.0,1.0,0.3517925599823275,1.0,0.6916280759947914,0.8445727458042892,0.4093248446947726,0.19215539413018035,1.0,1.0,1.0
19,0.22276089620216072,0.4014651161252579,0.2,1.0,1.0,1.0,1.0,0.35227559525876023,1.0,0.6973646985357472,0.8661454467860448,0.42455450518354576,0.1921453145716695,1.0,1.0,1.0
20,0.20156574485899958,0.41979103527397543,0.2,1.0,1.0,1.0,1.0,0.3509348251054306,1.0,0.6976907672583617,0.8844284858854796,0.4399975298494199,0.1921953285225496,1.0,1.0,1.0
21,0.21444039374809898,0.4476375005515618,0.2,1.0,1.0,1.0,1.0,0.3503643883735977,1.0,0.6998209611449706,0.9028507930463083,0.4556545704118519,0.19219611712629311,1.0,1.0,1.0
22,0.15227375843136218,0.38613764214880447,0.2,1.0,1.0,1.0,1.0,0.34587724243681833,1.0,0.6917975911168097,0.9142241642849477,0.47138250799343234,0.19221450878061133,1.0,1.0,1.0
23,0.19813977922778642,0.38043244060678755,0.2,1.0,1.0,1.0,1.0,0.34500909779168143,1.0,0.6937748211939788,0.9292502283086388,0.4872536874796708,0.19214436440464175,1.0,1.0,1.0
24,0.19713253922437707,0.35896874628972797,0.2,1.0,1.0,1.0,1.0,0.34392264624892205,1.0,0.6948322410826421,0.9432945302840967,0.503247041210556,0.19216432725548754,1.0,1.0,1.0
