t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.19175871277699946,0.4306690777118679,0.2,0.8067417126057843,0.8883305269844141,0.7984318742034501,0.7231641759999999,0.2611878053583258,0.7171089176918235,0.24959867938774666,0.2746866422075795,0.2054937328441516,0.1916804,0.4137936954392445,0.4516209489532552,0.5859577066102669
1,0.22683958194591014,0.37896253777644656,0.2,0.8733608761120322,1.0,0.8433786149416821,0.7441706673267519,0.22565213607999207,0.8676972941144936,0.2083183099383386,0.3084326531218974,0.211607448578148,0.19202647872080003,0.5481366803095626,0.5914275547810396,0.7047068018836836
2,0.2112885950238362,0.4204219866843413,0.2,0.9429054213503955,1.0,0.8924369797505458,0.7646078117789417,0.19006342279778693,1.0,0.1667136214027125,0.3457801526634018,0.21840697714563456,0.19201208253817217,0.6434049848293945,0.686205698611036,0.7852718231848375
3,0.20291064457790642,0.3610162048917212,0.2,1.0,1.0,0.9443947115878409,0.7844293107480674,0.1548620987673811,1.0,0.1259347912996469,0.38204625720250657,0.22586383251822834,0.19201268139057714,0.74081089268497,0.7809641280557962,0.8658163384997823
4,0.15215494230324214,0.3884171104544298,0.2,1.0,1.0,1.0,0.8036562700388763,0.11749545120657809,1.0,0.07958145099574508,0.4140063120066291,0.23388532043317864,0.1920126564795148,0.8036562700388763,0.836705354661001,0.9131963873419722
5,0.20971161569331076,0.3752383767513222,0.2,1.0,1.0,1.0,0.822306416171076,0.08451637084114882,1.0,0.04417928272413117,0.45047670845733573,0.24255600139799358,0.19201265751576516,0.822306416171076,0.8466308400760358,0.9216330496856892
6,0.1901282136454427,0.381743509054575,0.2,1.0,1.0,1.0,0.8403970581015042,0.05118676333690174,1.0,0.007609712392168733,0.48478928995471465,0.25182622718310793,0.19201265747265922,0.8403970581015042,0.8554530799642287,0.9291319536014296
7,0.21770622473027393,0.44451939145048897,0.2,1.0,1.0,1.0,0.8579449807664407,0.02034507668639403,1.0,0.0,0.5196964123065687,0.2617018931574082,0.19201265747445234,0.8579449807664407,0.8640542155156807,0.9364429188197155
8,0.18212727495285355,0.4498447005087021,0.2,1.0,1.0,1.0,0.8749664657517442,0.0,1.0,0.0,0.5495338424088467,0.2720755510740111,0.19201265747437773,0.8749664657517442,0.8749664657517442,0.9457183315203881
9,0.15497542330019573,0.43126090004416157,0.2,1.0,1.0,1.0,0.8914773061874756,0.0,1.0,0.0,0.5753104720110647,0.28286100500349226,0.19201265747438084,0.8914773061874756,0.8914773061874756,0.959752545890759
10,0.22002532017026244,0.36509154802769805,0.2,1.0,1.0,1.0,0.9074928214101355,0.0,1.0,0.0,0.6049802561813736,0.2941320000770848,0.1920126574743807,0.9074928214101355,0.9074928214101355,0.9733657338300201
11,0.20644548924735606,0.4058891868604675,0.2,1.0,1.0,1.0,0.9230278711761156,0.0,1.0,0.0,0.6317342493935193,0.30582536506418434,0.19201265747438073,0.9230278711761156,0.9230278711761156,0.9865705261311031
12,0.2264150289808695,0.3710010009490223,0.2,1.0,1.0,1.0,0.9380968694491164,0.0,1.0,0.0,0.658552941872262,0.31793817025098775,0.19201265747438073,0.9380968694491164,0.9380968694491164,0.9993791746631537
13,0.1931970680496099,0.43824561068087003,0.2,1.0,1.0,1.0,0.9527137977739272,0.0,1.0,0.0,0.6809846839425803,0.3303784822273295,0.19201265747438073,0.9527137977739272,0.9527137977739272,1.0
