t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.19175871277699946,0.4306690777118679,0.2,0.8067417126057843,0.8883305269844141,0.7984318742034501,0.7231641759999999,0.32266470476661996,0.7171089176918235,0.32058065491654986,0.27533577572763557,0.2055067155145527,0.1916804,0.4137936954392445,0.4605245126398618,0.5935257357438826
1,0.22683958194591014,0.37896253777644656,0.2,0.8733608761120322,1.0,0.8433786149416821,0.7441706673267519,0.34706901241137306,0.8676972941144936,0.34673316221950484,0.30998534267245964,0.21165135521285638,0.19202647872080003,0.5481366803095626,0.6147211200150836,0.7245063323326211
2,0.2112885950238362,0.4204219866843413,0.2,0.9429054213503955,1.0,0.8924369797505458,0.7646078117789417,0.3699217766291776,1.0,0.3691897065986237,0.34773109510891903,0.21848946356290622,0.19201208253817217,0.6434049848293945,0.72670831510745,0.8196990472067894
3,0.20291064457790642,0.3610162048917212,0.2,1.0,1.0,0.9443947115878409,0.7844293107480674,0.39170089316128115,1.0,0.3892690477645658,0.3834470380333657,0.22597350968794447,0.19201268139057714,0.74081089268497,0.8423725935998781,0.9180135342122522
4,0.15215494230324214,0.3884171104544298,0.2,1.0,1.0,1.0,0.8036562700388763,0.4098901751489248,1.0,0.4007309701662213,0.4129633135489901,0.23397304086204485,0.1920126564795148,0.8036562700388763,0.9189500532888947,0.9831043811756818
5,0.20971161569331076,0.3752383767513222,0.2,1.0,1.0,1.0,0.822306416171076,0.43107812609323104,1.0,0.4202533014648867,0.4469257996174818,0.24257182644577402,0.19201265751576516,0.822306416171076,0.9463738243061898,1.0
6,0.1901282136454427,0.381743509054575,0.2,1.0,1.0,1.0,0.8403970581015042,0.4505613741159761,1.0,0.43586200572468975,0.4778415001848983,0.2517029381850142,0.19201265747265922,0.8403970581015042,0.9729247167569374,1.0
7,0.21770622473027393,0.44451939145048897,0.2,1.0,1.0,1.0,0.8579449807664407,0.4712122216042857,1.0,0.4548269764411637,0.5103590545659643,0.26139308989448334,0.19201265747445234,0.8579449807664407,0.999440936906861,1.0
8,0.18212727495285355,0.4498447005087021,0.2,1.0,1.0,1.0,0.8749664657517442,0.48921206091869895,1.0,0.46750685615491233,0.53831283686162,0.2715454157327709,0.19201265747437773,0.8749664657517442,1.0,1.0
9,0.15497542330019573,0.43126090004416157,0.2,1.0,1.0,1.0,0.8914773061874756,0.5051327931510942,1.0,0.47547996413508686,0.5625108154056732,0.28208017788355666,0.19201265747438084,0.8914773061874756,1.0,1.0
10,0.22002532017026244,0.36509154802769805,0.2,1.0,1.0,1.0,0.9074928214101355,0.5245585008898835,1.0,0.49281190124676216,0.592048232758071,0.2931003407598825,0.1920126574743807,0.9074928214101355,1.0,1.0
11,0.20644548924735606,0.4058891868604675,0.2,1.0,1.0,1.0,0.9230278711761156,0.5426837760798288,1.0,0.5072402668644179,0.6192929320563663,0.304555195993411,0.19201265747438073,0.9230278711761156,1.0,1.0
12,0.2264150289808695,0.3710010009490223,0.2,1.0,1.0,1.0,0.9380968694491164,0.5615540917740361,1.0,0.5239426451612179,0.6475537046593131,0.31646071812666315,0.19201265747438073,0.9380968694491164,1.0,1.0
13,0.1931970680496099,0.43824561068087003,0.2,1.0,1.0,1.0,0.9527137977739272,0.5779595719200128,1.0,0.534827210403489,0.6716320621395158,0.3287287521881868,0.19201265747438073,0.9527137977739272,1.0,1.0
14,0.2011018544847837,0.38091995299583253,0.2,1.0,1.0,1.0,0.9668922182489936,0.5944292022484504,1.0,0.5463532653489225,0.6955593524322886,0.3413526517149507,0.19201265747438073,0.9668922182489936,1.0,1.0
15,0.1565491083307794,0.44397760470117154,0.2,1.0,1.0,1.0,0.9806452861098081,0.6078139270494368,1.0,0.5512452197879386,0.7142330689752009,0.35422378657730524,0.19201265747438073,0.9806452861098081,1.0,1.0
16,0.18792787768851243,0.4496326182782223,0.2,1.0,1.0,1.0,0.9939564836189793,0.6188606960434054,1.0,0.5612222762568553,0.7351060439590817,0.36738366959071383,0.19201958452071005,0.9939564836189793,1.0,1.0
17,0.1613285712496108,0.4312204252248064,0.2,1.0,1.0,1.0,1.0,0.6225413317279788,1.0,0.5666351389820097,0.7525230390340174,0.380760293675487,0.19202908933015,1.0,1.0,1.0
18,0.21507024973992708,0.44199750224976403,0.2,1.0,1.0,1.0,1.0,0.6275237488181534,1.0,0.5801128012949807,0.774435062668361,0.3944413919920994,0.19203195683262128,1.0,1.0,1.0
19,0.15142674531506423,0.3872192841557435,0.2,1.0,1.0,1.0,1.0,0.6260850435867253,1.0,0.5830881658649001,0.7893688672229727,0.4082843554166378,0.19203625446300393,1.0,1.0,1.0
20,0.15413351946883164,0.42520348335719643,0.2,1.0,1.0,1.0,1.0,0.6255601129690691,1.0,0.586326121512255,0.8038196961377956,0.42227790578522734,0.1920348002779876,1.0,1.0,1.0
21,0.17837133887427786,0.44595052188429046,0.2,1.0,1.0,1.0,1.0,0.626763671271059,1.0,0.5931518950377717,0.8199483377259726,0.4364540934818945,0.19203439541818335,1.0,1.0,1.0
