t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.1690371701673513,0.4044229225295952,0.2,0.8070582920287416,0.8890695069369877,0.8022192244748974,0.7260399999999999,0.08792223021004109,0.7024798917028114,0.2429110446659249,0.2526679078561234,0.20505335815712247,0.191,0.41792103665930486,0.43078162901747724,0.5684143846648557
1,0.17959641332384635,0.4103920038596195,0.2,0.8745925507770462,1.0,0.8548766641091968,0.7495869999999999,0.0,0.8487417334512438,0.19030902357202778,0.25622250694990373,0.2101272747145493,0.19140500000000002,0.5604427844984612,0.5604427844984612,0.678525116823692
2,0.20005762432864432,0.3565528859239813,0.2,0.9452377494168516,1.0,0.9064260862682623,0.772504621,0.0,0.9807872261574001,0.14340409818354521,0.2606138874012803,0.21523827971542941,0.191386775,0.6618728080261926,0.6618728080261926,0.7647451930722637
3,0.15105343932438992,0.433746908209646,0.2,1.0,1.0,0.9672200489563298,0.794731246975,0.0,1.0,0.09149388972884863,0.26462341620197916,0.22037836524231472,0.19138759512500003,0.7686799956062845,0.7686799956062845,0.8555310974840918
4,0.1707483211462406,0.3734330961046697,0.2,1.0,1.0,1.0,0.816291230158525,0.0,1.0,0.04513341954148946,0.26883769914368416,0.22555133557276524,0.19138755821937503,0.816291230158525,0.816291230158525,0.8960006560799025
5,0.22965158684083703,0.3970263507522448,0.2,1.0,1.0,1.0,0.8372044068270944,0.0,1.0,0.009926462916978088,0.2735723850050357,0.2307672699171383,0.19138755988012812,0.8372044068270944,0.8372044068270944,0.9137768558329982
6,0.2169169161019511,0.39763532086993353,0.2,1.0,1.0,1.0,0.8574901885114818,0.0,1.0,0.0,0.2779505193741429,0.23601860760544977,0.19138755980539424,0.8574901885114818,0.8574901885114818,0.931019770283411
7,0.20112545124353295,0.3650616424023524,0.2,1.0,1.0,1.0,0.8771673967311234,0.0,1.0,0.0,0.28190963017900533,0.24129661413297537,0.19138755980875727,0.8771673967311234,0.8771673967311234,0.9477453972692655
8,0.20078885266281507,0.4368045307143297,0.2,1.0,1.0,1.0,0.8962542887048154,0.0,1.0,0.0,0.28562786200962687,0.24659620523183817,0.19138755980860594,0.8962542887048154,0.8962542887048154,0.9639692554469416
9,0.1918544968306641,0.42412518562014906,0.2,1.0,1.0,1.0,0.9147685739192678,0.0,1.0,0.0,0.28903454980767285,0.2519109341756733,0.19138755980861274,0.9147685739192678,0.9147685739192678,0.9797063978792244
10,0.2037129180295674,0.3564031438226998,0.2,1.0,1.0,1.0,0.9327274305772879,0.0,1.0,0.0,0.29235423470770516,0.25723890952807066,0.19138755980861244,0.9327274305772879,0.9327274305772879,0.9949714260385416
11,0.21065841970294538,0.4091099582931318,0.2,1.0,1.0,1.0,0.9501475215355674,0.0,1.0,0.0,0.295543498980302,0.26257739041239603,0.19138755980861244,0.9501475215355674,0.9501475215355674,1.0
12,0.17410141276125699,0.35310117514697503,0.2,1.0,1.0,1.0,0.9670450097650984,0.0,1.0,0.0,0.2981794930278203,0.2679152063688285,0.19138755980861244,0.9670450097650984,0.9670450097650984,1.0
13,0.21924217895831566,0.3972749088665467,0.2,1.0,1.0,1.0,0.9834355733477435,0.0,1.0,0.0,0.3011042210178384,0.273258138725497,0.19138755980861244,0.9834355733477435,0.9834355733477435,1.0
14,0.20750591392526424,0.4378812800255482,0.2,1.0,1.0,1.0,0.9993344200229093,0.0,1.0,0.0,0.3037372763046282,0.27860030286433457,0.19138755980861244,0.9993344200229093,0.9993344200229093,1.0
15,0.2071303586888962,0.4421098667583875,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3062086302773706,0.28393847244123865,0.19138755980861244,1.0,1.0,1.0
16,0.1815970723200595,0.43009087709852284,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.308278923476697,0.2892646661863602,0.19138755980861244,1.0,1.0,1.0
17,0.18556968448406086,0.44355867217045214,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.31026432794448733,0.29457730608338634,0.19138755980861244,1.0,1.0,1.0
18,0.22030933282704332,0.35974543097308775,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.31247453066280584,0.2998810236358086,0.19138755980861244,1.0,1.0,1.0
19,0.1608775088160535,0.37169869412331374,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3139637461603164,0.3051614883226569,0.19138755980861244,1.0,1.0,1.0
20,0.22723841111185622,0.39361618666274295,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.31602058166070485,0.3104302850726444,0.19138755980861244,1.0,1.0,1.0
21,0.20013186326934432,0.38010261984255056,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.31768565220742906,0.31567969526606654,0.19138755980861244,1.0,1.0,1.0
22,0.19057943870632477,0.3885866258844903,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3191562495181759,0.3209060233037694,0.19138755980861244,1.0,1.0,1.0
23,0.1780728391016144,0.40850741074053637,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3204147956541913,0.32610525898381554,0.19138755980861244,1.0,1.0,1.0
24,0.19674014343761592,0.44042017708477754,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3217826353349722,0.3312798591006768,0.19138755980861244,1.0,1.0,1.0
25,0.20455857093079732,0.4428945601200017,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.32314580706708873,0.3364299766510118,0.19138755980861244,1.0,1.0,1.0
26,0.21851204531174045,0.4490989644868815,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.32456532789164966,0.3415569834423347,0.19138755980861244,1.0,1.0,1.0
27,0.20370188337300146,0.366309962197107,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3257530568635434,0.3466564747451822,0.19138755980861244,1.0,1.0,1.0
28,0.21885100264930146,0.4464632947309062,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3270194983779589,0.35173029996528954,0.19138755980861244,1.0,1.0,1.0
29,0.2223756787609789,0.40691075034743235,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.32824484769501505,0.3567778939195369,0.19138755980861244,1.0,1.0,1.0
30,0.20710536161393595,0.37111249836755983,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.32924549991329216,0.3617950249786074,0.19138755980861244,1.0,1.0,1.0
31,0.21652863442186832,0.4073532352351285,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.33027940339927114,0.36678266279680677,0.19138755980861244,1.0,1.0,1.0
32,0.1727965969588964,0.35634605771452293,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.33081832550520796,0.3717312026789429,0.19138755980861244,1.0,1.0,1.0
33,0.21831539907381442,0.4489806014921581,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3317755484257262,0.37664940162066796,0.19138755980861244,1.0,1.0,1.0
