t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.16074913952899209,0.4347433736937233,0.2,0.8071563047870687,0.8892186914884782,0.8034624290706512,0.7260399999999999,0.3042939319730966,0.7076216046460667,0.3470323709293488,0.2737075093288388,0.20547415018657678,0.191,0.41868976832334887,0.4632814328813547,0.5960392179491516
1,0.21110196951812912,0.3755069025739422,0.2,0.8744089911918124,1.0,0.8513753872068721,0.7495869999999999,0.3115340854462141,0.8474853098171871,0.3993146478106007,0.3092077235984235,0.21160356315667947,0.19140500000000002,0.5580302621186285,0.6188761686947818,0.7281934933905645
2,0.18963480696735527,0.3949491064788738,0.2,0.9449061164138284,1.0,0.9045407511236658,0.772504621,0.33793476372810005,0.9852144124269704,0.44576054946517396,0.34869933920327245,0.21846151430917812,0.191386775,0.6602644027949186,0.7383586060297201,0.8297581213752621
3,0.20212743781782103,0.42887233511355133,0.2,1.0,1.0,0.9577018940648876,0.794731246975,0.3644250485139668,1.0,0.4917581490795884,0.3899055619282119,0.22607501040465058,0.19138759512500003,0.7611156205005074,0.8581949794244799,0.9316188337295578
4,0.1575087669419388,0.35283474765220063,0.2,1.0,1.0,1.0,0.816291230158525,0.38757595297518393,1.0,0.5287630636532248,0.42638708012002446,0.23434200190300458,0.19138755821937503,0.816291230158525,0.9270224281604165,0.9901221743815102
5,0.21686120831358957,0.39327670679050536,0.2,1.0,1.0,1.0,0.8372044068270944,0.41370923144002997,1.0,0.5728205989032172,0.46836594101095386,0.24336590070419362,0.19138755988012812,0.8372044068270944,0.9584301239244196,1.0
6,0.21098240659663536,0.35021060533511106,0.2,1.0,1.0,1.0,0.8574901885114818,0.4388364498342589,1.0,0.613793437124199,0.5093442592412546,0.25311912688197674,0.19138755980539424,0.8574901885114818,0.9891944710444127,1.0
7,0.18563097552438412,0.42215400323407826,0.2,1.0,1.0,1.0,0.8766652892208883,0.4618239055167472,1.0,0.6442394055697415,0.5467737000949864,0.26352340961505666,0.19150635496102109,0.8766652892208883,1.0,1.0
8,0.1683009777016362,0.44452706955539223,0.2,1.0,1.0,1.0,0.8941784406441888,0.4832174433213697,1.0,0.6602427992234523,0.5805485823266799,0.27449914716543966,0.1917634597555377,0.8941784406441888,1.0,1.0
9,0.22211419660891868,0.35305899830335535,0.2,1.0,1.0,1.0,0.9106292371520005,0.5073150991031266,1.0,0.6780920971200278,0.6176876273122249,0.28610790824002974,0.19189050085320095,0.9106292371520005,1.0,1.0
