t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.1690371701673513,0.4044229225295952,0.2,0.8067214865905025,0.886757540885032,0.7995630707280389,0.7058916214942782,0.3258035875319159,0.7143855433766396,0.348847611507915,0.2745034511016387,0.2054900690220328,0.19576696652343573,0.403756260113456,0.4497970934251577,0.5833857877805251
1,0.17959641332384635,0.4103920038596195,0.2,0.8736654380933147,1.0,0.8474346725208723,0.7112278151800517,0.3516028073938891,0.8718574286625912,0.3968474800573567,0.3074196042099495,0.21158356041601145,0.1958565593855043,0.5265748558487394,0.5913756750155467,0.7037051839168386
2,0.20005762432864432,0.3565528859239813,0.2,0.9431817531755518,1.0,0.8921412081704597,0.7164119378631356,0.37798456771976713,1.0,0.4455163092802954,0.34791565442254735,0.21842603790030227,0.19585466313758232,0.602825762756577,0.6825763551276361,0.7812262360740951
3,0.15105343932438992,0.433746908209646,0.2,1.0,1.0,0.9441311830533622,0.7214403672309765,0.40076653614799534,1.0,0.48440107410757755,0.3834584701055843,0.22591094692341093,0.19585470327198698,0.6811343474162339,0.7766758959891342,0.8612108357727674
4,0.1707483211462406,0.3734330961046697,0.2,1.0,1.0,0.9929723856914746,0.72631794730813,0.4241606482068727,1.0,0.524295832864839,0.4206325711861693,0.2340644888779002,0.19585470242253558,0.7212136649090887,0.8282823243703114,0.9050763001091308
5,0.22965158684083703,0.3970263507522448,0.2,1.0,1.0,1.0,0.7310491999069788,0.4505041034073923,1.0,0.5710313435405844,0.46323867619788783,0.24298861751307899,0.1958547024405144,0.7310491999069788,0.8463184324297536,0.920406991955162
6,0.2169169161019511,0.39763532086993353,0.2,1.0,1.0,1.0,0.7356385149294704,0.47542489198353527,1.0,0.6135198780716639,0.5042363677610866,0.25264345869316995,0.19585470244013384,0.7356385149294704,0.8580478164542156,0.9263210049545506
7,0.20112545124353295,0.3650616424023524,0.2,1.0,1.0,1.0,0.7400901505012533,0.49877517295377016,1.0,0.6471912144136536,0.5423336804011863,0.262963697714262,0.19585470244014191,0.7400901505012533,0.8692886579874288,0.925774319355183
8,0.20078885266281507,0.4368045307143297,0.2,1.0,1.0,1.0,0.7444082370058833,0.5215215009849061,1.0,0.6683594177206937,0.577439267242386,0.27388284608196706,0.19585470244014172,0.7444082370058833,0.8802869523939759,0.928772408608636
9,0.1918544968306641,0.42412518562014906,0.2,1.0,1.0,1.0,0.7485967809153744,0.5431631094653346,1.0,0.6803588480429542,0.6091596676262985,0.28532721097367336,0.19585470244014175,0.7485967809153744,0.8909103352555815,0.9342024549443224
