t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.1681364687504839,0.4462295035834383,0.2,0.8069416386593347,0.8882127243624912,0.8013513696874275,0.718432,0.306512188125029,0.7076877704478912,0.34835647031257255,0.27483479340766803,0.20549669586815336,0.1928,0.41263662071693025,0.45690397444769265,0.5901683782805387
1,0.16010647189206875,0.4204816922871608,0.2,0.8744985562329092,1.0,0.8551380269183056,0.7352154879999999,0.3130845077354274,0.8564789934145051,0.3931217215807542,0.3060902367884496,0.2115635336452408,0.19305920000000001,0.549806618474353,0.610054195547506,0.72028126621538
2,0.1568148214440602,0.3747440984929085,0.2,0.9454767122258765,1.0,0.910570429205762,0.751534911232,0.3192696498326853,0.9938651668340137,0.4351538429743255,0.3431421769638933,0.2183107418480663,0.1930498688,0.6470137923324832,0.7193139457527017,0.8131543866897963
3,0.2299302831330063,0.3709397631888913,0.2,1.0,1.0,0.9561034198933624,0.7673633319316481,0.3296880044167046,1.0,0.4860517178623442,0.3876634941133318,0.22588090431185226,0.1930502047232,0.7336787059606141,0.8183384799185289,0.8973251567499495
4,0.20134947480576856,0.3959133762772397,0.2,1.0,1.0,1.0,0.7827169511243809,0.3381310187563263,1.0,0.5301175763056881,0.42908859960660717,0.23420386726086587,0.1930501926299648,0.7827169511243809,0.8753482591529173,0.9457834721224885
5,0.1862505944910514,0.3994982693889178,0.2,1.0,1.0,1.0,0.797609959901225,0.3454570261022602,1.0,0.5697153098319,0.46863591044832476,0.2432345467972237,0.19305019306532128,0.797609959901225,0.894048947559182,0.9616790571589742
6,0.16537846737941456,0.4330521273632972,0.2,1.0,1.0,1.0,0.8120561784810075,0.3513475555952349,1.0,0.6042023376131751,0.5056176859181414,0.2529145550476143,0.19305019304964843,0.8120561784810075,0.9119160621413659,0.9756054032737964
7,0.15716524987524716,0.3734182959489706,0.2,1.0,1.0,1.0,0.8259455688617803,0.3562011431637296,1.0,0.6328789464550878,0.5410100001929883,0.2632056095009979,0.19307939848536204,0.8259455688617803,0.9289165333986343,0.9814455198309723
8,0.15159930449793446,0.3766767461003198,0.2,1.0,1.0,1.0,0.8385802137748409,0.35788824436948047,1.0,0.63981053264403,0.5736688992006604,0.27404693139000114,0.19327767855388467,0.8385802137748409,0.9436215139396426,0.9918157074170161
9,0.18261310903687655,0.4402064300411629,0.2,1.0,1.0,1.0,0.8506611457380041,0.36071996514793353,1.0,0.6463390907833387,0.6074513162751761,0.2854554884016046,0.1933190051159917,0.8506611457380041,0.958058806333164,1.0
10,0.18032603366732713,0.36137309272808,0.2,1.0,1.0,1.0,0.8621936473749161,0.36272304988765763,1.0,0.6477640209998292,0.6389597211359662,0.29738012794030794,0.19336301198524003,0.8621936473749161,0.9716517756542737,1.0
11,0.170668536482553,0.44916023970710683,0.2,1.0,1.0,1.0,0.8733446352954602,0.36395773131081965,1.0,0.6467011365648095,0.6676104510231636,0.30975853568136813,0.19337142018727327,0.8733446352954602,0.984595821535574,1.0
12,0.15504709445617748,0.41201679619366843,0.2,1.0,1.0,1.0,0.8841935855303873,0.36432381942932607,1.0,0.6440700189789564,0.6929872520593292,0.322520695365741,0.19336373281692645,0.8841935855303873,0.9969400599987567,1.0
13,0.18017641073926027,0.41608431716118327,0.2,1.0,1.0,1.0,0.8947933655099465,0.36643775666174716,1.0,0.6471268484768185,0.7193540854373742,0.3356825701208311,0.19334568118009368,0.8947933655099465,1.0,1.0
14,0.1770750869717712,0.41913005716059726,0.2,1.0,1.0,1.0,0.9049825960710575,0.36802583398945177,1.0,0.6474896216495297,0.7438216367469571,0.3492021771545619,0.193367579291859,0.9049825960710575,1.0,1.0
15,0.18980644279920575,0.4149721365547263,0.2,1.0,1.0,1.0,0.9148586508981282,0.37030168889503334,1.0,0.6494974866804499,0.7680887481897858,0.363071930346812,0.1933693534599679,0.9148586508981282,1.0,1.0
16,0.2221099968003728,0.408153654492194,0.2,1.0,1.0,1.0,0.9243796036425452,0.37426905826472767,1.0,0.6548868133198585,0.794111343712124,0.3773234379175863,0.19338326996734367,0.9243796036425452,1.0,1.0
17,0.1613710383216837,0.35643734972157765,0.2,1.0,1.0,1.0,0.933458358522312,0.3739825612489614,1.0,0.647235532925367,0.812510200296569,0.3918004075443418,0.19342031317293937,0.933458358522312,1.0,1.0
18,0.22568411471692612,0.39886668302254363,0.2,1.0,1.0,1.0,0.9424952614503458,0.37828100079680116,1.0,0.654810104210469,0.8362320662963195,0.4066070447948248,0.19336577594234153,0.9424952614503458,1.0,1.0
19,0.16550831982386577,0.44460443247878,0.2,1.0,1.0,1.0,0.9510302877843083,0.37815139630427297,1.0,0.6478354210391217,0.8525155651789946,0.4215912856504564,0.1934203744059607,0.9510302877843083,1.0,1.0
20,0.19631694284454773,0.42289414598373054,0.2,1.0,1.0,1.0,0.9595223864979999,0.3805269234755031,1.0,0.6505674992204155,0.8709079145030872,0.4367935310840136,0.19336995094308657,0.9595223864979999,1.0,1.0
21,0.2204767748386484,0.3785653230229915,0.2,1.0,1.0,1.0,0.9676720304247629,0.3840395549710351,1.0,0.6549316248017595,0.8905943475177176,0.4522374827235278,0.1933906982204173,0.9676720304247629,1.0,1.0
22,0.17853573909702275,0.43780765043655034,0.2,1.0,1.0,1.0,0.9754517621090261,0.3845337195485904,1.0,0.6498223442507033,0.9049108709776011,0.4678133253158446,0.1934203724139576,0.9754517621090261,1.0,1.0
