t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.19983213559117616,0.42417869892607296,0.2,0.8065040403456806,0.8872057047593589,0.7960955396613235,0.7146279999999999,0.19947930634090333,0.7084362932229354,0.3532188203386764,0.26533790274982216,0.20530675805499646,0.1937,0.4070765565333737,0.435497728727096,0.5717480694180316
1,0.21361548524525573,0.4442450283777051,0.2,0.8729384210716646,1.0,0.8410242666396154,0.7279783779999999,0.1013710262970961,0.8616883554568507,0.40586801610853096,0.28532700642163944,0.2109602306028793,0.19389845000000003,0.5344543497943184,0.5534167148759773,0.6719295951445807
2,0.20919188597919444,0.4422324996665417,0.2,0.9420943503361539,1.0,0.887500069757052,0.7409546662929999,0.005330942933170352,1.0,0.4552204620589836,0.3084160437016252,0.217018949170883,0.193892198825,0.6195187181045925,0.6206746347308788,0.729100389814997
3,0.15232041826268916,0.39656226543781053,0.2,1.0,1.0,0.9433197862231347,0.7535408336557704,0.0,1.0,0.49357458918387925,0.32830202453131796,0.22341480016980053,0.1938923957370125,0.710829978114564,0.710829978114564,0.8057323824631263
4,0.2254685373598651,0.41489745531369243,0.2,1.0,1.0,0.9887950224148364,0.7657494422145231,0.0,1.0,0.540983227072779,0.35200264064289233,0.2302207049809604,0.19389238953428412,0.7571692368786579,0.7571692368786579,0.8451207539632881
5,0.22207203934004982,0.36132059646531445,0.2,1.0,1.0,1.0,0.7775917916906819,0.0,1.0,0.5855119583877079,0.37533793747303784,0.23742525668061154,0.19389238972967004,0.7775917916906819,0.7775917916906819,0.862479925504662
6,0.1875255238225731,0.37465728326198305,0.2,1.0,1.0,1.0,0.7890788707085697,0.0,1.0,0.6226322758085303,0.39654986640586665,0.24498200144192275,0.1938923897235154,0.7890788707085697,0.7890788707085697,0.8654542599288463
7,0.19350086873887443,0.4073941187928101,0.2,1.0,1.0,1.0,0.7996370889399498,0.0,1.0,0.6504599579684329,0.41720973987511556,0.2528763762250058,0.1940306188440133,0.7996370889399498,0.7996370889399498,0.8660458834974241
8,0.15104913516711216,0.3716729800463848,0.2,1.0,1.0,1.0,0.8091776688319774,0.0,1.0,0.6602024795403699,0.4344471040824098,0.26103655454440394,0.1941964449778645,0.8091776688319774,0.8091776688319774,0.8711911634006037
9,0.17235858928088882,0.4416345371808552,0.2,1.0,1.0,1.0,0.8182010993980764,0.0,1.0,0.6690375537159086,0.45189165058684144,0.26946402201069675,0.19425108186962345,0.8182010993980764,0.8182010993980764,0.8761968979061865
10,0.21125803613033134,0.36596042123580386,0.2,1.0,1.0,1.0,0.8267321655761658,0.0,1.0,0.6799651314463557,0.47039501716724563,0.2781772821339347,0.1943035254353237,0.8267321655761658,0.8267321655761658,0.8801569199470033
11,0.21377175931449635,0.3638767418398903,0.2,1.0,1.0,1.0,0.8347311083097603,0.0,1.0,0.6866254884915524,0.48794413714075463,0.2871543920554105,0.19436887041777298,0.8347311083097603,0.8347311083097603,0.8849415779113873
12,0.19939620163728933,0.362669923255027,0.2,1.0,1.0,1.0,0.8423257285659048,0.0,1.0,0.6882998871973427,0.5037155888230531,0.29635715991131745,0.19440775547978612,0.8423257285659048,0.8423257285659048,0.8908849642518698
13,0.15014198897620276,0.4371404744724282,0.2,1.0,1.0,1.0,0.8496538996849758,0.0,1.0,0.681879807659877,0.5159646140399564,0.3057128805930034,0.19441689046308008,0.8496538996849758,0.8496538996849758,0.8990376498184963
14,0.16675651059960941,0.37154811692247325,0.2,1.0,1.0,1.0,0.8569295161158234,0.0,1.0,0.6806961412990231,0.5283613447783411,0.3152229786826402,0.19437731070471687,0.8569295161158234,0.8569295161158234,0.9055869186325636
15,0.22859368870607402,0.4372407765436802,0.2,1.0,1.0,1.0,0.8640126584520409,0.0,1.0,0.6892846685927939,0.5432670883826055,0.32493609066346596,0.1943712079290949,0.8640126584520409,0.8640126584520409,0.9090325571241229
16,0.17314441341975412,0.4461477988950084,0.2,1.0,1.0,1.0,0.870660300648953,0.0,1.0,0.6858853944709431,0.5543357555570073,0.33477344486797145,0.19442396957007735,0.870660300648953,0.870660300648953,0.9156896448178077
17,0.19313787750966485,0.41778304772505925,0.2,1.0,1.0,1.0,0.8772029033432288,0.0,1.0,0.6869502467262129,0.5658289441265283,0.3447422893018223,0.19440163760715826,0.8772029033432288,0.8772029033432288,0.920936984422091
18,0.1663823611627034,0.44409760010879995,0.2,1.0,1.0,1.0,0.8835189488590278,0.0,1.0,0.6835421921858249,0.5752060197525221,0.3547989868038545,0.19440880143152306,0.8835189488590278,0.8835189488590278,0.9273262485165453
19,0.20525135528855265,0.44665643123171955,0.2,1.0,1.0,1.0,0.8897345965475162,0.0,1.0,0.6874215451387238,0.586081065961829,0.36497261825505256,0.19438772488463898,0.8897345965475162,0.8897345965475162,0.931451012302612
20,0.22149933420611828,0.3798788897853868,0.2,1.0,1.0,1.0,0.8956608024173941,0.0,1.0,0.69207630233976,0.5971444890858031,0.37526578185421805,0.1944120874369945,0.8956608024173941,0.8956608024173941,0.9350857694936083
21,0.17889519477779073,0.36659560571297456,0.2,1.0,1.0,1.0,0.901291698324974,0.0,1.0,0.6883548297680826,0.6053072616819997,0.3856192692693159,0.19443989274918727,0.901291698324974,0.901291698324974,0.9409815214585062
