t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.178921821993126,0.3980480665601294,0.2,0.8092978041111121,0.9048964952041237,0.8191241267010311,0.86552,0.3233753093195876,0.7025422625605661,0.34579827329896884,0.27705076895068925,0.2055410153790138,0.15800000000000003,0.5191992947523854,0.5779629761410578,0.7017685297198991
1,0.18335621012845318,0.39467592537839236,0.2,0.8806230437119452,1.0,0.9026838332812477,1.0,0.3464322991943051,0.8482065659201663,0.38997179115328834,0.3118577598050498,0.21172276042132465,0.15800000000000003,0.7949241847736984,0.8913097793294072,0.9681133124299962
2,0.1827612583959917,0.4157705826394271,0.2,0.9574700490180765,1.0,0.9850793870226302,1.0,0.368877167218207,0.9907287254416086,0.4318473903550227,0.3531922105219936,0.2186693770275513,0.15800000000000003,0.9431840089792545,1.0,1.0
3,0.17070843055120627,0.41349959241034845,0.2,1.0,1.0,1.0,1.0,0.39003774387082424,1.0,0.4698212854199525,0.3933211619279209,0.22634910649583417,0.15800000000000003,1.0,1.0,1.0
4,0.1508102698901876,0.3802043704799646,0.2,1.0,1.0,1.0,1.0,0.40947541646746494,1.0,0.502911761632483,0.43085934405952825,0.2347028023120664,0.15800000000000003,1.0,1.0,1.0
5,0.17680506805581753,0.3641950517532834,0.2,1.0,1.0,1.0,1.0,0.4299868351391274,1.0,0.5382469337592314,0.470626819576481,0.24376831068047533,0.15800000000000003,1.0,1.0,1.0
6,0.2094731400025534,0.38101082520349455,0.2,1.0,1.0,1.0,1.0,0.45194555266080244,1.0,0.5767155580716528,0.5133196913980143,0.2535970214016309,0.15800000000000003,1.0,1.0,1.0
7,0.21313935948631207,0.4456205037257012,0.2,1.0,1.0,1.0,1.0,0.4735752754134611,1.0,0.6138106840910169,0.5558170834441932,0.26417739285649844,0.15800000000000003,1.0,1.0,1.0
8,0.17028048039697008,0.439354070390731,0.2,1.0,1.0,1.0,1.0,0.49209272235194285,1.0,0.6426222219460116,0.5930774259819263,0.275397167447572,0.15800000000000003,1.0,1.0,1.0
9,0.21461094594362265,0.4167418968908161,0.2,1.0,1.0,1.0,1.0,0.5128070610497616,1.0,0.6766427527402544,0.634327972719403,0.28732975522748433,0.15800000000000003,1.0,1.0,1.0
10,0.15218954829259454,0.3956788328280207,0.2,1.0,1.0,1.0,1.0,0.5292582574210732,1.0,0.6995990473471309,0.6681634081939508,0.2998197258390885,0.15800000000000003,1.0,1.0,1.0
11,0.20013990026923545,0.37962256519901005,0.2,1.0,1.0,1.0,1.0,0.5481751950017005,1.0,0.7286000800201596,0.7062818581500567,0.31294716574369874,0.15800000000000003,1.0,1.0,1.0
12,0.16794684099117005,0.3809790189279486,0.2,1.0,1.0,1.0,1.0,0.5646876255861282,1.0,0.7513221021678271,0.7401530774362418,0.3266207556349866,0.15800000000000003,1.0,1.0,1.0
13,0.1706588038326986,0.42878252125228977,0.2,1.0,1.0,1.0,1.0,0.5809499631764369,1.0,0.7733148176343405,0.7734481145217589,0.3408235103690719,0.15800000000000003,1.0,1.0,1.0
14,0.1778224435414629,0.3923123274123246,0.2,1.0,1.0,1.0,1.0,0.5972355607095137,1.0,0.7952824432838429,0.8066409014983856,0.35554809329534887,0.15800000000000003,1.0,1.0,1.0
15,0.20144178818003283,0.4448383544107113,0.2,1.0,1.0,1.0,1.0,0.6145311789825778,1.0,0.820857083665262,0.8415614669562299,0.37082384170152,0.15800000000000003,1.0,1.0,0.9913366391039059
16,0.1734417596928808,0.35440066030830053,0.2,1.0,1.0,1.0,1.0,0.6297144050895862,1.0,0.8421676458430978,0.8727655660239786,0.3865709146049844,0.15800000000000003,1.0,1.0,0.9819068252291535
17,0.22791074996209448,0.43325705677266574,0.2,1.0,1.0,1.0,1.0,0.6477861899600722,1.0,0.8720287712420629,0.9091023499558586,0.40288725245805174,0.15800000000000003,1.0,1.0,0.9693341306353668
18,0.213226495984901,0.40233726678272197,0.2,1.0,1.0,1.0,1.0,0.6645251249701645,1.0,0.899533317075308,0.9432904311830789,0.4197241885571328,0.15800000000000003,1.0,1.0,0.9577349798833747
19,0.16878403096788316,0.36545094051128196,0.2,1.0,1.0,1.0,1.0,0.6781790387039833,1.0,0.9200885789630437,0.972137407641919,0.4369696948243998,0.15800000000000003,1.0,1.0,0.9488376185702903
20,0.17433904666686528,0.3960882316929084,0.2,1.0,1.0,1.0,1.0,0.6918249055363956,1.0,0.9415409994578331,1.0,0.4545999978761558,0.15800000000000003,1.0,1.0,0.9396727190553711
21,0.15525855610624317,0.41992852202225767,0.2,1.0,1.0,1.0,1.0,0.7039847962643603,1.0,0.9600315166020267,1.0,0.4720539978973943,0.15800000000000003,1.0,1.0,0.9316935857665201
22,0.20823059669124785,0.35130677777911173,0.2,1.0,1.0,1.0,1.0,0.7190190121592261,1.0,0.9867460512483507,1.0,0.48933345791842037,0.15800000000000003,1.0,1.0,0.9206723821936497
