t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.7405171047973711,-0.3,0.45499999999999996,0.8015472116012348,0.8826603720031461,0.7299978173407092,0.8987498122700269,0.3098474834477231,0.5720440372041221,0.32901229855223835,0.3013032155103683,0.20602606431020737,0.335491888241765,0.4641764586389515,0.5145148262936858,0.6034646302891917
1,0.22522819116528942,0.3,0.2,0.8655256251837706,1.0,0.8093952719569291,1.0,0.2730814530501888,0.7232395183307967,0.2561056572203434,0.3201769649636073,0.21236934296637744,0.14236698897752215,0.7005523487813091,0.7675100974513319,0.8667918355892515
2,0.17046204107464313,0.3,0.2,0.9354289871677889,1.0,0.8954530795221847,1.0,0.2345303767996626,0.8657495266595812,0.17950208403020898,0.34138563849430914,0.21907336230659985,0.1496391438838785,0.8376327672337147,0.9063903822153883,0.9830220389121103
3,0.20267600145920606,0.3,0.2,1.0,1.0,0.9754016176352588,1.0,0.19885400832810252,1.0,0.11152792343170956,0.3700454922130349,0.22628353852779456,0.14936530950424376,0.9754016176352588,1.0,1.0
4,0.20473865024615642,0.3,0.2,1.0,1.0,1.0,1.0,0.16419413289841078,1.0,0.047263105535471195,0.39947045469470466,0.23401011223641072,0.14937562079002295,1.0,1.0,1.0
5,0.21220132703120897,0.3,0.2,1.0,1.0,1.0,1.0,0.13084848389968995,1.0,0.0,0.4293553035283638,0.2422571171846139,0.14937523251659082,1.0,1.0,1.0
6,0.6446532232624499,-0.3,0.45499999999999996,1.0,1.0,1.0,1.0,0.13951986627743668,1.0,0.030153132201416882,0.485296015518888,0.25154046632314553,0.33982868723690457,1.0,1.0,1.0
7,0.17864261436930345,0.3,0.2,1.0,1.0,1.0,1.0,0.10420382746195304,1.0,0.0,0.5077847816291955,0.26118075729249796,0.14220368598443045,1.0,1.0,1.0
8,0.21434250273271108,0.3,0.2,1.0,1.0,1.0,1.0,0.07250801148704424,1.0,0.0,0.5313141093692646,0.27119523190695827,0.14964529308922156,1.0,1.0,1.0
9,0.16197628448072104,0.3,0.2,1.0,1.0,1.0,1.0,0.03844020060563055,1.0,0.0,0.5499260817356152,0.281481801222601,0.14936507795474405,1.0,1.0,1.0
10,0.2031199242325604,0.3,0.2,1.0,1.0,1.0,1.0,0.007693547505708137,1.0,0.0,0.5701756489755309,0.2920704961898857,0.1493756295090635,1.0,1.0,1.0
11,0.20213586334582376,0.3,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5891443653670023,0.3029326785353269,0.14937523218827367,1.0,1.0,1.0
