t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.18843845324810352,0.3,0.2,0.8069721670459138,0.8897029758606393,0.8004380196492362,0.7346039885320697,0.2694472214133736,0.6985362327527551,0.31523370889690605,0.2705134126737049,0.2054102682534741,0.18897381974793304,0.4221672990194487,0.4619804310117815,0.595439911423031
1,0.18574074030271387,0.3,0.2,0.8744632504711436,1.0,0.8543208241364818,0.7664160329162101,0.2398864678417544,0.8408814252989292,0.3298617602775421,0.2952732208938625,0.21126162998881662,0.18938876245107986,0.572568084863143,0.620641052280001,0.7301977038252309
2,0.20261646611154166,0.3,0.2,0.9452785323049165,1.0,0.9085278823855011,0.7969773693956596,0.21252191366253492,0.9761962706995171,0.34692668471483834,0.3254356278977758,0.21765772624688395,0.1894588759936272,0.6844536514335252,0.735365141369112,0.8276956511653384
3,0.20079967392827874,0.3,0.2,1.0,1.0,0.9657116767341387,0.8263183193521791,0.18612890159398746,1.0,0.36343376633316166,0.35525593287277113,0.22458626764187054,0.18953069297198988,0.7979852496977284,0.8499700910027832,0.9250919041093683
4,0.6604087409599292,-0.3,0.45499999999999996,1.0,1.0,0.9426487010664781,0.8400035986638841,0.20766694939855443,1.0,0.47757488271473725,0.42415573991180583,0.23282351976368795,0.4313284242465049,0.7918283011716776,0.8493810998847943,0.8641418288404489
5,0.16135604140262672,0.3,0.2,1.0,1.0,1.0,0.8997230011707253,0.17909516505045947,1.0,0.4816871560522911,0.45012529212254293,0.24149779040850192,0.18203797070975766,0.8997230011707253,0.9561206149587533,1.0
6,0.17480866016279561,0.3,0.2,1.0,1.0,1.0,0.9263027861953468,0.15033747296222433,1.0,0.4852080854826433,0.475326063231813,0.2505893337690532,0.18945469832971376,0.9263027861953468,0.9750430932214132,1.0
7,0.22649640298056095,0.3,0.2,1.0,1.0,1.0,0.9525972098119108,0.1259839600916769,1.0,0.4971414692812144,0.503642461923537,0.2601562896698334,0.18933355507829078,0.9525972098119108,0.994601398914446,1.0
8,0.22148325631258475,0.3,0.2,1.0,1.0,1.0,0.9777222636038068,0.10240072998751175,1.0,0.5083884287964817,0.5304391290202123,0.27016350935353933,0.18942358751902524,0.9777222636038068,1.0,1.0
9,0.20339351751265286,0.3,0.2,1.0,1.0,1.0,1.0,0.07873851938724376,1.0,0.5169567052097244,0.5546646632692882,0.2805551675253897,0.18949859159770943,1.0,1.0,1.0
