t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.19478179088643968,0.3,0.2,0.80712044277326,0.8911197188434041,0.8012453540950341,0.7479457143999999,0.2589711972710089,0.6997705937290849,0.24365597803133665,0.2707671149369194,0.2054153422987384,0.18581726,0.43103248636991776,0.47010123604018883,0.6031317356341604
1,0.18725200560798186,0.3,0.2,0.8749211321461743,1.0,0.8582187001814157,0.7928322031800527,0.21873945969854944,0.8433419709200738,0.19048313652022633,0.29656650507183174,0.21129251897718762,0.18620074285203803,0.5953168314807038,0.6408935802043434,0.7482093574606824
2,0.19699078630799174,0.3,0.2,0.946495890668318,1.0,0.9181071938042036,0.8364159230868354,0.1800918092026503,0.9804134525888933,0.1413896437071943,0.327840421021875,0.21773640220785323,0.18619037397424662,0.7268326283966603,0.7726464394590755,0.8602018800466525
3,0.19095269112334443,0.3,0.2,1.0,1.0,0.9830760630803606,0.8786909464040232,0.14204822738808315,1.0,0.09384619579241939,0.359285585323471,0.22474474989224413,0.18619065433522253,0.8638200362552233,0.9067664729815508,0.9742038384505127
4,0.2134381498015962,0.3,0.2,1.0,1.0,1.0,0.9196977510623491,0.10630485822875178,1.0,0.05205270975069627,0.3920636372650448,0.23233857513862258,0.18619064675462624,0.9196977510623491,0.9539166697263438,1.0
5,0.660680252524905,-0.3,0.45499999999999996,1.0,1.0,0.9893964679762716,0.9452307662221784,0.1172810455709439,1.0,0.10792238319726812,0.45250772417597246,0.24106534387075582,0.42358372183308013,0.9352079815227281,0.9735967409874753,0.9716612993810838
6,0.7619289068734355,-0.3,0.45499999999999996,1.0,1.0,0.9707814122768899,0.9976189577258855,0.12966820569582826,1.0,0.15037360809076372,0.5082693868440085,0.25082007816892843,0.40898095151657354,0.968469940695334,1.0,0.9977547621208567
7,0.15335042690958767,0.3,0.2,1.0,1.0,1.0,1.0,0.08712399004261503,1.0,0.0734377875058062,0.5241577106686773,0.2607950316006127,0.18016668674622882,1.0,1.0,1.0
8,0.22718062249004534,0.3,0.2,1.0,1.0,1.0,1.0,0.053673048203120036,1.0,0.035356171141499984,0.5487602459466858,0.27116228620354027,0.18635352700707475,1.0,1.0,1.0
9,0.19924501636628567,0.3,0.2,1.0,1.0,1.0,1.0,0.019284908097168874,1.0,0.0,0.5711769486970181,0.28187420231544524,0.18618624288931382,1.0,1.0,1.0
10,0.15120005895596839,0.3,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5888351069610487,0.2928321624315118,0.18619076603438872,1.0,1.0,1.0
11,0.1547640884135084,0.3,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6056871203663488,0.30401758321452366,0.18619064373442598,1.0,1.0,1.0
12,0.16935544109321718,0.3,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6225654784680076,0.3154287169517386,0.18619064704125798,1.0,1.0,1.0
13,0.692786892244657,-0.3,0.45499999999999996,1.0,1.0,0.991152780072529,1.0,0.01556020717579605,1.0,0.06328830486090335,0.6731932997532624,0.32773829577728647,0.42358372181544857,0.991152780072529,0.9965506699828072,0.9911721390315239
14,0.21739417028148256,0.3,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6857447768320897,0.3401758083561554,0.17977184682094863,1.0,1.0,1.0
15,0.20122333663353417,0.3,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7001825969770036,0.3527777022121339,0.18636420296536244,1.0,1.0,1.0
16,0.20299596255122945,0.3,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7137804775420241,0.3655255347408531,0.18618595422528048,1.0,1.0,1.0
17,0.17225303197311087,0.3,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7243793239361203,0.37835786587216697,0.18619077383948893,1.0,1.0,1.0
18,0.22965533133249594,0.3,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.738423546929115,0.39134275815202757,0.1861906435233862,1.0,1.0,1.0
19,0.20662476971983595,0.3,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7499876162814663,0.4044290828961366,0.18619064704696422,1.0,1.0,1.0
20,0.16837327212863243,-0.3,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7581381111138492,0.4175475542894522,0.18619064695169127,1.0,1.0,1.0
21,0.15561787996479406,-0.3,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7648926515930872,0.43066993177841945,0.18619064695426732,1.0,1.0,1.0
22,0.18203198439347928,-0.3,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7731199961848839,0.4438256323843329,0.18619064695419765,1.0,1.0,1.0
23,0.18092108253647476,-0.3,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7807747135611223,0.45700287033171205,0.18619064695419954,1.0,1.0,1.0
24,0.21778478186422434,-0.3,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7905912039719177,0.4702446657078333,0.1861906469541995,1.0,1.0,1.0
25,0.6419434829459222,0.3,0.45499999999999996,1.0,1.0,0.9987792914670713,1.0,0.012509602619481724,1.0,0.05566179347555919,0.8278182257166049,0.4840985835650871,0.4235837218208038,0.9987792914670713,1.0,0.9941040695447991
26,0.18759898208109332,-0.3,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8291615934748523,0.4978408295989333,0.17977184682080383,1.0,1.0,1.0
27,0.1817939510463425,-0.3,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8336096381413658,0.5115346140657712,0.18636420296536635,1.0,1.0,1.0
28,0.7258909824468048,0.3,0.45499999999999996,1.0,1.0,0.9861877003398536,1.0,0.01754324343373062,1.0,0.06823504727983128,0.8737318341187572,0.5258939046074886,0.42357304586251276,0.9861877003398536,0.9922430261542983,0.9875133107655253
29,0.1715820469480114,-0.3,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8712827025424503,0.5400606196122628,0.17977213548483728,1.0,1.0,1.0
30,0.6665171250926696,0.3,0.45499999999999996,1.0,1.0,0.9950735040366193,1.0,0.01410270331433118,1.0,0.060045738446354247,0.9054162376570353,0.554768338169281,0.4239785439896054,0.9950735040366193,0.9999851332778024,0.9939927272887306
31,0.2106432413595007,-0.3,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9035908344011225,0.5692924714756107,0.17976117134262826,1.0,1.0,1.0
32,0.6492775897786259,0.3,0.45499999999999996,1.0,1.0,0.9976594006118386,1.0,0.01306853392912119,1.0,0.05746100030416852,0.9346579598884576,0.5842927059586237,0.4239792184273511,0.9976594006118386,1.0,0.9940051953931623
