t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.18431112437400915,0.3,0.2,0.8068777427309843,0.8887945757612679,0.7999281313438987,0.7260399999999999,0.30733866746244054,0.7003491100500794,0.35056666865610137,0.2757456073538748,0.2055149121470775,0.191,0.41650541254000656,0.4613082890083354,0.5943620456570852
1,0.16648785857116014,0.3,0.2,0.8743914742370649,1.0,0.8545862205880661,0.7495869999999999,0.3143118722901491,0.8455887685623834,0.3959801140089703,0.3067632780723933,0.2115950285870546,0.19140500000000002,0.5601235676421287,0.621742288182931,0.7306296949554913
2,0.21588710980267561,0.3,0.2,0.9448268482498164,1.0,0.9037655765788438,0.772504621,0.32403476907105594,0.981090453211414,0.4465305877789232,0.3486873798029759,0.21845282589724355,0.191386775,0.6596432264165083,0.7344547956059141,0.826439882515027
3,0.16281836452150555,0.3,0.2,1.0,1.0,0.9628347081326852,0.794731246975,0.3303322657005699,1.0,0.48659332448320286,0.38601116549989833,0.22598852094826907,0.19138759512500003,0.7651948282250991,0.8536638176835835,0.9277673462497958
4,0.17622182492976746,0.3,0.2,1.0,1.0,1.0,0.816291230158525,0.3372764516745167,1.0,0.5266634389848328,0.4243457295198591,0.23421555032918356,0.19138755821937503,0.816291230158525,0.9126517635328378,0.9779071094480684
5,0.22622535273167294,0.3,0.2,1.0,1.0,1.0,0.8372044068270944,0.34704724830612377,1.0,0.5722305771309574,0.4672805824668346,0.24321900647522843,0.19138755988012812,0.8372044068270944,0.9388967268077807,1.0
6,0.15356451059603463,0.3,0.2,1.0,1.0,1.0,0.8574901885114818,0.35221412433005206,1.0,0.604620232040462,0.5025700775117985,0.25283821796071215,0.19138755980539424,0.8574901885114818,0.9631972430653459,1.0
7,0.1982552488774548,0.3,0.2,1.0,1.0,1.0,0.876999211442304,0.3594975340315617,1.0,0.6405279110300051,0.5415702530428748,0.26314124084196255,0.1914273512808754,0.876999211442304,0.9873468802937004,1.0
8,0.17268945743253722,0.3,0.2,1.0,1.0,1.0,0.8946231170568552,0.3616745040849612,1.0,0.6586336306598386,0.5760527978983812,0.2740308843915105,0.19173488597212454,0.8946231170568552,1.0,1.0
9,0.18654649208466445,0.3,0.2,1.0,1.0,1.0,0.9111141490616976,0.3628906479433402,1.0,0.6717738275383907,0.6099842694322252,0.2854902609362399,0.1918778251932457,0.9111141490616976,1.0,1.0
10,0.2029477056041881,0.3,0.2,1.0,1.0,1.0,0.9266564894529816,0.36380715540216874,1.0,0.682262418135046,0.6435809356631308,0.2975069770401402,0.19198522913332772,0.9266564894529816,1.0,1.0
11,0.7535675627887981,-0.3,0.45499999999999996,1.0,1.0,0.9725677565768176,0.9266750657360543,0.41632949082304965,0.998647503675144,0.800650690024352,0.7297656208665156,0.3111272196870691,0.43696233786378486,0.9012542897585893,1.0,0.9305642085267483
12,0.22755105283239352,0.3,0.2,1.0,1.0,1.0,0.9743089240914088,0.38124365111731967,1.0,0.7636434369061272,0.7532278422618525,0.32508050433543545,0.1842821505534457,0.9743089240914088,1.0,1.0
13,0.15354085062916967,0.3,0.2,1.0,1.0,1.0,0.983394342840403,0.3708172279586023,1.0,0.7310213459423004,0.7744042864867227,0.3393177850218156,0.19306434862656077,0.983394342840403,1.0,1.0
14,0.6267945054098267,-0.3,0.45499999999999996,1.0,1.0,0.9979491525607006,0.9800796819862825,0.4108923001460717,1.0,0.8114811571551073,0.8400379001439461,0.3547253651744764,0.4378246693235833,0.9780696880801716,1.0,0.927099485522572
15,0.17422884496232577,0.3,0.2,1.0,1.0,1.0,1.0,0.3716468310188375,1.0,0.7622735744001948,0.8524966897608307,0.3702280453179483,0.18446451492692092,1.0,1.0,1.0
16,0.22185569956313506,0.3,0.2,1.0,1.0,1.0,1.0,0.36567057285561566,1.0,0.7404307690053945,0.8741057446558458,0.3860078797578857,0.1930461140567121,1.0,1.0,1.0
17,0.19391857472099244,0.3,0.2,1.0,1.0,1.0,1.0,0.3593862477272822,1.0,0.7228544982024858,0.8914644133534281,0.4019770892273754,0.19253285750871987,1.0,1.0,1.0
18,0.15519953409014803,0.3,0.2,1.0,1.0,1.0,1.0,0.3526437991992613,1.0,0.7063092256355139,0.9039971863520428,0.41803726206214253,0.19240043015396022,1.0,1.0,1.0
19,0.21752543181295217,0.3,0.2,1.0,1.0,1.0,1.0,0.3513828054661724,1.0,0.7055489313667794,0.9215936549771925,0.43428876254106497,0.19226240797644412,1.0,1.0,1.0
20,0.1679439174948833,-0.3,0.2,1.0,1.0,1.0,1.0,0.3472637036030238,1.0,0.6976478014500962,0.9333917010008893,0.45061370893567215,0.1922613807677363,1.0,1.0,1.0
21,0.1529539895246903,-0.3,0.2,1.0,1.0,1.0,1.0,0.34309342314706026,1.0,0.6905714249232494,0.9429764908181123,0.4669671016626777,0.1921930634165597,1.0,1.0,1.0
22,0.21543862915437056,-0.3,0.2,1.0,1.0,1.0,1.0,0.3434505498156749,1.0,0.695620519911804,0.957932646142789,0.4834560835689067,0.19213463612888493,1.0,1.0,1.0
