t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.1509323755033713,0.3,0.2,0.8072242197633861,0.8890654010553394,0.8045558247944943,0.7231641759999999,0.32021512453020223,0.7040413899597303,0.31445670432550565,0.2707847188698512,0.20541569437739704,0.1916804,0.41756201127145376,0.4643603962748834,0.5967862368336508
1,0.16264101798117986,0.3,0.2,0.8750890957364209,1.0,0.8590404908685702,0.7441706673267519,0.34082875784298194,0.8504180353868067,0.3312856245633033,0.2983702912701518,0.2113289432590261,0.19202647872080003,0.5594205999066987,0.6261539197689903,0.7342242121234417
2,0.1513504523366381,0.3,0.2,0.9465611312157034,1.0,0.9168546489416102,0.7646078117789417,0.3602412398637644,0.9918664212530677,0.3455238244221525,0.32983569929634915,0.21781236781236282,0.19201208253817217,0.6635717507848383,0.747237819369293,0.837149125829356
3,0.20450805315211315,0.3,0.2,1.0,1.0,0.9682065044549083,0.7844293107480674,0.38235821432945566,1.0,0.3670260709830491,0.3656650457358113,0.22494754504895542,0.19201268139057714,0.7594895609513594,0.8611285362658879,0.9339560854783604
4,0.22998529873328954,0.3,0.2,1.0,1.0,1.0,0.8036562700388763,0.4054508846736978,1.0,0.39127469568828754,0.4028726284072193,0.23275552216661025,0.1920126564795148,0.8036562700388763,0.9177013710201656,0.9820430012472622
5,0.17704622058053598,0.3,0.2,1.0,1.0,1.0,0.822306416171076,0.42478989417311824,1.0,0.4063700314439336,0.4337726880586022,0.24110342070611618,0.19201265751576516,0.822306416171076,0.9445640255971917,1.0
6,0.17244653486745098,0.3,0.2,1.0,1.0,1.0,0.8403970581015042,0.4433694472671866,1.0,0.42002064738808553,0.4630781782934322,0.24995395006492369,0.19201265747265922,0.8403970581015042,0.9708092907989061,1.0
7,0.16828877802791328,0.3,0.2,1.0,1.0,1.0,0.8579449807664407,0.4612350461245743,1.0,0.4323650690160356,0.49086011239155625,0.2592716128121056,0.19201265747445234,0.8579449807664407,0.9964449832380953,1.0
8,0.21996260842988963,0.3,0.2,1.0,1.0,1.0,0.8749664657517442,0.48175443483460245,1.0,0.4518433441225961,0.5226538812321311,0.2691319743086272,0.19201265747437773,0.8749664657517442,1.0,1.0
9,0.16787129658796696,0.3,0.2,1.0,1.0,1.0,0.8914773061874756,0.4986353601163664,1.0,0.4625340086975522,0.5483232306409181,0.27940711917835925,0.19201265747438084,0.8914773061874756,1.0,1.0
10,0.19090959574011998,0.3,0.2,1.0,1.0,1.0,0.9074928214101355,0.5164765602152154,1.0,0.4761458849165829,0.5752292433238284,0.2901176328530522,0.1920126574743807,0.9074928214101355,1.0,1.0
11,0.18644294490854568,0.3,0.2,1.0,1.0,1.0,0.9230278711761156,0.5336037312616986,1.0,0.48840716969992604,0.6007233779624522,0.3012309240837707,0.19201265747438073,0.9230278711761156,1.0,1.0
12,0.1563167431718748,0.3,0.2,1.0,1.0,1.0,0.9380968694491164,0.5484951509278195,1.0,0.49553645998360124,0.6222962084634481,0.312664539012202,0.19201265747438073,0.9380968694491164,1.0,1.0
13,0.17879715588051226,0.3,0.2,1.0,1.0,1.0,0.9527137977739272,0.5643631098648058,1.0,0.5056813476593884,0.6451282595650386,0.32444045881338074,0.19201265747438073,0.9527137977739272,1.0,1.0
14,0.2244173894488965,0.3,0.2,1.0,1.0,1.0,0.9668922182489936,0.5825715838424704,1.0,0.522162025986644,0.671568286291832,0.3366274199510836,0.19201265747438073,0.9668922182489936,1.0,1.0
15,0.18240803407245204,0.3,0.2,1.0,1.0,1.0,0.9806452861098081,0.5978042846481068,1.0,0.5315172670910701,0.6930577321634068,0.3491223003948409,0.19201265747438073,0.9806452861098081,1.0,1.0
16,0.22961383287062584,0.3,0.2,1.0,1.0,1.0,0.9939857619347979,0.6154885158614926,1.0,0.5487246972289203,0.7184163751908184,0.3619994048947089,0.19201265747438073,0.9939857619347979,1.0,1.0
17,0.2256019847624387,0.3,0.2,1.0,1.0,1.0,1.0,0.6247870991460255,1.0,0.5646968025785285,0.7426038460488513,0.3752314877667388,0.19202638804369193,1.0,1.0,1.0
18,0.6280636244027875,-0.3,0.45499999999999996,1.0,1.0,0.999954034065435,0.9979787671601626,0.6729636370179201,1.0,0.6731622529918084,0.8072711653003364,0.38962459619507817,0.4368774866673295,0.9979328941334541,1.0,0.9542392250320412
19,0.2250451831728065,0.3,0.2,1.0,1.0,1.0,1.0,0.6462088078961161,1.0,0.6057169837249825,0.8159868886724433,0.40404808800657627,0.1817663451212128,1.0,1.0,1.0
20,0.20752658725820852,-0.3,0.2,1.0,1.0,1.0,1.0,0.6386192132176198,1.0,0.6149273372103016,0.8339623122377391,0.41868685337126527,0.19247007164167798,1.0,1.0,1.0
21,0.18959880599480253,-0.3,0.2,1.0,1.0,1.0,1.0,0.6336499804197075,1.0,0.6144000330294773,0.8491484603407676,0.433482954044368,0.1920023401457373,1.0,1.0,1.0
22,0.15799005144347725,-0.3,0.2,1.0,1.0,1.0,1.0,0.6293916225052423,1.0,0.6093285748377313,0.8604421537449707,0.4483569675788237,0.1920182933057793,1.0,1.0,1.0
23,0.6094832332038705,0.3,0.45499999999999996,1.0,1.0,1.0,0.9980283965629112,0.6740380451780801,1.0,0.707925146369466,0.9167338643627232,0.46420807519028995,0.43685124857338636,0.9980283965629112,1.0,0.9436020349101977
24,0.2172385757693674,-0.3,0.2,1.0,1.0,1.0,1.0,0.6462197862467947,1.0,0.6197198474874396,0.9160819365627355,0.4798876331696417,0.18170894448860286,1.0,1.0,1.0
25,0.18211674566425923,-0.3,0.2,1.0,1.0,1.0,1.0,0.6370873680918185,1.0,0.6171267672851933,0.9256572144958748,0.49560190112786284,0.19244852422846737,1.0,1.0,1.0
26,0.16433691712837994,-0.3,0.2,1.0,1.0,1.0,1.0,0.6314008836135442,1.0,0.6114474162946725,0.932804209829437,0.5113019663131729,0.19199811746889994,1.0,1.0,1.0
27,0.17830411260027287,-0.3,0.2,1.0,1.0,1.0,1.0,0.6295391602112956,1.0,0.6111718316465454,0.9412044963209346,0.5270130365764599,0.19202152411098822,1.0,1.0,1.0
28,0.17489863822731108,-0.3,0.2,1.0,1.0,1.0,1.0,0.6284452404254999,1.0,0.610511346042877,0.9487930789473901,0.5427187677896431,0.19201937127344285,1.0,1.0,1.0
29,0.17546140515022973,-0.3,0.2,1.0,1.0,1.0,1.0,0.6279571758452839,1.0,0.6103046976211057,0.9560206152644244,0.5584119924170352,0.1920196204976712,1.0,1.0,1.0
30,0.17689419500242315,-0.3,0.2,1.0,1.0,1.0,1.0,0.6278102060707812,1.0,0.6104337277233168,0.9629666591093031,0.5740872056750509,0.19201953082999265,1.0,1.0,1.0
31,0.15593607649638222,-0.3,0.2,1.0,1.0,1.0,1.0,0.6264823894201524,1.0,0.6072451407167357,0.9674554997993804,0.5896954436142879,0.19201918362980885,1.0,1.0,1.0
32,0.21369211689975706,-0.3,0.2,1.0,1.0,1.0,1.0,0.629316658308203,1.0,0.6147850447489535,0.9774722764835762,0.6053479347078166,0.19202347344696258,1.0,1.0,1.0
33,0.15923204581522432,-0.3,0.2,1.0,1.0,1.0,1.0,0.6273953305909822,1.0,0.6096648286717066,0.9811855542790413,0.6209181664463193,0.19201291434262277,1.0,1.0,1.0
34,0.1800918638797991,-0.3,0.2,1.0,1.0,1.0,1.0,0.6277344838953886,1.0,0.6106472894424131,0.986968893266509,0.6364483626471863,0.19202040589271588,1.0,1.0,1.0
35,0.2242386519716675,-0.3,0.2,1.0,1.0,1.0,1.0,0.6305441403929172,1.0,0.617911261980343,0.9966351351634997,0.6520165817239844,0.19201871491070155,1.0,1.0,1.0
36,0.17297697190297276,-0.3,0.2,1.0,1.0,1.0,1.0,0.6288033778497837,1.0,0.6131663466872179,1.0,0.6674964159067446,0.1920088546196166,1.0,1.0,1.0
37,0.7787880004337594,0.3,0.45499999999999996,1.0,1.0,0.9773568615698212,0.9980571909370812,0.6839110812661823,1.0,0.7358094048420882,1.0,0.6828214517476772,0.4368360255512932,0.9754580438014575,1.0,0.9332659559063139
38,0.16266999174522592,-0.3,0.2,1.0,1.0,1.0,1.0,0.6476344833124722,1.0,0.6235166268663929,0.9888043629942144,0.6977693244900848,0.1816706481003798,1.0,1.0,1.0
39,0.18847766153364842,-0.3,0.2,1.0,1.0,1.0,1.0,0.6381419492814185,1.0,0.61978484434612,0.9944122491412216,0.7126798762280084,0.19244487891783538,1.0,1.0,1.0
40,0.15344390779752098,0.3,0.2,1.0,1.0,1.0,1.0,0.6312485017260208,1.0,0.6109292470656495,0.9962516568184491,0.7274781106020973,0.191994658680982,1.0,1.0,1.0
41,0.7687496991183201,-0.3,0.45499999999999996,1.0,1.0,0.9788584582651192,0.9980288607582292,0.6844799908067907,0.9982946598214683,0.7332923725352715,1.0,0.7422033294960764,0.43685100316240644,0.9769289919458936,1.0,0.9339035392874588
42,0.18698311104284274,0.3,0.2,1.0,1.0,1.0,1.0,0.6493671580205936,1.0,0.6261799047401104,0.990595682628925,0.7565932098536942,0.18167483352526514,1.0,1.0,1.0
43,0.19746723738260194,0.3,0.2,1.0,1.0,1.0,1.0,0.6395062359083792,1.0,0.6223487738057829,0.9967947094247626,0.7709631719436525,0.1924416866234957,1.0,1.0,1.0
44,0.1704500029553528,0.3,0.2,1.0,1.0,1.0,1.0,0.6329180869611508,1.0,0.61469011054049,0.9999763109112825,0.7852530664424416,0.19199161659476072,1.0,1.0,1.0
45,0.6017850384956739,-0.3,0.45499999999999996,1.0,1.0,1.0,0.998049621147109,0.675255481258852,1.0,0.7090986567339123,1.0,0.7994005357780173,0.43684002755110435,0.998049621147109,1.0,0.9430092998402799
46,0.20188000549989207,0.3,0.2,1.0,1.0,1.0,1.0,0.6458789181158088,1.0,0.6178632266143829,0.993174181964564,0.8132700140595284,0.18170848381505014,1.0,1.0,1.0
47,0.1777862370347763,0.3,0.2,1.0,1.0,1.0,1.0,0.6366665660488333,1.0,0.6156429300463673,0.9978088487929797,0.8270934908947927,0.19245141603366062,1.0,1.0,1.0
48,0.2064160706414766,0.3,0.2,1.0,1.0,1.0,1.0,0.633726028023572,1.0,0.6173098815143195,1.0,0.8408225559858448,0.1920001614962548,1.0,1.0,1.0
49,0.17493906292227823,0.3,0.2,1.0,1.0,1.0,1.0,0.6304420559525513,1.0,0.6132254849282431,1.0,0.8544143304259864,0.1920134755085322,1.0,1.0,1.0
50,0.21405631865918864,0.3,0.2,1.0,1.0,1.0,1.0,0.6312241496724346,1.0,0.6174766925813404,1.0,0.8678701871217265,0.19201699474917072,1.0,1.0,1.0
51,0.22140634082860555,0.3,0.2,1.0,1.0,1.0,1.0,0.6320344358343865,1.0,0.6204767399831561,1.0,0.8811914852505093,0.19201027211679453,1.0,1.0,1.0
52,0.733832906059361,-0.3,0.45499999999999996,1.0,1.0,0.9841062350913321,0.9980989118793215,0.6827488964716868,1.0,0.7320610156639533,1.0,0.8943795703980042,0.4368139685056455,0.9822353624183143,1.0,0.9346284238800653
53,0.18107560569568867,0.3,0.2,1.0,1.0,1.0,1.0,0.6481879254344152,1.0,0.6247246181330867,0.9902792389399003,0.9072413594728221,0.18167694509803897,1.0,1.0,1.0
54,0.16151084438026084,0.3,0.2,1.0,1.0,1.0,1.0,0.6367869550363421,1.0,0.6161402852324702,0.9931604864231598,0.9200321556065572,0.1924430419367018,1.0,1.0,1.0
55,0.22890073747192224,0.3,0.2,1.0,1.0,1.0,1.0,0.6351323242138015,1.0,0.6210099473472519,1.0,0.9328318340504916,0.19199976608940927,1.0,1.0,1.0
56,0.223040304329296,0.3,0.2,1.0,1.0,1.0,1.0,0.6339962223507324,1.0,0.622296458574782,1.0,0.9455035157099867,0.1920084115256645,1.0,1.0,1.0
