t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.22698360286675062,0.3,0.2,0.8063738569660797,0.8880264711483985,0.7935272595699875,0.7260399999999999,0.09139901617200502,0.68479131177066,0.2229189819156794,0.2532699360690041,0.2050653987213801,0.191,0.4125577498018967,0.42575533015800704,0.564142030634306
1,0.7409633845743215,-0.3,0.45499999999999996,0.8653620054477686,0.9996940294420071,0.7481508663402894,0.7349445174999999,0.0,0.685850269783888,0.25612254699171055,0.2612575418724219,0.21023989557161474,0.43544637499999994,0.47567317345851756,0.47567317345851756,0.54546060368974
2,0.649488196985817,-0.3,0.45499999999999996,0.9216431247842005,1.0,0.7251443677268563,0.7909171066459374,0.0,0.6954361443656983,0.2709416319587894,0.26782340034730434,0.21549396462284467,0.41042117735937494,0.528589138259663,0.528589138259663,0.5966954731808698
3,0.16675181055111302,0.3,0.2,0.9825835245078761,1.0,0.7939380824429827,0.8542517013803125,0.0,0.8297020013960399,0.18514248907144312,0.2702837288162185,0.2207446995529406,0.18153104701882813,0.6664107041962575,0.6664107041962575,0.7710663368121118
4,0.18673070102179173,0.3,0.2,1.0,1.0,0.8603360135666877,0.8721513554818843,0.0,0.9564839101142473,0.10786614360290492,0.2737820394474196,0.22601289334635957,0.19183110288415273,0.7503432204020674,0.7503432204020674,0.839833961620719
5,0.18959861551113422,0.3,0.2,1.0,1.0,0.9276495718883258,0.8914730905859937,0.0,1.0,0.03482818227952225,0.2776890711898252,0.2313065458366925,0.19136760037021314,0.8269746308320597,0.8269746308320597,0.9050865361146975
6,0.21644170189063772,0.3,0.2,1.0,1.0,0.9921643919822974,0.9101270154588283,0.0,1.0,0.0,0.281815499767153,0.23662979037366863,0.19138845798334042,0.9029956169193715,0.9029956169193715,0.9696991598856307
7,0.6468365918979411,-0.3,0.45499999999999996,1.0,1.0,0.9793662043235863,0.9135841444701026,0.0,0.9959827423174668,0.030225723064032678,0.2897739554767962,0.24205897157946787,0.43540660661395547,0.8947334358998953,0.8947334358998953,0.9016717688614221
8,0.6533534922006395,-0.3,0.45499999999999996,1.0,1.0,0.9731042062711108,0.9641898439572424,0.0,0.9928538908163221,0.05691993206434137,0.29716119259650076,0.24758160571560323,0.41042524864789626,0.9382571927986786,0.9382571927986786,0.9449123017169028
9,0.22216514403293025,0.3,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3001759559666367,0.25310930877777993,0.18153086381084468,1.0,1.0,1.0
10,0.15909847418246398,0.3,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3023854735030449,0.258625925160063,0.191831111128512,1.0,1.0,1.0
11,0.22932819176568542,0.3,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3051576941913425,0.26414281979228926,0.19136759999921696,1.0,1.0,1.0
12,0.7240335923873369,-0.3,0.45499999999999996,1.0,1.0,0.9858745240443954,1.0,0.0,0.9898068755115088,0.04180552937777701,0.31238954618565834,0.26974918251807956,0.4354087419500801,0.9858745240443954,0.9858745240443954,0.9791411599502161
13,0.2028674537289466,0.3,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3142995612064354,0.27533768191702745,0.1804066066122464,1.0,1.0,1.0
14,0.20530404572847777,0.3,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3161190975867612,0.28090668704959243,0.19188170270244892,1.0,1.0,1.0
15,0.20197770924378106,0.3,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.31779653105306893,0.2864535508001579,0.19136532337838982,1.0,1.0,1.0
16,0.19652292359375517,0.3,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.319319316133463,0.29197540161482555,0.19138856044797248,1.0,1.0,1.0
17,0.6128746994431553,-0.3,0.45499999999999996,1.0,1.0,1.0,1.0,0.0,0.9986996942383406,0.025131437937036788,0.324731055549155,0.2975502687096604,0.4354065961241388,1.0,1.0,0.9911483509689654
18,0.18909334641803488,0.3,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3257642163457442,0.30309005034947867,0.18040670317441376,1.0,1.0,1.0
