t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.19353833802367615,0.3,0.2,0.8067687191570556,0.8886284859155739,0.7985440492964486,0.7260399999999999,0.260798839284536,0.6924872235035794,0.3519507507035514,0.276334376663677,0.20552668753327355,0.191,0.41565088320932947,0.45359132697033433,0.5878026279247842
1,0.19831360308769555,0.3,0.2,0.8737931114172076,1.0,0.8484490380938475,0.7495869999999999,0.22289662349079975,0.828872686861894,0.4020688536315282,0.3098565078789672,0.21166855081552013,0.19140500000000002,0.5557205082902466,0.599074387006117,0.7113619789551995
2,0.15524230873918504,0.3,0.2,0.9444815885044745,1.0,0.9068171719815621,0.772504621,0.18335622743099628,0.9632493464837567,0.4432181702608296,0.3450908054679321,0.21845368141672358,0.191386775,0.6616286728341078,0.7040884809279714,0.8006285150387757
3,0.7674938164192919,-0.3,0.45499999999999996,1.0,1.0,0.8611813145072286,0.7800900959479374,0.20106103204624426,0.9560698189108677,0.6034301476798068,0.44240258523613246,0.22711719630727897,0.43540677890937496,0.6717990142625149,0.7190744253598598,0.7513325225245949
4,0.1687464768837357,0.3,0.2,1.0,1.0,0.9269640517412553,0.8482176969011868,0.22809720708842735,1.0,0.6340612299627152,0.47716542370986975,0.23638933281840357,0.1804739028789383,0.7862673130781601,0.8490381954264777,0.9163456214039569
5,0.18762108060179583,0.3,0.2,1.0,1.0,0.990350037467176,0.8649281118985401,0.25652446548414987,1.0,0.6569791479727638,0.5171495373075435,0.2463684302363704,0.19215529671031806,0.856581588025133,0.9334885349292321,0.9783326861204387
6,0.1881082566959468,0.3,0.2,1.0,1.0,1.0,0.8824457356407179,0.28424550602295184,1.0,0.6709950039290012,0.5547437876519192,0.25699962168704504,0.19184570967686104,0.8824457356407179,0.970236667773465,1.0
7,0.1620493139218819,0.3,0.2,1.0,1.0,1.0,0.8988708770213215,0.3097207149657384,1.0,0.6756519311220442,0.587683677898175,0.26818329902813814,0.19197984697559345,0.8988708770213215,0.9963105027638449,1.0
8,0.21944362457146374,0.3,0.2,1.0,1.0,1.0,0.9146569201057662,0.3380054722429474,1.0,0.6871059581857635,0.6242431017416068,0.27998632807268886,0.19201447096330815,0.9146569201057662,1.0,1.0
9,0.20930014849611922,0.3,0.2,1.0,1.0,1.0,0.9295571549079482,0.3649823044272966,1.0,0.6925830968887173,0.6577116471304298,0.29234069773457055,0.19211200100819675,0.9295571549079482,1.0,1.0
10,0.15512251505815977,0.3,0.2,1.0,1.0,1.0,0.9438271840271311,0.38803752528288443,1.0,0.6878027077050126,0.684001756982858,0.305097325896882,0.19215534453475838,0.9438271840271311,1.0,1.0
11,0.1972879666345054,0.3,0.2,1.0,1.0,1.0,0.9578513063703913,0.413042844242938,1.0,0.6912063153363165,0.7127298307597,0.3183009492531072,0.19211223867569224,0.9578513063703913,1.0,1.0
12,0.15248094011757998,0.3,0.2,1.0,1.0,1.0,0.9713228592155941,0.4347371041426011,1.0,0.6865652052708127,0.7354520205087972,0.3318269801707521,0.1921434324835218,0.9713228592155941,1.0,1.0
13,0.18781992709323733,0.3,0.2,1.0,1.0,1.0,0.9845652699322262,0.45800603437611737,1.0,0.689030007596412,0.7601714562414915,0.3457121394938744,0.19210202764358839,0.9845652699322262,1.0,1.0
14,0.22030502402043853,0.3,0.2,1.0,1.0,1.0,0.9973131563767986,0.48264418790035324,1.0,0.6954090626504957,0.7865556545430538,0.3599861311897967,0.1921250367801563,0.9973131563767986,1.0,1.0
15,0.22368789340670997,0.3,0.2,1.0,1.0,1.0,1.0,0.5068736963656536,1.0,0.6998142215654188,0.811724144530549,0.3746207527685097,0.1921792444800829,1.0,1.0,1.0
16,0.21407270167881826,0.3,0.2,1.0,1.0,1.0,1.0,0.5299234267751928,1.0,0.7010633964836552,0.8344883278952885,0.38956431179873036,0.19221513397439272,1.0,1.0,1.0
