t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.2049003325621362,0.3,0.2,0.8065865512142175,0.8880939778282816,0.7964606312356796,0.7231641759999999,0.26029572550327607,0.69898294452802,0.25156992235188774,0.2748685378515448,0.2054973707570309,0.1916804,0.4125828002826583,0.45017053904807003,0.5847248581908595
1,0.2223692990250619,0.3,0.2,0.8731063515905286,1.0,0.8421074830565554,0.7441706673267519,0.2226598821544098,0.8405917500218452,0.209520448312516,0.3069580988238493,0.21158155902593756,0.19202647872080003,0.5471510308291315,0.5897910352449088,0.7033157602779725
2,0.20085806956847913,0.3,0.2,0.9426797158096307,1.0,0.8927494936619995,0.7646078117789417,0.18467310942726,0.9782578214615752,0.16629107403624804,0.34249822176789185,0.21831570787103602,0.19201208253817217,0.64347622529212,0.6850676896706442,0.7843045155855045
3,0.21977042992557683,0.3,0.2,1.0,1.0,0.9421735699884723,0.7844293107480674,0.14877079554790723,1.0,0.12806233910002685,0.3800347123111389,0.22573324503854844,0.19201268139057714,0.7390685641111034,0.7775517004976439,0.8629157750753529
4,0.16355024697004558,0.3,0.2,1.0,1.0,1.0,0.8036562700388763,0.11039284134924392,1.0,0.08331191710249712,0.41267354953858254,0.2337293835789346,0.1920126564795148,0.8036562700388763,0.8347075347300807,0.9114982404006899
5,0.2295070410221864,0.3,0.2,1.0,1.0,1.0,0.822306416171076,0.07693174373157567,1.0,0.05069253932124755,0.45031882966506115,0.2423984663364465,0.19201265751576516,0.822306416171076,0.8444479294382722,0.9197775756435901
6,0.6638278297698579,-0.3,0.45499999999999996,1.0,1.0,0.9739193565235879,0.8257080898048458,0.08995171193797218,1.0,0.11423018516777904,0.5189423544203562,0.25235332876148914,0.43682879575029965,0.8041730914990562,0.8294909526952332,0.8458601108533733
7,0.18595206046818602,0.3,0.2,1.0,1.0,1.0,0.8867404703888583,0.0535736347814348,1.0,0.03413687178914113,0.5473403603455519,0.2627766026807853,0.18182879575437905,0.8867404703888583,0.9033675389261439,0.9724052091486275
8,0.17535231865964743,0.3,0.2,1.0,1.0,1.0,0.9011075551560678,0.018317624245284964,1.0,0.0,0.5747014781978281,0.273642866217934,0.19243628575420935,0.9011075551560678,0.9068847075160454,0.9727429299500863
9,0.1768455048374779,0.3,0.2,1.0,1.0,1.0,0.9169086456066222,0.0,1.0,0.0,0.600545105749814,0.28491733967075095,0.1919950353851964,0.9169086456066222,0.9169086456066222,0.9813735899193297
10,0.20021470696797944,0.3,0.2,1.0,1.0,1.0,0.93215812231548,0.0,1.0,0.0,0.626781551839631,0.296603797310836,0.1920133905180466,0.93215812231548,0.93215812231548,0.9943310563386463
11,0.1893690868645507,0.3,0.2,1.0,1.0,1.0,0.9469533419386822,0.0,1.0,0.0,0.6505418646403995,0.3086485966305357,0.1920126269812303,0.9469533419386822,0.9469533419386822,1.0
12,0.7146419886390006,-0.3,0.45499999999999996,1.0,1.0,0.98080613405219,0.9466156023336465,0.017983268292410134,1.0,0.07369440175078998,0.7132165823398062,0.3218264423110265,0.43682879863994906,0.928446389358349,0.9342901645385818,0.9349394401978073
13,0.6189049945529572,-0.3,0.45499999999999996,1.0,1.0,0.982638569977137,0.9901108551838413,0.027919272146571403,1.0,0.08839062292275593,0.7635024711332209,0.33587822731058065,0.413660510067749,0.9729211148566901,0.9824282521406804,0.9816488868026412
14,0.20547505781914605,0.3,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.01624587955751794,0.7796620047604758,0.35011268513268434,0.18279255010220177,1.0,1.0,1.0
15,0.20521998480366638,0.3,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7955676872393526,0.3645229120261445,0.19239619550084863,1.0,1.0,1.0
16,0.159415751043372,0.3,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8067098441387424,0.3790118797886579,0.1919967030595557,1.0,1.0,1.0
17,0.741156742325365,-0.3,0.45499999999999996,1.0,1.0,0.9830031345973852,0.998068010221351,0.014955941858165941,1.0,0.07767427856140706,0.8620389783392951,0.3944625405575572,0.4368303056074425,0.9811039825889631,0.9862396495311087,0.9790961256995817
18,0.16757324908610052,0.3,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8698712539299603,0.40991534023058085,0.18182873294734161,1.0,1.0,1.0
