t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.22582619896474793,0.3,0.2,0.8061219104853499,0.8862149012282898,0.791595672894423,0.7100709276933679,0.32913182567239524,0.6968389954987513,0.3572473104464778,0.2787080947907211,0.20557416189581443,0.19477817168137984,0.4015548881796376,0.44781246088862114,0.581946048834983
1,0.6169743990317843,-0.3,0.45499999999999996,0.8659193496921498,0.9963386007320365,0.7607763542876742,0.7043525146307685,0.40089643463530367,0.718789740318255,0.5001427657731384,0.3483850483307342,0.21248612124347097,0.4434305082851406,0.46230807160336,0.5271762517664784,0.5872421869302216
2,0.20887759912548187,0.3,0.2,0.9288846182399813,1.0,0.8088007349151711,0.7411565526188191,0.42598047252274857,0.8724821875647819,0.5440779565620016,0.37965239232275877,0.21995430787749143,0.18842241007248262,0.5568179936085021,0.6398357508177835,0.7467547856769953
3,0.17465091660713153,0.3,0.2,0.9951463794405824,1.0,0.8618128809275111,0.7487151429828538,0.4489164519153961,1.0,0.5814813505389038,0.419424501206549,0.22814325482284747,0.19508045261610427,0.6421205442749329,0.743011011028193,0.832789246219938
4,0.19854413869126702,0.3,0.2,1.0,1.0,0.9114225426495303,0.7567817215137658,0.4726987182862352,1.0,0.6205776978365207,0.46064752779960444,0.23707477283061107,0.19490661684059996,0.6897479208527652,0.8038629561974594,0.8783835492067342
5,0.16267062962038445,0.3,0.2,1.0,1.0,0.9666055065821069,0.7645871191045921,0.4937343805497805,1.0,0.6442200594306993,0.49617835306429503,0.24662759216359084,0.19491115554347654,0.739054119588248,0.8667678693629314,0.9247588822434127
6,0.1814825456164297,0.3,0.2,1.0,1.0,1.0,0.7721588556346086,0.5153728567363691,1.0,0.6601742627645742,0.5305414782464474,0.2567721458068839,0.19491103704184048,0.7721588556346086,0.9114412559835515,0.9579450294961862
7,0.22958556503597943,0.3,0.2,1.0,1.0,1.0,0.7795034269915194,0.5393565524309839,1.0,0.676251667513354,0.5665854724753739,0.26753613379832253,0.19491104013581648,0.7795034269915194,0.9266540253381185,0.9660526612494402
8,0.19353416379434565,0.3,0.2,1.0,1.0,1.0,0.7866276615491575,0.560577571652273,1.0,0.6797743424691086,0.5966381424553164,0.2787935353094456,0.19491104005503543,0.7866276615491575,0.940965700056164,0.9771607822932479
9,0.17145925933194625,0.3,0.2,1.0,1.0,1.0,0.7935381690611519,0.5799435711254545,1.0,0.6784198183844072,0.6228267006678654,0.2904621339697085,0.19491104005714455,0.7935381690611519,0.9546107449175396,0.9891654276503005
10,0.6054889714181638,-0.3,0.45499999999999996,1.0,1.0,0.9774952034948198,0.7853306667836518,0.6447481294227982,1.0,0.7761731282118864,0.6869110969668507,0.3032957345693484,0.4434226161298785,0.7676569599384082,0.9408878460739464,0.8770974507822593
11,0.17547721022829418,0.3,0.2,1.0,1.0,1.0,0.8197044892711751,0.6524825473849005,1.0,0.7359883528045612,0.6943016211762897,0.31614880964718073,0.18842261612988181,0.8197044892711751,1.0,1.0
12,0.22134315662626297,0.3,0.2,1.0,1.0,1.0,0.8249066642750291,0.6617095043117682,1.0,0.7220842309448143,0.7143127114415813,0.32927357577954053,0.19508044723612245,0.8249066642750291,1.0,1.0
13,0.1948408288821199,0.3,0.2,1.0,1.0,1.0,0.8306874965734699,0.6671945534918015,1.0,0.7108036166919498,0.7310359810487721,0.34260155964272054,0.19490661698106665,0.8306874965734699,1.0,1.0
14,0.15190864633126258,0.3,0.2,1.0,1.0,1.0,0.8362757209280062,0.6688331633289627,1.0,0.6982294717443204,0.7436256880354872,0.3560480578070031,0.1949111555398091,0.8362757209280062,1.0,1.0
15,0.16093579143891734,0.3,0.2,1.0,1.0,1.0,0.8416967994029155,0.6706337308014779,1.0,0.6927431167433412,0.7565759156502694,0.3696190955419385,0.19491103704193624,0.8416967994029155,1.0,1.0
16,0.22989468545540415,0.3,0.2,1.0,1.0,1.0,0.8469552324467876,0.6761546454129009,1.0,0.7004811634304942,0.7744019094234182,0.3834109427749875,0.19491104013581398,0.8469552324467876,1.0,1.0
17,0.16454747974585154,0.3,0.2,1.0,1.0,1.0,0.8520559128407674,0.6764755462746079,1.0,0.6950029444417875,0.7853933280575788,0.3972846999083892,0.19491104005503548,0.8520559128407674,1.0,1.0
18,0.21374079371373117,0.3,0.2,1.0,1.0,1.0,0.8570035728140135,0.6796736940885648,1.0,0.6995948516513527,0.7998246042679323,0.41130834499466395,0.19491104005714455,0.8570035728140135,1.0,1.0
19,0.22252749199180488,0.3,0.2,1.0,1.0,1.0,0.8608646102490762,0.6833941139621833,1.0,0.7055016771558866,0.8145509140943308,0.4254862798266039,0.1951330099480718,0.8608646102490762,1.0,1.0
20,0.21317981099694105,-0.3,0.2,1.0,1.0,1.0,0.8646332435292368,0.6857247602908675,1.0,0.7076679780618673,0.8272350724323784,0.43977611847698544,0.19512746728999225,0.8646332435292368,1.0,1.0
21,0.22847812584577012,-0.3,0.2,1.0,1.0,1.0,0.8682882328322201,0.6884543243897656,1.0,0.7114216842911399,0.8401655524292017,0.4541816683407996,0.19512760569191,0.8682882328322201,1.0,1.0
22,0.1628947722643215,-0.3,0.2,1.0,1.0,1.0,0.871833587063218,0.6866410631332389,1.0,0.7035887578757328,0.8469291817339777,0.46857843529207116,0.19512760223597053,0.871833587063218,1.0,1.0
23,0.20721207185899626,-0.3,0.2,1.0,1.0,1.0,0.875272580302542,0.6878906198855438,1.0,0.7058506291543578,0.8571319473474536,0.4830352898860995,0.19512760232226645,0.875272580302542,1.0,1.0
24,0.1924284572898756,-0.3,0.2,1.0,1.0,1.0,0.878608403753794,0.6879749063919163,1.0,0.7049351375164942,0.8654162751141874,0.4975132624895222,0.19512760232011161,0.878608403753794,1.0,1.0
25,0.22398656576756562,-0.3,0.2,1.0,1.0,1.0,0.8818441525012811,0.689933910347817,1.0,0.7093012987789622,0.8757146090277341,0.5120524220451816,0.1951276023201654,0.8818441525012811,1.0,1.0
26,0.216521959183345,-0.3,0.2,1.0,1.0,1.0,0.8849828287863493,0.6910088036562172,1.0,0.7107679723048733,0.884539930199911,0.526622696428728,0.19512760232016405,0.8849828287863493,1.0,0.9997859469972536
27,0.22062807348650024,-0.3,0.2,1.0,1.0,1.0,0.8880273447828652,0.6920907047967884,1.0,0.7123103626382331,0.8930452282577134,0.541217374029595,0.1951276023201641,0.8880273447828652,1.0,0.9991068496691314
28,0.186880973190531,-0.3,0.2,1.0,1.0,1.0,0.8909805252994856,0.6909068603778835,1.0,0.7080368719414143,0.8983122960509341,0.5557714462103178,0.1951276023201641,0.8909805252994856,1.0,1.0
29,0.2236264351353543,-0.3,0.2,1.0,1.0,1.0,0.8938451104006074,0.6921913641158103,1.0,0.7112041482099642,0.9063439887001488,0.5703406115222176,0.1951276023201641,0.8938451104006074,1.0,0.9994185821338077
30,0.1889286843889268,-0.3,0.2,1.0,1.0,1.0,0.8966237579486956,0.6911079673845756,1.0,0.7077266204837072,0.9110100570477051,0.5848574065479496,0.1951276023201641,0.8966237579486956,1.0,1.0
31,0.17597337950151185,-0.3,0.2,1.0,1.0,1.0,0.8993190460703412,0.6894885049424251,1.0,0.7036622891815422,0.9145658773223287,0.5993001500289167,0.1951276023201641,0.8993190460703412,1.0,1.0
32,0.1632855748395301,-0.3,0.2,1.0,1.0,1.0,0.9019334755483374,0.6874683988051511,1.0,0.6992699861462373,0.9171288656836702,0.6136497258423009,0.1951276023201641,0.9019334755483374,1.0,1.0
33,0.1714510010319853,-0.3,0.2,1.0,1.0,1.0,0.9044694721419937,0.6863880588270371,1.0,0.6978930291981053,0.9204217708619361,0.6279216640011166,0.1951276023201641,0.9044694721419937,1.0,1.0
34,0.17476504999595685,-0.3,0.2,1.0,1.0,1.0,0.9069293888378404,0.6857471336862321,1.0,0.6975503194988731,0.9238744716649538,0.6421199367944045,0.1951276023201641,0.9069293888378404,1.0,1.0
35,0.20649646450940837,-0.3,0.2,1.0,1.0,1.0,0.9093155080328116,0.6871528156903937,1.0,0.7022262263997141,0.9296830409715418,0.6562923982458913,0.1951276023201641,0.9093155080328116,1.0,1.0
36,0.19141982049188416,-0.3,0.2,1.0,1.0,1.0,0.9116300436519337,0.6873408794516715,1.0,0.7026575302283741,0.9337057127390618,0.6704035885182136,0.1951276023201641,0.9116300436519337,1.0,1.0
37,0.19703557694355878,-0.3,0.2,1.0,1.0,1.0,0.9138751432024821,0.687824010249541,1.0,0.7037855392671504,0.937905331555511,0.6844576592641417,0.1951276023201641,0.9138751432024821,1.0,1.0
38,0.16662547796303417,-0.3,0.2,1.0,1.0,1.0,0.916052889766514,0.6863749507406107,1.0,0.6997540774943232,0.9393946687663371,0.698400976046827,0.1951276023201641,0.916052889766514,1.0,1.0
39,0.2247323487307023,-0.3,0.2,1.0,1.0,1.0,0.9172588331388379,0.6895037059010238,1.0,0.708094221273295,0.9464155826245333,0.7123452779388494,0.19534206701924625,0.9172588331388379,1.0,1.0
40,0.15603002952592362,0.3,0.2,1.0,1.0,1.0,0.9184502367693804,0.6878404198985971,1.0,0.702569871217152,0.9471002732294005,0.7261638306240489,0.1953369474862679,0.9184502367693804,1.0,1.0
41,0.20807594299818385,0.3,0.2,1.0,1.0,1.0,0.9196053817522996,0.6896558091742566,1.0,0.7072666182747572,0.9521478512745869,0.7399451493433001,0.19533706969574122,0.9196053817522996,1.0,1.0
42,0.1653122186643294,0.3,0.2,1.0,1.0,1.0,0.9207258847161377,0.6885169169361336,1.0,0.7035286442549848,0.9532463088993283,0.7536106240278537,0.19533706677845258,0.9207258847161377,1.0,1.0
43,0.15470071171189245,0.3,0.2,1.0,1.0,1.0,0.921812772296719,0.6869850349639636,1.0,0.6996116565183123,0.9535953626155927,0.7671464250398871,0.1953370668480918,0.921812772296719,1.0,1.0
44,0.17184797858697193,0.3,0.2,1.0,1.0,1.0,0.9228670532569091,0.6868097818031804,1.0,0.6998615260537145,0.9554820550329466,0.7805846018901471,0.19533706684642943,0.9228670532569091,1.0,1.0
45,0.220039293715859,0.3,0.2,1.0,1.0,1.0,0.9238897057881258,0.6895635083009442,1.0,0.7074577644165707,0.9611307073346917,0.7940013700179395,0.19533706684646912,0.9238897057881258,1.0,1.0
46,0.704472533071786,-0.3,0.45499999999999996,1.0,1.0,0.9775521358610049,0.9099383931296551,0.7407183663337735,1.0,0.8185780170902511,1.0,0.8080613563177601,0.444391827075715,0.8895122197058251,1.0,0.8951849648372413
47,0.16958655823752133,0.3,0.2,1.0,1.0,1.0,0.9364774522290762,0.7284339261592393,1.0,0.7722432431631568,0.9849163615851656,0.8216790699862858,0.1893918270757151,0.9364774522290762,1.0,0.9752922850502764
48,0.2204465407493024,0.3,0.2,1.0,1.0,1.0,0.9364919438443887,0.7223166878036485,1.0,0.7528091921726947,0.984271929251815,0.8351477178714594,0.19547898694427804,0.9364919438443887,1.0,0.9808241580513924
49,0.207356887912398,0.3,0.2,1.0,1.0,1.0,0.9371201687812626,0.7167114150827074,1.0,0.7389277992785694,0.9836218097318828,0.8484686768873824,0.1953336790412763,0.9371201687812626,1.0,0.9861459574395687
50,0.6724713822606481,-0.3,0.45499999999999996,1.0,1.0,0.9838922834158167,0.9227715942314915,0.7601370973824014,1.0,0.8338760087699456,1.0,0.8619839901185086,0.44439201105730075,0.9079078509196756,1.0,0.886711775128211
51,0.20382123531308333,0.3,0.2,1.0,1.0,1.0,0.9489256758608028,0.745751508606119,1.0,0.7877786423839056,0.985035091418842,0.8750648520457003,0.1893918226838511,0.9489256758608028,1.0,0.9671681498926418
52,0.7909124330691495,-0.3,0.45499999999999996,1.0,1.0,0.9674109096005649,0.933612577814786,0.7900954563327214,0.9939676439026586,0.8828643535017368,1.0,0.8883142035252433,0.4447146955367415,0.9031869931183303,1.0,0.8659429287987495
53,0.7458847014883608,-0.3,0.45499999999999996,1.0,1.0,0.9441229293730451,0.9449861022374639,0.8211397362858704,1.0,0.9329618896465048,1.0,0.9014310614899909,0.43084887257505283,0.8921830470612503,1.0,0.8481712677051113
54,0.6511380108114885,-0.3,0.45499999999999996,1.0,1.0,0.9365115814166766,0.9545940983928689,0.8399165866133511,1.0,0.9498638422471941,0.9930990296876975,0.914278731468845,0.43160188402387695,0.8939884286969322,1.0,0.8391570589972024
55,0.162569463094942,0.3,0.2,1.0,1.0,1.0,0.9785030364678822,0.8060090654934251,1.0,0.8547973616884617,0.96761263787605,0.9264881969116775,0.18969713855832826,0.9785030364678822,1.0,0.9349346937551946
56,0.20531963408108725,0.3,0.2,1.0,1.0,1.0,0.9772875651624613,0.7823840661951812,1.0,0.8039921145516888,0.9597136334894041,0.9384175876123488,0.19547169878818246,0.9772875651624613,1.0,0.9534576276984116
57,0.15345287966379995,0.3,0.2,1.0,1.0,1.0,0.9766911861164047,0.7606913220325769,1.0,0.7645216540420563,0.9523135889325823,0.950079683514877,0.19533385301841866,0.9766911861164047,1.0,0.9696717761262631
58,0.1621136087005241,0.3,0.2,1.0,1.0,1.0,0.976098790400508,0.7441603080880389,1.0,0.7412395472608817,0.9483292068875971,0.9615454708174802,0.1953371435644491,0.976098790400508,1.0,0.9799617883130155
59,0.6688402011073589,-0.3,0.45499999999999996,1.0,1.0,0.988843574116082,0.9596896843182244,0.7827427445420682,1.0,0.8388222665711637,0.9853999823141177,0.9736380157555877,0.44486315672001864,0.9489829774835675,1.0,0.8805889819402327
