t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.20482063943716294,0.3,0.2,0.8065085976194125,0.887552409290131,0.7958487440844256,0.718432,0.30871323836622977,0.686474348845027,0.3538590959155744,0.2776377461232778,0.20555275492246558,0.1928,0.4092787648467871,0.4535011853584209,0.5872760075546577
1,0.2179468929111944,0.3,0.2,0.8729443188588397,1.0,0.84104187754648,0.7352154879999999,0.3187009569817457,0.8164266634583303,0.40702527905647484,0.31314008540623056,0.21176002908136551,0.19305920000000001,0.539782513328921,0.5999927345748998,0.7117290243886648
2,0.16844468871723745,0.3,0.2,0.9426954534346401,1.0,0.8949412419835372,0.751534911232,0.3254434798842363,0.9451415283826181,0.4501067026672367,0.3495482790991479,0.21863339437253482,0.1930498688,0.6340377185982852,0.706257923129756,0.8020567674602925
3,0.6450325871124225,-0.3,0.45499999999999996,1.0,1.0,0.8643641734520956,0.7525949912703233,0.38030474783749807,0.9432737994910556,0.5920589614901718,0.43549090653040784,0.22715687855941763,0.43918921574527997,0.65051614757356,0.7371041803870741,0.766741249392693
4,0.16041704182078054,0.3,0.2,1.0,1.0,0.9260779958775405,0.8058441726000154,0.36093431121365943,1.0,0.6236212722767607,0.4711877472543279,0.23630906471891003,0.18418918823316993,0.746274556351017,0.8405491888915088,0.9113331318164617
5,0.16711260243933926,0.3,0.2,1.0,1.0,0.9868576118030596,0.8180330591675145,0.3651777812240646,1.0,0.6396677319698707,0.5097528180931649,0.24614103043358423,0.19352581741037078,0.8072821511460043,0.9104626778180551,0.9636115022017928
6,0.184526426271377,0.3,0.2,1.0,1.0,1.0,0.8307708644941592,0.36793128970761313,1.0,0.6465863835160574,0.5475576239459812,0.256630772608168,0.1933094328623809,0.8307708644941592,0.9377541729628547,0.9847877737480141
7,0.1986721718299429,0.3,0.2,1.0,1.0,1.0,0.842891411688451,0.3708324401437687,1.0,0.6505829567113283,0.5844882432654663,0.26775422974739566,0.19336506156251185,0.842891411688451,0.95229142932888,0.9959315625255216
8,0.6551673707878313,-0.3,0.45499999999999996,1.0,1.0,0.9767460009242236,0.8397444142852073,0.4203937667263522,0.9950883871651466,0.7497282395426174,0.6659244482967458,0.2803951764158566,0.4399644634365334,0.8202169984515307,0.9409019381807383,0.894857059731709
9,0.774256945839688,-0.3,0.45499999999999996,1.0,1.0,0.9399326162544599,0.8662037607958435,0.4417674990462727,0.9816261919359173,0.792488616333536,0.7428049226073824,0.2944473231038457,0.4243620815089672,0.8141731670942896,0.940059502430529,0.8852134717886468
10,0.21448374704268594,0.3,0.2,1.0,1.0,1.0,0.9013594124912895,0.40750460972818836,1.0,0.6916641229122813,0.7647433065568109,0.30879771600394346,0.18766362038186407,0.9013594124912895,1.0,1.0
11,0.2095800122241766,0.3,0.2,1.0,1.0,1.0,0.9092560670534121,0.4063647301997454,1.0,0.6644499209113249,0.7896560413710308,0.32350285967132464,0.19386338242818738,0.9092560670534121,1.0,1.0
12,0.21350164406121655,0.3,0.2,1.0,1.0,1.0,0.9185754772862413,0.4074536043312134,1.0,0.6576432115953037,0.8134603901534301,0.33853703887768,0.19347071950052883,0.9185754772862413,1.0,1.0
13,0.21799512102247942,0.3,0.2,1.0,1.0,1.0,0.927759787692582,0.40946607090604664,1.0,0.6564753195979072,0.8363165101321093,0.3538779986915454,0.19343653594836088,0.927759787692582,1.0,1.0
14,0.21040030810219207,0.3,0.2,1.0,1.0,1.0,0.9366980421604583,0.41108617636284633,1.0,0.6550199300370859,0.8570517048646675,0.3694802528019233,0.19342956275268447,0.9366980421604583,1.0,1.0
15,0.1843662116949131,0.3,0.2,1.0,1.0,1.0,0.9454099832536484,0.4112418660450221,1.0,0.6507206726711207,0.8739596596521859,0.3852646434669478,0.1934196650572546,0.9454099832536484,1.0,1.0
