t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.15825328273845726,0.3,0.2,0.8069947467766693,0.8879541241107078,0.8023323675892313,0.7146279999999999,0.19806740270742712,0.6963004465001199,0.34698199241076855,0.2628654112703026,0.20525730822540605,0.1937,0.4108616231113045,0.43934402620793933,0.5750174222767483
1,0.16239778166419283,0.3,0.2,0.8745278413898803,1.0,0.854850197685764,0.7279783779999999,0.09692135803959304,0.8361047303422197,0.392260374039859,0.279445613478733,0.21079364741272666,0.19389845000000003,0.5442295726148927,0.5626911868569927,0.6798128963284438
2,0.680318202897015,-0.3,0.45499999999999996,0.9379646522681943,1.0,0.8163091062395279,0.7261219130828874,0.049037099677324114,0.8415224900906039,0.5426276560516433,0.3254845368787608,0.2171954016761746,0.44110475232687496,0.5559691022243988,0.5655111915235503,0.620408324713299
3,0.21403618811966468,0.3,0.2,1.0,1.0,0.8665518145027242,0.7720669424152009,0.0,0.977109536364775,0.5849343255032152,0.34581252732329226,0.22393969820587872,0.18610520030170344,0.6690360098674626,0.6690360098674626,0.7721543083119172
4,0.1677542540552254,0.3,0.2,1.0,1.0,0.9238554725286843,0.7826829805109137,0.0,1.0,0.619147269679198,0.36865369586990687,0.23107337514121806,0.19413768619049634,0.7230859548000691,0.7230859548000691,0.8103444591286753
5,0.172134611475316,0.3,0.2,1.0,1.0,0.980953969824035,0.7935550737439533,0.0,1.0,0.6452283462072262,0.38979715980258706,0.2385585845858576,0.1940017548939195,0.7784409998631359,0.7784409998631359,0.8496059072980177
6,0.1584946633945224,0.3,0.2,1.0,1.0,1.0,0.803409594420041,0.0,1.0,0.6582980646786556,0.40906142001562606,0.24635422714031155,0.19416533764469882,0.803409594420041,0.803409594420041,0.8668674014422634
7,0.22419805051424485,0.3,0.2,1.0,1.0,1.0,0.8126514062827329,0.0,1.0,0.6757117969122955,0.4307762068678925,0.2545062090062663,0.19424035496168146,0.8126514062827329,0.8126514062827329,0.8694800675262139
8,0.21453218773618588,0.3,0.2,1.0,1.0,1.0,0.8211750299949311,0.0,1.0,0.6842866047224334,0.45070589238724207,0.2629752647639485,0.19434467683737852,0.8211750299949311,0.8211750299949311,0.8741266248696168
9,0.1654748494415392,0.3,0.2,1.0,1.0,1.0,0.8292339092345831,0.0,1.0,0.681866266471,0.46690526010042466,0.2716836173183175,0.19439413324775237,0.8292339092345831,0.8292339092345831,0.8816904095961574
10,0.20015804819305041,0.3,0.2,1.0,1.0,1.0,0.8371196940386731,0.0,1.0,0.6856932572696153,0.48399985006144075,0.28064677814636313,0.1943778859429509,0.8371196940386731,0.8371196940386731,0.8872492912662499
11,0.21837186863930777,0.3,0.2,1.0,1.0,1.0,0.844667878722616,0.0,1.0,0.6906151569085625,0.501018877842905,0.28986068792175756,0.19440178812970751,0.844667878722616,0.844667878722616,0.892182702809228
12,0.15693746021079374,0.3,0.2,1.0,1.0,1.0,0.8518651356726196,0.0,1.0,0.6842228081221282,0.513785832936453,0.29923779770126907,0.19443123975275658,0.8518651356726196,0.8518651356726196,0.900210712946899
13,0.20373611652131784,0.3,0.2,1.0,1.0,1.0,0.8590155168020035,0.0,1.0,0.6875892395444339,0.5282791870273602,0.3088110034648036,0.19439124561524546,0.8590155168020035,0.8590155168020035,0.9052886060145615
14,0.16422321393926276,0.3,0.2,1.0,1.0,1.0,0.8658593826945521,0.0,1.0,0.6835818845502379,0.5397893931623129,0.31851868129340183,0.19441301307651213,0.8658593826945521,0.8658593826945521,0.9123026566561698
15,0.15714769658123123,0.3,0.2,1.0,1.0,1.0,0.872604303858015,0.0,1.0,0.6802295811090299,0.5502456795768413,0.32833840807200465,0.19438784637753168,0.872604303858015,0.872604303858015,0.9190478223522209
16,0.21923873361480667,0.3,0.2,1.0,1.0,1.0,0.8792305670373659,0.0,1.0,0.6876160380649464,0.5633500209219472,0.33832202440972353,0.19436804598696578,0.8792305670373659,0.8792305670373659,0.9224691590655356
17,0.17401965916586598,0.3,0.2,1.0,1.0,1.0,0.8854644696734115,0.0,1.0,0.6850610239632169,0.5732585558384277,0.3484039752823948,0.1944138439320584,0.8854644696734115,0.8854644696734115,0.9285230310504202
18,0.1957893441348713,0.3,0.2,1.0,1.0,1.0,0.8915830531738484,0.0,1.0,0.6868734151943668,0.5837509117105144,0.35859495376378114,0.19439688069622096,0.8915830531738484,0.8915830531738484,0.9331843504654058
19,0.21784352705789078,0.3,0.2,1.0,1.0,1.0,0.8974691044820124,0.0,1.0,0.6912162078724412,0.5947678595227357,0.36890436141659805,0.19440846776733925,0.8974691044820124,0.8974691044820124,0.9368817595061435
20,0.18311568345053855,-0.3,0.2,1.0,1.0,1.0,0.9030675760709787,0.0,1.0,0.6884951445885387,0.6032940576332187,0.37928119895509643,0.19443472916638171,0.9030675760709787,0.9030675760709787,0.9424502139921748
21,0.18448344138346456,-0.3,0.2,1.0,1.0,1.0,0.9085717112963441,0.0,1.0,0.6871493657828905,0.61139822845946,0.38971635153473466,0.1944173117095833,0.9085717112963441,0.9085717112963441,0.9475368169396293
22,0.1744089277146191,-0.3,0.2,1.0,1.0,1.0,0.9139434438302201,0.0,1.0,0.6848638518019357,0.6184745813542634,0.4001886796464726,0.19440957006164833,0.9139434438302201,0.9139434438302201,0.9527903791996943
23,0.15345907752577986,-0.3,0.2,1.0,1.0,1.0,0.919212241027665,0.0,1.0,0.6804103575569088,0.6240137106163252,0.41066706706233436,0.19439579640874968,0.919212241027665,0.919212241027665,0.9586083485042551
24,0.7252701491079807,0.3,0.45499999999999996,1.0,1.0,0.9744980932717788,0.9095673382273611,0.0,1.0,0.7933645156074457,0.6603119533198993,0.421766635458109,0.44218929898614645,0.8863716368048505,0.8863716368048505,0.8348592118553526
25,0.19276974359035376,-0.3,0.2,1.0,1.0,1.0,0.9387694361193126,0.0,1.0,0.7435185150005674,0.6609528256132738,0.43276802561579336,0.18876440424950183,0.9387694361193126,0.9387694361193126,0.9577073651388701
26,0.17742746123377248,-0.3,0.2,1.0,1.0,1.0,0.9411315251826146,0.0,1.0,0.7182922174279677,0.6666251287650993,0.44377284793493743,0.19490729365610066,0.9411315251826146,0.9411315251826146,0.9657473077628069
27,0.16564587954666524,-0.3,0.2,1.0,1.0,1.0,0.9447778585396662,0.0,1.0,0.701407017896761,0.6700937539336831,0.45473699453426175,0.19458668475255597,0.9447778585396662,0.9447778585396662,0.9739924032015491
28,0.1662136492937917,-0.3,0.2,1.0,1.0,1.0,0.9487146148763903,0.0,1.0,0.6918343238239076,0.673323272197598,0.4656560900328711,0.19449209177612448,0.9487146148763903,0.9487146148763903,0.9802341025537282
29,0.17210438679677464,-0.3,0.2,1.0,1.0,1.0,0.95276983336714,0.0,1.0,0.6872187199393545,0.6766089055277779,0.47653170724309796,0.19443612217577888,0.95276983336714,0.95276983336714,0.9850797118363179
30,0.209755414479237,-0.3,0.2,1.0,1.0,1.0,0.956816113018596,0.0,1.0,0.6902102957407605,0.681653163844368,0.4873994534475543,0.1944094539465765,0.956816113018596,0.956816113018596,0.9876282438569343
31,0.19468231868667135,-0.3,0.2,1.0,1.0,1.0,0.9606603303770808,0.0,1.0,0.6896552028249475,0.6855781970841024,0.4982370228547608,0.19442854083224545,0.9606603303770808,0.9606603303770808,0.9910575847649729
32,0.15807835509742876,-0.3,0.2,1.0,1.0,1.0,0.9644059024529213,0.0,1.0,0.68385120589777,0.6873475224435467,0.5090016030750841,0.19442459416707739,0.9644059024529213,0.9644059024529213,0.9959835067738828
