t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.20259780021258042,0.3,0.2,0.8060286509567883,0.8841004395961735,0.7921703299681129,0.688,0.3281558680127548,0.6862921759829936,0.3543896700318871,0.2791273723220021,0.20558254744644006,0.2,0.3883820023324084,0.4329894439159815,0.5680410273285842
1,0.16140802823402942,0.3,0.2,0.8722674028551154,1.0,0.8384897707834867,0.67636,0.35313645300647767,0.8204278466849515,0.3998813907653972,0.3109219729800051,0.21174516143157576,0.2,0.49468111063104514,0.5558225871031884,0.6724491990377102
2,0.6749508984126729,-0.3,0.45499999999999996,0.9337247592890753,1.0,0.7911420934598334,0.6497691999999999,0.4287050955860761,0.8203646609445396,0.5507299559890283,0.39979262090997125,0.21962356223545942,0.45499999999999996,0.4799903304783569,0.5520113356561975,0.6054596353077679
3,0.21482784417880668,0.3,0.2,0.9969700015246283,1.0,0.825013920311115,0.6392761239999999,0.4543771388471526,0.9448638469724535,0.5944176348163979,0.44574044562292076,0.22834213552556323,0.2,0.5258136445719369,0.6094348393575235,0.718019613453895
4,0.19811656309821865,0.3,0.2,1.0,1.0,0.8596629678753155,0.6290978402799999,0.47840470416186687,1.0,0.6334142375403108,0.4918639274594459,0.23789599271949652,0.2,0.5408121164590559,0.6313665876626675,0.7266373282511742
5,0.20290568686976007,0.3,0.2,1.0,1.0,0.8918891589353137,0.6192249050715999,0.5021189277700059,1.0,0.6377651411534485,0.5359290724342716,0.24823561424098697,0.2,0.5522799797761087,0.6493385607220157,0.7406082342676787
6,0.688010958384954,-0.3,0.45499999999999996,1.0,1.0,0.835130956743875,0.594348157919452,0.574746612078853,0.9917091233292035,0.7409133867000707,0.6305726463999437,0.260364711026576,0.45499999999999996,0.49635854576223165,0.5962066831558618,0.6007516646724613
7,0.22247783852234582,0.3,0.2,1.0,1.0,0.8607444421961893,0.5855177131818684,0.5972266170882224,1.0,0.6353260064433484,0.6681211979776002,0.2731234878758622,0.2,0.5039811174287157,0.6093279456721186,0.7073309518882962
8,0.763764025568416,-0.3,0.45499999999999996,1.0,1.0,0.7891669335423535,0.5616521817864124,0.6720217931951218,0.9856488779545265,0.7581600469687046,0.7629914066744811,0.2876520811305932,0.45499999999999996,0.44323733001775556,0.5474901308830981,0.5397642385209976
9,0.7373891008187083,-0.3,0.45499999999999996,1.0,1.0,0.7198413783763502,0.53850261633282,0.7433645944143662,0.9739817947708487,0.7537695303275203,0.8487961786574386,0.303751483892436,0.45499999999999996,0.387636465600288,0.4884907940111998,0.47666339692839055
10,0.18236914265029192,0.3,0.2,1.0,1.0,0.7467000908443014,0.5313475378428354,0.7592226281130245,1.0,0.6414047051302096,0.8696088071374025,0.32010614519625974,0.2,0.3967572547771411,0.5021867347703245,0.582592787393108
11,0.15148834402496023,0.3,0.2,1.0,1.0,0.776955191282799,0.5244071117075503,0.7728313630516965,1.0,0.6434795253913692,0.8862275191387634,0.3366296341270724,0.2,0.40744082778679985,0.5176498953922842,0.5923922808556914
12,0.7830067286819894,-0.3,0.45499999999999996,1.0,1.0,0.6966348419140174,0.5023748983563238,0.8443909826963235,0.9841094617054407,0.7744283116484358,0.9707255887357148,0.354677849560516,0.45499999999999996,0.34997185789802815,0.453401436250329,0.4204345307789842
13,0.15727823912468666,0.3,0.2,1.0,1.0,0.7234000215852802,0.49630365140563404,0.8562179024763966,1.0,0.6443677524843929,0.981898457719073,0.37276904021929236,0.2,0.359026072139689,0.46661766478731337,0.5320711088286191
14,0.22573704149946167,0.3,0.2,1.0,1.0,0.7387882100601976,0.490414541863465,0.8718566774044544,1.0,0.6623907027930559,1.0,0.3910413498170994,0.2,0.36231248157080115,0.47287207629836964,0.5288527185348066
15,0.6846413224508188,-0.3,0.45499999999999996,1.0,1.0,0.6698384412145791,0.46940210560756107,0.9350387398163921,0.9919786942039344,0.7659797624132813,1.0,0.40913093631892844,0.45499999999999996,0.31442357472300997,0.4173229528001589,0.37417283319287226
16,0.6625081388384536,-0.3,0.45499999999999996,1.0,1.0,0.6027970488633125,0.44902004243933424,0.9953132596512894,0.9860488953287007,0.762302293477207,1.0,0.42703962695573916,0.45499999999999996,0.27066795646291003,0.36495774857349833,0.3187107463140536
17,0.1630819302655185,0.3,0.2,1.0,1.0,0.6238887365304736,0.4445494411661542,1.0,1.0,0.6573471748659674,1.0,0.4447692306861818,0.2,0.27734938917448004,0.3744216753855481,0.42105427161792564
18,0.15410826537320038,0.3,0.2,1.0,1.0,0.6454897206282767,0.44021295793116955,1.0,1.0,0.6612488810626818,1.0,0.46232153837932,0.2,0.28415293923193796,0.38360646796311626,0.42769083344984427
19,0.2152558118603246,0.3,0.2,1.0,1.0,0.657089791342992,0.43600656919323444,1.0,1.0,0.6702259277259146,1.0,0.47969832299552684,0.2,0.2864954655753562,0.3867688785267309,0.4276857684299469
20,0.18350721697100933,-0.3,0.2,1.0,1.0,0.6727885265812881,0.4319263721174374,1.0,1.0,0.6650147861593556,1.0,0.4969013397655716,0.2,0.2905951074884919,0.39230339510946405,0.43395344999523766
21,0.18814145958977724,-0.3,0.2,1.0,1.0,0.6870817094585718,0.42796858095391427,1.0,1.0,0.6659704796304988,1.0,0.5139323263679159,0.2,0.2940493841963746,0.39696666866510577,0.4376305244761903
