t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.20934295914085835,0.3,0.2,0.8089317853328821,0.9043489147354646,0.8145609561288712,0.86552,0.3252005775484515,0.6878525632687313,0.3503614438711287,0.2796478362710788,0.20559295672542158,0.15800000000000003,0.5157611427716927,0.5744651802989341,0.6987954032540941
1,0.22539602270216402,0.3,0.2,0.879398459623418,1.0,0.8918831383816136,1.0,0.35073432447187003,0.818906778921809,0.4006127750828969,0.3177170672482862,0.2118913685031331,0.15800000000000003,0.7843206580568908,0.8806015197174115,0.9590112917597998
2,0.22378599973323338,0.3,0.2,0.9549204420367391,1.0,0.9682869913459043,1.0,0.37553312634406727,0.9448476277862778,0.448110036288737,0.3615749423969534,0.21900395366604083,0.15800000000000003,0.9246370417944552,1.0,1.0
3,0.6931245308756211,-0.3,0.45499999999999996,1.0,1.0,0.9630715068443727,1.0,0.44398827003800284,0.943131260204777,0.5878072141056433,0.4567322706807424,0.22794855954299525,0.35945,0.9630715068443727,1.0,1.0
4,0.20191796425095393,0.3,0.2,1.0,1.0,1.0,1.0,0.46514364114211004,1.0,0.6226645480380042,0.5019920984947945,0.23770891591746118,0.15800000000000003,1.0,1.0,1.0
5,0.15905647717225155,0.3,0.2,1.0,1.0,1.0,1.0,0.4831984387438924,1.0,0.6493497922119417,0.5417340526046046,0.24816650781037866,0.15800000000000003,1.0,1.0,1.0
6,0.1697258266095864,0.3,0.2,1.0,1.0,1.0,1.0,0.5014420273718703,1.0,0.6763011765927825,0.5816031298186877,0.25931690532864865,0.15800000000000003,1.0,1.0,1.0
7,0.19591529503424807,0.3,0.2,1.0,1.0,1.0,1.0,0.5208008943896284,1.0,0.7058334120182805,0.6232675604869441,0.27118908748510107,0.15800000000000003,1.0,1.0,1.0
8,0.6433459600927696,-0.3,0.45499999999999996,1.0,1.0,1.0,1.0,0.5826376296354538,1.0,0.8251776354312819,0.7131723492202009,0.28474064359465406,0.35945,1.0,1.0,0.9425842093706156
9,0.22330762974468416,0.3,0.2,1.0,1.0,1.0,1.0,0.6016101466792485,1.0,0.8515037098557602,0.7575206639439236,0.29904365043758596,0.15800000000000003,1.0,1.0,0.9847268577074223
