t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.34175871277699943,0.3306690777118679,0.30000000000000004,0.8073319738387575,0.9001384343700141,0.7961549530834501,0.904198,0.2873825354514467,0.6884679376918236,0.2819311323650862,0.28061855409339675,0.20561237108186795,0.22170000000000004,0.5231456300080901,0.5757656511548144,0.6839758034815921
1,0.37683958194591016,0.27896253777644653,0.30000000000000004,0.8743048167508012,1.0,0.8479102814953118,1.0,0.2770916156667419,0.8130142021105335,0.2698872224872547,0.3166575386097618,0.2118893981432445,0.22052820000000004,0.7413320432838788,0.8132279560505489,0.8861117126429665
2,0.3612885950238362,0.32042198668434124,0.30000000000000004,0.9445377456322837,1.0,0.9012187641593066,1.0,0.2661299718373303,0.938958824758062,0.2561204533290037,0.3541684664446702,0.21885387349070545,0.22059147720000005,0.8512351398205441,0.9305238541461296,0.9857974067242101
3,0.20291064457790642,0.26101620489172117,0.30000000000000004,1.0,1.0,0.9774844829986711,1.0,0.24593941871939418,1.0,0.21928492002551975,0.3812643813898557,0.2262906223835955,0.22058806023120003,0.9774844829986711,1.0,1.0
4,0.15215494230324214,0.28841711045442975,0.30000000000000004,1.0,1.0,1.0,1.0,0.2232083020542318,1.0,0.17667783018796823,0.4047022776648239,0.23412176171305604,0.22058824474751523,1.0,1.0,1.0
5,0.20971161569331076,0.2752383767513222,0.2,1.0,1.0,1.0,1.0,0.1986165099844286,1.0,0.13601106526379347,0.432623305219086,0.2424330102003072,0.14705882318908944,1.0,1.0,1.0
6,0.1901282136454427,0.28174350905457496,0.2,1.0,1.0,1.0,1.0,0.17367627332758662,1.0,0.09475777537977961,0.459084620514949,0.2511903725086031,0.14970588236519278,1.0,1.0,1.0
7,0.21770622473027393,0.34451939145048893,0.2,1.0,1.0,1.0,1.0,0.1510065997218284,1.0,0.05969241635705036,0.48740780733771055,0.2604266249302713,0.14961058823485307,1.0,1.0,1.0
8,0.18212727495285355,0.3498447005087021,0.2,1.0,1.0,1.0,1.0,0.12676920541666425,1.0,0.021043894489487597,0.5129608005143221,0.27008157469125504,0.1496140188235453,1.0,1.0,1.0
9,0.15497542330019573,0.33126090004416153,0.2,1.0,1.0,1.0,1.0,0.10150862498987433,1.0,0.0,0.5358229959432311,0.2800972188632071,0.14961389532235236,1.0,1.0,1.0
10,0.22002532017026244,0.265091548027698,0.2,1.0,1.0,1.0,1.0,0.08078255324164159,1.0,0.0,0.5621179765924256,0.2905386062064235,0.14961389976839531,1.0,1.0,1.0
11,0.20644548924735606,0.30588918686046745,0.2,1.0,1.0,1.0,1.0,0.059759843418935685,1.0,0.0,0.5858322663775848,0.30134986547191095,0.1496138996083378,1.0,1.0,1.0
12,0.2264150289808695,0.27100100094902224,0.2,1.0,1.0,1.0,1.0,0.04046087372626919,1.0,0.0,0.6095986279710723,0.3125283393766133,0.14961389961409985,1.0,1.0,1.0
13,0.1931970680496099,0.33824561068087,0.2,1.0,1.0,1.0,1.0,0.01965130062002718,1.0,0.0,0.6294855642220644,0.3239927672672885,0.1496138996138924,1.0,1.0,1.0
14,0.2011018544847837,0.2809199529958325,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6487631235077396,0.3357281020647704,0.1496138996138999,1.0,1.0,1.0
15,0.1565491083307794,0.3439776047011715,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6635934102777815,0.34764268924967834,0.1496138996138996,1.0,1.0,1.0
16,0.18792787768851243,0.34963261827822234,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6798514827338379,0.3597632920118583,0.14961389961389962,1.0,1.0,1.0
17,0.1613285712496108,0.3312204252248064,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.693169474053187,0.37202904857280344,0.14961389961389962,1.0,1.0,1.0
18,0.21507024973992708,0.341997502249764,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7096576897268622,0.38450191188161265,0.14961389961389962,1.0,1.0,1.0
19,0.15142674531506423,0.2872192841557435,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7204559701804814,0.39706601216640613,0.14961389961389962,1.0,1.0,1.0
20,0.15413351946883164,0.3252034833571964,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7308062732981748,0.4097114775107055,0.14961389961389962,1.0,1.0,1.0
21,0.17837133887427786,0.34595052188429043,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7423257380703004,0.4224608774970045,0.14961389961389962,1.0,1.0,1.0
22,0.17998632107977677,0.3274374924638553,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7532733158427284,0.435301735038889,0.14961389961389962,1.0,1.0,1.0
23,0.21942309403744814,0.27389465653679484,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7664767975093653,0.44827825363868745,0.14961389961389962,1.0,1.0,1.0
24,0.19454532993664936,0.34573921803278457,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7770506247925757,0.46133648359815205,0.14961389961389962,1.0,1.0,1.0
25,0.19215342161498453,0.2859707817868233,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7868133586066013,0.47445938593430254,0.14961389961389962,1.0,1.0,1.0
26,0.17137602869524837,0.32864696925542103,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7944557320099283,0.4876039067151581,0.14961389961389962,1.0,1.0,1.0
27,0.1654198001310365,0.3103896430348188,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8011996422336501,0.5007518604926795,0.14961389961389962,1.0,1.0,1.0
28,0.19444371434040814,0.30534808255860385,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8096825936123714,0.5139379937600002,0.14961389961389962,1.0,1.0,1.0
29,0.1603588749469353,0.3158565136101904,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8151390975302777,0.5271013957730056,0.14961389961389962,1.0,1.0,1.0
30,0.37332233807314724,-0.31811210053359923,0.30000000000000004,1.0,1.0,1.0,1.0,0.0,1.0,0.001992178090010302,0.8359172102691195,0.540548726020658,0.22442084942084944,1.0,1.0,1.0
31,0.32656585520155035,-0.2590959239192953,0.30000000000000004,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8520755098884671,0.5541847489582207,0.22038127413127417,1.0,1.0,1.0
32,0.34626761542701806,-0.32274222870535285,0.30000000000000004,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8687194628133494,0.5680172907249055,0.22059941119691123,1.0,1.0,1.0
33,0.15078106823600868,-0.27467305511941503,0.30000000000000004,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8699263478520155,0.5817356447746967,0.22058763179536686,1.0,1.0,1.0
34,0.17784031988335558,-0.3032841095740745,0.30000000000000004,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8730593876469084,0.595379476079888,0.22058826788305022,1.0,1.0,1.0
35,0.17180023877251807,-0.28668980072889033,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8755583310178269,0.6089368479394456,0.1470588223562102,1.0,1.0,1.0
36,0.20831875872510078,-0.3190211912556914,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8806045572502846,0.6224595706050569,0.14970588239517643,1.0,1.0,1.0
37,0.15600238546621506,-0.25132094717375286,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8814839776201858,0.6358646544514099,0.14961058823377368,1.0,1.0,1.0
38,0.22280328958326928,-0.34793386115054986,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8872444772669997,0.6492508974522359,0.14961401882358416,1.0,1.0,1.0
39,0.19513478489234964,-0.28140016709387883,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8906157802876343,0.6625707040834662,0.14961389532235098,1.0,1.0,1.0
40,0.18224101989560648,-0.27683595273536854,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8928324852094668,0.6758016467468209,0.14961389976839537,1.0,1.0,1.0
41,0.22678522645150445,-0.2909853437420323,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8982061760687503,0.6890077538007277,0.1496138996083378,1.0,1.0,1.0
42,0.1813259066243687,-0.33043518439278213,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8998998679402621,0.7021156736215256,0.14961389961409985,1.0,1.0,1.0
43,0.17011347708755653,-0.3349198515144661,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9006638000501133,0.7151077928863125,0.1496138996138924,1.0,1.0,1.0
44,0.1588326227112872,-0.32876102846098854,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9005487041973486,0.7279676890413963,0.1496138996138999,1.0,1.0,1.0
45,0.2173619431097953,-0.2963022036067232,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9047634281236591,0.7407832807134556,0.1496138996138996,1.0,1.0,1.0
46,0.214394861990043,-0.2579814237985699,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9085061231244521,0.7535455703688101,0.14961389961389962,1.0,1.0,1.0
47,0.21486277479896626,-0.34505570667874064,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9120588159729893,0.7662512909845818,0.14961389961389962,1.0,1.0,1.0
48,0.2240767254942641,-0.34072077818860813,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9160788799552821,0.7789103556738417,0.14961389961389962,1.0,1.0,1.0
49,0.21167726118077942,-0.26610564645339474,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9189419287095018,0.7915000906912932,0.14961389961389962,1.0,1.0,1.0
50,0.20259610950773882,-0.3096317317483913,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9209624702298709,0.8040043391889777,0.14961389961389962,1.0,1.0,1.0
51,0.15600136550792482,-0.3414846535451459,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9194203404879506,0.816352702606847,0.14961389961389962,1.0,1.0,1.0
52,0.20092021642881555,-0.32582956982781286,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9212883976019541,0.8286149435328176,0.14961389961389962,1.0,1.0,1.0
53,0.19258259472722675,-0.323477287906425,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9224285633219688,0.8407773653639289,0.14961389961389962,1.0,1.0,1.0
54,0.1630727266081407,-0.32047616612224566,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9213207512858439,0.8527960067360064,0.14961389961389962,1.0,1.0,1.0
55,0.20798934333783445,-0.30131862641393614,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9235969020282839,0.864739984709212,0.14961389961389962,1.0,1.0,1.0
56,0.18142158378627765,-0.30135175420159566,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9237742169567436,0.8765680692012546,0.14961389961389962,1.0,1.0,1.0
57,0.19431870842450097,-0.2984332318404251,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9248934610466447,0.888300257730175,0.14961389961389962,1.0,1.0,1.0
58,0.18560471658551686,-0.25326142723906386,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9253019442216216,0.8999232940373056,0.14961389961389962,1.0,1.0,1.0
