t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.3370405886252017,0.28733119313950417,0.30000000000000004,0.8042777594434256,0.8782063051038395,0.772565613682992,0.7276454616156718,0.2875572486244805,0.6803173986353136,0.3512054999961278,0.2831832457551318,0.20566366491510266,0.2839150683421674,0.39706152776787945,0.43702379992872686,0.550491462853876
1,0.3110831530011564,0.33665618499863414,0.30000000000000004,0.8677380636614006,1.0,0.8034308826203305,0.7655544151599658,0.2737524133815544,0.816718051800687,0.3957700700411076,0.31913221415035936,0.2119896725489588,0.2800060745287833,0.5337197024170098,0.5848571722290894,0.6771270777625301
2,0.30051480432648986,0.3002782080052208,0.30000000000000004,0.9331590934168444,1.0,0.8398387588795605,0.8023822830273952,0.2589374836409055,0.9438493839692943,0.43548871863630306,0.35816829632093306,0.2190331417498879,0.27998627631558126,0.6288295426538694,0.6858191814487185,0.7629497351525154
3,0.22186383760255504,0.25808146471830007,0.30000000000000004,1.0,1.0,0.8918518004855085,0.8385912539944004,0.2391543698250222,1.0,0.46053599030547576,0.39166595079822997,0.2266761293483536,0.27981503699606725,0.7478991197463063,0.810501289682772,0.8689723369813394
4,0.1943416374542629,0.31166500426836186,0.30000000000000004,1.0,1.0,0.9514850333903105,0.8741305589537045,0.21765774879733124,1.0,0.4794047288558108,0.4217116547526928,0.23484360114992392,0.27966823088440784,0.8317221440735564,0.8950829133999354,0.9409034186688432
5,0.1532716612387849,0.2879019604395436,0.2,1.0,1.0,1.0,0.9145688572007438,0.18628081027697815,1.0,0.47927266821280956,0.4466786104149391,0.24342873734672346,0.18635752010670734,0.9145688572007438,0.9741971769214495,1.0
6,0.20627843138349977,0.2952020920450026,0.2,1.0,1.0,1.0,0.9417215801799984,0.1586589607764664,1.0,0.48681360004509744,0.47448509853272236,0.25248415194391066,0.18921377239070736,0.9417215801799984,0.9940159787182439,1.0
7,0.2080052294865767,0.26571571615966255,0.2,1.0,1.0,1.0,0.9679572220667334,0.1324360469217699,1.0,0.49510243023643963,0.5012232172171455,0.26198377476881446,0.18923802303813841,0.9679572220667334,1.0,1.0
8,0.1690409761973226,0.2610947527978015,0.2,1.0,1.0,1.0,0.9929989673423539,0.10505058204538496,1.0,0.4978767442100858,0.5235480288292242,0.2718348975977108,0.1893342755668086,0.9929989673423539,1.0,1.0
9,0.19050152413351856,0.3423829786412296,0.2,1.0,1.0,1.0,1.0,0.08010469420014765,1.0,0.5044008733705436,0.546564040647432,0.2820478294346823,0.18941850928625226,1.0,1.0,1.0
10,0.197234276570873,0.3274209467235511,0.2,1.0,1.0,1.0,1.0,0.05660595721699437,1.0,0.5122097257587297,0.569134997846241,0.2926100510972603,0.18949420011940632,1.0,1.0,1.0
11,0.18069318758821185,0.32460952169244284,0.2,1.0,1.0,1.0,1.0,0.03307889439463797,1.0,0.5176865785253031,0.5893647650577101,0.3034712458874419,0.18956215506066498,1.0,1.0,1.0
12,0.15813355500635828,0.2791178078986407,0.2,1.0,1.0,1.0,1.0,0.009124613368252543,1.0,0.519990113644863,0.6067765930431784,0.31457206528943105,0.18962316648833089,1.0,1.0,1.0
13,0.20393888010042968,0.3225706352241305,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.529484237999151,0.6271935909617209,0.3259702164557712,0.1896779438270874,1.0,1.0,1.0
14,0.1837404316005564,0.25877123830659704,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5358644115665958,0.645127428991511,0.33761306287104365,0.18972712407163073,1.0,1.0,1.0
15,0.17133868569813923,0.27098901301364814,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5404159340525786,0.6612527439629234,0.34946198712159166,0.18977127912745936,1.0,1.0,1.0
16,0.1724947532067655,0.33095107007264696,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5452280840711414,0.6767490780330842,0.36150234881103743,0.18981092246338413,1.0,1.0,1.0
17,0.16595865768718762,0.3386399731079277,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5491018405000238,0.6910047164694765,0.3737074196523166,0.1898465150824795,1.0,1.0,1.0
18,0.22034985507201416,0.25547893561110846,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5611943382806102,0.7092429012821283,0.38615520348143595,0.18987847088298201,1.0,1.0,1.0
19,0.18030531218398002,0.29917117367620977,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5669033514249294,0.7235085023360198,0.398763821493342,0.18990716147141617,1.0,1.0,1.0
20,0.15187865271373588,0.2924725351752591,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5682674580830686,0.7347621745639521,0.4114714267696876,0.18993292048391944,1.0,1.0,1.0
21,0.22251285007639623,0.26120462712944487,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5803421320936135,0.7514603533314005,0.42438591956861876,0.18995604746601905,1.0,1.0,1.0
22,0.19774765134088673,0.26212324408021803,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.588263171205964,0.7655665209110154,0.43745339079115286,0.18997681135597674,1.0,1.0,1.0
23,0.19629602384428402,0.3395303449423584,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5957184457174064,0.779054330493769,0.4506599434931167,0.18999545361220874,1.0,1.0,1.0
24,0.16624425550116104,0.2508252560291254,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5984260970209714,0.7894931220042668,0.4639432064982709,0.19001219102114938,1.0,1.0,1.0
25,0.15668028779815638,0.30397694402758585,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.5996830961931154,0.7986198543458292,0.4772761715202048,0.19002721821820964,1.0,1.0,1.0
26,0.15139718741226396,0.25848365617765345,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6001919133673689,0.8068174753285624,0.490639759311574,0.19004070995114683,1.0,1.0,1.0
27,0.18973933192347742,0.34209263190491157,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6064575470874767,0.8178410038400977,0.5040901817952602,0.1900528231121654,1.0,1.0,1.0
28,0.1836085939817549,0.2898134821594987,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.609446329513966,0.8278593655106312,0.5176064672875202,0.19006369836615258,1.0,1.0,1.0
29,0.2010974030285464,0.2593417798734066,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6139686377062684,0.8388676391777156,0.5312077553981993,0.1900732405086263,1.0,1.0,1.0
30,0.34638401218972037,-0.3327444807144139,0.30000000000000004,1.0,1.0,1.0,1.0,0.0,1.0,0.649991267515765,0.8622879478522275,0.5451414368012618,0.28512234176261575,1.0,1.0,1.0
31,0.34871106786706163,-0.254167409210503,0.30000000000000004,1.0,1.0,1.0,1.0,0.0,1.0,0.6718307186759002,0.8854415323612783,0.5593988530804748,0.2806420370241058,1.0,1.0,1.0
32,0.3043338562667337,-0.2944939280426316,0.30000000000000004,1.0,1.0,1.0,1.0,0.0,1.0,0.6770225728167161,0.9036408131144165,0.5738776808119583,0.28056305430667977,1.0,1.0,1.0
33,0.19851046553372603,-0.3350695522538202,0.30000000000000004,1.0,1.0,1.0,1.0,0.0,1.0,0.6629640131088634,0.911593585385976,0.5883707757115583,0.28030451743221557,1.0,1.0,1.0
34,0.17146484418921615,-0.25051160933428873,0.30000000000000004,1.0,1.0,1.0,1.0,0.0,1.0,0.6490959837273234,0.9161735555200825,0.6028105390648444,0.28007688032712597,1.0,1.0,1.0
35,0.22983714165344127,-0.33786643753300605,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6371423110119177,0.9243647111734956,0.6172697278976659,0.18658857888754207,1.0,1.0,1.0
36,0.2064374610199735,-0.2549077213509813,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6257967038349381,0.9296233244847769,0.6316894971083848,0.18941655672705468,1.0,1.0,1.0
37,0.1689428878794549,-0.2888872552626495,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6138960027200564,0.9312423037105679,0.6459974482115123,0.1894128106149404,1.0,1.0,1.0
38,0.15344245954513294,-0.31340531420285567,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6048867880609827,0.9312530061272775,0.6601625338519427,0.18948787604071515,1.0,1.0,1.0
39,0.2039299795163029,-0.2909740957876806,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6075010721565853,0.9353912195758962,0.6742687329049413,0.18955548176213455,1.0,1.0,1.0
40,0.21197000008089162,-0.341326088557116,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6107906538038236,0.9401233483822815,0.6883285125435376,0.18961707666547573,1.0,1.0,1.0
41,0.17777585214970462,-0.26359639400116464,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6081057748619856,0.9418435358422951,0.7022820981349481,0.1896721787167824,1.0,1.0,1.0
42,0.19673118613098167,-0.30486999958006245,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6097017188297436,0.9450715195337244,0.7161607075442732,0.18972133551515952,1.0,1.0,1.0
43,0.18217362415717372,-0.25139283392809086,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6088442110931286,0.94697745552517,0.7299386495793339,0.1897657494235265,1.0,1.0,1.0
44,0.19595487400633055,-0.34816333846826536,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6107037326553558,0.9499776483837261,0.7436388160512151,0.18980546554463212,1.0,1.0,1.0
45,0.21394958830341504,-0.3171287849540897,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6148210824321242,0.9544326412987713,0.7572910807166783,0.18984121306029245,1.0,1.0,1.0
46,0.18468579954606748,-0.3286572797434733,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6131964455237005,0.9562839672889858,0.7708438492552911,0.18987311174578178,1.0,1.0,1.0
47,0.1855211575446351,-0.31752904369331975,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6125538879384611,0.9580946954344214,0.7842973046714267,0.18990119770521588,1.0,1.0,1.0
48,0.15710532504746527,-0.28704898336165624,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6081017694960136,0.9573929968662963,0.7976021915620384,0.18992667235644645,1.0,1.0,1.0
49,0.1582455548748399,-0.2715901225394281,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6057392459661018,0.9567466000716166,0.8107611016478503,0.18994962460760367,1.0,1.0,1.0
50,0.15203128718220102,-0.27192786666718527,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6035333392044903,0.9555760916152041,0.823765012463676,0.18997071886046693,1.0,1.0,1.0
51,0.2146039858035077,-0.30026693988883596,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.611725255215291,0.9597932087853995,0.8367232265147472,0.1899898176617127,1.0,1.0,1.0
52,0.20675583289729535,-0.32517391624597725,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6156820623116236,0.9633283619871302,0.8496225614893423,0.19000706927952993,1.0,1.0,1.0
53,0.20900934044497022,-0.3074992979706429,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6185516011884685,0.9669711264482219,0.8624657584034134,0.19002188964400613,1.0,1.0,1.0
54,0.16847626572595537,-0.25359252262060406,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6143234442944682,0.9670219853595083,0.8751815405265694,0.19003463899504952,1.0,1.0,1.0
55,0.18207232207648588,-0.31270305592131525,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6138706954478619,0.9681382715938396,0.8877924905531804,0.19004558075164268,1.0,1.0,1.0
56,0.21879211995629289,-0.31306400214200036,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6191862726593764,0.9723353761562933,0.9003612731707744,0.19005615720924457,1.0,1.0,1.0
57,0.20340042966025915,-0.33289402448188843,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6201957753262802,0.9751174235357504,0.9128600089097816,0.19006569878768087,1.0,1.0,1.0
58,0.21746189706058322,-0.32410879430966505,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6229816492731456,0.9789754381005368,0.9253109175826946,0.1900733316311817,1.0,1.0,1.0
59,0.15404030021397538,-0.25247410475493504,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6152208034815229,0.977252185023291,0.9376028521073334,0.19008000137784134,1.0,1.0,1.0
60,0.3138204921859269,0.34465192047075516,0.30000000000000004,1.0,1.0,1.0,1.0,0.0,1.0,0.6459015435941021,0.9896193689336638,0.9500192109649334,0.28512803764358713,1.0,1.0,1.0
61,0.3788932878495826,0.31065576460087246,0.30000000000000004,1.0,1.0,1.0,1.0,0.0,1.0,0.6738895997094435,1.0,0.962519018855284,0.2806468700335509,1.0,1.0,1.0
62,0.30094997885753294,0.2560910712558313,0.30000000000000004,1.0,1.0,1.0,1.0,0.0,1.0,0.6778050974209221,1.0,0.9748938286667312,0.28056946080107553,1.0,1.0,1.0
63,0.166688148252117,0.28888786457049764,0.30000000000000004,1.0,1.0,1.0,1.0,0.0,1.0,0.6586905862014136,0.9994940460066964,0.9871347713001979,0.2803086003834157,1.0,1.0,1.0
64,0.19892389417576428,0.3466433292617545,0.30000000000000004,1.0,1.0,1.0,1.0,0.0,1.0,0.650625025870189,1.0,0.9992634235871959,0.2800799835268755,1.0,1.0,1.0
65,0.17836248832047602,0.264064450920311,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6303830202190405,0.9988689340734401,1.0,0.18659228584245535,1.0,1.0,1.0
66,0.19495457188947599,0.2637299604429093,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6199731591095746,0.9985220454912509,1.0,0.1894193153251058,1.0,1.0,1.0
67,0.1569270609304302,0.3055959733545857,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6085797657256125,0.9948514279812761,1.0,0.18941774091396194,1.0,1.0,1.0
68,0.2056790537344998,0.25655968891078773,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6095248258148641,0.9953231789286671,1.0,0.18949364497569315,1.0,1.0,1.0
69,0.18611203559787307,0.3203843888356726,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6077033032641848,0.9942404394124419,1.0,0.18956125941023447,1.0,1.0,1.0
70,0.21113362002068178,0.2883000877411465,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6108268745000315,0.9953835045904219,1.0,0.1896218895613096,1.0,1.0,1.0
71,0.22097413349315248,0.2669079867476138,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6146418825187506,0.9974577376411452,1.0,0.18967649441238424,1.0,1.0,1.0
72,0.2072373189176054,0.32717047229207186,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6152954015013112,0.9984172084679738,1.0,0.18972520623789468,1.0,1.0,1.0
73,0.22042045808343907,0.29944358121519604,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6180148990159948,1.0,1.0,0.18976843263936802,1.0,1.0,1.0
74,0.15793811674308134,0.2548459621346379,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6106089318742595,0.9968272697228867,1.0,0.18980715331432885,1.0,1.0,1.0
75,0.1923070169260169,0.26733286887288926,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6115190039792179,0.9966264327256085,1.0,0.18984143897761818,1.0,1.0,1.0
76,0.20037469853185455,0.2584272296445257,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.613537495964796,0.9971969198201927,1.0,0.18987336315184128,1.0,1.0,1.0
77,0.21241192447522197,0.27224078689449227,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6168008770597674,0.9988560717089512,1.0,0.1899018847535956,1.0,1.0,1.0
78,0.15104113710099107,0.2675850543928413,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6097872267474664,0.9953034564225345,1.0,0.18992722717777266,1.0,1.0,1.0
79,0.18653580045194817,0.30592453147881193,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6110097947271389,0.9948420831291886,1.0,0.18994946187718212,1.0,1.0,1.0
80,0.18106272046756539,0.26730497594819924,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.6111008451738693,0.9940041580760496,1.0,0.18997043157991741,1.0,1.0,1.0
