t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.37245117409396167,0.3186254157026702,0.30000000000000004,0.8041207526318686,0.8794052932853487,0.7692805729779058,0.7423711966,0.27706405066346024,0.683239788535317,0.28813989681141844,0.28185652755503876,0.20563713055110078,0.27872589000000003,0.40384640783618103,0.4430083703965241,0.5568756423370455
1,0.36132074050901153,0.3404616237813274,0.30000000000000004,0.8669985789701536,1.0,0.7961204703470396,0.7925321925917374,0.2527099606738807,0.8191305369806289,0.26684116132753966,0.31526522591110306,0.21188606376381183,0.2755329214170856,0.5470337087740935,0.5954180122351495,0.6872220800456057
2,0.32078619579911816,0.3135725869605989,0.30000000000000004,0.9319976896138096,1.0,0.8344261166026038,0.8408208648371948,0.22658633748454818,0.9492967994045365,0.24086633026256243,0.34902370105265373,0.2187476771472268,0.2756624219965198,0.6538922715786084,0.7057493408028653,0.7809713341833056
3,0.2223956555733183,0.33721303740697106,0.30000000000000004,1.0,1.0,0.892538611842278,0.8876757817499017,0.19521019501191647,1.0,0.20141790448062102,0.3769613313814238,0.226099427003383,0.2756571697055441,0.7922849100090662,0.8464166421348202,0.9005398533882111
4,0.19583525353993775,0.26693780871255696,0.30000000000000004,1.0,1.0,0.959217309094546,0.9331244466441999,0.1630249202922028,1.0,0.159958397568333,0.4029446606985045,0.23389732594731927,0.2756573827282241,0.8950691207603867,0.9461406209841776,0.9853051821544949
5,0.18292184496327651,0.34938380127773294,0.2,1.0,1.0,1.0,0.9827228235912264,0.12351860603504991,1.0,0.10760853712487199,0.42847131918802583,0.2421277790716066,0.18377158272562638,0.9827228235912264,1.0,1.0
6,0.1582598239928944,0.28191391488492895,0.2,1.0,1.0,1.0,1.0,0.08496583628854308,1.0,0.06378768422943364,0.45351911428147607,0.25077688356652006,0.18625605530615663,1.0,1.0,1.0
7,0.22600312863628003,0.29494007558523255,0.2,1.0,1.0,1.0,1.0,0.051402396705639966,1.0,0.03205950565950319,0.4832494365233149,0.2599341034613211,0.18618887839739343,1.0,1.0,1.0
8,0.16669220578659544,0.2816903983245593,0.2,1.0,1.0,1.0,1.0,0.015120444612693004,1.0,0.0,0.5081542142825266,0.26949784671235844,0.18619069477367642,1.0,1.0,1.0
9,0.22269086759168902,0.2835568810468474,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.535637315950229,0.27951561456423946,0.186190645661223,1.0,1.0,1.0
