t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.34175871277699943,0.3306690777118679,0.30000000000000004,0.8040954642831353,0.877206607170014,0.7708483930834501,0.7203099999999999,0.32442552276661996,0.6868119376918236,0.3856438069165499,0.2914031054304612,0.20582806210860924,0.28650000000000003,0.3916498116454244,0.4361212298550047,0.5490780453767539
1,0.37683958194591016,0.27896253777644653,0.30000000000000004,0.8665453315505132,1.0,0.7907662403953118,0.7565797749999998,0.34166065961420905,0.8137715769505335,0.47156690386260897,0.34133272008974774,0.2125964358893181,0.28066125000000003,0.5184347862381745,0.5804298560997546,0.6732000651847914
2,0.3612885950238362,0.32042198668434124,0.30000000000000004,0.9301400199418199,1.0,0.8167858545570567,0.7906430441875,0.358118069325284,0.9417617013614566,0.5509084917980539,0.39603457910976114,0.22039116311262014,0.28105536562500005,0.600671453607319,0.6759604090499518,0.7543025062862091
3,0.20291064457790642,0.26101620489172117,0.30000000000000004,0.9970496973137871,1.0,0.8701472208886806,0.8237599081473438,0.3646217975580763,1.0,0.6025231154332746,0.4382125942858213,0.22895150336721035,0.2810287628203125,0.7146776402262265,0.8058831062750742,0.8639865149987525
4,0.15215494230324214,0.28841711045442975,0.30000000000000004,1.0,1.0,0.9341569320131446,0.8557423484440944,0.3676843943712452,1.0,0.6430917522318095,0.47526418661035386,0.2381672720657453,0.28107842060021393,0.7993976468162586,0.9022717606872607,0.9337338657645752
5,0.20971161569331076,0.2752383767513222,0.2,1.0,1.0,0.9973703050145551,0.8902274604415401,0.3628105365023293,1.0,0.6652902934171135,0.5153973619676627,0.2480935465844411,0.18789651834760995,0.8878864337529117,1.0,1.0
6,0.1901282136454427,0.28174350905457496,0.2,1.0,1.0,1.0,0.9059252152794022,0.36396295547253144,1.0,0.6763979160537794,0.5534577199163171,0.258681765516923,0.1920967085210312,0.9059252152794022,1.0,1.0
7,0.21770622473027393,0.34451939145048893,0.2,1.0,1.0,1.0,0.9214929178638365,0.36528055042181434,1.0,0.6873005895326767,0.5919052866379726,0.26993305359451325,0.19201605858608448,0.9214929178638365,1.0,1.0
8,0.18212727495285355,0.3498447005087021,0.2,1.0,1.0,1.0,0.9361812401762536,0.3634101809906595,1.0,0.6886260849631132,0.6246979041724574,0.2817276811420173,0.19211361754377,0.9361812401762536,1.0,1.0
9,0.15497542330019573,0.33126090004416153,0.2,1.0,1.0,1.0,0.9503974149919417,0.35982286570264094,1.0,0.6853627536878635,0.6529178287491806,0.2939687609055807,0.1921210697111256,0.9503974149919417,1.0,1.0
10,0.22002532017026244,0.265091548027698,0.2,1.0,1.0,1.0,0.9643076431296492,0.3605352541372138,1.0,0.6931261839098768,0.6856846421286145,0.3067427661390972,0.19209255112283935,0.9643076431296492,1.0,1.0
11,0.20644548924735606,0.30588918686046745,0.2,1.0,1.0,1.0,0.9775119585037942,0.3596856889729515,1.0,0.6958330955657802,0.7152340939678096,0.3199800203570624,0.19216083328043346,0.9775119585037942,1.0,1.0
12,0.2264150289808695,0.27100100094902224,0.2,1.0,1.0,1.0,0.990232987340164,0.35979354157027915,1.0,0.7004822171270407,0.7449456123304411,0.3336791324001006,0.19218145403986986,0.990232987340164,1.0,1.0
13,0.1931970680496099,0.33824561068087,0.2,1.0,1.0,1.0,1.0,0.3574651440655322,1.0,0.6983402112235213,0.7697207805955613,0.34773675668801085,0.19222082140487395,1.0,1.0,1.0
14,0.2011018544847837,0.2809199529958325,0.2,1.0,1.0,1.0,1.0,0.3558673846064685,1.0,0.6982168909788431,0.7937502794523575,0.3621343947101779,0.19220069966481382,1.0,1.0,1.0
15,0.1565491083307794,0.3439776047011715,0.2,1.0,1.0,1.0,1.0,0.3516500113398069,1.0,0.6914587236864124,0.8120648268319262,0.37675434729971463,0.19220044949751003,1.0,1.0,1.0
16,0.18792787768851243,0.34963261827822234,0.2,1.0,1.0,1.0,1.0,0.35005817291504954,1.0,0.692036044076838,0.8322361722030422,0.3916315272707783,0.19214200812374693,1.0,1.0,1.0
17,0.1613285712496108,0.3312204252248064,0.2,1.0,1.0,1.0,1.0,0.3468614690440322,1.0,0.6883991992782196,0.8486457955271275,0.4066881279086131,0.19214938919922242,1.0,1.0,1.0
18,0.21507024973992708,0.341997502249764,0.2,1.0,1.0,1.0,1.0,0.34731144266358205,1.0,0.6942381659206212,0.8692121086843779,0.42200548880321453,0.19211764083265048,1.0,1.0,1.0
19,0.15142674531506423,0.2872192841557435,0.2,1.0,1.0,1.0,1.0,0.343384013498145,1.0,0.6882596237445527,0.8824723497600409,0.43743488091038324,0.1921694227976187,1.0,1.0,1.0
20,0.15413351946883164,0.3252034833571964,0.2,1.0,1.0,1.0,1.0,0.34027591386866834,1.0,0.6850122718465319,0.8951401659690141,0.4529633354206597,0.19211561201691685,1.0,1.0,1.0
21,0.17837133887427786,0.34595052188429043,0.2,1.0,1.0,1.0,1.0,0.3390113270488048,1.0,0.6866639561496624,0.9093552648644446,0.468620807363742,0.19208974576780227,1.0,1.0,1.0
22,0.17998632107977677,0.3274374924638553,0.2,1.0,1.0,1.0,1.0,0.33772202849674254,1.0,0.6879155719755562,0.9228876926982967,0.48439235314407053,0.19210508801912984,1.0,1.0,1.0
23,0.21942309403744814,0.27389465653679484,0.2,1.0,1.0,1.0,1.0,0.33871162291350027,1.0,0.6945957962903433,0.9394162890083131,0.5003367553927961,0.1921152773303069,1.0,1.0,1.0
24,0.19454532993664936,0.34573921803278457,0.2,1.0,1.0,1.0,1.0,0.3375528090160098,1.0,0.6949459485372715,0.9526090224716393,0.516385568288301,0.19217261091387322,1.0,1.0,1.0
25,0.19215342161498453,0.2859707817868233,0.2,1.0,1.0,1.0,1.0,0.3362407951793339,1.0,0.6948008382095094,0.9647819186752687,0.5325173509789233,0.1921733029960503,1.0,1.0,1.0
26,0.17137602869524837,0.32864696925542103,0.2,1.0,1.0,1.0,1.0,0.3337285552009914,1.0,0.6915955580030191,0.9742279320108441,0.548676736109351,0.19217201992442595,1.0,1.0,1.0
27,0.1654198001310365,0.3103896430348188,0.2,1.0,1.0,1.0,1.0,0.3312241577262247,1.0,0.6887435828522519,0.9825068535597364,0.5648401058194522,0.19214435375629035,1.0,1.0,1.0
28,0.19444371434040814,0.30534808255860385,0.2,1.0,1.0,1.0,1.0,0.33079548867431724,1.0,0.6913546417038876,0.9930583246192033,0.5810528712536418,0.19212082510793932,1.0,1.0,1.0
29,0.1603588749469353,0.3158565136101904,0.2,1.0,1.0,1.0,1.0,0.328088513701673,1.0,0.6878374863231934,0.999719645132438,0.5972367354437541,0.19214436368151433,1.0,1.0,1.0
30,0.37332233807314724,-0.31811210053359923,0.30000000000000004,1.0,1.0,1.0,1.0,0.3462409242099441,1.0,0.729159555593427,1.0,0.6132643680893166,0.2881694852108922,1.0,1.0,0.9892097620192489
31,0.32656585520155035,-0.2590959239192953,0.30000000000000004,1.0,1.0,1.0,1.0,0.3476774654705247,1.0,0.7467395150874427,1.0,0.6291317244084235,0.283060899126831,1.0,1.0,0.9852129206920595
