t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.3772193713241698,0.2511654693792141,0.30000000000000004,0.8036330396511966,0.8762071390377648,0.7651307159813745,0.7174137639999999,0.27998266087115603,0.6750421039664682,0.28891860216982224,0.28680314730532347,0.20573606294610647,0.2875206,0.3865181680141829,0.42439460281866226,0.5388552623958629
1,0.35887932958375,0.2658012724764748,0.30000000000000004,0.8657841561429667,1.0,0.7869451510817244,0.7498022844476919,0.25710136896010194,0.8044286132445788,0.26133838319030644,0.3260405728701751,0.2121995137740489,0.2820595771218,0.510858774191865,0.5568286457583679,0.6527894546141627
2,0.37890715613302584,0.2516880654207976,0.30000000000000004,0.9287726053732877,1.0,0.8090651446558181,0.7802521724049174,0.23613504473420424,0.9248958200634755,0.23903374384676193,0.37019503788164554,0.2194814193939413,0.28240032856633107,0.5863107748207778,0.6347677571849354,0.7189525114656123
3,0.2203593014507737,0.31813506644014145,0.30000000000000004,0.9947460712490881,1.0,0.8581881869549972,0.8098489001796224,0.20617119277124424,1.0,0.19400647551567363,0.4033504098884401,0.22735361339777072,0.2823790666984467,0.6913512643733227,0.7412391145532372,0.80945848069564
4,0.218587390598522,0.34998162341661193,0.30000000000000004,1.0,1.0,0.9102847112490007,0.838553961307229,0.17685067245843417,1.0,0.1509682584100025,0.4363313980067114,0.23580670522392724,0.28238039337521703,0.7633228505352566,0.8105708063322737,0.8683900870386284
5,0.16917721457310309,0.28380777572566995,0.2,1.0,1.0,0.9777366667816,0.872045711725989,0.13776837865757618,1.0,0.09137499653759261,0.46591987801201407,0.24476703573192823,0.18825354039637773,0.8526310674641565,0.8937440273793218,0.9626190381733291
6,0.2066555466388102,0.2780581685843137,0.2,1.0,1.0,1.0,0.8879832435098161,0.10419009694659864,1.0,0.05552964165215746,0.498502172019976,0.25428940881500844,0.1921690292265915,0.8879832435098161,0.920364914589701,0.9842679200945981
7,0.17106514057179684,0.2728609725348916,0.2,1.0,1.0,1.0,0.9041310740318866,0.06922107707033423,1.0,0.0155079297400567,0.5279788260725803,0.26430609124831,0.19200615272223226,0.9041310740318866,0.9260357983969226,0.9891288904568261
8,0.21862696779153754,0.3374532605373621,0.2,1.0,1.0,1.0,0.9197658325479673,0.0379839346017313,1.0,0.0,0.560371572754927,0.27487046179092545,0.1920129280590606,0.9197658325479673,0.9319935463793104,0.9941912824076486
9,0.21380927939019845,0.2723391207349587,0.2,1.0,1.0,1.0,0.9349327395542489,0.007238495399900707,1.0,0.0,0.5904178787973862,0.2859301147489639,0.1920126462185992,0.9349327395542489,0.937301366771317,0.9987030002009697
10,0.22398706241048771,0.30113699467515,0.2,1.0,1.0,1.0,0.9496445897969041,0.0,1.0,0.0,0.6195125164975674,0.2974610639314256,0.19201265794259872,0.9496445897969041,0.9496445897969041,1.0
11,0.1685108694894013,0.2955536811356821,0.2,1.0,1.0,1.0,0.9639150865936037,0.0,1.0,0.0,0.6422223179199475,0.30933089965051025,0.1920126574549038,0.9639150865936037,0.9639150865936037,1.0
12,0.18359002619363152,0.2578959289648435,0.2,1.0,1.0,1.0,0.9777574684006554,0.0,1.0,0.0,0.664830515239705,0.32153420095879925,0.19201265747519092,0.9777574684006554,0.9777574684006554,1.0
13,0.19517532694282477,0.2859964448506403,0.2,1.0,1.0,1.0,0.9911845787570622,0.0,1.0,0.0,0.6870510334308466,0.3340598796178282,0.19201265747434704,0.9911845787570622,0.9911845787570622,1.0
14,0.19556925673196024,0.34302173681112064,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7079712626349199,0.34687870607434834,0.19201265747438212,1.0,1.0,1.0
15,0.2016457000080277,0.29051004259056507,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7281444164258697,0.3599728073421222,0.19201265747438068,1.0,1.0,1.0
16,0.21908591914750647,0.34951729108828233,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7485656071746837,0.37334439141219466,0.19201265747438073,1.0,1.0,1.0
17,0.18922052202177703,0.34450248095304836,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7652640534333713,0.38691622856674013,0.19201265747438073,1.0,1.0,1.0
18,0.15150000405055916,0.26403181220139377,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7778062408586224,0.40060319109824516,0.19201265747438073,1.0,1.0,1.0
19,0.16377556062582038,0.34380647896600813,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.7906224319118926,0.4144096078255005,0.19201265747438073,1.0,1.0,1.0
20,0.20523879637962264,0.32190823407276065,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8061369857291274,0.4283882514618281,0.19201265747438073,1.0,1.0,1.0
21,0.1729293713152323,0.29949850749350315,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8180188131370593,0.44246474520995094,0.19201265747438073,1.0,1.0,1.0
22,0.2209651785228009,0.25998756430434655,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8332046918402998,0.4567041915946574,0.19201265747438073,1.0,1.0,1.0
23,0.15929774188719592,0.2547416166019353,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8423225213596823,0.47098360010590445,0.19201265747438073,1.0,1.0,1.0
24,0.18749292714926902,0.3340482197117092,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8532510838486435,0.48533878578181827,0.19201265747438073,1.0,1.0,1.0
25,0.19439923840512127,0.290145932080324,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8641014680595221,0.4997674272851905,0.19201265747438073,1.0,1.0,1.0
26,0.19016452445529014,0.26792114641047493,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8739467042114976,0.5142486870965686,0.19201265747438073,1.0,1.0,1.0
27,0.22585063666109517,0.28538014075034107,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8861854524862965,0.5288299092753289,0.19201265747438073,1.0,1.0,1.0
28,0.16882079500562897,0.28112329778413886,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8929207950549067,0.5434000260836738,0.19201265747438073,1.0,1.0,1.0
29,0.21599461712011991,0.28182675643778715,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.903196895105808,0.5580299637249532,0.19201265747438073,1.0,1.0,1.0
30,0.3723845210531631,-0.316382256246971,0.30000000000000004,1.0,1.0,1.0,1.0,0.0,1.0,0.0044985993705244365,0.9257292302385737,0.5729642486924752,0.2880189862115711,1.0,1.0,1.0
31,0.3353238801847869,-0.34257990437952224,0.30000000000000004,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9440156507365837,0.5881149192202821,0.28202847931735664,1.0,1.0,1.0
32,0.3725976984725523,-0.27038485387530364,0.30000000000000004,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9643218831125495,0.6035202076903303,0.28240226897603493,1.0,1.0,1.0
33,0.1879557443512378,-0.3384599427309696,0.30000000000000004,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9679691866626841,0.6188443893466806,0.2823789456227024,1.0,1.0,1.0
34,0.18939864241468132,-0.3123851701502511,0.30000000000000004,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9715183133459578,0.634086311720133,0.2823804009299803,1.0,1.0,1.0
35,0.21720021680595034,-0.2572016850354156,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9771793797339002,0.6492890361976097,0.1882535400821147,1.0,1.0,1.0
36,0.20928849404593816,-0.32127878512128405,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.981839169830147,0.6644329292322365,0.1921690292396642,1.0,1.0,1.0
37,0.15331030693690523,-0.26060599978312027,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.981538235590302,0.6794193646517201,0.19200615272168844,1.0,1.0,1.0
38,0.2255599595636462,-0.33416251031846755,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9872971843124403,0.6943711146914517,0.1920129280590832,1.0,1.0,1.0
39,0.18999411318601128,-0.3019029230829395,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9897364269654713,0.7092221320838467,0.19201264621859826,1.0,1.0,1.0
40,0.2281142994752193,-0.34569511525309876,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9952170891021167,0.7240342525450506,0.19201265794259875,1.0,1.0,1.0
41,0.15493652252820939,-0.2656251504408399,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.99424947085276,0.7386788994366553,0.19201265745490378,1.0,1.0,1.0
42,0.1955664759637633,-0.30377111119644656,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9967375612717139,0.7532268616677231,0.19201265747519092,1.0,1.0,1.0
43,0.2122199140519492,-0.29066595327174755,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.7676945930510459,0.19201265747434704,1.0,1.0,1.0
44,0.20539419276768772,-0.324437496305809,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.7820176471205355,0.19201265747438212,1.0,1.0,1.0
45,0.15679442442107408,-0.349107480752163,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.998900772849267,0.7961754861063154,0.19201265747438068,1.0,1.0,1.0
46,0.1766484396181747,-0.2851499931251349,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9995277775279634,0.8102042867958115,0.19201265747438073,1.0,1.0,1.0
47,0.18038310970880003,-0.3152672037065296,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.8241022439278534,0.19201265747438073,1.0,1.0,1.0
48,0.19948437984888473,-0.2794799116981542,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.8378612214885749,0.19201265747438073,1.0,1.0,1.0
49,0.19763635185100628,-0.3188261713471522,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.8514826092736891,0.19201265747438073,1.0,1.0,1.0
50,0.2157393980210367,-0.2699296016760142,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.8649677831809522,0.19201265747438073,1.0,1.0,1.0
51,0.22147980801415887,-0.26074207396424304,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.8783181053491428,0.19201265747438073,1.0,1.0,1.0
52,0.15120303386068432,-0.28308354697031946,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9984331967058474,0.8915035882297683,0.19201265747438073,1.0,1.0,1.0
53,0.17784683741119786,-0.31115549288038913,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9991884711343801,0.9045723217701582,0.19201265747438073,1.0,1.0,1.0
54,0.1914471024291629,-0.33561144452467395,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.9175265985524567,0.19201265747438073,1.0,1.0,1.0
55,0.16995462685764706,-0.25137407816009716,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.9303513325669321,0.19201265747438073,1.0,1.0,1.0
56,0.17648031969361092,-0.25869961958837995,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.9430478192412628,0.19201265747438073,1.0,1.0,1.0
57,0.2047528085630518,-0.3185183707684799,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.9556173410488502,0.19201265747438073,1.0,1.0,1.0
58,0.17549628734740222,-0.28951394456970375,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.9680611676383617,0.19201265747438073,1.0,1.0,1.0
59,0.20616634978360263,-0.3159964256542969,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.9803805559619782,0.19201265747438073,1.0,1.0,1.0
60,0.3047248028846224,0.2672222112427748,0.30000000000000004,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.9925767504023583,0.2880189862115711,1.0,1.0,1.0
61,0.3688539680871682,0.322886046727097,0.30000000000000004,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.28202847931735664,1.0,1.0,1.0
62,0.30866171538065346,0.33351136052889585,0.30000000000000004,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.28240226897603493,1.0,1.0,1.0
63,0.1960690548414743,0.28348088404129673,0.30000000000000004,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.2823789456227024,1.0,1.0,1.0
64,0.22151627889726827,0.26287551249238855,0.30000000000000004,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.2823804009299803,1.0,1.0,1.0
65,0.15785610754200807,0.28436049778640343,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9989895553612126,1.0,0.1882535400821147,1.0,1.0,1.0
66,0.2090187457881554,0.30477624656071467,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.1921690292396642,1.0,1.0,1.0
67,0.1887369069885831,0.34067458444946674,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.19200615272168844,1.0,1.0,1.0
68,0.18151469405152332,0.32881354136846025,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.1920129280590832,1.0,1.0,1.0
69,0.15036641424908812,0.3282945855311725,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9983632349732025,1.0,0.19201264621859826,1.0,1.0,1.0
70,0.16243831378718493,0.31556868289554846,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9978341800435807,1.0,0.19201265794259875,1.0,1.0,1.0
71,0.21707969853865852,0.3155752347379657,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.19201265745490378,1.0,1.0,1.0
72,0.19630580398104308,0.30500199393720945,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.19201265747519092,1.0,1.0,1.0
73,0.2101131482852649,0.28687812641689997,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.19201265747434704,1.0,1.0,1.0
74,0.16868346511135543,0.30570939901957517,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9998949856009752,1.0,0.19201265747438212,1.0,1.0,1.0
75,0.19162805058282412,0.26162406354810624,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.19201265747438068,1.0,1.0,1.0
76,0.192406498028939,0.2966878008746895,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.19201265747438073,1.0,1.0,1.0
77,0.1625164156141908,0.32075680917913946,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9993792703796868,1.0,0.19201265747438073,1.0,1.0,1.0
78,0.21228026564100475,0.28387592469121176,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.19201265747438073,1.0,1.0,1.0
79,0.2192331329610933,0.3487263445307729,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.19201265747438073,1.0,1.0,1.0
80,0.2029753309261767,0.29078309538108504,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.19201265747438073,1.0,1.0,1.0
81,0.1717935814482173,0.2629918327628455,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.19201265747438073,1.0,1.0,1.0
82,0.1718405779344625,0.3498817922075993,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.19201265747438073,1.0,1.0,1.0
83,0.15483382491231162,0.3416229225659164,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9987368190801292,1.0,0.19201265747438073,1.0,1.0,1.0
84,0.20577561711282835,0.3283905015980174,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.19201265747438073,1.0,1.0,1.0
85,0.15794130627345862,0.3146116392701205,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9989966800458229,1.0,0.19201265747438073,1.0,1.0,1.0
86,0.16641299828587655,0.31769498964455684,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9987619986362507,1.0,0.19201265747438073,1.0,1.0,1.0
87,0.21353585295764022,0.3221481415957782,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.19201265747438073,1.0,1.0,1.0
88,0.19282480011064582,0.33845992229138,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.19201265747438073,1.0,1.0,1.0
89,0.16834536750442602,0.265705387006512,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9998667124239472,1.0,0.19201265747438073,1.0,1.0,1.0
90,0.3692394685021036,-0.3444303509829115,0.30000000000000004,1.0,1.0,1.0,1.0,0.0,1.0,0.004026841487865515,1.0,1.0,0.2880189862115711,1.0,1.0,1.0
91,0.33343952907685176,-0.3080103585573007,0.30000000000000004,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.28202847931735664,1.0,1.0,1.0
92,0.3701774890244834,-0.3127713615073752,0.30000000000000004,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.28240226897603493,1.0,1.0,1.0
93,0.19554726132550834,-0.2998716442485614,0.30000000000000004,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.2823789456227024,1.0,1.0,1.0
94,0.1883052259664854,-0.3026692756119847,0.30000000000000004,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.2823804009299803,1.0,1.0,1.0
95,0.18746067074998646,-0.2903677723027162,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.1882535400821147,1.0,1.0,1.0
96,0.18459547523760308,-0.3076928278252326,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.1921690292396642,1.0,1.0,1.0
97,0.22398645665754469,-0.2523561531738318,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.19200615272168844,1.0,1.0,1.0
98,0.16976591269081762,-0.2552742846477807,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.999985504526311,1.0,0.1920129280590832,1.0,1.0,1.0
99,0.151905070216608,-0.3167507965827585,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9984782782621531,1.0,0.19201264621859826,1.0,1.0,1.0
100,0.22192605057475262,-0.3330932289108021,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.19201265794259875,1.0,1.0,1.0
101,0.20352063452247054,-0.2505906209321596,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.19201265745490378,1.0,1.0,1.0
