t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.33796565429508385,0.31574725026572553,0.30000000000000004,0.8040893544043075,0.8769137059442884,0.7710187735357374,0.7174137639999999,0.339104337257705,0.686255123939609,0.35401252014426254,0.28899790870965314,0.20577995817419306,0.2875206,0.3900280375754701,0.4363191072933537,0.5489910911993506
1,0.35331283768998706,0.2642600352925368,0.30000000000000004,0.8667644030127899,1.0,0.7935798615568364,0.7498022844476919,0.3758879133316556,0.8154457771223028,0.3933246070107635,0.33245413182999917,0.21237124122905113,0.2820595771218,0.5157490832039511,0.5836014295448377,0.6755463208326621
2,0.30086883544720544,0.28747544920633644,0.30000000000000004,0.9311974235737321,1.0,0.8273060825766765,0.7802521724049174,0.408746525663614,0.9461887860141486,0.4236968839021263,0.3754802499717715,0.21975713381619605,0.28240032856633107,0.6010947981417256,0.6870881917589412,0.7634248808535172
3,0.1719238511582665,0.33103480522350837,0.30000000000000004,0.9991531284881997,1.0,0.8834208283509187,0.8098489001796224,0.43303815906816256,1.0,0.4331531165531969,0.407229914745896,0.22770416077295202,0.2823790666984467,0.7148315026948826,0.8231737639847048,0.8791029327123874
4,0.20524741224309476,0.3101457038727733,0.30000000000000004,1.0,1.0,0.9371398597772974,0.838553961307229,0.45872246530489813,1.0,0.4471385461711387,0.4406567167120831,0.23624025349946418,0.28238039337521703,0.7858423417151539,0.9120115794315462,0.9546147441730101
5,0.19465520382026785,0.3161321085872001,0.2,1.0,1.0,1.0,0.872045711725989,0.47559895544600256,1.0,0.44754044382654995,0.47117064575340534,0.24530126387953763,0.18825354039637773,0.872045711725989,1.0,1.0
6,0.16162422357680822,0.294005479192477,0.2,1.0,1.0,1.0,0.8879832435098161,0.4923499293398884,1.0,0.45811409364616984,0.4992092745388857,0.25483243673151995,0.1921690292265915,0.8879832435098161,1.0,1.0
7,0.1629813857911111,0.34059729815293227,0.2,1.0,1.0,1.0,0.9041310740318866,0.5086687877752448,1.0,0.4677325714460689,0.5260951066896591,0.2648060144979979,0.19200615272223226,0.9041310740318866,1.0,1.0
8,0.1547059461928693,0.33188201278420804,0.2,1.0,1.0,1.0,0.9197658325479673,0.5240870906513933,1.0,0.47565501881272176,0.5510104098413183,0.2751781625498443,0.1920129280590606,0.9197658325479673,1.0,1.0
9,0.1559687706908702,0.3186945504093542,0.2,1.0,1.0,1.0,0.9349327395542489,0.5391955414346556,1.0,0.4833696772272671,0.5749293565469845,0.28592496805528556,0.1920126462185992,0.9349327395542489,1.0,1.0
10,0.1769599674233414,0.2904614283128649,0.2,1.0,1.0,1.0,0.9496445897969041,0.5551857595739766,1.0,0.4938473275835279,0.5998475591272331,0.2970626695572774,0.19201265794259872,0.9496445897969041,1.0,1.0
11,0.21739226942500495,0.2518604300312003,0.2,1.0,1.0,1.0,0.9639150865936037,0.5732021600961457,1.0,0.509865938835649,0.6277526924949939,0.30864709671160445,0.1920126574549038,0.9639150865936037,1.0,1.0
12,0.1548627756951175,0.3415033643409947,0.2,1.0,1.0,1.0,0.9777574684006554,0.5870163809932714,1.0,0.5157041955441587,0.6485739774728251,0.3205321052939449,0.19201265747519092,0.9777574684006554,1.0,1.0
13,0.1907140733142161,0.2590977989058583,0.2,1.0,1.0,1.0,0.9911845787570622,0.6026363242246239,1.0,0.526839139994813,0.6719676130897857,0.3327661365028011,0.19201265747434704,0.9911845787570622,1.0,1.0
14,0.22897071923244555,0.34467130187432704,0.2,1.0,1.0,1.0,1.0,0.6188500568153086,1.0,0.5443649226719481,0.6983031565736596,0.34540453826924633,0.19201499457580726,1.0,1.0,1.0
15,0.1590022108917621,0.29232066122540934,0.2,1.0,1.0,1.0,1.0,0.6223967791121772,1.0,0.5502612285838265,0.7169041568096925,0.3582885760227477,0.19202927083100235,1.0,1.0,1.0
16,0.1608055600759331,0.2812540694192268,0.2,1.0,1.0,1.0,1.0,0.6241988139222002,1.0,0.5561566846586798,0.7348297573709164,0.3714022854099386,0.19203182113665493,1.0,1.0,1.0
17,0.19971615586171457,0.26635241283189814,0.2,1.0,1.0,1.0,1.0,0.6273941743247258,1.0,0.5677890173001627,0.7557873604430544,0.3848040097647003,0.19203331255289946,1.0,1.0,1.0
18,0.20574675910805165,0.2551353317165005,0.2,1.0,1.0,1.0,1.0,0.6292823171469405,1.0,0.57978846253248,0.7766153384256,0.39848827643556534,0.19203608319996338,1.0,1.0,1.0
19,0.1636971274061487,0.33156976482540573,0.2,1.0,1.0,1.0,1.0,0.6276611901833496,1.0,0.584687321707548,0.7926049796843028,0.41235549326489573,0.1920376417851987,1.0,1.0,1.0
20,0.18204149580445228,0.29188402121376167,0.2,1.0,1.0,1.0,1.0,0.6279874432757493,1.0,0.5921728617165968,0.8096815392152578,0.42642556911655194,0.19203613982211687,1.0,1.0,1.0
21,0.19767767814969428,0.29767682448722155,0.2,1.0,1.0,1.0,1.0,0.6290814934083618,1.0,0.6017064262678585,0.8276261528597332,0.4407138364825811,0.19203649152414354,1.0,1.0,1.0
22,0.18076651128598997,0.2530494381790816,0.2,1.0,1.0,1.0,1.0,0.6285877224863988,1.0,0.607275809071669,0.8431008860437026,0.45516871583862933,0.19203452878056715,1.0,1.0,1.0
23,0.2081061941877984,0.3467458882867295,0.2,1.0,1.0,1.0,1.0,0.6299867653908603,1.0,0.6139414257427341,0.8600215442449889,0.4698174595651428,0.19202464905425762,1.0,1.0,1.0
24,0.22810430156427947,0.316359604344937,0.2,1.0,1.0,1.0,1.0,0.631848567362324,1.0,0.6199603834459886,0.8774698531843658,0.4846686820331787,0.19201490207813993,1.0,1.0,1.0
25,0.1785076152927207,0.28631285568038506,0.2,1.0,1.0,1.0,1.0,0.6297563681427918,1.0,0.6149254958556469,0.8887544943924708,0.4995970851006963,0.1920066656026276,1.0,1.0,1.0
26,0.205209157100674,0.31737728216491834,0.2,1.0,1.0,1.0,1.0,0.6303642630374116,1.0,0.6168483661186619,0.9022142543230797,0.5146453993361508,0.19201376314670734,1.0,1.0,1.0
27,0.15910659209035496,0.2734972427302842,0.2,1.0,1.0,1.0,1.0,0.627886406237652,1.0,0.6105543435182053,0.9103226186620516,0.5297053977160303,0.19201071869374303,1.0,1.0,1.0
28,0.1790657903976834,0.3011350501874311,0.2,1.0,1.0,1.0,1.0,0.627906664806788,1.0,0.6108801690399097,0.9202087546860508,0.5448125188325911,0.19201941149549123,1.0,1.0,1.0
29,0.21480856583421348,0.3000012123431328,0.2,1.0,1.0,1.0,1.0,0.6300603747831981,1.0,0.6165543168676719,0.9329511813615827,0.5600234172714968,0.19201851068990353,1.0,1.0,1.0
30,0.30225146137530523,-0.26774323816665746,0.30000000000000004,1.0,1.0,1.0,1.0,0.644010545586594,1.0,0.6447174197756687,0.9535821958220575,0.575494827015223,0.28801613194908454,1.0,1.0,1.0
31,0.33441235007805514,-0.29810026956666935,0.30000000000000004,1.0,1.0,1.0,1.0,0.6500912108683596,1.0,0.6461910233321337,0.9702019483409563,0.5911439177118899,0.2819724802560422,1.0,1.0,1.0
32,0.31777343611458203,-0.3072756945762906,0.30000000000000004,1.0,1.0,1.0,1.0,0.6521524463607314,1.0,0.6452893916339086,0.9844366124893464,0.606921210784558,0.28235389196226907,1.0,1.0,1.0
33,0.18105968964362457,-0.2728081422989902,0.30000000000000004,1.0,1.0,1.0,1.0,0.6449253841955913,1.0,0.6236788718262694,0.9858620800794637,0.6225692402783016,0.28233514662923753,1.0,1.0,1.0
34,0.15820905432301502,-0.29500286339175646,0.30000000000000004,1.0,1.0,1.0,1.0,0.6401253016474899,1.0,0.6106614050169947,0.9863568598868924,0.6380706850732565,0.2823821370791752,1.0,1.0,1.0
35,0.16424396221517382,-0.2804104460226096,0.2,1.0,1.0,1.0,1.0,0.6306761013142731,1.0,0.5939745122717701,0.9875108816949578,0.6534401958564231,0.1882708079391119,1.0,1.0,1.0
