t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.3145011890666577,0.31614305484952443,0.30000000000000004,0.8044128069663685,0.8776972425968002,0.7749370216400013,0.7203099999999999,0.10429007134399948,0.675032786730858,0.2761906475008209,0.25380477981554433,0.2050760955963109,0.28650000000000003,0.3941028392209193,0.4084881938476471,0.5255899647705
1,0.3267647762534,0.26979396041625203,0.30000000000000004,0.8677809956920642,1.0,0.8023047603773913,0.7565797749999998,0.0,0.7885814757133831,0.254710650704612,0.25812964343842565,0.21018792750911633,0.28066125000000003,0.526749620546658,0.526749620546658,0.6275718649646592
2,0.3391612271238492,0.29940346791071754,0.30000000000000004,0.9325319129106355,1.0,0.831470401924403,0.7906430441875,0.0,0.9002779837225295,0.23621141525378103,0.2629202702650272,0.2153444536393257,0.28105536562500005,0.6130430196016317,0.6130430196016317,0.7008227252551369
3,0.18838180321185144,0.295833111470081,0.30000000000000004,1.0,1.0,0.8867908262504249,0.8237599081473438,0.0,1.0,0.19601703565212947,0.2665965419084014,0.22052293994110045,0.2810287628203125,0.7305027295779571,0.7305027295779571,0.8006701294361853
4,0.1711624242044198,0.2753800935292494,0.30000000000000004,1.0,1.0,0.9477184527510627,0.8558781704211544,0.0,1.0,0.15524968366216363,0.27010190910174536,0.22571974872372436,0.28103055850962894,0.8111315354149469,0.8111315354149469,0.8692041654752976
5,0.20535040802836416,0.2824438143686249,0.2,1.0,1.0,1.0,0.8926538375370513,0.0,1.0,0.11040766480818025,0.2739775622051573,0.23094210248059027,0.18735362486706672,0.8926538375370513,0.8926538375370513,0.961917355689727
6,0.20398564562943267,0.3287174203800649,0.2,1.0,1.0,1.0,0.9105088818606557,0.0,1.0,0.06810888797872618,0.27783557836949413,0.23618939302317424,0.191569086880982,0.9105088818606557,0.9105088818606557,0.976040277861312
7,0.219275643805949,0.3444028413378302,0.2,1.0,1.0,1.0,0.9286300557295988,0.0,1.0,0.0301957862223471,0.2818182152954027,0.24146386339885054,0.19137939109035582,0.9286300557295988,0.9286300557295988,0.99149069959757
8,0.16876462946476228,0.2737396733464492,0.2,1.0,1.0,1.0,0.9461715142430965,0.0,1.0,0.0,0.28522489220937963,0.24675372260904962,0.19138792740093402,0.9461715142430965,0.9461715142430965,1.0
9,0.20878605566354733,0.30755431764404584,0.2,1.0,1.0,1.0,0.9631883526074614,0.0,1.0,0.0,0.28882338062788593,0.25206265299551683,0.19138754326695798,0.9631883526074614,0.9631883526074614,1.0
10,0.1661495601001463,0.31776050172132314,0.2,1.0,1.0,1.0,0.9796946127586129,0.0,1.0,0.0,0.29178385843520427,0.25737770363426576,0.1913875605529869,0.9796946127586129,0.9796946127586129,1.0
11,0.21986001834636987,0.3335786420804751,0.2,1.0,1.0,1.0,0.9957056883930325,0.0,1.0,0.0,0.2950984411107211,0.26270589542013756,0.1913875597751156,0.9957056883930325,0.9957056883930325,1.0
12,0.1672876946427169,0.27989494447782326,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.29769368282104075,0.26803271012235697,0.1913875598101198,1.0,1.0,1.0
13,0.15053303440972784,0.3475679653923172,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.2999673388924346,0.2733517297989821,0.1913875598085446,1.0,1.0,1.0
14,0.16763524280297437,0.3227104264541921,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.302273887462638,0.278663690250245,0.1913875598086155,1.0,1.0,1.0
15,0.19303178331012477,0.3093462560871299,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.30469346886965,0.2839709227251355,0.19138755980861233,1.0,1.0,1.0
16,0.19213886217602996,0.33255289366064594,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3069590354730137,0.28927039420734446,0.19138755980861244,1.0,1.0,1.0
17,0.19799441201015075,0.28031888570774344,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.30914663802353337,0.29456062302574165,0.19138755980861244,1.0,1.0,1.0
18,0.1591864164360325,0.29774049190275,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3108187852648381,0.299831392500781,0.19138755980861244,1.0,1.0,1.0
19,0.22383627086922925,0.2645202297687777,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3130306372305532,0.3050936913203842,0.19138755980861244,1.0,1.0,1.0
20,0.2047147165501637,0.3131111955592659,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3149204746905666,0.3103411639009917,0.19138755980861244,1.0,1.0,1.0
21,0.16282090734830434,0.2706837763244273,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.31628217319188084,0.31556339572581943,0.19138755980861244,1.0,1.0,1.0
22,0.2048996924201459,0.2936987423385443,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3179787497553274,0.32076733676366775,0.19138755980861244,1.0,1.0,1.0
23,0.18256074399559502,0.2980340827805849,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.31935237613556416,0.3259467109187424,0.19138755980861244,1.0,1.0,1.0
24,0.15809775406855964,0.32045999109837253,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.32040140133270906,0.3310952718362091,0.19138755980861244,1.0,1.0,1.0
25,0.19707036272252093,0.3034212178320132,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.32177331384369945,0.336219785394721,0.19138755980861244,1.0,1.0,1.0
26,0.177170803422153,0.3311586058385494,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3228659059669568,0.34131490566011297,0.19138755980861244,1.0,1.0,1.0
27,0.2159172425611236,0.3044862892250213,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3242765323102945,0.34638728724971773,0.19138755980861244,1.0,1.0,1.0
