t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.33796565429508385,0.31574725026572553,0.30000000000000004,0.8041396053195025,0.8772748822226885,0.7714173518557373,0.7203099999999999,0.34319793925770503,0.6731061539396089,0.38507484814426257,0.29045376437012127,0.20580907528740244,0.28650000000000003,0.39199090891231314,0.4390765741635744,0.5515900880390381
1,0.35331283768998706,0.2642600352925368,0.30000000000000004,0.8669159653536622,1.0,0.7948556764244032,0.7565797749999998,0.38576966103766164,0.7839163226783927,0.46749738139054753,0.33694941208904,0.2124899727763092,0.28066125000000003,0.521338752832154,0.5917295887202041,0.6828048379121734
2,0.30086883544720544,0.28747544920633644,0.30000000000000004,0.9315523789119339,1.0,0.8298769129822063,0.7906430441875,0.4241619788885524,0.8973718258050226,0.537979481513101,0.38411373658810244,0.22004734778030818,0.28105536562500005,0.6112254324908382,0.701965938638152,0.7764072064361792
3,0.1719238511582665,0.33103480522350837,0.30000000000000004,0.9998442878242868,1.0,0.887689932450399,0.8237599081473438,0.45385566151145956,1.0,0.5855925366496234,0.42342795131430877,0.22831543332879128,0.2810287628203125,0.7311295137214199,0.8472690579066253,0.8999215085155534
4,0.20524741224309476,0.3101457038727733,0.30000000000000004,1.0,1.0,0.9434913241522358,0.8558781704211544,0.48480655938902906,1.0,0.6358236886747619,0.4657871454701651,0.23734802190490667,0.28103055850962894,0.8075136283236479,0.9445343946562165,0.9718494892279481
5,0.19465520382026785,0.3161321085872001,0.2,1.0,1.0,1.0,0.8907389892919368,0.5068902408073348,1.0,0.6585875304253682,0.5050076886787184,0.24707469545943198,0.18780666467269316,0.8907389892919368,1.0,1.0
6,0.16162422357680822,0.294005479192477,0.2,1.0,1.0,1.0,0.9066448521588751,0.5267789454721884,1.0,0.6680272880016387,0.5408531689350573,0.25742101188353883,0.19204384088035575,0.9066448521588751,1.0,1.0
7,0.1629813857911111,0.34059729815293227,0.2,1.0,1.0,1.0,0.9224874301674415,0.5462440283537021,1.0,0.6739773636059438,0.5746845829187874,0.2683404934230792,0.1919459171356469,0.9224874301674415,1.0,1.0
8,0.1547059461928693,0.33188201278420804,0.2,1.0,1.0,1.0,0.9376201467191595,0.5647303978652001,1.0,0.6763722539017085,0.6057430164701965,0.27977194881825235,0.1920014181096038,0.9376201467191595,1.0,1.0
9,0.1559687706908702,0.3186945504093542,0.2,1.0,1.0,1.0,0.9522211989256832,0.5828318479466198,1.0,0.6780247661635689,0.635082196279777,0.29167587325566535,0.1920197973324688,0.9522211989256832,1.0,1.0
10,0.1769599674233414,0.2904614283128649,0.2,1.0,1.0,1.0,0.9663270949913193,0.6017413148021863,1.0,0.6823224051707003,0.6647128898076313,0.30405337231926133,0.1920333126103928,0.9663270949913193,1.0,1.0
11,0.21739226942500495,0.2518604300312003,0.2,1.0,1.0,1.0,0.979855214079516,0.6226069092912357,1.0,0.6926824471015823,0.6965521745496844,0.31694388208706237,0.19206988992004664,0.979855214079516,1.0,1.0
12,0.1548627756951175,0.3415033643409947,0.2,1.0,1.0,1.0,0.9926054040100999,0.6177295730969601,1.0,0.689243025668448,0.7201543510499603,0.33017753028719093,0.19215792278715238,0.9926054040100999,1.0,1.0
13,0.1907140733142161,0.2590977989058583,0.2,1.0,1.0,1.0,1.0,0.6151225813356498,1.0,0.6923101136526397,0.7458134629130951,0.34379202424258093,0.19212458742418417,1.0,1.0,1.0
14,0.22897071923244555,0.34467130187432704,0.2,1.0,1.0,1.0,1.0,0.6148783937678064,1.0,0.6999033451718142,0.7736643297566225,0.3578273905952876,0.19215247047843842,1.0,1.0,1.0
15,0.1590022108917621,0.29232066122540934,0.2,1.0,1.0,1.0,1.0,0.6104473618852223,1.0,0.6936931998415578,0.7932074664759989,0.3721132660188547,0.1922169891847424,1.0,1.0,1.0
16,0.1608055600759331,0.2812540694192268,0.2,1.0,1.0,1.0,1.0,0.6062308003841189,1.0,0.6898314290976875,0.81175776976646,0.3866272887539954,0.1921606596018149,1.0,1.0,1.0
17,0.19971615586171457,0.26635241283189814,0.2,1.0,1.0,1.0,1.0,0.6200091044267455,1.0,0.6944108710811457,0.8330269964508776,0.401421555795473,0.1921295633179957,1.0,1.0,1.0
18,0.20574675910805165,0.2551353317165005,0.2,1.0,1.0,1.0,1.0,0.6207186675591668,1.0,0.6981705902334626,0.8533660070558154,0.4164746603786346,0.19217043002518835,1.0,1.0,1.0
19,0.1636971274061487,0.33156976482540573,0.2,1.0,1.0,1.0,1.0,0.6182158965296051,1.0,0.6939600541700883,0.8684830535905893,0.43167957484666003,0.19220127745321114,1.0,1.0,1.0
20,0.18204149580445228,0.29188402121376167,0.2,1.0,1.0,1.0,1.0,0.6168733433573799,1.0,0.6940313578939464,0.884447468415423,0.4470517284665019,0.19216360842445337,1.0,1.0,1.0
21,0.19767767814969428,0.29767682448722155,0.2,1.0,1.0,1.0,1.0,0.6165026971490272,1.0,0.6963908871113965,0.9009723564510945,0.4626006583108587,0.19216576084760745,1.0,1.0,1.0
22,0.18076651128598997,0.2530494381790816,0.2,1.0,1.0,1.0,1.0,0.6151282723785789,1.0,0.6951860088646264,0.9149112937959533,0.4782728776036692,0.19218607702908186,1.0,1.0,1.0
23,0.2081061941877984,0.3467458882867295,0.2,1.0,1.0,1.0,1.0,0.6154276894941435,1.0,0.6985745893775777,0.9306419162915166,0.49410298715346285,0.19217483068712,1.0,1.0,1.0
24,0.22810430156427947,0.316359604344937,0.2,1.0,1.0,1.0,1.0,0.621948317738822,1.0,0.7041665612854875,0.9473788366620622,0.5101095340151695,0.19220459259514558,1.0,1.0,1.0
25,0.1785076152927207,0.28631285568038506,0.2,1.0,1.0,1.0,1.0,0.6191393049769973,1.0,0.6999190992501607,0.9582923233762182,0.5261742851425422,0.19225175144954462,1.0,1.0,1.0
26,0.205209157100674,0.31737728216491834,0.2,1.0,1.0,1.0,1.0,0.6179995182601163,1.0,0.701237558068585,0.9711064143757049,0.5423346705786308,0.1922131041673052,1.0,1.0,1.0
27,0.15910659209035496,0.2734972427302842,0.2,1.0,1.0,1.0,1.0,0.6141231098692124,1.0,0.694817876863015,0.9787811474429868,0.5584869468217043,0.1922260736507319,1.0,1.0,1.0
28,0.1790657903976834,0.3011350501874311,0.2,1.0,1.0,1.0,1.0,0.6115366791147722,1.0,0.6936821099057384,0.987905859687714,0.5746601945472416,0.1921700177538745,1.0,1.0,1.0
29,0.21480856583421348,0.3000012123431328,0.2,1.0,1.0,1.0,1.0,0.6111588725849666,1.0,0.6983195792492674,0.9999420457040514,0.5909124335158502,0.19216247937364694,1.0,1.0,1.0
30,0.30225146137530523,-0.26774323816665746,0.30000000000000004,1.0,1.0,1.0,1.0,0.6339784061127701,1.0,0.7276274549608119,1.0,0.6070033091806917,0.288304332695346,1.0,1.0,0.982839999115366
31,0.33441235007805514,-0.29810026956666935,0.30000000000000004,1.0,1.0,1.0,1.0,0.6360560537214226,1.0,0.7498618631813972,1.0,0.6229332760888848,0.2830231570489997,1.0,1.0,0.9770744410390465
32,0.31777343611458203,-0.3072756945762906,0.30000000000000004,1.0,1.0,1.0,1.0,0.6351685201010956,1.0,0.760946302452705,1.0,0.638703943327996,0.2837589073898145,1.0,1.0,0.9737426783965158
33,0.18105968964362457,-0.2728081422989902,0.30000000000000004,1.0,1.0,1.0,1.0,0.6269571139946749,1.0,0.7465642464825627,1.0,0.654316903894716,0.28392899516912523,1.0,1.0,0.979657054464015
34,0.15820905432301502,-0.29500286339175646,0.30000000000000004,1.0,1.0,1.0,1.0,0.6253579692671846,1.0,0.7342014332810956,1.0,0.6697737348557689,0.2836437269742113,1.0,1.0,0.9837570444186816
35,0.16424396221517382,-0.2804104460226096,0.2,1.0,1.0,1.0,1.0,0.6181045049684069,1.0,0.7156217060369422,1.0,0.6850759975072112,0.18894897504771138,1.0,1.0,1.0
36,0.15294768716900492,-0.3223452370626481,0.2,1.0,1.0,1.0,1.0,0.610637114230596,1.0,0.7024200100864599,1.0,0.700225237532139,0.19248039325105568,1.0,1.0,1.0
37,0.17753427899007068,-0.2863070363358584,0.2,1.0,1.0,1.0,1.0,0.6048112127324516,1.0,0.69755830565291,1.0,0.7152229851568177,0.19222550527552237,1.0,1.0,1.0
38,0.15416470558286785,-0.3040737961468804,0.2,1.0,1.0,1.0,1.0,0.5977262436268478,1.0,0.6906985218080465,1.0,0.7300707553052496,0.19219374601950945,1.0,1.0,1.0
39,0.16670347472408986,-0.32181042026308865,0.2,1.0,1.0,1.0,1.0,0.5915660818093194,1.0,0.6883879044018059,1.0,0.7447700477521971,0.19213570741903452,1.0,1.0,1.0
40,0.18810099464472993,-0.25412518988882016,0.2,1.0,1.0,1.0,1.0,0.610932437797204,1.0,0.691060538437238,1.0,0.7593223472746752,0.19211810443042218,1.0,1.0,1.0
41,0.18848196043962978,-0.25441081226726736,0.2,1.0,1.0,1.0,1.0,0.6298393990636209,1.0,0.6942634063152031,1.0,0.7737291238019285,0.19214193231211493,1.0,1.0,1.0
42,0.16340504018350088,-0.2575750257455881,0.2,1.0,1.0,1.0,1.0,0.6184237794622055,1.0,0.691545574348683,1.0,0.7879918325639093,0.19216865093256247,1.0,1.0,1.0
43,0.17913542221897918,-0.3310767719399646,0.2,1.0,1.0,1.0,1.0,0.6082354059372692,1.0,0.6914292332689049,1.0,0.8021119142382702,0.1921440592364992,1.0,1.0,1.0
44,0.20988222194903147,-0.2587958107837189,0.2,1.0,1.0,1.0,1.0,0.6001465496845355,1.0,0.6953231765949436,1.0,0.8160907950958876,0.1921440586149501,1.0,1.0,1.0
45,0.15053394016486293,-0.3231745951507592,0.2,1.0,1.0,1.0,1.0,0.5887017114461719,1.0,0.6887885560540918,1.0,0.8299298871449287,0.19217772755372325,1.0,1.0,1.0
46,0.21165382075391612,-0.3158210261318534,0.2,1.0,1.0,1.0,1.0,0.5812055564341863,1.0,0.6939634737651438,1.0,0.8436305882734794,0.1921198454921688,1.0,1.0,1.0
47,0.16932693826851006,-0.3491370145221005,0.2,1.0,1.0,1.0,1.0,0.5997083904686924,1.0,0.6907767947108896,1.0,0.8571942823907446,0.19216695811562742,1.0,1.0,1.0
48,0.15320183530304177,-0.2880922905236047,0.2,1.0,1.0,1.0,1.0,0.6167787892577667,1.0,0.687752920858634,1.0,0.8706223395668371,0.1921374804076153,1.0,1.0,1.0
49,0.22870520553645618,-0.250150486419676,0.2,1.0,1.0,1.0,1.0,0.6379506351794464,1.0,0.6989246183499955,1.0,0.8839161161711687,0.19211254151170573,1.0,1.0,1.0
50,0.19028795847583213,-0.34760904317534935,0.2,1.0,1.0,1.0,1.0,0.6202428550140514,1.0,0.6985718568050192,1.0,0.897076955009457,0.19221014532519143,1.0,1.0,1.0
51,0.17579651408312663,-0.271259786435524,0.2,1.0,1.0,1.0,1.0,0.6189301131364855,1.0,0.6960770951886693,1.0,0.9101061854593625,0.1922031364518324,1.0,1.0,1.0
52,0.21655634241070773,-0.28605889371178495,0.2,1.0,1.0,1.0,1.0,0.6200940760466717,1.0,0.700759826696385,1.0,0.9230051236047689,0.1921818432163075,1.0,1.0,1.0
53,0.1683611379767507,-0.2972762923671292,0.2,1.0,1.0,1.0,1.0,0.618481876697373,1.0,0.6962629998934992,1.0,0.9357750723687213,0.1922232064700162,1.0,1.0,1.0
54,0.18819107978924965,-0.28729956496228515,0.2,1.0,1.0,1.0,1.0,0.6180965331166777,1.0,0.6964587307433394,1.0,0.9484173216450341,0.1921826349215271,1.0,1.0,1.0
55,0.17101424615653216,-0.25533225875732973,0.2,1.0,1.0,1.0,1.0,0.6166904805230247,1.0,0.6938895184325741,1.0,0.9609331484285838,0.19218597761512612,1.0,1.0,1.0
56,0.22154547318149526,-0.33378523554742556,0.2,1.0,1.0,1.0,1.0,0.6183496644330821,1.0,0.7000320350406135,1.0,0.9733238169442979,0.19216362220726935,1.0,1.0,1.0
57,0.17330571032576791,-0.2626830398693708,0.2,1.0,1.0,1.0,1.0,0.6170773052230014,1.0,0.6964477003797871,1.0,0.985590578774855,0.1922176503192305,1.0,1.0,1.0
58,0.1722644033014781,-0.2556096338762615,0.2,1.0,1.0,1.0,1.0,0.6186375535087589,1.0,0.6942258970277354,1.0,0.9977346729871064,0.19218445850119095,1.0,1.0,1.0
59,0.19121376075758428,-0.28040286045886686,0.2,1.0,1.0,1.0,1.0,0.6212943278148287,1.0,0.6959233987160202,1.0,1.0,0.19216659325231433,1.0,1.0,1.0
60,0.3563756631565731,0.2714069506034312,0.30000000000000004,1.0,1.0,1.0,1.0,0.6374767380540226,1.0,0.7345605218384663,1.0,1.0,0.2882730008657186,1.0,1.0,0.980068245621226
61,0.3228016504770401,0.275494159779338,0.30000000000000004,1.0,1.0,1.0,1.0,0.6354578101686117,1.0,0.7523179797394672,1.0,1.0,0.2831599086079832,1.0,1.0,0.9764230668924417
62,0.3546635937712741,0.3194104723835435,0.30000000000000004,1.0,1.0,1.0,1.0,0.6373701012382095,1.0,0.7681588753423996,1.0,1.0,0.28379800447147185,1.0,1.0,0.9711288160317704
63,0.16053854498745235,0.3386437023176485,0.30000000000000004,1.0,1.0,1.0,1.0,0.6257917610336406,1.0,0.7478088302948304,1.0,1.0,0.2840649475429786,1.0,1.0,0.9794827618190782
64,0.18362582811020517,0.2741231092812631,0.30000000000000004,1.0,1.0,1.0,1.0,0.6268551244568913,1.0,0.7388948417695855,1.0,1.0,0.28365975930547505,1.0,1.0,0.9820455827513774
65,0.18482231943116825,0.34794775475471323,0.2,1.0,1.0,1.0,1.0,0.619381378102379,1.0,0.7216807028799428,1.0,1.0,0.18900826031358461,1.0,1.0,1.0
66,0.19479454253328096,0.3124738668790464,0.2,1.0,1.0,1.0,1.0,0.6129745133993151,1.0,0.7125859193560204,1.0,1.0,0.19252956789431697,1.0,1.0,1.0
67,0.22359472867036648,0.34619876985096576,0.2,1.0,1.0,1.0,1.0,0.6084383936323444,1.0,0.7109690829710705,1.0,1.0,0.1923115947729627,1.0,1.0,1.0
68,0.21083474340391434,0.2917655806475695,0.2,1.0,1.0,1.0,1.0,0.6032496547292812,1.0,0.7076530813526186,1.0,1.0,0.1923063070944664,1.0,1.0,1.0
69,0.19707483535580167,0.34009615734571985,0.2,1.0,1.0,1.0,1.0,0.5973627610622905,1.0,0.7033029436493776,1.0,1.0,0.19227782267425084,1.0,1.0,1.0
70,0.2131386251443575,0.30801635649571474,0.2,1.0,1.0,1.0,1.0,0.618096315697058,1.0,0.7045022538825336,1.0,1.0,0.19224132690829218,1.0,1.0,1.0
71,0.17779824851752063,0.2868470107302542,0.2,1.0,1.0,1.0,1.0,0.6361920566858376,1.0,0.7013818576360729,1.0,1.0,0.1922531746269347,1.0,1.0,1.0
72,0.20886682533326112,0.30633272391626526,0.2,1.0,1.0,1.0,1.0,0.6213148670508131,1.0,0.7029452304925657,1.0,1.0,0.19222570142089293,1.0,1.0,1.0
73,0.15136896114874301,0.32101313185350905,0.2,1.0,1.0,1.0,1.0,0.6174942362089814,1.0,0.6949703139651748,1.0,1.0,0.19224033579733144,1.0,1.0,1.0
74,0.22230450632029486,0.32977312806094494,0.2,1.0,1.0,1.0,1.0,0.6180196874260024,1.0,0.7007796331228316,1.0,1.0,0.19217075551625504,1.0,1.0,1.0
75,0.22179812733709295,0.34105102525314146,0.2,1.0,1.0,1.0,1.0,0.6185058652961033,1.0,0.7042926236998762,1.0,1.0,0.1922238264224725,1.0,1.0,1.0
76,0.19279470515261232,0.32891161659884904,0.2,1.0,1.0,1.0,1.0,0.617241942597367,1.0,0.7019873096217786,1.0,1.0,0.19225206653477406,1.0,1.0,1.0
77,0.1803577070190964,0.25982938014737045,0.2,1.0,1.0,1.0,1.0,0.6152617114915073,1.0,0.6985545699457717,1.0,1.0,0.19223098420251505,1.0,1.0,1.0
78,0.17825353514488823,0.28121132200263216,0.2,1.0,1.0,1.0,1.0,0.6189529262239739,1.0,0.6964368090285613,1.0,1.0,0.19220214159991175,1.0,1.0,1.0
79,0.2247218738752454,0.3189112534273982,0.2,1.0,1.0,1.0,1.0,0.6253385891746053,1.0,0.7026240211086495,1.0,1.0,0.19218499488309979,1.0,1.0,1.0
80,0.19332901864750565,0.3122108426773059,0.2,1.0,1.0,1.0,1.0,0.6201123419357343,1.0,0.7012776971595389,1.0,1.0,0.19223920109398474,1.0,1.0,1.0
