t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.3190371701673513,0.3044229225295952,0.30000000000000004,0.803892709520685,0.874256965357323,0.7705501879910415,0.6933774895306477,0.34282148657409484,0.6848743564752777,0.38337446007118336,0.289902688756032,0.20579805377512064,0.29599070455067233,0.37549820052447824,0.42055329848287293,0.5334726275727739
1,0.3295964133238463,0.31039200385961946,0.30000000000000004,0.8661539956829113,0.9989636066175963,0.7891888701854826,0.6924143205557,0.38505204853525393,0.8194298175537927,0.4639331705553221,0.33687424376578734,0.21247755811268518,0.29406642907600844,0.472815573803846,0.5365360856492359,0.6325390655328484
2,0.3500576243286443,0.2565528859239813,0.30000000000000004,0.9287598147737426,1.0,0.8043516128259371,0.6913705795296652,0.42745760510323344,0.9401373180555062,0.543537756159316,0.39188718985323334,0.220190526328623,0.2941050040205276,0.516488014600003,0.5937598700249074,0.6811696385160394
3,0.15105343932438992,0.333746908209646,0.30000000000000004,0.9939997257615922,1.0,0.8490163526181965,0.6903603451645486,0.45686270979341836,1.0,0.5893113919374623,0.43020553228401764,0.2285927317110171,0.29410423072877995,0.582610298171785,0.6757708200234946,0.7508791393377754
4,0.1707483211462406,0.27343309610466965,0.30000000000000004,1.0,1.0,0.8899392917062346,0.6893803738397917,0.4867143810158017,1.0,0.6357505800601919,0.4703318890908148,0.23771344217572324,0.2941042462305554,0.6135066816111635,0.7180175652874661,0.7760636949186497
5,0.22965158684083703,0.29702635075224476,0.2,1.0,1.0,0.9269064159351258,0.6943118874550299,0.5115111764832462,1.0,0.6697193099566411,0.5139107330747891,0.24761452241546178,0.19606949727986625,0.6435621431420943,0.7587783732846364,0.825028449984982
6,0.2169169161019511,0.2976353208699335,0.2,1.0,1.0,0.9650732367228014,0.6935578140399647,0.5350287852257631,1.0,0.6933766481564667,0.5553965170182611,0.2582463075316724,0.19737966485601288,0.6693340844499396,0.7946736351896468,0.8481146792502566
7,0.20112545124353295,0.26506164240235236,0.2,1.0,1.0,1.0,0.6929003696318664,0.5570095650985052,1.0,0.7087027063036312,0.5929145795352809,0.26952213604706127,0.19736215535967652,0.6929003696318664,0.8279836163727001,0.8718347231857866
8,0.20078885266281507,0.33680453071432964,0.2,1.0,1.0,1.0,0.6922616595055292,0.578420648279784,1.0,0.7201169070420954,0.6281904010142395,0.28139072270687543,0.19736238936215647,0.6922616595055292,0.8324081127601787,0.8721712263929841
9,0.1918544968306641,0.324125185620149,0.2,1.0,1.0,1.0,0.6916421239009674,0.5987603927814191,1.0,0.7273151496162555,0.660528587232818,0.293787387224463,0.19736238623487287,0.6916421239009674,0.8365868923208587,0.873563717029135
10,0.2037129180295674,0.2564031438226997,0.2,1.0,1.0,1.0,0.691041174187893,0.6193031489457911,1.0,0.7360228122575476,0.6921322408420192,0.30669215816905876,0.19736238627666688,0.691041174187893,0.8408285655169088,0.8706962106537832
11,0.21065841970294538,0.30910995829313176,0.2,1.0,1.0,1.0,0.6904582529685717,0.6377067766990574,1.0,0.7450506974085414,0.7220654941459942,0.32006654647028804,0.19736238627610836,0.6904582529685717,0.8445667203996192,0.8674845512082754
12,0.17410141276125699,0.253101175146975,0.2,1.0,1.0,1.0,0.6898928193857984,0.6515097738433199,1.0,0.7474246983641262,0.746424440418427,0.3337943698139537,0.1973623862761158,0.6898928193857984,0.8472079895427586,0.8662568302644139
13,0.21924217895831566,0.29727490886654667,0.2,1.0,1.0,1.0,0.6893443488105088,0.6662157731709188,1.0,0.7571481653747363,0.773136308493861,0.34791915228569137,0.1973623862761157,0.6893443488105088,0.8500825762238376,0.8628419889746284
14,0.20750591392526424,0.3378812800255482,0.2,1.0,1.0,1.0,0.6888123323524779,0.6782940393529875,1.0,0.7636276293606916,0.7968267576730779,0.362376495916296,0.1973623862761157,0.6888123323524779,0.852338387096108,0.8603999357838579
15,0.2071303586888962,0.34210986675838745,0.2,1.0,1.0,1.0,0.6882962763881879,0.6887699247119455,1.0,0.7692563319038238,0.8187699747130283,0.37712813045139365,0.1973623862761157,0.6882962763881879,0.8542234974517795,0.8582184917514474
16,0.1815970723200595,0.3300908770985228,0.2,1.0,1.0,1.0,0.6877957021028266,0.6963435581569528,1.0,0.7702427822686357,0.8368880859316532,0.3920946108655128,0.1973623862761157,0.6877957021028266,0.8554254393733962,0.8574294805863766
17,0.18556968448406086,0.3435586721704521,0.2,1.0,1.0,1.0,0.6873101450460262,0.7031649106234349,1.0,0.7721222967851358,0.854096916525493,0.4072556030873675,0.1973623862761157,0.6873101450460262,0.8564624768951803,0.8563828376316466
18,0.22030933282704332,0.2597454309730877,0.2,1.0,1.0,1.0,0.6868391547009297,0.7111784032751665,1.0,0.7793802948528332,0.8731515269248629,0.42264607759499107,0.1973623862761157,0.6868391547009297,0.8578019653724049,0.853741304886632
19,0.1608775088160535,0.2716986941233137,0.2,1.0,1.0,1.0,0.6863822940661861,0.7145778148188143,1.0,0.7761668218305187,0.8856940287219861,0.4381334973934809,0.1973623862761157,0.6863822940661861,0.8580480400046351,0.8542346279219923
20,0.22723841111185622,0.2936161866627429,0.2,1.0,1.0,1.0,0.6859391392504849,0.7215142345735436,1.0,0.7842720312863007,0.9031618799870219,0.4538154000192865,0.1973623862761157,0.6859391392504849,0.859159337807607,0.8513603842668381
21,0.20013186326934432,0.2801026198425505,0.2,1.0,1.0,1.0,0.6855092790792546,0.7259169718430372,1.0,0.7866213724831355,0.9170461318902386,0.4696181686568984,0.1973623862761157,0.6855092790792546,0.8596772660930851,0.8502152734965454
22,0.19057943870632477,0.28858662588449024,0.2,1.0,1.0,1.0,0.6850923147131613,0.7291706818521732,1.0,0.7872062309942446,0.9291683634078762,0.48550535423848695,0.1973623862761157,0.6850923147131613,0.8599345453010392,0.8496077612681464
23,0.1780728391016144,0.30850741074053634,0.2,1.0,1.0,1.0,0.6846878592780509,0.7312484078432313,1.0,0.7859339627194415,0.9394180037722373,0.5014386607715468,0.1973623862761157,0.6846878592780509,0.8599247767163837,0.8495655932554185
24,0.19674014343761592,0.3404201770847775,0.2,1.0,1.0,1.0,0.6842955375059937,0.7341744037643159,1.0,0.7880164173746917,0.9506019248158354,0.517436312660148,0.1973623862761157,0.6842955375059937,0.8601328313924594,0.8485325041492908
25,0.20455857093079732,0.3428945601200017,0.2,1.0,1.0,1.0,0.6839149853870983,0.7371867825751699,1.0,0.7909879526399914,0.9617047255523927,0.5334960440445944,0.1973623862761157,0.6839149853870983,0.860375566058459,0.8472448922736298
26,0.21851204531174045,0.3490989644868815,0.2,1.0,1.0,1.0,0.6835458498317697,0.7406423481334673,1.0,0.7955802768982504,0.9732414201224721,0.5496259120065979,0.1973623862761157,0.6835458498317697,0.8607379009784706,0.8454840665665024
27,0.20370188337300146,0.26630996219710695,0.2,1.0,1.0,1.0,0.6831877883431009,0.7427573130558066,1.0,0.7969632393554376,0.9827281262697621,0.5657842154119271,0.1973623862761157,0.6831877883431009,0.8607927424368921,0.8446928000845366
28,0.21885100264930146,0.34646329473090615,0.2,1.0,1.0,1.0,0.6828404686990922,0.7455045859206462,1.0,0.8004899145616117,0.9928652216619387,0.5819836776910466,0.1973623862761157,0.6828404686990922,0.861011714002674,0.8432714687806311
29,0.2223756787609789,0.3069107503474323,0.2,1.0,1.0,1.0,0.6825035686444038,0.7481039937204179,1.0,0.8038646990599398,1.0,0.5981638409141362,0.1973623862761157,0.6825035686444038,0.8612078445453644,0.8419058628324653
30,0.3571053616139359,-0.3288875016324402,0.30000000000000004,1.0,1.0,1.0,0.6762559040030726,0.7663416731871551,1.0,0.8398994175893126,1.0,0.6141822025049949,0.2960435794141736,0.6762559040030726,0.8576409823448149,0.7997457802253244
