t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.37245117409396167,0.3186254157026702,0.30000000000000004,0.8036060738802411,0.8756986500663086,0.7651900838859057,0.712648,0.3264830704456377,0.6705720830353169,0.39057167611409427,0.2944711779262863,0.20588942355852574,0.2892,0.3837446155958013,0.4275947577241456,0.5411555440655238
1,0.36132074050901153,0.3404616237813274,0.30000000000000004,0.8656160011489388,1.0,0.7851752297112653,0.7385855679999999,0.3427768941150374,0.7901820834458492,0.4743671873847413,0.34313390000775595,0.2126932073230956,0.28438320000000006,0.5019872462862781,0.5622116164948578,0.6567840740206291
2,0.32078619579911816,0.3135725869605989,0.30000000000000004,0.9289904277268317,1.0,0.8138583324390886,0.7630068825279999,0.3567097040861086,0.9048763124541606,0.547923954249372,0.3936555509679705,0.22043938626922407,0.28464330720000003,0.5768840197254742,0.6489070645143717,0.730410178037216
3,0.2223956555733183,0.33721303740697106,0.30000000000000004,0.9950830029925007,1.0,0.8597178960196431,0.7867354164474879,0.36436492754725097,1.0,0.6030426162422452,0.43886124100037627,0.22901221722653936,0.28462926141120004,0.6730448051445566,0.7588766777264491,0.8229750758420081
4,0.19583525353993775,0.26693780871255696,0.30000000000000004,1.0,1.0,0.9116170683186402,0.8096172334335787,0.36995123398068386,1.0,0.6493580085965895,0.48118564289234417,0.23834580791212084,0.2846767848349398,0.7380608888029672,0.8336271766009055,0.8726065013230578
5,0.18292184496327651,0.34938380127773294,0.2,1.0,1.0,0.9725025166756478,0.8355071238010288,0.36266505642071967,1.0,0.6485958360171981,0.5189967798594837,0.2483422854301893,0.19025747459689493,0.8125327805969325,0.9156698169485371,0.9661762249518735
6,0.1582598239928944,0.28191391488492895,0.2,1.0,1.0,1.0,0.8469846585087389,0.3633816410911827,1.0,0.645077878548197,0.5536562874059351,0.2589319883240061,0.19348357687182782,0.8469846585087389,0.954707194824525,0.9996068578184302
7,0.22600312863628003,0.29494007558523255,0.2,1.0,1.0,1.0,0.8586884662823719,0.3681618356838231,1.0,0.6542733257534235,0.592949054272501,0.27020164952621606,0.19334857708306896,0.8586884662823719,0.9693361789918375,1.0
8,0.16669220578659544,0.2816903983245593,0.2,1.0,1.0,1.0,0.8697510149087967,0.36840861923794427,1.0,0.6478676956241453,0.6239488404183141,0.2819786098393202,0.19341722335609718,0.8697510149087967,0.9818993345779694,1.0
9,0.22269086759168902,0.2835568810468474,0.2,1.0,1.0,1.0,0.8806800854275487,0.3726074112040235,1.0,0.6545323419992469,0.6586835038885448,0.29433249381869786,0.1933702836831193,0.8806800854275487,0.9955318597830828,1.0
10,0.18418974345488803,0.3127683837099743,0.2,1.0,1.0,1.0,0.8910783880052053,0.37376632408557786,1.0,0.6505623883493095,0.6874784374386217,0.3071387376292833,0.19341828742733047,0.8910783880052053,1.0,1.0
11,0.2144468056211732,0.29921135858068837,0.2,1.0,1.0,1.0,0.9012884852639623,0.37708193096295806,1.0,0.6540255469590346,0.7175693662518356,0.3204187375780272,0.19338901051287544,0.9012884852639623,1.0,1.0
12,0.15651727867504553,0.3073209943195003,0.2,1.0,1.0,1.0,0.9110861429196903,0.3765146661868365,1.0,0.6462741840861179,0.7400797910362946,0.3340161460229728,0.1934141217160142,0.9110861429196903,1.0,1.0
13,0.1528077722798682,0.25945249727647857,0.2,1.0,1.0,1.0,0.920821607117183,0.3764686203795517,1.0,0.6436183108879269,0.7608853295818433,0.3478936911543799,0.1933592945224566,0.920821607117183,1.0,1.0
14,0.165227003248586,0.31934382227393254,0.2,1.0,1.0,1.0,0.9303351908323972,0.37742506771953305,1.0,0.6447621171798402,0.7816877814504894,0.3620485098718459,0.1933426896067674,0.9303351908323972,1.0,1.0
15,0.1726777936846396,0.319024981004583,0.2,1.0,1.0,1.0,0.9395273009740279,0.3786982498098367,1.0,0.6461895874016648,0.8019830018740436,0.37646768481060827,0.19335122258676596,0.9395273009740279,1.0,1.0
16,0.16306795574662508,0.261769688804215,0.2,1.0,1.0,1.0,0.9484028914378749,0.37922736318143874,1.0,0.6451346857918704,0.8200985573177518,0.3911049791088572,0.19336086526189247,0.9484028914378749,1.0,1.0
17,0.1518675781891068,0.3205783711626825,0.2,1.0,1.0,1.0,0.9570446507393825,0.37916991172305387,1.0,0.6431688848120392,0.8360122087572316,0.40591417349291326,0.1933531909989013,0.9570446507393825,1.0,1.0
18,0.21872901132176265,0.27196656135762565,0.2,1.0,1.0,1.0,0.9654838773371317,0.3833119891210623,1.0,0.6526657231682425,0.8576479114764646,0.4210079899875134,0.19333977142272935,0.9654838773371317,1.0,1.0
19,0.1690055495834425,0.25129800870945207,0.2,1.0,1.0,1.0,0.9733885898664472,0.3834715070913745,1.0,0.6477793377571536,0.872999981975293,0.43625790972714407,0.19340633386843153,0.9733885898664472,1.0,1.0
20,0.20158867574791473,0.28007460778906795,0.2,1.0,1.0,1.0,0.9812095557639848,0.3860370044934582,1.0,0.6513431275650043,0.89068907419821,0.4517091121138368,0.1933700417365463,0.9812095557639848,1.0,1.0
21,0.16094978433536294,0.31468735585798163,0.2,1.0,1.0,1.0,0.9886857762726032,0.3857670029188289,1.0,0.6462126434347046,0.9032594762620162,0.4672572105179388,0.193396094515409,0.9886857762726032,1.0,1.0
22,0.19797868414002254,0.2947388551432674,0.2,1.0,1.0,1.0,0.9960924463475878,0.388207477589696,1.0,0.6503773545494195,0.9187785961530154,0.4829602103358197,0.19335948500871547,0.9960924463475878,1.0,1.0
23,0.16224106307174577,0.3138670662595351,0.2,1.0,1.0,1.0,1.0,0.38805293326468593,1.0,0.6461448130717806,0.9297945153116516,0.4987264985386945,0.19338973235563023,1.0,1.0,1.0
24,0.19445514490175553,0.29329010185355703,0.2,1.0,1.0,1.0,1.0,0.3902318753095686,1.0,0.6498304790116419,0.9433705286050418,0.5146066441254084,0.19335923122498122,1.0,1.0,1.0
25,0.16317372703896477,0.3428834220072079,0.2,1.0,1.0,1.0,1.0,0.3901343543181264,1.0,0.6461366005011454,0.9530050533115325,0.530520678750385,0.19338593426797818,1.0,1.0,1.0
26,0.219053644610068,0.3189802878537686,0.2,1.0,1.0,1.0,1.0,0.3937383176914434,1.0,0.6535180453634185,0.9676412902649371,0.5465682977681798,0.19335930447165983,1.0,1.0,1.0
