t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.3370405886252017,0.28733119313950417,0.30000000000000004,0.8039510807882115,0.8758582942047464,0.7699744517062197,0.7088169999999999,0.21546127823821426,0.6755112601642251,0.3854220882937803,0.272465177338176,0.20544930354676352,0.29055000000000003,0.3843031202063739,0.41328397473508366,0.528653878524821
1,0.3110831530011564,0.33665618499863414,0.30000000000000004,0.8668410219976246,1.0,0.7962400927654529,0.7295108867499999,0.12342880271232834,0.8065911510716828,0.46216603832926473,0.2959379712986058,0.211313569937268,0.28627151250000005,0.5035183177056125,0.5252703497899578,0.624911919196464
2,0.30051480432648986,0.3002782080052208,0.30000000000000004,0.9311705522901726,1.0,0.8260268202814064,0.7490102759010624,0.03488334997654702,0.9287384624769159,0.5335117975859,0.322441479386261,0.21764926382562053,0.28647367103437504,0.5761176199193365,0.583151539316492,0.6740603906604244
3,0.22186383760255504,0.25808146471830007,0.30000000000000004,0.9980080220987146,1.0,0.8694378511611817,0.7679517898046747,0.0,1.0,0.5894914776322234,0.3465692901604861,0.22440415699057406,0.28646411904362584,0.6663563374611551,0.6663563374611551,0.7447868570810754
4,0.1943416374542629,0.31166500426836186,0.30000000000000004,1.0,1.0,0.9185306625583649,0.786323777512499,0.0,1.0,0.6385438978137743,0.369212969684254,0.23154437481435342,0.2864645703751887,0.7222625003439521,0.7222625003439521,0.7807438133544298
5,0.1532716612387849,0.2879019604395436,0.2,1.0,1.0,0.9804542124655147,0.8084038969523203,0.0,1.0,0.6531135859245566,0.3883280735855737,0.23899549253792135,0.19132417205870753,0.7926030061404402,0.7926030061404402,0.8599474364273303
6,0.20627843138349977,0.2952020920450026,0.2,1.0,1.0,1.0,0.8172717232345205,0.0,1.0,0.6701324747379553,0.41070940529550876,0.24681972571845232,0.1942933888349914,0.8172717232345205,0.8172717232345205,0.8750678751192079
7,0.2080052294865767,0.26571571615966255,0.2,1.0,1.0,1.0,0.8258075909158084,0.0,1.0,0.6800944034931166,0.4314703518564446,0.25498093549839673,0.19430898595150078,0.8258075909158084,0.8258075909158084,0.8793308847426269
8,0.1690409761973226,0.2610947527978015,0.2,1.0,1.0,1.0,0.8338315954602143,0.0,1.0,0.6799914538630113,0.44899237330983693,0.2634109736096095,0.19436950340570658,0.8338315954602143,0.8338315954602143,0.8861670441308522
9,0.19050152413351856,0.3423829786412296,0.2,1.0,1.0,1.0,0.8416249559851415,0.0,1.0,0.6831642581380597,0.4666356405144208,0.2721095766838018,0.19436711946638796,0.8416249559851415,0.8416249559851415,0.8918401552793553
