t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.325906621186653,0.26508491739245016,0.30000000000000004,0.8036163665885007,0.8727144808186402,0.7679540068220021,0.6819999999999999,0.3435543972711992,0.667063084979124,0.384885993177998,0.2921164379531511,0.20584232875906303,0.30000000000000004,0.367316587256676,0.4114842173166144,0.5247615847191223
1,0.3520747578431883,0.25724362866675426,0.30000000000000004,0.8647818676746992,0.9935911575715437,0.7796182830431938,0.6645399999999999,0.3875900228100105,0.7763700345358483,0.46945290719557636,0.343781961245112,0.21265954469637466,0.30000000000000004,0.44516133410039155,0.5055503661737285,0.6047178112476692
2,0.3428705603445351,0.28656889169125854,0.30000000000000004,0.926296610119248,1.0,0.7904558807458657,0.6476037999999998,0.42997250586043234,0.8857066997882589,0.5484108458874779,0.4006202162129097,0.2205453535736691,0.30000000000000004,0.4741733023098275,0.5455318213620229,0.6387020481577195
3,0.15463991398197655,0.300743573318942,0.30000000000000004,0.9898436919880498,1.0,0.8273941377573811,0.6311756859999998,0.46000158805284014,1.0,0.5951862906904005,0.44308241442163243,0.22920154832636505,0.30000000000000004,0.5169271229673228,0.6001526770827167,0.6851297755203092
4,0.15299965267535878,0.2933645683662386,0.30000000000000004,1.0,1.0,0.8621121276401166,0.6152404154199999,0.48918152751204064,1.0,0.6393769240571843,0.485220789070283,0.23861394862450705,0.30000000000000004,0.5304062235479252,0.6212189478708987,0.6912230284731087
5,0.15558843388596952,0.2590713013343865,0.2,1.0,1.0,0.8997861649975074,0.6057832029573998,0.5097872953573979,1.0,0.6303694188800362,0.524600745300299,0.24871982404426796,0.2,0.5450753450089455,0.6423307150732842,0.7368702821482808
6,0.18396153513140112,0.3326852124672038,0.2,1.0,1.0,0.931538307077076,0.5966097068686779,0.531580305081347,1.0,0.6350757593257084,0.5646809835638781,0.25952624547510283,0.2,0.5557647963221988,0.6591665633160483,0.7497688510209285
7,0.15990415689197163,0.27232389646070143,0.2,1.0,1.0,0.9653549788166381,0.5877114156626175,0.5513850468678316,1.0,0.6312318355675103,0.5997671552029962,0.2709263261244117,0.2,0.5673501412172826,0.6768400756892293,0.7659445136655918
8,0.20019465779244713,0.34477089424570057,0.2,1.0,1.0,0.9915850642486501,0.579080073192739,0.5731121001636826,1.0,0.6374676068904916,0.6370736477843553,0.2829585358188547,0.2,0.5742071515819351,0.6893869248821802,0.7747386040827057
9,0.19616823588939988,0.289668047465078,0.2,1.0,1.0,1.0,0.5707076709969569,0.5940543918129545,1.0,0.6365518550388855,0.6716936844424444,0.29556282414951507,0.2,0.5707076709969569,0.6893686604359366,0.7749978048588804
10,0.2281004084474336,0.2546582680617756,0.2,1.0,1.0,1.0,0.5625864408670481,0.6163890565244766,1.0,0.642698593037129,0.7077297278361986,0.3087617904647439,0.2,0.5625864408670481,0.6839566847918742,0.765275792857059
11,0.21867747672389437,0.2789609286331676,0.2,1.0,1.0,1.0,0.5547088476410367,0.6375999787147983,1.0,0.6426746901539115,0.7406694476300034,0.32248756151269653,0.2,0.5547088476410367,0.6784976699481291,0.7564006166667766
12,0.16154040666859498,0.2617792238078368,0.2,1.0,1.0,1.0,0.5470675822118055,0.654852403647044,1.0,0.6354855187843572,0.7655879990467495,0.33657444587850455,0.2,0.5470675822118055,0.6724545646208777,0.7499702435630301
13,0.17467854592815474,0.33161263591200313,0.2,1.0,1.0,1.0,0.5396555547454513,0.6724618063115572,1.0,0.6392244504549299,0.790514015475398,0.35101898172922746,0.2,0.5396555547454513,0.6666697669410184,0.7404096055010752
14,0.164458110393915,0.3081600163662466,0.2,1.0,1.0,1.0,0.5324658881030878,0.6890177477774031,1.0,0.638828913858533,0.8129112888242325,0.36576701768841985,0.2,0.5324658881030878,0.6608733445492674,0.7322901191538368
15,0.2011130775140947,0.2872397542725731,0.2,1.0,1.0,1.0,0.5254919114599952,0.7073590887338137,1.0,0.6458142430328926,0.8379707752924501,0.38086876301738465,0.2,0.5254919114599952,0.6555909293295614,0.7220361992734967
16,0.1938195572567646,0.2562788974973323,0.2,1.0,1.0,1.0,0.5187271541161953,0.7248042849508742,1.0,0.64576656423294,0.8608020594119016,0.39627611657544887,0.2,0.5187271541161953,0.6503186365245222,0.714080014785787
17,0.1547680935972986,0.27059587128193263,0.2,1.0,1.0,1.0,0.5121653394927095,0.7394702634429403,1.0,0.641084506903383,0.8781445404861027,0.41187624621941643,0.2,0.5121653394927095,0.6447212029750654,0.7077936177692026
18,0.20443199785454286,0.29275923056694025,0.2,1.0,1.0,1.0,0.5058003793079282,0.7567494267281394,1.0,0.6501505284712634,0.8998527643819845,0.42775453904486194,0.2,0.5058003793079282,0.6397678307859808,0.6974076122810767
19,0.17513177363014332,0.3085561863507639,0.2,1.0,1.0,1.0,0.4996263679286903,0.7718385974777445,1.0,0.6465093274191779,0.9171611477890852,0.44382021661019505,0.2,0.4996263679286903,0.6345971882084332,0.6910870922558661
20,0.18625475010966203,0.27997669968636824,0.2,1.0,1.0,1.0,0.49363757689082954,0.7872179175473807,1.0,0.6495901795492809,0.9346985688782578,0.46007598582165826,0.2,0.49363757689082954,0.6296476977469263,0.6828799057106268
21,0.2135503585217993,0.3198994433729571,0.2,1.0,1.0,1.0,0.48782844958410465,0.8038504911200041,1.0,0.6548610840904061,0.9541706387801023,0.47655863873904375,0.2,0.48782844958410465,0.6250778481572771,0.6740877474825628
22,0.16952772085777223,0.3074423710258671,0.2,1.0,1.0,1.0,0.4821935960965815,0.8174258920934703,1.0,0.6490801752916232,0.9678039742839633,0.49314913183733255,0.2,0.4821935960965815,0.6201487317544339,0.6689171909850877
23,0.19201572030491612,0.33751374955734287,0.2,1.0,1.0,1.0,0.47672778821368406,0.8320111880094285,1.0,0.6539092443219106,0.9831063913304954,0.5098797683455691,0.2,0.47672778821368406,0.6155527869137551,0.6606448579782329
24,0.2083556231551374,0.27879377648901865,0.2,1.0,1.0,1.0,0.47142595456727354,0.8472122456985011,1.0,0.6573348609130552,0.9992932970323292,0.52676683660276,0.2,0.47142595456727354,0.6112151991445983,0.6528900118592917
25,0.22841398779940658,0.2618065778254962,0.2,1.0,1.0,1.0,0.4662831759302553,0.863236778824003,1.0,0.6614542974301785,1.0,0.5434991682367324,0.2,0.4662831759302553,0.6071626513137061,0.645004608622796
26,0.18344982574281818,0.3257140929565249,0.2,1.0,1.0,1.0,0.46129468065234763,0.8761628488979719,1.0,0.6555377869017516,1.0,0.5600641765543651,0.2,0.46129468065234763,0.602753922205992,0.6404469280249734
27,0.1621587627728404,0.29889631004758055,0.2,1.0,1.0,1.0,0.4564558402327772,0.887488303441893,1.0,0.6535459893461899,1.0,0.5764635347888215,0.2,0.4564558402327772,0.5982405669682931,0.6349430244308135
28,0.153136580563795,0.3168215856534395,0.2,1.0,1.0,1.0,0.45176216502579386,0.8979892906896734,1.0,0.6531323308724337,1.0,0.5926988994409333,0.2,0.45176216502579386,0.5937493201719741,0.6291493647465132
29,0.21116566929702504,0.3073025940277384,0.2,1.0,1.0,1.0,0.44720930007502,0.9117094985802531,1.0,0.6629549937373523,1.0,0.608771910446524,0.2,0.44720930007502,0.5899130384311578,0.6201976848292279
30,0.37003822494647104,-0.3186252487151903,0.30000000000000004,1.0,1.0,0.9781594287867617,0.4367930210727694,0.942619054612535,1.0,0.7007675084241058,1.0,0.6246841913420588,0.30000000000000004,0.4272532119905841,0.5682111685589408,0.5592254298253609
