t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.35417006614402163,0.32849113560871107,0.30000000000000004,0.8032892928846622,0.8722057388094075,0.7637144900783968,0.6819999999999999,0.3452502039686413,0.6727277866595672,0.3891255099216032,0.29539836448370527,0.20590796728967412,0.30000000000000004,0.364927274356965,0.40902419992387684,0.5226705699352954
1,0.34163729257624653,0.301149170249326,0.30000000000000004,0.8642015937093366,0.9927768101881604,0.7770079788407838,0.6645399999999999,0.38861718642400006,0.7881313380682505,0.47191482831195997,0.34649586552164846,0.21277880492721035,0.30000000000000004,0.4430097582224768,0.5032661802520552,0.6027762532142469
2,0.3314827730340772,0.3496816937097899,0.30000000000000004,0.9256560017399413,1.0,0.7895928992030603,0.6476037999999998,0.4302907231454447,0.905797674416518,0.5490415028514736,0.4029820446234461,0.22071065777040716,0.30000000000000004,0.4733280519638141,0.544612086381401,0.6379202734241909
3,0.17314919566196565,0.26482597931846946,0.30000000000000004,0.9889225784086998,1.0,0.8237677086857195,0.6311756859999998,0.4614224068065265,1.0,0.5985618070581948,0.44731722989771644,0.22944989579065742,0.30000000000000004,0.5141825302508478,0.5972218994770233,0.6826386145554697
4,0.17088628596524466,0.2760437193601329,0.30000000000000004,1.0,1.0,0.855857100011047,0.6152404154199999,0.49164002379427807,1.0,0.6452666596000718,0.4912903380328165,0.2389812035934072,0.30000000000000004,0.5265578777509529,0.6171648023922429,0.6860100841533849
5,0.17618936119556886,0.2767910844344713,0.2,1.0,1.0,0.8905348236864339,0.6057832029573998,0.5134203848711553,1.0,0.6784317307994036,0.5349409779723766,0.24929021111692065,0.2,0.5394710378378713,0.6364124375936179,0.7174210527147541
6,0.15861151502925167,0.28254997424572814,0.2,1.0,1.0,0.926228238900991,0.5966097068686779,0.5336015661511315,1.0,0.7073018715138211,0.5757913603436762,0.260313136212625,0.2,0.552596758104212,0.655800031555268,0.7252394653678316
7,0.17488520564011373,0.30692400158763194,0.2,1.0,1.0,0.9578774043509731,0.5877114156626175,0.55425463933576,1.0,0.7371695587841471,0.6174146702557708,0.2720582982556141,0.2,0.562955485342344,0.672162726664022,0.7301874500291745
8,0.166130474733797,0.257078771978915,0.2,1.0,1.0,0.9893292808587676,0.579080073192739,0.5738661018363939,1.0,0.7642306520550094,0.657135162250041,0.28448041851805883,0.2,0.572900872371415,0.6879698089996736,0.7355051420332197
9,0.16620416230791304,0.3042442593392782,0.2,1.0,1.0,1.0,0.5707076709969569,0.5929916990289588,1.0,0.789949743798446,0.6958685507486381,0.297552985347851,0.2,0.5707076709969569,0.6891563900126279,0.7287980083711999
10,0.18108494512205997,0.3233470574570459,0.2,1.0,1.0,1.0,0.5625864408670481,0.6125320032605585,1.0,0.8176175586376774,0.7352451954372382,0.3112823594031173,0.2,0.5625864408670481,0.6831972107380804,0.7129259608839534
11,0.21424476271777837,0.29144375921547605,0.2,1.0,1.0,1.0,0.5547088476410367,0.6335733889421112,1.0,0.8505592662288292,0.7773209155964208,0.32571595412101456,0.2,0.5547088476410367,0.6777159152076734,0.6941760702694514
