t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.33796565429508385,0.31574725026572553,0.30000000000000004,0.8066044684027022,0.8947922502226885,0.7907487518557373,0.86078,0.339237939257705,0.6755811539396089,0.37913484814426257,0.2933830335022859,0.20586766067004572,0.23700000000000004,0.49126239412784156,0.549591588904399,0.6579028505687391
1,0.35331283768998706,0.2642600352925368,0.30000000000000004,0.8733786489706139,1.0,0.8452905949244033,1.0,0.3784157610376616,0.7884753851783928,0.45661503139054754,0.3449466264515747,0.21270791659237676,0.23700000000000004,0.7382587577826418,0.8360378201668047,0.901382147141784
2,0.30086883544720544,0.28747544920633644,0.30000000000000004,0.9440784420907312,1.0,0.9068809106834563,1.0,0.4134674971385524,0.9039512940862726,0.522354605138101,0.3969708004850933,0.22052025343615483,0.23700000000000004,0.856166717319861,0.9800657057301119,1.0
3,0.1719238511582665,0.33103480522350837,0.30000000000000004,1.0,1.0,0.9868891193494644,1.0,0.43990624077958457,1.0,0.5654654525549359,0.43975814815862263,0.22911021386496574,0.23700000000000004,0.9868891193494644,1.0,1.0
4,0.20524741224309476,0.3101457038727733,0.30000000000000004,1.0,1.0,1.0,1.0,0.46768342949468067,1.0,0.6114192917636533,0.48575879483640894,0.23853428762304427,0.23700000000000004,1.0,1.0,1.0
5,0.19465520382026785,0.3161321085872001,0.2,1.0,1.0,1.0,1.0,0.48781065598652973,1.0,0.6440066077485108,0.5297104891428506,0.24874315452967086,0.15800000000000003,1.0,1.0,1.0
6,0.16162422357680822,0.294005479192477,0.2,1.0,1.0,1.0,1.0,0.505452843001475,1.0,0.6700099108976065,0.5691591931168544,0.2596389068467112,0.15800000000000003,1.0,1.0,1.0
7,0.1629813857911111,0.34059729815293227,0.2,1.0,1.0,1.0,1.0,0.5227354050739047,1.0,0.6949166232213928,0.6077202963771183,0.27119692370578646,0.15800000000000003,1.0,1.0,1.0
8,0.1547059461928693,0.33188201278420804,0.2,1.0,1.0,1.0,1.0,0.5390893767186292,1.0,0.7173366839892535,0.644359148203005,0.2833721374327887,0.15800000000000003,1.0,1.0,1.0
9,0.1559687706908702,0.3186945504093542,0.2,1.0,1.0,1.0,1.0,0.5551102685421158,1.0,0.7388251653934214,0.6800850665404656,0.2961401173892701,0.15800000000000003,1.0,1.0,1.0
10,0.1769599674233414,0.2904614283128649,0.2,1.0,1.0,1.0,1.0,0.5719901098739634,1.0,0.7623879022372515,0.71701794604376,0.3095190751362526,0.15800000000000003,1.0,1.0,1.0
11,0.21739226942500495,0.2518604300312003,0.2,1.0,1.0,1.0,1.0,0.5908738932926146,1.0,0.7908373475391397,0.7572739207213235,0.32356936279931653,0.15800000000000003,1.0,1.0,1.0
12,0.1548627756951175,0.3415033643409947,0.2,1.0,1.0,1.0,1.0,0.6055338125020063,1.0,0.8089276015166109,0.7899009907537576,0.33813168898639856,0.15800000000000003,1.0,1.0,0.9967149570446155
13,0.1907140733142161,0.2590977989058583,0.2,1.0,1.0,1.0,1.0,0.6219783115883092,1.0,0.8328065973649775,0.8254091808243483,0.35325855571302156,0.15800000000000003,1.0,1.0,0.9862623584728449
14,0.22897071923244555,0.34467130187432704,0.2,1.0,1.0,1.0,1.0,0.6403070969525482,1.0,0.8626964431377993,0.8641883391083407,0.36900973693805816,0.15800000000000003,1.0,1.0,0.9736296476681506
15,0.1590022108917621,0.29232066122540934,0.2,1.0,1.0,1.0,1.0,0.6539795521822401,1.0,0.8816903167892527,0.8947395347467444,0.38521443026361246,0.15800000000000003,1.0,1.0,0.9651969945267762
16,0.1608055600759331,0.2812540694192268,0.2,1.0,1.0,1.0,1.0,0.66741839698224,1.0,0.9010801067197592,0.9246832388723241,0.4018559507384228,0.15800000000000003,1.0,1.0,0.9566922885876243
17,0.19971615586171457,0.26635241283189814,0.2,1.0,1.0,1.0,1.0,0.6828559064093869,1.0,0.9265719972757794,0.9580590318231865,0.4189985718675023,0.15800000000000003,1.0,1.0,0.9459572195353889
18,0.20574675910805165,0.2551353317165005,0.2,1.0,1.0,1.0,1.0,0.6982693142956353,1.0,0.952926956421849,0.9914524747122724,0.43663763564307273,0.15800000000000003,1.0,1.0,0.9349680502143183
19,0.1636971274061487,0.33156976482540573,0.2,1.0,1.0,1.0,1.0,0.7107744090826134,1.0,0.9726571304382879,1.0,0.454271259286642,0.15800000000000003,1.0,1.0,0.926547979051991
20,0.18204149580445228,0.29188402121376167,0.2,1.0,1.0,1.0,1.0,0.7240675386038151,1.0,0.9952159013753465,1.0,0.4717285466937756,0.15800000000000003,1.0,1.0,0.9171217218666331
21,0.19767767814969428,0.29767682448722155,0.2,1.0,1.0,1.0,1.0,0.7379665108277015,1.0,1.0,1.0,0.48901126122683786,0.15800000000000003,1.0,1.0,0.9129066978344598
22,0.18076651128598997,0.2530494381790816,0.2,1.0,1.0,1.0,1.0,0.7505033387341683,1.0,1.0,1.0,0.5061211486145695,0.15800000000000003,1.0,1.0,0.9103993322531664
23,0.2081061941877984,0.3467458882867295,0.2,1.0,1.0,1.0,1.0,0.764367126917082,1.0,1.0,1.0,0.5230599371284238,0.15800000000000003,1.0,1.0,0.9076265746165837
24,0.22810430156427947,0.316359604344937,0.2,1.0,1.0,1.0,1.0,0.7790842068380117,1.0,1.0,1.0,0.5398293377571396,0.15800000000000003,1.0,1.0,0.9046831586323978
25,0.1785076152927207,0.28631285568038506,0.2,1.0,1.0,1.0,1.0,0.7904575585846246,1.0,1.0,1.0,0.5564310443795683,0.15800000000000003,1.0,1.0,0.9024084882830752
26,0.205209157100674,0.31737728216491834,0.2,1.0,1.0,1.0,1.0,0.8031486690460494,1.0,1.0,1.0,0.5728667339357726,0.15800000000000003,1.0,1.0,0.8998702661907902
27,0.15910659209035496,0.2734972427302842,0.2,1.0,1.0,1.0,1.0,0.8127563478453196,1.0,1.0,1.0,0.5891380665964149,0.15800000000000003,1.0,1.0,0.8979487304309361
28,0.1790657903976834,0.3011350501874311,0.2,1.0,1.0,1.0,1.0,0.8233213865730475,1.0,1.0,1.0,0.6052466859304507,0.15800000000000003,1.0,1.0,0.8958357226853906
29,0.21480856583421348,0.3000012123431328,0.2,1.0,1.0,1.0,1.0,0.8357668658587742,1.0,1.0,1.0,0.6211942190711462,0.15800000000000003,1.0,1.0,0.8933466268282453
30,0.30225146137530523,-0.26774323816665746,0.30000000000000004,1.0,1.0,1.0,1.0,0.8594677818948232,1.0,1.0,1.0,0.6369822768804349,0.23700000000000004,1.0,1.0,0.8688564436210354
31,0.33441235007805514,-0.29810026956666935,0.30000000000000004,1.0,1.0,1.0,1.0,0.884505828352136,1.0,1.0,1.0,0.6526124541116305,0.23700000000000004,1.0,1.0,0.8638488343295729
32,0.31777343611458203,-0.3072756945762906,0.30000000000000004,1.0,1.0,1.0,1.0,0.9079195888102075,1.0,1.0,1.0,0.6680863295705142,0.23700000000000004,1.0,1.0,0.8591660822379585
33,0.18105968964362457,-0.2728081422989902,0.30000000000000004,1.0,1.0,1.0,1.0,0.9225451804685698,1.0,1.0,1.0,0.683405466274809,0.23700000000000004,1.0,1.0,0.8562409639062861
34,0.15820905432301502,-0.29500286339175646,0.30000000000000004,1.0,1.0,1.0,1.0,0.9354340942162366,1.0,1.0,1.0,0.6985714116120609,0.23700000000000004,1.0,1.0,0.8536631811567528
35,0.16424396221517382,-0.2804104460226096,0.2,1.0,1.0,1.0,1.0,0.942042879593741,1.0,1.0,1.0,0.7135856974959404,0.15800000000000003,1.0,1.0,0.8720914240812518
36,0.15294768716900492,-0.3223452370626481,0.2,1.0,1.0,1.0,1.0,0.9478086688340377,1.0,1.0,1.0,0.7284498405209809,0.15800000000000003,1.0,1.0,0.8709382662331926
37,0.17753427899007068,-0.2863070363358584,0.2,1.0,1.0,1.0,1.0,0.9549055088525911,1.0,1.0,1.0,0.7431653421157711,0.15800000000000003,1.0,1.0,0.8695188982294819
