t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.5644694491673893,0.21025988607179782,0.3053099074268447,0.8046683830524993,0.8959464799794528,0.7627183134554121,0.9053722050359767,0.2904547670886578,0.655428996051787,0.2893603646758415,0.2913843573999596,0.2058276871479992,0.22511867547593542,0.4978406290245013,0.5484506934072052,0.6599034205271406
1,0.5028466044934323,0.16820920618985213,0.26794074277873126,0.8676312109165726,1.0,0.7972856701232599,1.0,0.2751451050116768,0.7587084376579072,0.2665507504548199,0.3301359645083285,0.21237212956668577,0.1962975591261236,0.691749931415475,0.7583659940478709,0.8455367051591594
2,0.34242015909399964,0.1971547685947368,0.22786299511544167,0.9344111219071886,1.0,0.8568047394295567,1.0,0.24834258787697144,0.8746146903295372,0.2174426353064101,0.36114300048336645,0.21947126828068625,0.16817243555508637,0.8006078778257685,0.8701966391146481,0.9476240343586793
3,0.30957783806005956,0.2325200540776739,0.21332556223633498,1.0,1.0,0.9208373515965028,1.0,0.21947162521635294,0.9922330122519794,0.16471162397196312,0.39359549672961225,0.22714846553247164,0.15857282065203163,0.9208373515965028,0.991571536136685,1.0
4,0.3893288635873977,0.14980573155702268,0.25398287147299226,1.0,1.0,0.9704127641480413,1.0,0.19856198871997444,1.0,0.13026155288246574,0.43093396306053555,0.23549566013835763,0.18925395272808554,0.9704127641480413,1.0,1.0
5,0.5918700236480645,0.17571834408562526,0.29248805397682326,1.0,1.0,0.9875132533015825,1.0,0.19248775186064432,1.0,0.13115544303804164,0.47955836408114155,0.24473187081859687,0.21625631674057172,0.9875132533015825,1.0,1.0
6,0.7005814403508948,0.11084952366945139,0.32730602963153016,1.0,1.0,0.9868465571940878,1.0,0.19501440059426034,1.0,0.15120086819520276,0.5318109055486044,0.254920770221383,0.24033562510673467,0.9868465571940878,1.0,1.0
7,0.7680344381462657,0.1545860358590696,0.3570487156222357,1.0,1.0,0.9750608677298104,1.0,0.20314273358380147,1.0,0.18278847767362652,0.584290441262529,0.2660573713444197,0.2605565076885261,0.9750608677298104,1.0,1.0
8,0.8246441051835904,0.14347256924372176,0.38053036491696357,1.0,1.0,0.9541761621618096,1.0,0.2157194004949856,1.0,0.2231706000699408,0.6359363273046095,0.2781155241770677,0.27624353549030123,0.9541761621618096,1.0,1.0
9,0.946192206624356,0.014573320223029589,0.39681483825896235,1.0,1.0,0.9148400310379257,1.0,0.23612650629709725,1.0,0.281043785778446,0.6905071277291549,0.2911445114898801,0.2868931539560666,0.9148400310379257,0.9904463241603253,1.0
10,0.8867210030483923,0.025772009535099272,0.4052529250847139,1.0,1.0,0.8847502177686729,1.0,0.25287820967739294,1.0,0.3277372028218234,0.7381430856534921,0.3049959280880511,0.29218124692849995,0.8847502177686729,0.9630571356470319,0.9955532535678522
11,0.9789423346125116,-0.030994723870672966,0.40550822550039817,1.0,1.0,0.8412895351964775,1.0,0.27472682719481006,1.0,0.3859027889893224,0.7912184421187202,0.319770337649545,0.29196158227577096,0.8412895351964775,0.9221832168613312,0.9608653387631888
12,0.8802284779933579,-0.0668873393614163,0.397570561484089,1.0,1.0,0.8135727708848984,1.0,0.2896505106304861,1.0,0.4256691864855886,0.8359530555310144,0.3352916953836698,0.28626299169256475,0.8135727708848984,0.8960508898675531,0.9400775084642788
13,0.8087586875953843,-0.12455758906305957,0.38175638265136924,1.0,1.0,0.7975410818089098,1.0,0.2990347462184387,1.0,0.4514095430404158,0.8741590344878101,0.3514219591195893,0.27528588746815097,0.7975410818089098,0.8810134550580371,0.9300399649322937
14,0.7727759273909651,-0.130917099812407,0.35869615040777236,1.0,1.0,0.7879416565698355,1.0,0.30475441115224866,1.0,0.46855896900857086,0.9082900388124298,0.36807354030464196,0.2593983980659174,0.7879416565698355,0.8719867000194292,0.9263390955000355
15,0.6543391231660227,-0.18598068169208742,0.32930920344207965,1.0,1.0,0.7972650796718849,1.0,0.301603538083143,1.0,0.46465339585546606,0.9323019571592362,0.3850388440447803,0.23913167148999454,0.7972650796718849,0.8814253687585977,0.9394286455723093
16,0.5377684590469002,-0.18533448845382428,0.2947671065939394,1.0,1.0,0.825132170429917,1.0,0.2896205259781853,1.0,0.4405824952189996,0.9461905279362653,0.4021122661630578,0.2151732837970902,0.825132170429917,0.908773495050419,0.9686641498435836
17,0.4171346423283719,-0.24414571071880342,0.256446944260797,1.0,1.0,0.8720171307893235,1.0,0.26855377464479496,1.0,0.3964021388146599,0.9495568557736483,0.41908228061690017,0.1883572146977797,0.8720171307893235,0.9539813529992625,1.0
18,0.33667919886162395,-0.19782344570038102,0.21587642038861002,1.0,1.0,0.93170256543125,1.0,0.2408896740180964,1.0,0.3389174465075677,0.9452361643664748,0.4357961810980607,0.15964857133980315,0.93170256543125,1.0,1.0
19,0.3486529238383424,-0.23394078601506701,0.22532704626352937,1.0,1.0,0.9882863092024136,1.0,0.2152921603730703,1.0,0.28708788901344084,0.941026701381035,0.4522587533147008,0.16785558343232687,0.9882863092024136,1.0,1.0
20,0.517657019568466,-0.1575250060682126,0.26552080350525786,1.0,1.0,1.0,1.0,0.20283736952833575,1.0,0.26674423257657653,0.9491264342165393,0.4687186944658846,0.19738732362430783,1.0,1.0,1.0
21,0.5557638395608597,-0.19352336863928285,0.30310245307408373,1.0,1.0,1.0,1.0,0.1950805811896998,1.0,0.25628411726356937,0.9596731491668631,0.485224970504563,0.22364011781726578,1.0,1.0,1.0
22,0.7273942180831636,-0.1318987639238601,0.33657373319745104,1.0,1.0,0.9948072247557235,1.0,0.19965815389636982,1.0,0.2748554924328108,0.9803985272813758,0.5019806913451449,0.24667285063603808,0.9948072247557235,1.0,1.0
