t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.6303670331323155,0.20771191661004723,0.3053099074268447,0.8010544595618041,0.8741110092307554,0.7300911872556898,0.7404814357213103,0.28889919689261134,0.6468830968646505,0.3719321009288731,0.3014646893407891,0.20602929378681578,0.2842306012204035,0.3785470916216131,0.41682377438604434,0.5332425579230368
1,0.47497260538886543,0.16886445191037575,0.26794074277873126,0.8596344567196295,1.0,0.741822675640655,0.7916354895782225,0.2675471199902527,0.7522277846928151,0.41502585131549413,0.34421459145231575,0.21285329267799394,0.24635023494512742,0.5048230485840528,0.5520954320477298,0.6576935585042885
2,0.2929218218733126,0.21848751840423974,0.22786299511544167,0.9210294575157841,1.0,0.7879939705868643,0.8378166076162353,0.23372207092135516,0.8747184613850174,0.4254808995453491,0.3757564177895622,0.22023988810700523,0.2110216910426444,0.6080585225616597,0.6577993665587314,0.7563740388142606
3,0.29144396649422777,0.2296207824739119,0.21332556223633498,0.9855921393173492,1.0,0.8391015458037732,0.8778517451140675,0.20076239614036817,0.993157115194317,0.43528072027134024,0.40985077456081176,0.22823450471715143,0.19896259327684132,0.7259938287889149,0.777007120016689,0.8607154036949753
4,0.41725894211735837,0.22398496749862107,0.25398287147299226,1.0,1.0,0.8726980496248754,0.911718955920929,0.18061706081738022,1.0,0.47003305260813505,0.45312615107384896,0.2370146826914569,0.23768812769497824,0.7956553546382225,0.8459534806906506,0.9096384266633084
5,0.5355633218232746,0.21263318561138028,0.29248805397682326,1.0,1.0,0.890489911941749,0.9465193076002472,0.1721812956431347,1.0,0.5268633924980091,0.5052848689664435,0.2467502332438712,0.2723097115458381,0.8428658948761093,0.8936599045177219,0.941533490953604
6,0.6973359153673021,0.15203956245087066,0.32730602963153016,1.0,1.0,0.8865040707973625,0.9823432587924973,0.17692315063026903,1.0,0.6099545887162658,0.5700575877011383,0.2576838826654553,0.3031859243052916,0.8708512978398958,0.9247771122103984,0.9572776876876359
7,0.7773262406963133,0.1506372067538592,0.3570487156222357,1.0,1.0,0.8714017795683289,1.0,0.1887615031996015,1.0,0.701105303244305,0.6407978034484441,0.26992299990776963,0.32911588125252517,0.8714017795683289,0.9289722679990728,0.927015866512789
8,0.8210663706329538,0.10430701623815795,0.38053036491696357,1.0,1.0,0.8489609198910695,1.0,0.2045102075516469,1.0,0.7656427980442083,0.7131955218500403,0.28348768034569277,0.3491975477758288,0.8489609198910695,0.9097283307666254,0.886276854794412
9,0.936561865848105,0.03806642736352444,0.39681483825896235,1.0,1.0,0.8088565640565147,1.0,0.2274163972762015,1.0,0.8232986628503427,0.7880993460678942,0.2984147904635937,0.36271324317946085,0.8088565640565147,0.8732381000553437,0.8345844753970741
