t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.5769338739276965,0.19404231167452826,0.3053099074268447,0.8016989077623787,0.875272392971557,0.7383259796824573,0.7420751948653269,0.2897276816330483,0.6510616164328729,0.2991570320218323,0.29187551826997105,0.20583751036539943,0.2836592522445497,0.38445949186920975,0.4234454869105898,0.5390138508128639
1,0.49487733439738196,0.22763591975490297,0.26794074277873126,0.8607092962528116,1.0,0.7473234013358562,0.7945782681478977,0.2706335882930593,0.7651852730872298,0.27303885943995454,0.3288183133678114,0.21235550152910165,0.2459096133900931,0.5110951482558286,0.5595069781319054,0.6641035280645963
2,0.31144906777217907,0.1752615230124098,0.22786299511544167,0.9223557403426899,1.0,0.7913385441708806,0.8433904976923707,0.2386738374251512,0.8826887072979858,0.22026396411953084,0.35747622093349773,0.2193814709324806,0.2102901140439106,0.6155870544799963,0.6670106380766915,0.7643865138542102
3,0.25913453260462505,0.17616401252033387,0.21332556223633498,0.9876463629147538,1.0,0.8484494834650534,0.8874687645885881,0.20386642716309275,0.99848753207993,0.16440400780284314,0.38695359793509654,0.22692672818185772,0.19790108806401618,0.7436704669575998,0.7967337713374739,0.8777484336208488
4,0.4533452651312515,0.15999228618079772,0.25398287147299226,1.0,1.0,0.8783535885515137,0.9265403410300098,0.18480139883117414,1.0,0.14630145298692548,0.42860708982918544,0.23522960269662285,0.23604407630954755,0.8138300334814524,0.8664689584908203,0.9274875956398103
5,0.5614249884407794,0.153832390344294,0.29248805397682326,1.0,1.0,0.8947001121826883,0.9666803691974788,0.17492237956343992,1.0,0.14556344509412908,0.4741939646341547,0.24436118596233972,0.2703213715626627,0.8648890347657868,0.9178399915726322,0.9625836499460715
6,0.6538191074814368,0.1537969511735616,0.32730602963153016,1.0,1.0,0.8994075517717611,1.0,0.1728218534641114,1.0,0.15892692867860234,0.5218300173848953,0.25435417445041425,0.3009838521194253,0.8994075517717611,0.9538105998126463,0.9854930468108931
7,0.8072613697911154,0.14327224741241998,0.3570487156222357,1.0,1.0,0.8797345074081637,1.0,0.1816339526293388,1.0,0.19463539585810544,0.5744866848655119,0.2653003664032203,0.3268545123670746,0.8797345074081637,0.9356608869539029,0.9635981258190488
8,0.8032111223527543,0.0765291850822452,0.38053036491696357,1.0,1.0,0.8599558469954577,1.0,0.19124487905649393,1.0,0.227748692817144,0.6218382374766541,0.2770841274887212,0.3470194889734104,0.8599558469954577,0.9175176001788576,0.9431350879086762
9,0.8707204930572191,0.09864279483951821,0.39681483825896235,1.0,1.0,0.829659029998073,1.0,0.2054939540711865,1.0,0.26894123218034094,0.6686378284792129,0.28968604278341825,0.36078810667739963,0.829659029998073,0.8893305001098821,0.91573389842405
10,0.9651503780701522,0.05223544605910705,0.4052529250847139,1.0,1.0,0.785306300213788,1.0,0.22541917285668867,1.0,0.3216732871576589,0.7178485357568359,0.3031461530707208,0.367705752475823,0.785306300213788,0.8472643840354565,0.8782482883111822
11,0.9676639523483087,0.0053598676407265525,0.40550822550039817,1.0,1.0,0.7412492048936248,1.0,0.2448913987476986,1.0,0.37142695679378246,0.7657494667597959,0.3174296808752095,0.3675581592942039,0.7412492048936248,0.8047831490060815,0.8421761368316183
12,0.9535008799598601,-0.029721941843167336,0.397570561484089,1.0,1.0,0.70033677053242,1.0,0.26245408754960675,1.0,0.41572101593721233,0.8114082212233718,0.3324835484909249,0.36037128587642697,0.70033677053242,0.7646689573630536,0.8098757922894888
13,0.8315254064807671,-0.061732854412263775,0.38175638265136924,1.0,1.0,0.6790325227229406,1.0,0.2712396170276346,1.0,0.4385568153999587,0.8476694873676017,0.3481121027533677,0.34640770558756223,0.6790325227229406,0.7434957052173782,0.7953694230378808
14,0.7776657173292018,-0.10499793882285197,0.35869615040777236,1.0,1.0,0.6671391836061229,1.0,0.2751435800306157,1.0,0.45115734891057424,0.8791934885741137,0.3642148514973163,0.3261598735318668,0.6671391836061229,0.7313848557807547,0.7901371590306748
15,0.6874445380004336,-0.16610957122754447,0.32930920344207965,1.0,1.0,0.6702484164869698,1.0,0.2717458354028099,1.0,0.4485484207460544,0.9035489990312855,0.38064368296296885,0.3003399732999228,0.6702484164869698,0.7339964420399515,0.7988119824089781
16,0.5523106178351056,-0.18831260794158658,0.2947671065939394,1.0,1.0,0.6951048239341179,1.0,0.2582374038751774,1.0,0.42475977326209396,0.9175551231994864,0.39718834859732893,0.2698654726056314,0.6951048239341179,0.7579305467379686,0.8267745965758654
17,0.4195326174518559,-0.2345586761880153,0.256446944260797,1.0,1.0,0.7412064034847367,1.0,0.23479141970226347,1.0,0.3812493034464539,0.921164533953035,0.41363975579041634,0.23583910945182174,0.7412064034847367,0.8021165198030431,0.8728392644696312
18,0.3348857656412414,-0.17364301425126857,0.21587642038861002,1.0,1.0,0.8011293497321391,1.0,0.20440911669697767,1.0,0.32630785138717844,0.9175706728935753,0.42985477169038366,0.19952185708280723,0.8011293497321391,0.8584446996907088,0.9297975304664007
19,0.3829916061045848,-0.18343914749901005,0.22532704626352937,1.0,1.0,0.8524455267078677,1.0,0.17895280933401223,1.0,0.28619104093862624,0.9175008895674025,0.44590624176482785,0.20936283725203222,0.8524455267078677,0.9058371593408723,0.9676208761267334
20,0.47382531418268403,-0.16867850980598703,0.26552080350525786,1.0,1.0,0.8875172643765564,1.0,0.1624088190494417,1.0,0.26514687503713097,0.9241276837125209,0.46192973302143003,0.2463556460658119,0.8875172643765564,0.9379664851542422,0.9856826008646529
21,0.5571602197001756,-0.15911073066542766,0.30310245307408373,1.0,1.0,0.9078950325049358,1.0,0.15344479885803447,1.0,0.2579082882437455,0.9354279234414455,0.4780189941600446,0.27970879901892054,0.9078950325049358,0.9566541522313609,0.9932288296419265
22,0.699585772810363,-0.1853545661316669,0.33657373319745104,1.0,1.0,0.9051347866773117,1.0,0.1551474478125338,1.0,0.2725395364149872,0.9541024642569086,0.49432085350358235,0.30907908836991316,0.9051347866773117,0.9542850599050763,0.9838725288268365
23,0.7689301617386377,-0.12087332204296326,0.36460024956157344,1.0,1.0,0.8907998198256184,1.0,0.16251279809746355,1.0,0.2967789033623929,0.9745473199058662,0.5108685913666638,0.33336841581476045,0.8907998198256184,0.9414680497682206,0.9669057383492974
24,0.8455467536098022,-0.09241215216755694,0.3860646734018003,1.0,1.0,0.8642694873214344,1.0,0.17543005679004026,1.0,0.3310400161319904,0.998977709919413,0.5277394596513855,0.3517264433065871,0.8642694873214344,0.9173360831563788,0.9418040598562751
25,0.9275874973744579,-0.06047516318716851,0.4001112858745278,1.0,1.0,0.8252407874118167,1.0,0.19364205556503178,1.0,0.37545009371460875,1.0,0.5444620650548716,0.3635306598725494,0.8252407874118167,0.8811712502555021,0.9081128977490395
26,0.9003450724176965,-0.010662660588477623,0.40618009286711754,1.0,1.0,0.7906405939643929,1.0,0.2099932912667308,1.0,0.4129408299150069,1.0,0.5610174444043229,0.3683964154718417,0.7906405939643929,0.8487508211518761,0.8793390941111342
27,0.9036418666948612,0.004510621559517924,0.4040291501960028,1.0,1.0,0.7561757160561863,1.0,0.22589019671127408,1.0,0.44829240492772493,1.0,0.5774072699602797,0.36617977989023076,0.7561757160561863,0.8159601544930635,0.8520211863465462
28,0.8652609255751367,0.05704435108602139,0.39374420915778874,1.0,1.0,0.7284451252157588,1.0,0.2383806254576688,1.0,0.4752395028131521,1.0,0.5936331972606769,0.3569763252662822,0.7284451252157588,0.7892216468119416,0.8315943184735798
29,0.7931119041112604,0.12217446843734428,0.3757352978956606,1.0,1.0,0.7127458329200016,1.0,0.2450859607103349,1.0,0.4890465007229787,1.0,0.6096968652880701,0.34111659601663447,0.7127458329200016,0.7738852319412217,0.8225232981458799
30,0.7977678537973493,0.12840330151166357,0.350720374871234,1.0,1.0,0.6976815455668407,1.0,0.2503615763324185,1.0,0.5018339550389408,1.0,0.6255998966351894,0.3191584357951687,0.6976815455668407,0.7588169736009941,0.8152048186120527
31,0.6708772194407934,0.20955653078011077,0.31969670612633794,1.0,1.0,0.7032409548173847,1.0,0.24600720670618842,1.0,0.49389998506314525,1.0,0.6413438976688376,0.29187569299668764,0.7032409548173847,0.7637917748449908,0.8262540853690703
32,0.4839912122261056,0.15062941735334895,0.2839011074329836,1.0,1.0,0.7383315439207723,1.0,0.2283880789162705,1.0,0.45729892707365144,1.0,0.6569304586921493,0.2602422948087162,0.7383315439207723,0.7973506869425445,0.8626875101989837
33,0.4298116489221815,0.2330321438480521,0.24476063635153128,1.0,1.0,0.7827643067415623,1.0,0.20560135000328078,1.0,0.4134272160343585,1.0,0.6723611541052278,0.22541033364142404,0.7827643067415623,0.8390923961117188,0.906875953284605
34,0.2766912179705706,0.17001384551173218,0.20383569994909947,1.0,1.0,0.8513351235918757,1.0,0.1717313486035264,1.0,0.3479037120779456,0.9887425554278794,0.6874123936727331,0.18868071705955083,0.8513351235918757,0.9025054487026696,0.9699594521323813
35,0.3654896027927767,0.23754853537156803,0.2372421537060516,1.0,1.0,0.9039525820735131,1.0,0.14710246658405174,1.0,0.3065508018632442,0.9831255953646035,0.7022007816432978,0.22078148491135952,0.9039525820735131,0.9504933611478259,1.0
36,0.5447368431542187,0.21972555733479557,0.27683528021735465,1.0,1.0,0.9271114622950304,1.0,0.13626011618697415,1.0,0.29517654392008286,0.9892367622903551,0.7169635090726719,0.25642609148494494,0.9271114622950304,0.9713263727447391,1.0
