t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.573703610694254,0.22174601596151283,0.3053099074268447,0.8013604390665348,0.8725667743840759,0.735766599392763,0.7200057423044417,0.33874789356906615,0.654387415060017,0.4210440569952545,0.313132276358755,0.2062626455271751,0.2915709615926367,0.3704269702972305,0.41434544486550573,0.5293008877375207
1,0.43910223246085683,0.21318399590307074,0.26794074277873126,0.8604846742901329,1.0,0.748683022619952,0.7590533512574988,0.3564551209280958,0.7712129180330517,0.5109007371674783,0.3673554090876176,0.2135471272536557,0.2503629012738173,0.4890051430459085,0.55001307863552,0.6549203915217376
2,0.3013951771898808,0.1769497606087715,0.22786299511544167,0.9218434782698992,1.0,0.7877009261764801,0.7913231689491137,0.3665451455946081,0.8894893101234995,0.5713682284065884,0.4146960895568347,0.22170557777225586,0.21502709599168185,0.5746090015625518,0.648326050610753,0.7473203690212196
3,0.34433139470404117,0.17458748215301387,0.21332556223633498,0.985133183242477,1.0,0.8233419643328289,0.816720776122905,0.3813541975260099,0.9980075702535871,0.6338100827042167,0.471494435643075,0.2309184107073948,0.2030046376029288,0.6624434386071795,0.7508623936849235,0.8273388504201877
4,0.44412974841718494,0.1928843601820617,0.25398287147299226,1.0,1.0,0.8437351618423113,0.8354291466798293,0.4028926624469551,1.0,0.7013765127870146,0.5367752695792054,0.24134473199190495,0.24277416729053913,0.7048809462816898,0.8042779226861355,0.842529738624476
5,0.5536067563698918,0.1819399066840377,0.29248805397682326,1.0,1.0,0.8480516487383769,0.8555839049540451,0.42309290196508936,1.0,0.763256384212286,0.6072432089708549,0.253076148851403,0.2781308163060282,0.7255793412302968,0.8330249554107622,0.8395615927589549
6,0.6435765163293687,0.1936910456976375,0.32730602963153016,1.0,1.0,0.8396490863725173,0.8759421330868224,0.4415117721957599,1.0,0.818342950592813,0.679973693870841,0.2661448612403058,0.31016732311594325,0.7354840117615444,0.8491377090706147,0.8287223367531928
7,0.7324522810848445,0.10585032857396187,0.3570487156222357,1.0,1.0,0.8190620713146488,0.8958679057377649,0.4587183752145621,1.0,0.8685656467157487,0.7541496244219071,0.28056640511634084,0.3375717057617174,0.7337714224978903,0.8515794746453788,0.808879932993418
8,0.8037670136789632,0.0756222457886493,0.38053036491696357,1.0,1.0,0.7892585162059194,0.914724384930572,0.47414458525571074,1.0,0.9125168921776525,0.8277997096941271,0.29631673525906,0.3593899635766775,0.7219540107876754,0.8417627155441921,0.7818957496650982
9,0.8968158471593034,0.10172075196083707,0.39681483825896235,1.0,1.0,0.7472643592924609,0.9321238156200686,0.48974918611062673,1.0,0.9551283052323811,0.9026121890432695,0.3134058116873348,0.37475519941764773,0.6965429058605745,0.8159388682932961,0.7433207466251754
10,0.9220839590332052,-0.016996145016170396,0.4052529250847139,1.0,1.0,0.7035295480215634,0.9474800175496284,0.501648927670077,1.0,0.9859269099646977,0.9729921850834377,0.3317315972721302,0.38321708264970417,0.6665801885061531,0.7836164213757334,0.704491614517538
11,0.9108630889378517,0.030045092067612585,0.40550822550039817,1.0,1.0,0.6637316458219982,0.9611364865822145,0.5089138089617158,1.0,1.0,1.0,0.35041428129940894,0.38403748056859804,0.6379367020987861,0.7515658810283351,0.6728216287319353
12,0.8648774063505185,-0.04708220072601961,0.397570561484089,1.0,1.0,0.633312827470186,0.9738890990335928,0.5112567268181838,1.0,1.0,1.0,0.36891013848641485,0.376958491918709,0.6167764589513567,0.7271423487050498,0.6538313734196151
13,0.8435751222619728,-0.08064243852917982,0.38175638265136924,1.0,1.0,0.6087712769276096,0.9863405145576628,0.511765081712206,1.0,0.9990157520308497,1.0,0.3872210371015507,0.36232903076294803,0.6004557745327038,0.7080080790141071,0.6415198838619991
14,0.762831026740622,-0.11136826678999485,0.35869615040777236,1.0,1.0,0.5991823797425239,0.9981118643444499,0.5072028182946868,1.0,0.9837588973293009,1.0,0.40534882673053524,0.34112195482824414,0.5980510421271547,0.7042176530449932,0.6481768471823929
15,0.6807887316392727,-0.14409519929145953,0.32930920344207965,1.0,1.0,0.603639657597927,1.0,0.49910507350481825,1.0,0.9588592612029279,1.0,0.4232953384632299,0.31373353405136206,0.603639657597927,0.7090875230844699,0.6666332327480805
16,0.6060278513135973,-0.17314118053540364,0.2947671065939394,1.0,1.0,0.6208595604581155,1.0,0.489106921522941,1.0,0.928579506019953,1.0,0.44106238507859763,0.2814264915760614,0.6208595604581155,0.7271429083679298,0.6991409974127392
17,0.40237027877142795,-0.23985733152381666,0.256446944260797,1.0,1.0,0.6701639199943432,1.0,0.47021442382543,1.0,0.8752543330667328,1.0,0.45865176122781165,0.245544104823728,0.6701639199943432,0.7804561795223993,0.7694254264680875
18,0.34752654469152433,-0.20460219494308074,0.21587642038861002,1.0,1.0,0.7288708466360517,1.0,0.4539134168791281,1.0,0.8299020437255901,1.0,0.47606524361553354,0.2072326570929533,0.7288708466360517,0.8446663363971053,0.8471876085466241
19,0.30380888732493005,-0.15792698012575881,0.22532704626352937,1.0,1.0,0.7927546464817586,1.0,0.4441452050885045,1.0,0.7968799102257802,1.0,0.49330459117937825,0.21723608712025563,0.7927546464817586,0.9159890077480357,0.9152176617380325
20,0.4762988569065441,-0.17062551296401107,0.26552080350525786,1.0,1.0,0.8279136090277497,1.0,0.4501863093810928,1.0,0.8071533079036299,1.0,0.5103715452675844,0.2550977844160198,0.8279136090277497,0.958363989274854,0.9386889524085319
21,0.6317708121285895,-0.1982275641523043,0.30310245307408373,1.0,1.0,0.837513824931032,1.0,0.46356877963113496,1.0,0.8408462391813339,1.0,0.5272678298149086,0.2893091628402607,0.837513824931032,0.9733996665426509,0.9328085540967878
22,0.6909154511961152,-0.11521029045683773,0.33657373319745104,1.0,1.0,0.836566732745629,1.0,0.4761650314313044,1.0,0.8739464846968795,1.0,0.5439951515167596,0.3199413426404042,0.836566732745629,0.9759870713529011,0.9174197295808011
23,0.762165071793804,-0.09671312224799772,0.36460024956157344,1.0,1.0,0.8236662732746277,1.0,0.48871498269330194,1.0,0.9078973909399579,1.0,0.560555200001592,0.3455439542149237,0.8236662732746277,0.9645545902455908,0.8911161958730338
24,0.829977227027364,-0.06933992876348893,0.3860646734018003,1.0,1.0,0.7998001524576976,1.0,0.5009420822198272,1.0,0.9411488949203731,1.0,0.5769496480015761,0.36529085327412025,0.7998001524576976,0.9400288962638607,0.8553571800296396
25,0.9372521611041955,-0.005050926863752997,0.4001112858745278,1.0,1.0,0.7595430882956106,1.0,0.5153174640874542,1.0,0.9791020205700788,1.0,0.5931801515215603,0.37844475419184703,0.7595430882956106,0.8965351246395872,0.8037130612246637
26,0.9716162728342534,-0.00938623377103125,0.40618009286711754,1.0,1.0,0.7144222234500128,1.0,0.5270410044065811,1.0,1.0,1.0,0.6092483500063448,0.3847055519205129,0.7144222234500128,0.8462076556261301,0.7531001193020823
27,0.8998619828209775,-0.004041224535568787,0.4040291501960028,1.0,1.0,0.6808243029015383,1.0,0.5314533344709509,1.0,1.0,1.0,0.6251558665062814,0.3830457954715554,0.6808243029015383,0.8074635239895974,0.7205825465232689
28,0.8986860499989446,0.07137944214489761,0.39374420915778874,1.0,1.0,0.648389869330996,1.0,0.5350694719828001,1.0,1.0,1.0,0.6409043078412187,0.3733832305435516,0.648389869330996,0.7698166380886724,0.6909983347394837
29,0.7929264095227522,0.14737335440540064,0.3757352978956606,1.0,1.0,0.6331352744684985,1.0,0.5318405694835493,1.0,0.9907544463743002,1.0,0.6564952647628065,0.3567957078823947,0.6331352744684985,0.7509897331952059,0.6819160123330363
30,0.7531429726858254,0.159563903144523,0.350720374871234,1.0,1.0,0.6252384611508941,1.0,0.5269012102295492,1.0,0.9763596701056844,1.0,0.6719303121151785,0.33356676595406365,0.6252384611508941,0.7405420768027575,0.6831611727621226
31,0.6209845233879195,0.14064737746796416,0.31969670612633794,1.0,1.0,0.6387255531004736,1.0,0.51542338415136,1.0,0.9442950435725811,1.0,0.6872110089940268,0.3047330524993818,0.6387255531004736,0.753950483243522,0.7113861345603739
32,0.48086197587872964,0.17077798872669547,0.2839011074329836,1.0,1.0,0.6747085045865334,1.0,0.4989228391104612,1.0,0.8996857581665807,1.0,0.7023388989040865,0.27113737671247407,0.6747085045865334,0.7925281235246339,0.765958833367846
33,0.3758863510178115,0.19155779167428832,0.24476063635153128,1.0,1.0,0.727739741743304,1.0,0.48101904357507363,1.0,0.8523077034265092,1.0,0.7173155099150457,0.234303652435194,0.727739741743304,0.8502595778340314,0.8384524170221754
34,0.2504782716782997,0.23746979438030807,0.20383569994909947,1.0,1.0,0.8007118503041017,1.0,0.46095827227762537,1.0,0.7999755707890542,1.0,0.7321423548158952,0.19580109122615502,0.8007118503041017,0.9298950131920415,0.9314678171699802
35,0.4132872839460922,0.16824948227342812,0.2372421537060516,1.0,1.0,0.8465140554919622,1.0,0.46244320876106787,1.0,0.7964438494908307,1.0,0.7468209312677363,0.22888048931328145,0.8465140554919622,0.983526692121029,0.969844411127305
36,0.49574399502338357,0.15602651050094693,0.27683528021735465,1.0,1.0,0.877435776056639,1.0,0.4689513070161517,1.0,0.8110378738815615,1.0,0.761352721955059,0.265379386988727,0.877435776056639,1.0,0.9703437910883499
37,0.644201231016455,0.21802574691377635,0.3133652265741397,1.0,1.0,0.8839639129138779,1.0,0.4820081853781673,1.0,0.8461956281588849,1.0,0.7757391947355085,0.2986028369888689,0.8839639129138779,1.0,0.9514906023051174
38,0.7047663561759608,0.17152257765055923,0.3453756590920736,1.0,1.0,0.8798452923798196,1.0,0.4942188413875638,1.0,0.8802403867968083,1.0,0.7899818027881533,0.32788416827911987,0.8798452923798196,1.0,0.9339568418911777
39,0.8019725514906185,0.06475506272933303,0.3715904228414271,1.0,1.0,0.8600087724295608,1.0,0.5078586232556486,1.0,0.9184656174879707,1.0,0.8040819847602718,0.35185915681937474,0.8600087724295608,1.0,0.9164955255487652
40,0.9129778763421812,0.06165086127927631,0.39096441791698466,1.0,1.0,0.8229184808455545,1.0,0.5233495423695674,1.0,0.9605950566299551,1.0,0.8180411649126691,0.3698695709247126,0.8229184808455545,0.9736543844708477,0.876960317080056
41,0.8927665828672646,0.03197751206665693,0.4027252642732607,1.0,1.0,0.7888449377302164,1.0,0.5324413047207749,1.0,0.9846334403085186,1.0,0.8318607532635425,0.3812955694513028,0.7888449377302164,0.9358497074838256,0.8347583269058703
42,0.9111855725800877,-0.011157162396100484,0.40640409407952716,1.0,1.0,0.7523369921539323,1.0,0.5393340475276858,1.0,1.0,1.0,0.845542145730907,0.3849487124663502,0.7523369921539323,0.8943533264330471,0.7939631493515025
43,0.9174528166437257,-0.050868746262834844,0.401854244000627,1.0,1.0,0.7156354821733665,1.0,0.5443053898165305,1.0,1.0,1.0,0.859086724273598,0.38097065203395775,0.7156354821733665,0.8519689697051868,0.7589309612409192
44,0.889707879161456,-0.10258719666274935,0.3892571022013238,1.0,1.0,0.6842329077977142,1.0,0.546926992307712,1.0,1.0,1.0,0.8724958570308621,0.36923720537666804,0.6842329077977142,0.8152118140026314,0.7306207405580697
