t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.6303670331323155,0.20771191661004723,0.3053099074268447,0.8006588251455298,0.8711840006553313,0.7268674744288042,0.7171084224461377,0.295578642651461,0.6491041456307856,0.31440687516478383,0.30713820119875934,0.2061427640239752,0.29260962589770284,0.36357787326035795,0.4011909222570985,0.517859877444108
1,0.47497260538886543,0.16886445191037575,0.26794074277873126,0.8584415336724018,0.997450926811141,0.7336525202700473,0.7522136990390551,0.2767327539874558,0.7599807680538088,0.2854270922784489,0.3520754692930452,0.21312284576959634,0.251633902373631,0.47253492440677214,0.5183029862519912,0.6276490627207848
2,0.2929218218733126,0.21848751840423974,0.22786299511544167,0.9186484511801043,1.0,0.7729192564098558,0.7813054990092835,0.24543465303745926,0.886269706282723,0.23269418181404877,0.3862983258315954,0.22071758382853227,0.21593725312516035,0.5547589985983927,0.6024139774175344,0.7080675675236142
3,0.29144396649422777,0.2296207824739119,0.21332556223633498,0.9813315184343765,1.0,0.815159925274672,0.8040689874641967,0.21460012650929694,1.0,0.1864790744738583,0.4247752554690663,0.22900591309962826,0.20374451621210982,0.6432086562771262,0.6915200869302573,0.7868559448376913
4,0.41725894211735837,0.22398496749862107,0.25398287147299226,1.0,1.0,0.8380328200148682,0.8216677430393697,0.1954979297732255,1.0,0.16808515335585444,0.4723037657295114,0.23816192928322222,0.24321988455608415,0.6885845358145352,0.7357004337434949,0.8145403975429496
5,0.5355633218232746,0.21263318561138028,0.29248805397682326,1.0,1.0,0.8437147100350968,0.8435122849227301,0.18590521206988894,1.0,0.16633806640152587,0.526953377100682,0.24831937753240363,0.27769187193569694,0.7116837228846232,0.7579907225849671,0.8248691462132979
6,0.6973359153673021,0.15203956245087066,0.32730602963153016,1.0,1.0,0.8265485639345661,0.8688337537625981,0.1879958140946611,1.0,0.18725440066546506,0.5908980701906675,0.25965414516089297,0.308401771928413,0.7181332914703539,0.7653854099358106,0.8234771554633358
7,0.7773262406963133,0.1506372067538592,0.3570487156222357,1.0,1.0,0.799754945002745,0.8971737176811063,0.19625200206870003,1.0,0.21742436511389723,0.6563190666371387,0.27218398504202684,0.33414600980176773,0.7175191172419615,0.7668042143904169,0.8182470797814124
8,0.8210663706329538,0.10430701623815795,0.38053036491696357,1.0,1.0,0.7694959912238651,0.9279293308469316,0.20798377914638527,1.0,0.25102525001329257,0.7199398954278039,0.28586094310016263,0.35408387421054793,0.7140379002257575,0.7660158055557035,0.8125924661697109
9,0.936561865848105,0.03806642736352444,0.39681483825896235,1.0,1.0,0.7255886280068936,0.9604075753963196,0.22701633776165958,1.0,0.298782484520145,0.7872233418860259,0.3007468005068815,0.3675910503791223,0.6968608149592428,0.7522303915088213,0.7974980701877176
10,0.9645129479101776,0.0401997504657937,0.4052529250847139,1.0,1.0,0.6818266258333986,0.9938519145639452,0.2475024206217189,1.0,0.3470398053834546,0.8548972752079064,0.31683727800597083,0.3742692062907687,0.6776346974851979,0.7363353772588963,0.7823177690973696
11,0.969455650814277,-0.035556945856912776,0.40550822550039817,1.0,1.0,0.6387337917778204,1.0,0.2676073015024078,1.0,0.3925450850121993,0.9209997466197458,0.33408890015830606,0.37394174091871346,0.6387337917778204,0.6985592310164427,0.7502899111342979
12,0.8678819974994398,-0.029070724939145448,0.397570561484089,1.0,1.0,0.6118880324380723,1.0,0.28053856267872906,1.0,0.41971499027430337,0.9758813515567386,0.3522656381878578,0.36664905676329473,0.6118880324380723,0.6719683986372447,0.7295108746508343
13,0.8863327601671218,-0.10220551427907876,0.38175638265136924,1.0,1.0,0.5833776032317256,1.0,0.293285418953771,1.0,0.4477504996134063,1.0,0.3707429818059792,0.352643893894147,0.5833776032317256,0.6432612539019478,0.7086110923431188
14,0.7383652054455019,-0.16078211947069865,0.35869615040777236,1.0,1.0,0.5785028044749604,1.0,0.29550738053479736,1.0,0.4519420233647361,1.0,0.38903555198791945,0.33238707782927984,0.5785028044749604,0.6383359514088108,0.7094887892401692
15,0.6945225633526354,-0.1799489796648393,0.32930920344207965,1.0,1.0,0.5815697274916526,1.0,0.29339859534201884,1.0,0.44940481005504573,1.0,0.40714519646804026,0.30654300826576264,0.5815697274916526,0.6412908368904746,0.7184614592904627
16,0.6110276556894892,-0.1724378553424969,0.2947671065939394,1.0,1.0,0.5986433641909279,1.0,0.28442679237111784,1.0,0.43483157665592176,1.0,0.4250737445033599,0.27597338069853034,0.5986433641909279,0.6582379383388061,0.7405089024133525
17,0.408243912857372,-0.1807542819080759,0.256446944260797,1.0,1.0,0.6475907785139988,1.0,0.26141072589291536,1.0,0.3912264123120084,1.0,0.4428230070583263,0.24172696570918717,0.6475907785139988,0.7068412899365148,0.7903833550187408
18,0.28895935783617627,-0.16019515645491372,0.21587642038861002,1.0,1.0,0.7155318708313704,1.0,0.2295915949667697,1.0,0.33284416664858824,0.9977671258078834,0.4603501195039007,0.20502284658984118,0.7155318708313704,0.7730299070471762,0.8558197093426394
19,0.37537460779779874,-0.20106629647928087,0.22532704626352937,1.0,1.0,0.768956776988819,1.0,0.20537475332771057,1.0,0.2973498513063526,1.0,0.4777466183088617,0.2157184922082188,0.768956776988819,0.8242302849266316,0.8966661191355821
20,0.4828598594246089,-0.17372862367376618,0.26552080350525786,1.0,1.0,0.8035630661789323,1.0,0.19102029186491923,1.0,0.28263202514213553,1.0,0.49496915212577314,0.25360760482726136,0.8035630661789323,0.8572869641806115,0.9152920183467044
21,0.6242253357654028,-0.129155386623734,0.30310245307408373,1.0,1.0,0.8147700972394605,1.0,0.18739618567681493,1.0,0.28796791135871114,1.0,0.5120194606045154,0.2871144516395469,0.8147700972394605,0.8682097801886314,0.9161997002504499
22,0.6580879753640395,-0.16688029874458363,0.33657373319745104,1.0,1.0,0.8192616204003685,1.0,0.1875437535988331,1.0,0.2964150932072947,1.0,0.5288992659984703,0.3164745815178811,0.8192616204003685,0.8730382102146401,0.9129638333029737
23,0.8088422225733112,-0.14271021157730918,0.36460024956157344,1.0,1.0,0.7998663143355057,1.0,0.19805006861913127,1.0,0.3253702704664104,1.0,0.5456102733384856,0.34060096745721413,0.7998663143355057,0.8553110667896031,0.891864164906859
24,0.8791312520364721,-0.12938930824160785,0.3860646734018003,1.0,1.0,0.7693128700110333,1.0,0.21345654055701868,1.0,0.3618328729154996,1.0,0.5621541706051008,0.35871523607937794,0.7693128700110333,0.8267880723545247,0.8630910524815014
25,0.9550455038149184,-0.047524581644126734,0.4001112858745278,1.0,1.0,0.7272533858813498,1.0,0.23357807372814055,1.0,0.4064203226762063,1.0,0.5785326288990498,0.37025931014560653,0.7272533858813498,0.7867080416266016,0.8261370078462097
