t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.573703610694254,0.22174601596151283,0.3053099074268447,0.8013111988609327,0.8722039422592164,0.7353669877945134,0.7171084224461377,0.35365573671347145,0.6553914818447637,0.3899838967118624,0.31091734906422164,0.20621834698128444,0.29260962589770284,0.3685600095720486,0.41418018616996305,0.5289007517700429
1,0.43910223246085683,0.21318399590307074,0.26794074277873126,0.8603339386279765,1.0,0.7474050968744722,0.7522136990390551,0.3926825977305296,0.7744261836525553,0.43592124172176006,0.36081614479201923,0.213372486407312,0.251633902373631,0.4836869263224118,0.5501643298732147,0.6547312047988247
2,0.3013951771898808,0.1769497606087715,0.22786299511544167,0.9214944928339752,1.0,0.7851945410677291,0.7813054990092835,0.42047105141424457,0.8942672171077608,0.46101116199546743,0.40258094928740645,0.221290380528987,0.21593725312516035,0.5653155044104569,0.6485100859925403,0.7472492598123692
3,0.34433139470404117,0.17458748215301387,0.21332556223633498,0.984467512755962,1.0,0.8193179664312051,0.8040689874641967,0.4499107600275456,1.0,0.49538985479046593,0.4525325826543263,0.23012812837678365,0.20374451621210982,0.6485555488685578,0.750682790837595,0.8371442431589283
4,0.44412974841718494,0.1928843601820617,0.25398287147299226,1.0,1.0,0.8380978696090794,0.8216677430393697,0.48801494523980177,1.0,0.5496575505143935,0.5115468849932001,0.2400577847928798,0.24321988455608415,0.6886379849677963,0.8062609549512336,0.8745168405695275
5,0.5536067563698918,0.1819399066840377,0.29248805397682326,1.0,1.0,0.8410722687034021,0.8435122849227301,0.5336688076308921,1.0,0.6156148937969184,0.5787087140476348,0.2512313812259037,0.27769187193569694,0.7094547911591511,0.8419696535222259,0.8915667693708922
6,0.6435765163293687,0.1936910456976375,0.32730602963153016,1.0,1.0,0.8320255193244923,0.8689476317463827,0.5852998086778191,1.0,0.6820734778271687,0.649378674198083,0.26370664089760637,0.3083580741703882,0.7229866045695718,0.8710939770354905,0.8887183185894192
7,0.7324522810848445,0.10585032857396187,0.3570487156222357,1.0,1.0,0.8119775052612281,0.8978762173044478,0.6423188135560484,1.0,0.7261549722080354,0.7135676862820176,0.2773409282142707,0.33389870374407477,0.7290552909602539,0.8929553662874763,0.8792271310347157
8,0.8037670136789632,0.0756222457886493,0.38053036491696357,1.0,1.0,0.7843141237733934,0.9293296000373072,0.6821603797338601,1.0,0.7563131788183122,0.7713000838127324,0.29199352060838263,0.35376437723097365,0.7288863309499387,0.9029124126562093,0.8657084268577686
9,0.8968158471593034,0.10172075196083707,0.39681483825896235,1.0,1.0,0.746420528468559,0.9625422784676394,0.7074086626085436,1.0,0.7826714123734109,0.8257670172590806,0.3075889257474804,0.36723159580909387,0.7184613161671463,0.8963473317491675,0.8438041768007869
