t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.6133231942451193,0.1996952113041475,0.3053099074268447,0.8009039522341279,0.8718536218801604,0.7298236618601333,0.7200057423044417,0.12262506858211808,0.6363174977937771,0.2929384360135512,0.2564984608086255,0.20512996921617252,0.2915709615926367,0.366925515120646,0.38267350838031533,0.5023797417251088
1,0.5059884991523406,0.23694733199361498,0.26794074277873126,0.8586853414830985,0.9986566082482432,0.7327962891465891,0.7590533512574988,0.0,0.7344859893853498,0.2651847787242496,0.26213602844883926,0.2103213900929876,0.2503629012738173,0.4769861762747463,0.4769861762747463,0.59284752451508
2,0.3668665078587986,0.24443816178240468,0.22786299511544167,0.9180336048892423,1.0,0.76223179410488,0.7913231689491137,0.0,0.8425606446044485,0.21371020897152557,0.2668223329419848,0.2155546228508974,0.21502709599168185,0.5537318706419446,0.5537318706419446,0.6669153160477325
3,0.24731906361614475,0.20020998440193313,0.21332556223633498,0.9805376383283427,1.0,0.8128067189054873,0.816720776122905,0.0,0.9509487099010743,0.14543455606338931,0.2709003742870781,0.22081708410813,0.2030046376029288,0.6509163153658932,0.6509163153658932,0.7525277086602771
4,0.4742785766098056,0.21186843921851445,0.25398287147299226,1.0,1.0,0.8290124874179989,0.8367396060619271,0.0,1.0,0.11934188889303701,0.2773422635382681,0.22615575853781406,0.2423819387973289,0.6936675821425548,0.6936675821425548,0.7790219601218393
5,0.5983835624311398,0.14376223376043434,0.29248805397682326,1.0,1.0,0.8276219363070977,0.8614918147575316,0.0,1.0,0.11726820359279685,0.2846374766946392,0.2315869504863287,0.2765369441172822,0.7129895238423438,0.7129895238423438,0.7869068592366717
6,0.6712603368833169,0.13529620159632336,0.32730602963153016,1.0,1.0,0.8172312724482174,0.890081290383448,0.0,1.0,0.12987817933801746,0.2921483632596804,0.23711404824665905,0.30694078255580076,0.7274022655224164,0.7274022655224164,0.7915567300551037
7,0.7778718046643786,0.13982615141780141,0.3570487156222357,1.0,1.0,0.7935609354291876,0.921986828428302,0.0,1.0,0.16090332250215042,0.3000965143887653,0.24274483805196775,0.3323903328809184,0.7316527300209532,0.7316527300209532,0.7888072372975806
8,0.8030793020154353,0.07061847973471434,0.38053036491696357,1.0,1.0,0.7696251955318112,0.9565261313935989,0.0,1.0,0.1965200523590774,0.30762500033265316,0.24846988967810116,0.352071326617103,0.7361666109050855,0.7361666109050855,0.7877237876150469
9,0.8839976974643187,0.10314885910052943,0.39681483825896235,1.0,1.0,0.7376126314922782,0.9929208771050769,0.0,1.0,0.24409083402127965,0.3152459870138758,0.25429011052159767,0.36538073479034594,0.7323909810250967,0.7323909810250967,0.7811871501737457
10,0.9607489621119605,-0.012408816508446566,0.4052529250847139,1.0,1.0,0.6950892570787273,1.0,0.0,1.0,0.3015824956211707,0.32287618799430595,0.2602047331762678,0.3719368124874512,0.6950892570787273,0.6950892570787273,0.7478416653950554
11,0.9647421174777809,-0.055238405799603894,0.40550822550039817,1.0,1.0,0.6526229529901975,1.0,0.0,1.0,0.3567548842130822,0.3303860400524283,0.2662104066455537,0.3715729522136345,0.6526229529901975,0.6526229529901975,0.7118362719882592
12,0.9203137903269082,-0.09642907366466107,0.397570561484089,1.0,1.0,0.6178199348285974,1.0,0.0,1.0,0.4016355027996372,0.337247815888637,0.27229325889687084,0.36433210635421703,0.6178199348285974,0.6178199348285974,0.6840639180157535
13,0.806032095058151,-0.05958628121793486,0.38175638265136924,1.0,1.0,0.6013747211186897,1.0,0.0,1.0,0.42546542443305957,0.342695177968333,0.2784242298672688,0.3504620085751228,0.6013747211186897,0.6013747211186897,0.6735530108071056
14,0.7499328062754197,-0.15895020702811885,0.35869615040777236,1.0,1.0,0.5945936022902837,1.0,0.0,1.0,0.43728290060713704,0.3473241297356382,0.28458647016330885,0.3304115414062561,0.5945936022902837,0.5945936022902837,0.6728016765951771
15,0.729272789022858,-0.12182655930250566,0.32930920344207965,1.0,1.0,0.5922924047973681,1.0,0.0,1.0,0.44234041566819415,0.3514981208074344,0.2907705678778244,0.30482750210265275,0.5922924047973681,0.5922924047973681,0.6772416685520997
16,0.5448208720878239,-0.13514703613258927,0.2947671065939394,1.0,1.0,0.6192073801915938,1.0,0.0,1.0,0.41584398571316106,0.3534525177155089,0.2969319125533563,0.27455015441280156,0.6192073801915938,0.6192073801915938,0.7076887345596543
17,0.4420788277564044,-0.17851163352033508,0.256446944260797,1.0,1.0,0.6628271830288562,1.0,0.0,1.0,0.37118768158799775,0.354031360527942,0.3030432206383816,0.2406052459280611,0.6628271830288562,0.6628271830288562,0.7532517940925125
18,0.27339935274874594,-0.15937127785682445,0.21587642038861002,1.0,1.0,0.7329153875928798,1.0,0.0,1.0,0.2990924053743327,0.35252603349945666,0.3090633091019869,0.20418969556463404,0.7329153875928798,0.7329153875928798,0.8219306555627893
19,0.35348768165578864,-0.15587498137281924,0.22532704626352937,1.0,1.0,0.7893997586534559,1.0,0.0,1.0,0.24390936894484097,0.3522018889455794,0.31501671378987867,0.21497491754324802,0.7893997586534559,0.7893997586534559,0.8672460654696256
20,0.5077768461085073,-0.2136407691623548,0.26552080350525786,1.0,1.0,0.82000834870156,1.0,0.0,1.0,0.21915319687350468,0.35355833912220197,0.3209377134344239,0.2526777331163569,0.82000834870156,0.82000834870156,0.8838376631172368
21,0.5797938370525175,-0.2101972814623212,0.30310245307408373,1.0,1.0,0.8376956317178335,1.0,0.0,1.0,0.21042049294215528,0.3555935270998022,0.3268402068420757,0.2858703239065113,0.8376956317178335,0.8376956317178335,0.8905737059835306
22,0.6698159682789051,-0.19650396955582045,0.33657373319745104,1.0,1.0,0.8401615503142928,1.0,0.0,1.0,0.2191143090687996,0.3583508762908037,0.332738822299471,0.31492503371874575,0.8401615503142928,0.8401615503142928,0.8854060593374625
23,0.7788034086155244,-0.11283165244333125,0.36460024956157344,1.0,1.0,0.8250503479304003,1.0,0.0,1.0,0.24658238920179384,0.3618734325569595,0.33864890272761544,0.3387653567369891,0.8250503479304003,0.8250503479304003,0.8666014565565929
24,0.8205538899434365,-0.07056462957656667,0.3860646734018003,1.0,1.0,0.8030096105889346,1.0,0.0,1.0,0.2810843514332727,0.36541165461624225,0.34457064679266414,0.3566379726198855,0.8030096105889346,0.8030096105889346,0.843398675845623
25,0.9008273057445458,-0.06905510691406283,0.4001112858745278,1.0,1.0,0.7686901236501295,1.0,0.0,1.0,0.3272662638128522,0.3695773834907281,0.35051648799455204,0.36800493836578674,0.7686901236501295,0.7686901236501295,0.8113853705111633
26,0.9691187836884324,-0.011673855513194775,0.40618009286711754,1.0,1.0,0.7244145577492177,1.0,0.0,1.0,0.3819279612440891,0.37446442743051794,0.3565006116632169,0.3725479298578986,0.7244145577492177,0.7244145577492177,0.7726153916223604
27,0.9116764779046537,0.029064627261296126,0.4040291501960028,1.0,1.0,0.6895387627019437,1.0,0.0,1.0,0.42495392834206014,0.3787219101289901,0.3625100437491645,0.37016209990675525,0.6895387627019437,0.6895387627019437,0.7435674233199633
28,0.9162809439400532,0.026100453067631785,0.39374420915778874,1.0,1.0,0.6549560075245069,1.0,0.0,1.0,0.4654138921517914,0.3829880118838769,0.3685447035493504,0.3609506429179951,0.6549560075245069,0.6549560075245069,0.7164749456663321
29,0.8832942826332921,0.059337847719203765,0.3757352978956606,1.0,1.0,0.6266265064669647,1.0,0.0,1.0,0.4970152259440963,0.386842226789012,0.37459610104963714,0.3452203709936154,0.6266265064669647,0.6266265064669647,0.6963274377485161
30,0.7773807517999072,0.1739225144446325,0.350720374871234,1.0,1.0,0.6156960803081032,1.0,0.0,1.0,0.5085404168030345,0.38947888087522675,0.38063971765664534,0.3234783158374188,0.6156960803081032,0.6156960803081032,0.6924720893025329
31,0.6007957739589793,0.19503257948160804,0.31969670612633794,1.0,1.0,0.6327698559141788,1.0,0.0,1.0,0.48975560457149114,0.3901077064495931,0.3866354746090708,0.2964283419091214,0.6327698559141788,0.6327698559141788,0.7137472920497716
32,0.5162888056941314,0.19430674390085753,0.2839011074329836,1.0,1.0,0.6638366906133006,1.0,0.0,1.0,0.45545849854201303,0.38967697913111626,0.39256265944560237,0.26496593216091596,0.6638366906133006,0.6638366906133006,0.7480197039810765
33,0.35010995985372373,0.1538903178611311,0.24476063635153128,1.0,1.0,0.7211042132978467,1.0,0.0,1.0,0.3937737482263076,0.3872938272262232,0.39838290939567084,0.23016865956391522,0.7211042132978467,0.7211042132978467,0.8053964164121908
34,0.23087761529210304,0.24955616366305933,0.20383569994909947,1.0,1.0,0.7972420344426798,1.0,0.0,1.0,0.31286168066299547,0.3834363390596218,0.40406780708290657,0.19327946723767422,0.7972420344426798,0.7972420344426798,0.8793358624668592
35,0.34379267940480607,0.22629802455589476,0.2372421537060516,1.0,1.0,0.8536182522471056,1.0,0.0,1.0,0.25696993946994473,0.38109106856901437,0.4096489503834578,0.22692499536426117,0.8536182522471056,0.8536182522471056,0.9188442655689745
36,0.5490831326842677,0.23361272812017345,0.27683528021735465,1.0,1.0,0.876566479052541,1.0,0.0,1.0,0.23895942470447742,0.38101614657504357,0.4151727838111241,0.26270059016435754,0.876566479052541,0.876566479052541,0.9294063596535704
37,0.6123222698857668,0.15602051454020924,0.3133652265741397,1.0,1.0,0.8880774938922085,1.0,0.0,1.0,0.2351923894178158,0.38159212934955383,0.42065289856000393,0.2948429498335865,0.8880774938922085,0.8880774938922085,0.9311551323499806
38,0.7370557123762237,0.17243540512903827,0.3453756590920736,1.0,1.0,0.8793247969267216,1.0,0.0,1.0,0.25363819477063376,0.3832688068893438,0.4261117457121908,0.3224635540134027,0.8793247969267216,0.8793247969267216,0.9168101888843627
39,0.7827733630445738,0.13827310572926316,0.3715904228414271,1.0,1.0,0.8627374235184148,1.0,0.0,1.0,0.28067932376898297,0.38515146642177195,0.4315536575835043,0.34462993995439944,0.8627374235184148,0.8627374235184148,0.8971693250020526
40,0.9162707274824154,0.11343870070646966,0.39096441791698466,1.0,1.0,0.8255733351409762,1.0,0.0,1.0,0.32831521115408313,0.38829136077877363,0.4370039482232447,0.3606483580460013,0.8255733351409762,0.8255733351409762,0.8615752453583294
41,0.8794140389051517,0.08299680072069293,0.4027252642732607,1.0,1.0,0.7940253408740935,1.0,0.0,1.0,0.3691684900874074,0.39109858796368024,0.44245588050028584,0.3700457680799072,0.7940253408740935,0.7940253408740935,0.8324100977230027
42,0.8971316333489341,-0.018093206680144126,0.40640409407952716,1.0,1.0,0.760166877350041,1.0,0.0,1.0,0.41093926425168625,0.394138347882973,0.4479140886529424,0.3725667681720197,0.760166877350041,0.760166877350041,0.8030001537045298
43,0.9339302338113524,-0.0008561822980684905,0.401854244000627,1.0,1.0,0.7215164492088958,1.0,0.0,1.0,0.4556134133785318,0.39760126875697105,0.4533869731415524,0.36816779818383416,0.7215164492088958,0.7215164492088958,0.7712470322816029
44,0.8648529600003306,-0.03904186456938929,0.3892571022013238,1.0,1.0,0.6943651625759014,1.0,0.0,1.0,0.48635355834286864,0.40033854615060754,0.45885987433314906,0.35701191789622555,0.6943651625759014,0.6943651625759014,0.7509574087154598
45,0.8182306602850778,-0.13576569725663368,0.3691148769725762,1.0,1.0,0.6754918493600826,1.0,0.0,1.0,0.5064576891167586,0.40255858843962383,0.46432244735861006,0.33946473468837424,0.6754918493600826,0.6754918493600826,0.7393018882839766
46,0.70578191613896,-0.18014721559571392,0.3422305752717867,1.0,1.0,0.674937626563913,1.0,0.0,1.0,0.50588447189125,0.40352909025123485,0.4697498046900486,0.31609115269848714,0.674937626563913,0.674937626563913,0.7446741944047042
47,0.5734062544535448,-0.20799634097207578,0.30967598936944624,1.0,1.0,0.6956700402339321,1.0,0.0,1.0,0.4820708289827631,0.40300224923175776,0.47511235162778326,0.2876516752698089,0.6956700402339321,0.6956700402339321,0.7694066153813901
48,0.5114140183133681,-0.14130631082476242,0.2727489678735442,1.0,1.0,0.7270180763370312,1.0,0.0,1.0,0.44624237707762504,0.4016998218953738,0.4803952245494129,0.2550962109277335,0.7270180763370312,0.7270180763370312,0.8041913121545431
49,0.3258918617796876,-0.2466058930145387,0.2329216746011678,1.0,1.0,0.7875013883570934,1.0,0.0,1.0,0.3801118091393939,0.39828176578262303,0.48555690761957127,0.2195527513585852,0.7875013883570934,0.7875013883570934,0.8644879922638831
50,0.3260635840357776,-0.20055853364098902,0.20821810194720528,1.0,1.0,0.8481327169721183,1.0,0.0,1.0,0.31471906886366274,0.39471737228948367,0.4905956859891652,0.19793225908504172,0.8481327169721183,0.8481327169721183,0.9214297446550401
51,0.4040229644718204,-0.2244991334775488,0.24903024870466398,1.0,1.0,0.8941602942082297,1.0,0.0,1.0,0.2690907711894004,0.3922260671359629,0.4955342504719928,0.23793974677067362,0.8941602942082297,0.8941602942082297,0.9505513133843269
