t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.6303670331323155,0.20771191661004723,0.3053099074268447,0.8007077860329725,0.8715468327801908,0.7272670860270538,0.7200057423044417,0.3201807407897359,0.6378015024920864,0.42954357036096374,0.3180713582099302,0.2063614271641986,0.2915709615926367,0.36542198617346633,0.40637236495532325,0.5225237698138656
1,0.47497260538886543,0.16886445191037575,0.26794074277873126,0.8586599112200027,0.9986105198090458,0.7349304460155273,0.7590533512574988,0.3272366525696158,0.7317269690324476,0.5243558308041034,0.3742365146651559,0.21378254318585976,0.2503629012738173,0.47833908157338323,0.5331246095199377,0.6405651927734927
2,0.2929218218733126,0.21848751840423974,0.22786299511544167,0.9190640638731913,1.0,0.7754256415186069,0.7913231689491137,0.3203662551214948,0.8444291531682782,0.582879564063897,0.4191217111173416,0.222027151976348,0.21502709599168185,0.5639489919595342,0.6271835712813005,0.729349261591185
3,0.29144396649422777,0.2296207824739119,0.21332556223633498,0.9820628167691972,1.0,0.8191839231762958,0.816720776122905,0.31261714961573145,0.9547342592971492,0.6368127373471878,0.4691770036158291,0.23119042052890112,0.2030046376029288,0.657043755208313,0.7289348562824267,0.8077996472351742
4,0.41725894211735837,0.22398496749862107,0.25398287147299226,1.0,1.0,0.8436544048281057,0.8353127655108595,0.3567619774731717,1.0,0.6991816912055765,0.5319652061685991,0.24151782044698408,0.2428090008849005,0.7047152940323832,0.7927107616814865,0.8333473898463654
5,0.5355633218232746,0.21263318561138028,0.29248805397682326,1.0,1.0,0.8506798904726501,0.8555790352467721,0.40972422212838755,1.0,0.7592065720828658,0.6010414233896454,0.25312347071030716,0.2780936847831089,0.7278238799944198,0.8321963555714322,0.8400815094150804
6,0.6973359153673021,0.15203956245087066,0.32730602963153016,1.0,1.0,0.8342026821107046,0.8761475906210224,0.4736282052160691,1.0,0.8239267968539231,0.6790471127352535,0.26617317825790915,0.31008667148566343,0.7308846700208885,0.8520433280895648,0.8295371219485372
7,0.7773262406963133,0.1506372067538592,0.3570487156222357,1.0,1.0,0.8069415615715897,0.8957220775196066,0.5429443441360223,1.0,0.8787201865982043,0.7570654334805116,0.28065275514494026,0.33771587010720283,0.7227953719678198,0.8601485526799869,0.813081246271727
8,0.8210663706329538,0.10430701623815795,0.38053036491696357,1.0,1.0,0.774616869788746,0.9139426244181854,0.6149086820818135,1.0,0.9225329104532143,0.831801254396506,0.296482252681421,0.35967455389018116,0.7079553748933263,0.8603201421852632,0.7916118728326015
9,0.936561865848105,0.03806642736352444,0.39681483825896235,1.0,1.0,0.726695384750789,0.930708471919101,0.679071178993655,1.0,0.973562174559254,0.9088562188705612,0.31369455453201794,0.3750593748840423,0.67634155109207,0.8370909701679412,0.7398795927552323
