t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.6187456074361761,0.20400764798678564,0.3053099074268447,0.8006674310003246,0.8704665648970374,0.7275901373408536,0.7097090813742218,0.36074571453997323,0.6483821960948276,0.4282433082561304,0.31305007989254563,0.20626100159785093,0.2952622261725333,0.35989136213396805,0.40533160544039193,0.5207163080811998
1,0.47851575831607907,0.19385147386523596,0.26794074277873126,0.8581288147952206,0.9948212581793555,0.731555980298074,0.7346099991391717,0.40833184298656755,0.7598367013641392,0.5241992453074291,0.3647951332836006,0.21349429424754443,0.2549228226391115,0.45877732272153043,0.5243440091190945,0.6319617020914524
2,0.33223011667740204,0.2518873558256529,0.22786299511544167,0.9174456362667526,1.0,0.7617344211682527,0.7554294694376216,0.44302173512255455,0.8855447904502546,0.5890203723586785,0.41083387440118346,0.22157602879309263,0.2183047651250879,0.5279318248071433,0.6097916703755102,0.7137467285379117
3,0.27335503536524036,0.16847369828259207,0.21332556223633498,0.9791607856559893,1.0,0.8028354241654746,0.7713616729224668,0.47230049567626786,0.9991806526348659,0.6402521117603248,0.45739982661886336,0.23050826503753896,0.2056625226232843,0.6063712406469298,0.7066075437794123,0.7871251480285819
4,0.40605076236653004,0.17301470326495494,0.25398287147299226,1.0,1.0,0.8227897547086428,0.7826988438526552,0.5119870450290551,1.0,0.6935761360783935,0.5112690755994933,0.24042856389915346,0.24538770003377758,0.6439965897442644,0.7593978585914486,0.8060684139707689
5,0.5410302147505386,0.15923272172959124,0.29248805397682326,1.0,1.0,0.8221525735745313,0.7970257663736879,0.5616034130935509,1.0,0.7421974861429412,0.5654714585924359,0.25133370743201067,0.2806778913148731,0.6552767850293407,0.7840787726770471,0.8036382381038893
6,0.6351178258916651,0.14318889258006845,0.32730602963153016,1.0,1.0,0.8078577045192915,0.813871330107298,0.6181455432089087,1.0,0.7835543673360099,0.6151528283683974,0.2631234269250585,0.31218932361495755,0.6574922245145443,0.7997412854119061,0.793037342853796
7,0.7546022257909277,0.1393560342126233,0.3570487156222357,1.0,1.0,0.7768171294260693,0.8329414436669459,0.6778370338476207,1.0,0.8281565882742643,0.6593001565567007,0.2756781957869419,0.3387069779365422,0.6470431812493629,0.8005496220116516,0.7617760509739648
8,0.8219309764737914,0.05602427166724453,0.38053036491696357,1.0,1.0,0.737619780807199,0.8538387649134376,0.726173392416992,1.0,0.8647878827413334,0.6875732899281881,0.28867287962763627,0.3593219399204605,0.6298083626201394,0.7898808889598996,0.7268972273300012
9,0.876304663748099,0.0657585812589524,0.39681483825896235,1.0,1.0,0.6928234418809035,0.8760941252822437,0.7650928793181316,1.0,0.8943240581593479,0.7017074741182199,0.3018203003137243,0.3733527537168387,0.6069785472896836,0.7695167848402539,0.6894352853735755
10,0.9230325983516212,0.04497781971279553,0.4052529250847139,1.0,1.0,0.6441106544105755,0.8991855744013878,0.7962634214566534,1.0,0.9180382461346358,0.7041598295755451,0.31488529390209796,0.38035630035075807,0.5791750087642271,0.7405865646995038,0.6497453467751673
11,0.9653333717318835,-0.027671388424018145,0.40550822550039817,1.0,1.0,0.5925995545627809,0.9225582970224944,0.8210534899559769,1.0,0.9370745777533136,0.6975232644657473,0.3276869062523919,0.38012859829105533,0.5467076358737278,0.7038143102206248,0.6078769427975778
12,0.868504379676075,-0.036299508447360546,0.397570561484089,1.0,1.0,0.5595270736961095,0.9456441728251747,0.8323612906034835,1.0,0.9311814207024081,0.6847034416283886,0.34010410602243574,0.3727026267167865,0.529113516778648,0.6832582801742163,0.5917671971374681
13,0.8814209228890462,-0.10712042258338234,0.38175638265136924,1.0,1.0,0.5283995085646407,0.9678807043396307,0.8400666206399333,1.0,0.9293444929687461,0.672770762529318,0.3521584802127977,0.35834410226851976,0.5114276885222592,0.6617993540217645,0.5761267533327594
14,0.7948160978593888,-0.15059324571030433,0.35869615040777236,1.0,1.0,0.5142713200596698,0.9887291514233377,0.8387116328534436,1.0,0.91291797730033,0.6606079532237886,0.3638490544751455,0.3375455873678691,0.5084750458839571,0.6577374234834542,0.5830726933581811
15,0.7225200255849644,-0.12568664923635198,0.32930920344207965,1.0,1.0,0.5138783232134677,1.0,0.831283608316139,1.0,0.8908598404552054,0.6520788629090902,0.3752521411885758,0.3110184641512475,0.5138783232134677,0.6633908425781863,0.602612926353857
16,0.5950866576354839,-0.13590333323850978,0.2947671065939394,1.0,1.0,0.5341730701506997,1.0,0.8158235983782116,1.0,0.8567619642203755,0.6480586558385535,0.38646079289346114,0.27968159138487014,0.5341730701506997,0.686699918837178,0.6435812242236287
17,0.4114406104998687,-0.19176948798880825,0.256446944260797,1.0,1.0,0.5834621363382418,1.0,0.7909562776062481,1.0,0.8075852756930008,0.6475844427675648,0.39754787381987783,0.2446449237043402,0.5834621363382418,0.7449847001570417,0.7216089259782505
18,0.3260591250301313,-0.1733214542159641,0.21587642038861002,1.0,1.0,0.6466920311238937,1.0,0.7650698697608752,1.0,0.7659499559232253,0.6530331206291375,0.4086330574942618,0.20718608829509577,0.6466920311238937,0.8198596369334673,0.8122852085905305
19,0.32345149820514524,-0.23867706235458194,0.22532704626352937,1.0,1.0,0.7088416688088996,1.0,0.7472552233013336,1.0,0.7465405552635317,0.6656842019954682,0.41986041095922855,0.21764514234727855,0.7088416688088996,0.8942316426377791,0.8822723994159662
20,0.48103440945370063,-0.23305547306373117,0.26552080350525786,1.0,1.0,0.7445033005485054,1.0,0.7470515893200719,1.0,0.765979109080918,0.6889780480003403,0.4314413678096431,0.25601163620411155,0.7445033005485054,0.9391671314235854,0.90508510207073
21,0.6142108293019785,-0.22609739711531449,0.30310245307408373,1.0,1.0,0.757937435212154,1.0,0.7576424607058321,1.0,0.79972127381549,0.7131832519401452,0.44339061917034955,0.2903338286565434,0.757937435212154,0.9589233894284752,0.9010565495642546
22,0.700695763563547,-0.15504249416690738,0.33657373319745104,1.0,1.0,0.7566892980027106,1.0,0.7728111873702509,1.0,0.8328017256564471,0.7316062046565883,0.45558883707177783,0.3204942229345802,0.7566892980027106,0.9613615822036532,0.8826310339684758
23,0.7606473724045513,-0.12512331019032694,0.36460024956157344,1.0,1.0,0.7452232357882431,1.0,0.7892360461214368,1.0,0.8610692404707216,0.7419729183216468,0.46787240706749295,0.345372337674883,0.7452232357882431,0.9510781998202108,0.8559054040629546
24,0.8702222108809082,-0.10145090212573099,0.3860646734018003,1.0,1.0,0.7165553369701615,1.0,0.8090456737754794,1.0,0.8941370910542287,0.7459924869816942,0.4801135327364519,0.36412437298243566,0.7165553369701615,0.9194594353589154,0.8104591647381045
25,0.9566649335994598,-0.013443883314637785,0.4001112858745278,1.0,1.0,0.6747503611991427,1.0,0.8293466073061012,1.0,0.9251389294819502,0.7410309726307127,0.49213301686170163,0.3761381135309479,0.6747503611991427,0.870611034192819,0.7525738503753538
26,0.976320448357352,-0.035260018888638514,0.40618009286711754,1.0,1.0,0.6303790213211145,1.0,0.845422408051602,1.0,0.9439960180363114,0.7267372652090038,0.5037464319972647,0.38104034412876475,0.6303790213211145,0.8169068138877925,0.6968274187512186
27,0.8826854032540713,0.018603952483120155,0.4040291501960028,1.0,1.0,0.6008356946529164,1.0,0.8511023922433538,1.0,0.9386604543281919,0.7123453812420512,0.514955875302133,0.3786966172054128,0.6008356946529164,0.7798161386254194,0.666350948783125
28,0.857179847771658,0.09092345200578292,0.39374420915778874,1.0,1.0,0.5760357625658524,1.0,0.852871146431573,1.0,0.9314221420552482,0.6985254184275658,0.525776824917663,0.3692083900304303,0.5760357625658524,0.7479852609876458,0.6434845024290022
29,0.8120780987297727,0.06988961888791423,0.3757352978956606,1.0,1.0,0.5591880955689558,1.0,0.8501247471336515,1.0,0.9192043987489968,0.6850221702525812,0.5362195000735379,0.35290831497885966,0.5591880955689558,0.725570968989953,0.6327219758453158
