t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.5691595110894713,0.191659567227599,0.3053099074268447,0.8012825645231371,0.8716886948307727,0.7353910407931371,0.7123408749544313,0.3386950707261265,0.6387087474783182,0.42069217675455806,0.31300515356305036,0.20626010307126103,0.2943187507594783,0.3658923305400578,0.409266405609702,0.5242967570783772
1,0.4599251129125209,0.162496264032162,0.26794074277873126,0.8598203624075043,0.9979761477947752,0.7428413555181759,0.7408937045876721,0.3576625950533049,0.7309911242734973,0.5140958483178045,0.3689333553967638,0.21357616914848368,0.25374594553413476,0.47225858969547085,0.5313768211498144,0.6382338115938085
2,0.3418281842896171,0.2016091300265805,0.22786299511544167,0.9199781374579961,1.0,0.7725635060825548,0.764681454133632,0.3700212979373134,0.8357335898572689,0.5807599458384173,0.4191367335294472,0.2218231421275878,0.2174555191088363,0.5434908707981378,0.6138769898985705,0.717431561636576
3,0.2923957948025976,0.19948083043420362,0.21332556223633498,0.9823952015573945,1.0,0.8120842020158542,0.7830608039072215,0.3815542848199997,0.9405989077591066,0.6351783867043401,0.469565092005909,0.2309962125464301,0.2049755744787834,0.6247162176649276,0.7081433200412364,0.790124412404053
4,0.406395935165499,0.17235107743407146,0.25398287147299226,1.0,1.0,0.8334109302299234,0.7955372091618766,0.4006798912255022,1.0,0.6848505552777006,0.5320356650720927,0.24132696372240764,0.24494167160586564,0.6630094055201168,0.7559884932899666,0.805899634811695
5,0.5774815232915327,0.16488545166374483,0.29248805397682326,1.0,1.0,0.8286376433533967,0.8094536318057007,0.42393645218206916,1.0,0.728214271009186,0.6061080583340638,0.25303585525186484,0.2806866049206419,0.670743749863324,0.7702672038374482,0.7960911907289147
6,0.6918354891418914,0.18935633871440521,0.32730602963153016,1.0,1.0,0.8069304477817186,0.8241014337978343,0.4485337543820308,1.0,0.7609399275977642,0.6849922924495072,0.26620534254833633,0.31288959211666956,0.6649925389920428,0.7693875990445918,0.7774750828794064
7,0.8100902734982218,0.1768348739628216,0.3570487156222357,1.0,1.0,0.768275884829065,0.8393478034115067,0.4756261051524225,1.0,0.7907884453655102,0.768520096175034,0.28091369104635366,0.34017603241150546,0.6448506763453073,0.7521984118035657,0.7470881083205014
8,0.825223669887498,0.07268517303477873,0.38053036491696357,1.0,1.0,0.7287053909502729,0.8547580066143792,0.4992412727951765,1.0,0.8036974689325092,0.8468068554232406,0.29704069124435495,0.3616753183391394,0.6228667673778071,0.7317030465824368,0.7204195193305336
9,0.9295320304426418,0.0690686395637201,0.39681483825896235,1.0,1.0,0.6752717487722094,0.8707410874403555,0.5264212475954582,1.0,0.8245773705547874,0.9287056276768898,0.3146443968854492,0.37624374480511524,0.5879868568436641,0.696321928005945,0.6804394914373382
10,0.9043633670742292,0.03939126397707275,0.4052529250847139,1.0,1.0,0.6279007387299254,0.8863427687098159,0.5486622100624259,1.0,0.8273669414983136,1.0,0.33349795291659473,0.38397121989488947,0.5565352792408208,0.6634077359409132,0.6496936881265598
11,0.9723524412676228,0.014463494440980912,0.40550822550039817,1.0,1.0,0.5729532545958119,0.90222157877054,0.5734179900593459,1.0,0.8383044115518544,1.0,0.3521629733874288,0.3838539263097196,0.5169307899231526,0.620676885018286,0.6101205472225568
